STE_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
1,9143,108169,5793,32356,13176,5112,766,3297,1251,179066,12498,90525,1146,17686,10115,3146,418,1773,873,138185,55076,70940,4998,23206,122544,33925,2616,10603,4020,327926,18521,60838,3405,59571,31048,9758,1111,5815,2391,192460,8244,25578,3134,5340,9612,6581,407,1572,678,61152,6378,2343,17998,13889,10887,7834,791,4742,730,65596,134,163,69,317,254,229,30,259,55,1499,2086,3911,558,1817,3195,1310,237,637,413,14160,2102,3244,1138,4128,4779,3204,460,2658,3696,25411,128501,405760,49668,165824,223409,78587,8773,37305,15526,1113358,11679,31330,7010,4476,7923,3697,1556,2629,922,71230,16296,46465,10812,3313,9251,4882,3426,3948,1681,100071,49044,61190,133117,9943,18216,13170,35197,26823,5067,351767,25809,15320,70038,3120,5498,4035,8103,13586,1792,147297,11926,7158,11975,2348,3840,2585,3488,7735,699,51746,13770,148243,8047,40664,14716,6361,2224,4970,1847,240838,18368,117319,2916,20648,11546,4104,1903,2982,1209,180998,125193,143931,16165,33538,153488,59539,15413,21949,8045,577248,34199,100219,7521,82508,39400,14137,4965,10229,4006,297191,13531,44439,8492,7899,12302,9758,2100,3911,1192,103633
2,7707,95672,4529,27204,11880,4628,570,2572,997,155756,8881,70892,1207,17273,8601,3059,308,1604,665,112486,38011,49905,3929,15633,76528,22953,1863,7183,2550,218558,14645,47768,3259,58094,24655,9225,1003,5919,1777,166344,6000,19198,2829,4725,7262,6186,388,1387,495,48462,5560,1889,15999,11452,9063,7759,730,4753,581,57791,102,130,55,183,174,138,28,221,37,1068,2225,4188,661,2094,3344,1398,161,644,387,15103,1695,2453,985,3516,3424,2695,431,2197,2803,20203,97705,327859,43867,147199,159480,65317,6985,32025,11455,891890,10836,28873,5875,4340,6712,3835,1278,2582,803,65126,14315,39670,8621,3068,7911,4427,2928,3856,1358,86161,40078,49582,102515,7435,13647,10647,25289,23337,3721,276246,18527,12894,65461,2383,4254,3677,5883,10767,1430,125275,11135,5327,10194,1904,3049,2295,2738,5705,577,42929,11363,127028,6509,34541,13217,5784,1691,4091,1445,205672,14000,93762,2790,20075,9920,4010,1489,2763,978,149785,91744,104540,12558,23925,101261,41389,12429,16452,5224,409515,25770,75251,6738,74814,31237,13085,4289,10190,2938,244319,10566,35273,7605,7341,9880,9586,1987,3816,911,86968
3,5495,73427,3907,23290,9168,3796,497,2375,725,122685,6931,56549,835,16388,7369,2079,308,1425,490,92379,26976,32643,3350,13965,66027,20081,1722,7429,1725,173918,9287,29184,2020,43475,17793,6687,801,5065,1063,115375,3227,10158,1431,3134,4745,3421,263,1190,277,27847,5202,1682,13221,11105,8432,6744,712,4462,493,52047,88,109,36,188,219,202,20,187,32,1088,900,1670,383,983,1693,579,138,448,184,6971,1182,1601,681,2718,2636,2050,306,1995,2086,15247,65456,226030,32626,119564,126083,49538,5978,29119,7656,662046,4971,16624,4135,2457,3285,1674,661,1555,402,35758,5763,16681,4925,1518,3274,2081,1253,2097,613,38213,30064,35750,108715,6516,9843,8603,24477,20186,3126,247278,15205,8087,50793,2196,3735,2946,6646,11891,1256,102765,5969,5023,6586,1530,2590,1735,2509,5554,395,31890,8498,100159,5433,29372,10142,4551,1464,3596,1122,164353,10684,73389,2048,18284,8306,2676,1492,2255,738,119877,58807,61060,10122,19807,80177,31843,9766,14536,3320,289435,15742,45716,4807,58195,21923,9435,3423,8760,1767,169769,5414,17178,4395,4594,6087,5253,1226,2766,484,47394
4,2296,28541,1459,10741,3295,1378,130,912,292,49057,2372,19549,236,4250,1879,595,57,451,148,29529,8877,10156,1008,4616,21160,6186,320,2288,550,55159,3314,11027,780,18513,6611,2205,191,1944,486,45074,899,3197,470,883,1482,923,57,352,85,8354,1523,455,5028,3085,2331,2119,119,1442,149,16266,24,43,16,72,62,59,3,72,16,358,314,605,105,441,564,203,25,164,74,2489,427,566,246,1062,927,735,85,725,594,5369,22412,80918,11902,45343,41220,15843,1337,10050,2619,231648,2165,7173,1711,997,1255,658,313,918,142,15322,1748,5718,1811,594,1224,610,494,808,166,13169,10326,11318,34103,2420,3684,3015,7560,7707,1050,81175,4026,2389,13606,664,1070,913,1449,2756,324,27199,3580,1855,2909,619,916,711,847,2311,182,13927,3249,38423,1997,13008,3649,1648,470,1394,411,64242,3750,26464,574,4996,2213,813,392,734,230,40164,20357,20466,3148,6783,26618,10561,2569,4815,1122,96427,5662,17193,1724,24881,8345,3112,1051,3311,773,66044,1616,5747,1514,1406,1926,1483,379,928,164,15167
5,3171,38907,2292,11944,4993,2045,443,1320,438,65556,3861,29520,639,10957,3981,1459,251,974,321,51962,13110,17867,1910,7172,32400,9437,890,3691,876,87352,4916,15847,1440,19269,8854,3095,465,2641,605,57136,1582,4839,934,1709,2538,1794,178,670,121,14377,2515,798,6907,5344,4446,3278,484,2063,238,26083,45,42,31,120,97,97,15,127,14,592,452,891,201,589,775,323,105,253,108,3694,627,849,425,1407,1392,1058,208,948,1067,7989,34120,122623,19955,61558,64702,25412,3937,15303,4147,351754,3841,13387,3430,1942,2372,1406,753,1305,309,28743,2979,8497,2888,934,1980,1125,911,1308,332,20949,19517,26099,73511,4201,6506,4639,14995,11708,2271,163441,6005,4395,25809,1183,1992,1341,3591,5018,726,50062,3883,3280,3616,847,1369,961,1549,2553,216,18268,5133,52045,3384,14559,5514,2448,1206,2035,679,86999,6057,38105,1355,11894,4481,1743,1058,1464,470,66619,30791,35719,5658,10333,39639,14897,4781,6870,1793,150486,8527,24690,2991,25608,10930,4295,1868,4377,1004,84290,2660,8313,2670,2499,3210,2709,798,1531,215,24612
6,552,7934,381,2222,727,313,24,186,62,12400,732,5796,88,1620,569,174,17,101,52,9148,2192,2270,266,1182,6363,1760,92,622,200,14952,1033,3138,364,5887,1703,632,60,576,179,13579,278,892,155,354,370,242,22,87,23,2432,490,140,1678,1181,769,634,42,534,51,5517,7,9,0,10,11,14,3,14,12,96,109,211,40,107,151,54,17,33,21,751,149,195,103,389,317,273,25,325,169,1942,6252,22327,3792,13424,11749,4434,394,3015,843,66233,620,2175,491,266,369,121,56,182,45,4315,397,1182,565,134,288,178,86,174,49,3064,2525,2562,9704,730,1019,750,2158,2017,336,21803,2231,634,4941,246,342,305,578,848,149,10273,1468,819,951,252,274,215,335,848,72,5234,787,10662,483,2725,831,359,95,269,89,16300,1139,7837,207,1856,669,233,84,180,79,12278,4818,4530,771,1619,7704,2609,558,1091,345,24051,1723,4802,609,7445,2136,817,201,821,269,18823,489,1563,422,522,501,374,84,205,39,4190
7,319,3794,129,862,462,142,26,120,58,5916,437,2787,46,728,316,73,9,68,33,4501,1461,1316,130,654,3100,709,70,253,108,7793,621,1694,107,1896,937,233,28,188,70,5782,144,348,42,130,176,91,6,38,6,995,205,98,479,427,478,216,25,184,30,2142,0,15,7,10,8,4,0,19,10,67,52,93,22,82,93,26,4,11,12,407,82,154,57,233,211,119,20,137,187,1195,3699,11174,1401,5299,6281,1791,252,1285,552,31726,274,801,198,130,170,51,22,76,19,1737,228,486,268,111,181,92,64,97,23,1558,1503,1807,6974,673,576,333,1031,965,242,14099,689,269,1925,200,137,80,305,570,99,4280,348,430,308,179,241,81,110,324,32,2046,493,5040,225,1158,529,167,85,187,82,7969,680,3604,138,897,389,86,64,117,55,6030,2829,2216,481,1203,3703,1031,354,493,190,12495,1037,2549,245,3115,1182,314,131,311,137,9032,246,558,199,204,219,124,35,95,15,1694
8,594,6159,271,1321,937,196,13,78,96,9659,785,4892,63,1037,705,124,11,81,83,7790,3815,4492,224,1159,6686,1132,39,344,408,18302,3188,7602,279,3195,3542,479,33,259,428,19003,688,1651,143,315,818,258,12,56,79,4030,316,163,797,591,751,292,15,140,60,3132,10,10,0,6,5,6,0,7,3,49,282,375,26,157,339,61,6,34,61,1345,97,182,48,163,250,84,0,56,176,1052,11426,29709,2548,8548,15666,3060,191,1285,1618,74045,1655,4356,517,472,1147,229,57,161,215,8806,1996,6628,890,333,914,304,130,209,317,11718,2257,3832,4299,596,1034,423,671,778,261,14154,1322,820,3222,165,431,187,198,501,111,6953,492,705,577,143,417,94,69,176,53,2737,888,8393,374,1770,1092,240,50,136,145,13097,1134,6434,119,1269,873,171,47,160,117,10325,8058,8788,757,1880,9077,1899,315,775,775,32321,6151,12930,643,4974,5154,809,188,556,811,32210,1139,2917,478,517,1127,426,63,176,132,6972
9,3,29,0,17,15,3,0,3,0,69,9,44,4,20,5,0,0,3,0,88,40,13,3,34,70,9,3,15,0,187,10,18,0,26,11,6,0,5,0,77,6,5,0,0,0,3,0,3,0,23,3,0,13,8,5,3,0,7,0,49,0,0,0,0,0,0,0,0,0,5,0,0,4,0,3,0,0,0,0,5,7,3,5,10,4,4,0,7,6,43,91,133,36,128,119,37,6,42,8,599,7,11,3,6,5,0,0,7,3,45,3,3,6,3,3,0,0,4,0,21,43,27,131,10,5,5,31,28,4,284,18,3,51,6,0,0,7,12,0,99,11,9,14,0,7,3,0,12,5,47,10,39,3,18,15,3,0,3,0,91,23,65,7,21,5,0,0,5,0,126,80,22,10,44,77,13,0,20,4,265,23,27,3,53,17,6,0,3,3,136,6,7,4,3,0,3,0,3,3,32
