STE_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
1,95324,64107,45773,24800,7202,1658,344490,2028,18728,23809,22026,22241,11117,2803,589,103340,76916,285760,231366,160657,121836,68090,24753,7497,976888,35375,105036,114958,113087,90720,54643,22018,7298,543142,86280,176871,168140,175382,144048,91645,43008,13682,899055,12722,12210,12181,12111,10013,5611,1574,497,66918,8722,14831,20663,27437,28537,22268,9060,3459,134981,107722,203909,200986,214925,182601,119520,53644,17639,1100959,3718,8803,8893,9779,10796,9483,4849,2054,58379,76568,90463,76955,78516,79247,77799,62407,40950,582903,308141,812517,752300,663104,553219,365449,177682,77686,3710095
2,71671,45490,31264,16878,4682,1067,260039,2445,23971,28895,26958,23068,10831,2558,507,119226,69140,245618,192904,126445,90718,49907,17897,5638,798270,34324,96927,93692,86879,68202,43704,17424,5879,447023,71959,146312,129685,137905,105963,63258,29709,9341,694138,9379,8897,8258,7508,5811,3131,785,247,44019,6310,11761,14229,16154,14788,10733,4408,1912,80289,87650,166969,152169,161569,126563,77119,34911,11503,818449,2787,6681,6127,5748,5680,5386,3031,1359,36803,60245,70439,59249,60238,60037,60032,47308,28696,446245,262350,693843,604704,513320,405528,263848,127814,54646,2926054
3,36194,28560,20332,10841,2987,609,134242,1762,12633,15940,15990,12733,5886,1557,240,66741,39454,137277,120800,85181,60045,34782,11776,3115,492427,24654,60602,70343,72189,55495,32426,11727,3179,330619,79720,143932,132564,130064,105405,64113,25898,6723,688423,15747,9561,7350,6154,4746,2647,659,159,47018,6862,10391,12930,13767,13092,9636,3802,1182,71665,102329,163888,152845,149979,123237,76401,30353,8071,807105,2058,4056,4168,4544,4563,4453,2512,874,27234,54405,58965,53194,55729,52780,49410,36280,21988,382748,226555,470255,453484,412164,329183,214206,97196,38077,2241124
4,13378,9527,7515,4527,1423,325,50993,458,4054,5467,5616,5721,3001,681,127,25129,13361,49802,42256,29035,24125,14991,5024,1785,180390,5332,18722,22116,25267,22585,14368,4947,1762,115102,23516,46959,41169,44653,36982,23609,11191,3558,231643,4886,4746,3577,2773,2104,1132,313,90,19628,2049,3504,4777,5307,5197,4066,1669,658,27225,30451,55212,49520,52741,44285,28813,13171,4312,278498,713,1592,1613,1732,1796,1823,1052,512,10832,14813,15272,14297,16319,16787,17014,13824,9168,117488,65848,158224,148651,140237,122817,84531,40121,17989,778427
5,21748,15532,10441,5594,1637,352,76660,915,8095,9630,9100,7056,2913,729,149,38581,22347,88044,72367,50233,34326,18973,6879,1845,295027,11407,35231,37096,36830,30019,18025,7062,1959,177631,37109,77965,66183,65614,50420,28970,12672,3255,342195,8020,5509,4149,3391,2524,1321,393,120,25437,2999,5790,7640,8135,7321,5257,2195,719,40060,48127,89267,77971,77143,60266,35558,15259,4099,407695,1145,2950,2829,2817,2680,2462,1292,483,16662,26809,37516,31303,30341,27365,23867,18796,11595,207595,111762,281458,252950,221993,172151,107384,51656,20491,1219843
6,2923,2796,2549,1690,455,118,13408,140,1168,1480,1824,1710,934,224,44,7529,2544,10304,10076,8412,8287,5053,1656,585,46931,1070,3905,5568,6892,6707,4775,2002,572,31487,7399,14633,13222,14337,12953,7475,3348,900,74272,1879,1588,1069,904,709,373,107,41,6665,689,1052,1370,1637,1821,1263,589,216,8630,9968,17267,15663,16878,15477,9109,4047,1155,89567,151,320,326,424,502,594,403,139,2866,5357,4547,4571,5834,6753,7262,5327,2518,42172,19374,40239,40597,43065,41993,29422,14120,5137,233961
7,1700,1286,1021,422,78,3,6298,56,830,915,831,647,191,35,0,3519,1157,7267,5235,3429,2492,1022,243,52,20899,599,2901,3070,3098,2127,816,229,27,12854,3217,8254,6294,5786,3910,1632,426,80,29592,755,730,512,425,244,78,11,3,2765,331,684,682,630,475,252,65,20,3132,4303,9669,7494,6841,4627,1960,500,99,35487,96,253,221,208,168,90,50,11,1088,5814,7621,5728,5192,3885,2130,771,249,31393,12092,30253,24366,20883,14961,6638,1903,445,111547
8,9761,7140,5070,2841,914,234,34819,242,2808,3014,2963,2626,1444,280,39,13412,6224,21220,16073,11230,8665,5498,2121,653,71685,1753,6060,6577,6170,4648,2954,1196,396,29758,4224,8665,7115,6215,4534,2706,1339,427,35224,875,642,497,381,295,186,79,36,2997,373,548,859,1032,1102,949,379,153,5399,5471,9863,8464,7626,5935,3849,1798,620,43625,183,408,382,404,402,424,230,105,2548,3493,4595,3600,3176,2845,2541,2039,1508,23803,17764,53433,47867,38713,30188,19543,8579,3556,219643
9,25,11,13,7,5,0,76,4,9,18,13,7,6,0,0,56,15,68,86,42,64,33,5,5,328,6,50,71,61,54,22,7,3,279,39,94,116,146,132,57,18,3,609,17,14,14,7,8,8,0,0,58,6,13,20,20,21,16,4,3,99,59,120,150,174,156,81,20,9,765,4,6,5,10,3,0,3,0,26,117,173,128,149,127,89,54,11,842,207,439,482,458,421,239,97,26,2374
