STE_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
1,36325,1260,379,1645,37972,8906,183,47059,239,55,4,147,444,10,4,17,462,62,530,1054,145443,19440,2419,2997,170296,3975,1065,5042,175338,15077,910,191327,33886,3490,389,265,38030,678,164,839,38874,2086,37,41003,35389,4827,483,360,41055,633,151,784,41837,1708,46,43591,939,167,259,26,1399,16,0,18,1415,92,0,1506,446,61,11,544,1066,28,11,35,1096,89,42,1234,70662,8541,1148,1199,81545,1352,322,1681,83223,3978,133,87334,946,176,15,29,1160,209,28,233,1400,134,0,1532,1573,299,25,50,1952,167,86,253,2202,167,4,2372,2519,470,41,78,3113,377,108,490,3596,300,3,3908,73183,9014,1184,1275,84657,1735,432,2165,86822,4279,134,91237,16433,3379,368,542,20723,704,237,945,21664,5794,101,27563,139,37,3,94,281,8,4,9,290,31,318,640,89752,12430,1559,1914,105661,2441,681,3123,108783,10106,554,119442,47809,4856,598,412,53671,1071,235,1301,54972,3210,47,58235,44727,6639,654,494,52513,833,190,1020,53534,2506,64,56104
2,28482,1103,298,1403,29883,6158,118,36156,201,36,9,151,389,8,0,6,400,46,349,791,115308,15075,1912,2436,134739,3454,829,4283,139021,10849,657,150523,23152,2625,266,174,26220,585,121,705,26922,1421,37,28381,31903,3889,413,326,36531,514,126,638,37169,1363,42,38579,782,127,183,4,1099,31,3,37,1134,54,0,1195,376,66,5,443,892,28,5,32,929,54,24,1010,56216,6711,866,949,64741,1153,258,1413,66155,2899,107,69166,709,144,12,22,890,208,22,230,1115,109,4,1229,1280,211,14,28,1535,153,73,228,1764,125,3,1895,1993,352,28,54,2426,361,97,460,2878,233,3,3121,58209,7061,895,1003,67162,1519,355,1870,69033,3137,111,72282,12867,2284,260,411,15816,611,180,788,16608,3981,74,20660,123,28,4,61,215,9,0,9,218,30,229,483,71196,9377,1157,1472,83199,2135,534,2664,85866,7144,414,93424,33951,3731,438,263,38389,856,180,1045,39425,2174,53,41659,41690,5364,627,432,48116,738,136,875,48989,2139,58,51188
3,20991,1079,204,1286,22279,4873,81,27232,131,25,0,78,235,7,0,3,245,26,340,612,92124,11786,1905,1842,107665,3449,629,4082,111744,9316,566,121619,21366,2322,280,162,24130,580,84,662,24794,1345,32,26171,22744,3052,418,209,26421,533,79,614,27031,1211,32,28274,627,123,179,13,943,24,8,29,969,69,0,1038,278,40,7,325,653,21,4,29,675,62,13,754,45015,5537,887,706,52147,1158,167,1324,53473,2684,79,56231,780,135,13,28,958,242,8,255,1206,145,3,1352,1025,187,26,43,1282,134,50,186,1472,106,0,1580,1806,321,42,73,2239,375,65,438,2677,249,4,2928,46827,5856,930,781,54383,1539,234,1765,56156,2928,79,59166,9487,1551,283,308,11628,606,119,725,12350,3180,41,15572,85,10,4,63,154,6,0,6,164,23,194,379,56395,7417,1217,1145,66171,2154,344,2497,68666,6134,317,75120,29959,2947,463,228,33604,830,154,983,34590,1817,25,36433,27946,3921,549,277,32692,729,106,835,33525,1599,26,35153
4,6341,348,85,431,6773,1900,11,8684,42,16,0,21,78,0,0,3,86,4,100,190,29229,4422,600,522,34772,1186,234,1419,36190,3244,153,39598,6049,741,87,41,6916,160,31,192,7110,407,4,7515,8870,1238,111,65,10287,181,42,223,10514,414,11,10937,236,28,80,5,348,10,3,9,356,21,0,380,88,5,6,93,196,3,3,9,198,28,8,233,15244,2012,280,207,17748,359,78,435,18182,868,18,19061,198,52,10,5,272,72,5,79,349,31,0,379,307,55,8,13,374,43,7,48,424,37,0,460,509,107,15,18,647,116,13,129,774,64,0,843,15751,2122,298,225,18395,473,91,562,18954,934,19,19899,2922,570,81,90,3657,187,53,238,3898,1209,16,5125,32,7,0,11,54,3,0,3,53,0,52,111,18698,2705,381,321,22103,656,143,802,22903,2142,81,25133,9291,1119,131,59,10599,270,52,316,10917,579,4,11505,11269,1739,224,104,13337,251,48,292,13633,634,12,14283
5,12526,695,117,813,13335,2141,45,15523,69,15,5,38,133,3,7,10,137,22,170,332,48139,5878,1264,950,56236,2267,339,2604,58835,3970,276,63081,8988,999,167,52,10211,406,58,458,10674,537,11,11225,12699,1640,261,117,14725,382,47,426,15152,511,7,15672,314,64,109,4,489,19,0,19,504,23,0,528,122,20,5,167,319,5,3,8,329,32,14,377,22131,2727,542,347,25747,811,104,916,26663,1099,36,27797,422,40,14,10,484,136,7,148,634,45,5,678,702,96,29,15,845,97,26,128,965,49,0,1020,1120,139,41,24,1325,241,33,276,1601,96,7,1700,23250,2862,590,369,27067,1050,143,1189,28262,1194,41,29494,5602,757,204,147,6702,379,61,443,7146,1352,25,8524,43,3,0,26,79,6,0,4,80,12,105,196,28893,3624,791,549,33854,1432,206,1637,35486,2557,173,38218,13632,1526,263,99,15511,549,81,631,16148,828,11,16979,16351,2228,338,156,19072,582,81,660,19733,721,14,20470
6,1943,133,20,152,2092,729,7,2828,35,5,3,0,42,0,0,0,42,4,28,76,8674,1394,208,153,10426,308,68,381,10806,1253,41,12094,1699,252,18,13,1985,31,16,48,2032,127,0,2158,2626,390,60,25,3101,62,13,75,3174,175,6,3356,76,21,33,3,129,0,4,4,127,11,0,142,21,8,0,25,45,0,0,0,45,5,0,56,4419,669,112,59,5262,96,31,126,5386,312,10,5700,33,13,0,0,47,17,0,17,62,13,0,80,76,16,3,3,95,15,3,15,110,14,0,126,107,31,3,4,144,31,3,38,176,25,0,200,4526,700,116,63,5398,127,33,161,5558,337,10,5903,840,193,31,31,1092,60,14,68,1157,445,5,1605,12,3,0,0,18,0,0,0,18,3,12,37,5372,896,147,96,6508,186,45,231,6742,787,29,7553,2526,375,51,20,2968,50,10,66,3038,181,3,3220,3297,603,49,35,3985,67,9,81,4064,247,3,4316
7,796,91,24,116,910,682,4,1595,10,0,0,3,16,0,0,0,16,12,63,90,3682,518,101,123,4419,279,60,340,4762,981,74,5812,1286,104,16,12,1416,30,7,35,1453,94,0,1546,561,106,11,6,684,23,3,31,714,67,0,781,26,9,17,0,56,4,0,4,55,5,0,60,15,0,0,19,35,0,4,3,42,7,0,49,1892,217,50,35,2190,59,10,69,2267,172,0,2439,40,0,0,0,43,63,0,63,109,16,0,123,21,9,0,0,26,4,16,22,47,12,0,53,61,6,0,0,72,69,16,85,156,24,0,178,1953,223,54,35,2264,132,26,157,2421,195,0,2615,283,76,7,18,384,59,8,66,448,417,0,870,5,0,0,8,12,0,0,0,12,8,43,55,2240,299,61,60,2655,185,33,220,2881,622,40,3542,1599,118,30,14,1762,31,4,35,1795,93,0,1888,568,112,17,6,697,15,6,23,716,55,0,770
8,1171,22,9,30,1201,193,4,1390,16,5,0,9,28,0,0,0,28,3,12,45,8268,917,116,100,9404,136,40,172,9577,486,27,10086,2475,262,37,6,2774,47,8,60,2836,110,0,2947,1747,172,25,9,1953,25,5,29,1984,68,3,2059,60,10,14,3,83,3,0,3,87,3,0,99,23,0,0,18,40,0,0,0,40,0,0,45,4304,446,77,38,4858,77,18,95,4956,181,4,5139,47,11,0,0,56,5,0,5,57,6,0,60,58,4,0,0,62,3,0,9,63,0,0,70,101,9,0,0,110,13,0,12,123,3,0,128,4400,454,80,34,4969,90,22,107,5077,182,7,5273,562,66,18,9,660,13,7,17,678,113,0,795,15,0,0,5,15,0,0,0,15,0,13,33,4973,525,96,53,5645,100,22,124,5776,297,19,6091,3744,350,49,18,4161,50,8,60,4218,216,3,4443,2073,250,34,20,2376,25,4,32,2406,70,6,2475
9,21,0,0,0,21,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,86,9,3,0,96,0,0,0,96,4,0,100,39,0,0,0,40,0,0,0,40,0,0,40,11,3,0,0,13,0,0,0,13,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,3,0,0,57,0,0,0,57,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,0,57,0,0,0,57,3,0,58,4,3,0,0,8,0,0,0,8,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,53,6,0,0,65,0,0,0,65,3,0,70,25,0,0,0,28,0,0,0,28,0,0,28,8,0,0,0,6,0,0,0,6,3,0,12
