STE_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
1,456,1713,152,142,288,2004,3120,1802,6923,88881,64770,7638,161287,7985,8268,16256,177541,129819,3544,310906
2,364,1456,102,124,227,1682,2321,1349,5354,65509,53863,6067,125443,5958,6277,12235,137678,94233,2690,234596
3,329,1137,108,90,197,1335,1597,1067,4002,60030,44326,5150,109509,7668,6251,13920,123430,75815,2062,201308
4,85,366,35,29,66,431,694,431,1551,19611,17706,1856,39174,2316,2052,4374,43545,28832,753,73128
5,130,469,47,42,88,555,756,553,1862,28142,22139,2512,52791,3577,3004,6588,59379,32939,1030,93344
6,28,116,13,16,25,144,235,132,505,5773,5887,676,12334,646,660,1302,13636,9517,267,23423
7,22,91,11,8,23,111,178,163,453,3093,1148,294,4542,355,182,533,5073,3249,234,8558
8,8,51,0,0,0,51,68,32,154,6171,2687,425,9275,261,212,472,9748,4295,88,14129
9,0,0,0,0,0,3,3,3,9,53,27,7,92,0,3,6,95,43,4,145
