STE_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
1,77952,159473,411531,400397,370895,270148,75983,11083,1588,1779049,549,1178,2698,3338,4756,4672,3311,977,142,21620,37,271,1254,1077,854,317,56,3,4,3869,2352,3713,11743,14049,15170,9456,1614,145,27,58273,53,280,1405,1971,1831,877,114,5,0,6536,610,2375,8633,9864,8922,5126,1101,131,15,36769,651,2474,9395,10115,9004,5134,1048,90,15,37925,24554,29423,37728,31382,33014,22333,4721,406,55,183611,30758,23614,26308,16613,16626,11007,2155,172,35,127288,562,2340,7645,8918,9790,6355,1220,92,11,36936,1086,2942,9230,7854,5221,2560,539,49,6,29480,676,5430,25226,24248,17313,8126,1266,115,40,82434,878,3146,7661,6772,6101,3720,1175,180,22,29651,1711,11111,37304,31795,24073,13846,3866,333,39,124071,968,4771,14691,14102,14862,9900,2321,224,19,61858,786,4184,19900,24980,24136,14549,2244,123,22,90925,4289,13449,41261,45966,49694,38020,7236,541,54,200508,5549,25457,72151,69176,79041,63382,12462,738,72,328016,2322,3502,5645,4890,4185,2514,780,97,15,23954,2867,6384,14002,12648,11719,7192,1740,170,14,56746
2,59323,130963,344124,322853,299052,214118,59890,8427,1365,1440118,472,1041,2606,3285,4161,4068,2555,712,84,18981,9,63,390,520,380,203,29,0,3,1604,3200,4137,11978,14401,15787,9670,1686,131,18,60994,60,477,2715,2490,1763,796,96,7,0,8397,358,1742,6547,7158,6916,3732,796,79,16,27340,622,2383,7528,8074,7861,4183,792,60,9,31520,20760,28065,32839,25682,28052,18001,3534,270,34,157246,23972,20208,19848,11974,11546,7102,1406,123,36,96199,361,2067,6899,7355,7953,4781,847,64,19,30341,850,1972,6098,5160,3726,1856,352,15,13,20048,282,3305,16551,15106,11140,5188,913,76,24,52594,476,2327,6271,4872,4298,2496,759,90,25,21618,877,7521,30104,25333,19210,10454,2840,228,31,96600,610,3793,11936,10629,11189,7427,1734,172,27,47516,449,3064,15562,18746,18864,11955,2181,165,27,71014,2966,9895,36598,38284,41969,30154,5165,317,68,165409,2704,19407,64728,58947,64811,50198,9388,518,96,270795,2490,3900,5954,4847,4087,2381,750,67,18,24507,1618,5267,11848,9588,9423,5601,1378,107,18,44851
3,59210,105723,245198,244208,236843,167376,44741,5959,734,1109975,665,1655,3545,3438,4142,3813,2226,590,65,20138,87,537,2667,2228,1582,643,74,3,3,7830,1923,2528,6616,7734,8707,5214,1016,77,9,33811,61,255,1390,1661,1315,675,71,7,0,5432,567,1705,5746,6578,6449,3809,785,56,3,25711,590,1446,3996,4451,4618,2496,518,40,3,18160,20037,19752,22931,20150,22293,14869,3176,193,23,123428,24314,16152,17729,11591,10858,6821,1394,107,20,88985,461,1762,5684,6209,6987,4280,968,96,6,26451,753,1461,2577,2188,1970,1127,228,15,4,10317,408,2300,8810,8336,6772,3474,522,57,10,30697,761,2315,4955,4651,4989,3504,1087,143,22,22439,1444,6389,16864,16240,12632,7126,1849,130,11,62686,924,3380,9221,9296,9768,6613,1470,123,17,40816,615,3311,14117,17482,16495,9201,1200,66,7,62499,2604,8008,26145,35897,38598,24505,3945,256,19,139985,4373,17903,47493,47306,53526,39709,6812,308,25,217453,1764,2337,3609,3323,2938,1799,532,68,9,16368,2261,4671,9758,8574,7965,4777,1169,86,3,39257
4,17091,34740,82815,81994,85267,65182,17610,2461,370,387522,193,444,1057,1459,1890,1792,1058,276,27,8198,4,73,439,349,326,157,30,7,0,1379,921,1146,2885,3466,4041,2578,496,45,14,15588,10,106,628,574,516,259,36,4,7,2149,152,517,1500,1644,1856,1234,326,32,5,7271,158,433,1283,1437,1638,977,219,20,0,6151,6969,7563,8285,6877,8492,5559,1108,82,9,44949,7360,5816,5291,3469,3510,2219,476,31,4,28183,82,435,1202,1370,1753,1160,265,29,0,6299,223,425,1072,800,631,455,125,11,0,3737,108,691,3052,3169,3001,1655,246,22,5,11950,127,452,1129,1073,1218,853,263,39,4,5163,243,1452,4894,4866,4156,2671,704,63,5,19059,211,945,2971,2989,3792,2661,620,44,11,14250,124,981,5317,6742,6693,4346,552,21,4,24796,657,2589,8849,10427,11636,9301,1725,104,14,45305,968,6130,18405,17998,22130,18280,2937,120,22,86988,515,757,1011,940,894,612,189,33,3,4962,514,1465,3077,2731,2907,1952,499,45,3,13205
5,27633,54434,147116,137821,131201,91972,25654,3366,391,619602,215,513,1407,1588,1989,1803,1088,260,26,8875,71,788,4826,3692,2736,1070,122,9,5,13313,1070,1273,3707,3810,3847,2407,433,44,3,16597,11,173,1029,934,823,419,41,5,4,3435,269,1191,4529,4178,3709,2165,435,32,0,16508,229,817,2252,2076,2287,1341,279,34,3,9319,10205,10709,12435,10569,12201,7936,1568,114,8,65759,10181,7741,9442,5483,4974,3085,596,61,8,41569,254,1070,2928,2817,3146,2193,466,36,8,12918,367,588,1162,897,766,496,141,19,0,4441,163,1079,4476,3795,3476,1862,292,31,4,15179,261,1102,2573,2283,2433,1679,535,61,5,10915,431,2545,9502,8147,6715,3758,1004,85,11,32195,369,1638,4891,4614,4622,3107,722,65,7,20036,330,1752,7781,8420,8899,5950,951,39,11,34128,1227,3926,13323,18109,20952,14257,2511,160,20,74485,1714,8587,24967,23425,25419,20479,4033,211,23,108866,932,1347,2177,1841,1608,1075,296,27,3,9300,1164,2592,5758,4378,4294,2550,579,59,5,21391
6,5526,9621,21291,22067,25297,20499,5287,795,111,110489,92,174,469,573,721,608,268,78,4,2993,0,16,40,44,51,28,6,3,0,182,316,361,588,745,952,672,95,11,0,3731,5,40,228,254,216,106,10,0,0,855,30,108,267,404,413,318,81,4,0,1626,63,90,232,271,360,234,28,8,0,1287,2125,1989,2388,2346,2683,1747,352,35,3,13674,2299,1745,1862,1362,1460,959,229,11,3,9931,47,119,313,437,569,451,115,13,0,2069,76,139,328,239,264,205,31,3,0,1278,43,214,753,728,603,394,41,4,3,2790,37,167,272,294,361,246,70,14,0,1459,106,317,1073,1144,1069,738,203,9,4,4665,84,239,657,754,944,716,150,20,0,3559,66,318,1710,2457,2619,1683,195,7,0,9051,120,541,2288,3506,4047,3082,488,25,3,14100,351,1701,4431,4683,6624,5674,843,43,10,24355,186,229,370,384,376,299,65,7,0,1921,182,446,859,851,839,517,141,18,3,3859
7,2346,5115,14702,12277,11043,7549,1878,184,19,55115,40,120,156,109,150,85,29,10,0,711,4,29,115,97,95,37,0,0,0,376,61,50,124,141,133,63,13,3,0,589,5,25,113,135,99,53,3,0,0,431,25,107,447,396,318,198,40,0,0,1539,23,60,145,104,103,58,17,0,0,520,593,563,917,727,722,492,114,5,0,4139,556,567,1128,587,518,315,71,5,0,3754,28,98,285,239,289,147,24,4,0,1116,35,44,134,99,51,43,9,0,0,412,13,77,278,193,136,57,9,0,0,771,20,108,251,159,156,108,36,4,0,846,46,162,717,581,499,303,73,4,0,2375,28,166,438,399,421,222,55,5,0,1728,102,639,2186,2059,1956,1196,189,6,0,8335,117,372,1595,1732,1718,1211,211,20,0,6974,163,598,2446,1945,1742,1246,263,15,0,8417,100,113,305,230,200,119,36,3,0,1106,94,179,481,381,365,198,50,4,0,1746
8,5004,10517,26724,24834,21041,12749,3428,388,44,104720,3,15,49,39,35,37,22,7,5,213,0,0,7,3,3,3,0,0,0,19,161,88,181,191,169,117,55,8,0,965,4,41,151,110,62,22,6,0,0,402,33,114,302,319,291,135,49,3,0,1249,28,61,109,121,123,54,19,0,0,518,1564,1710,1548,989,926,690,201,18,0,7644,1977,1556,1195,649,514,326,59,7,0,6286,28,91,261,248,237,178,35,0,0,1076,87,171,377,351,273,170,40,3,0,1475,26,164,548,399,301,195,41,3,4,1684,49,200,388,285,218,157,60,9,0,1372,118,833,2332,2008,1485,866,215,18,3,7883,48,225,694,556,576,370,86,10,0,2568,194,1581,8882,8951,7904,3561,371,13,0,31468,433,946,2864,3140,3029,2010,430,34,3,12895,407,1644,4315,3462,3341,2408,467,30,6,16069,226,289,422,357,301,205,53,6,0,1853,207,445,761,686,612,336,101,3,0,3153
9,30,69,179,236,277,251,122,21,3,1188,0,0,3,0,0,0,0,3,0,9,0,0,10,3,3,3,0,0,0,19,0,0,3,3,6,4,0,0,0,19,0,3,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,9,12,3,12,13,28,26,20,5,0,121,11,9,30,27,35,27,12,0,0,156,0,0,8,8,12,6,0,0,0,33,0,0,0,3,0,5,0,0,0,7,0,0,4,8,3,3,0,0,0,22,0,0,0,3,5,6,0,0,0,17,0,0,4,10,3,3,0,0,0,25,3,0,8,24,17,15,3,0,0,80,3,12,34,34,31,30,9,0,0,149,3,5,26,28,26,24,8,0,0,120,4,3,7,22,29,22,11,0,0,90,3,3,8,10,0,3,5,0,0,33,0,0,3,7,10,3,0,0,0,25
