STE_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
1,2995,15388,13075,12957,24357,24289,11969,17956,1494,124477,4707,14840,13276,11817,25662,29146,9493,17680,32491,159108,107652,364637,352817,353702,645428,677232,307523,504342,67003,3380332
2,2500,13108,10458,11037,20072,18448,8955,12540,1139,98254,4224,12831,10183,10002,21932,23065,7697,13951,25455,129326,91630,329396,286191,305282,511004,533393,251609,374556,53063,2736125
3,2116,10564,8150,10058,16608,14785,8055,12249,900,83470,3013,8875,6541,7669,14527,15097,5669,12663,17459,91505,73004,235001,201035,255714,410236,367068,201274,354621,38511,2136455
4,844,3957,2906,3665,6304,4911,2767,3464,286,29099,987,2814,1798,2211,4118,3378,1400,2635,5145,24488,28535,95282,77283,97844,153550,115449,68498,97619,12047,746105
5,1290,6244,4661,5108,8573,8437,4283,6777,490,45857,2030,5640,3891,3885,7656,9649,3702,7880,8815,53143,45846,138263,114814,123517,198785,206403,109800,200293,20014,1157735
6,236,1163,909,1035,1680,1369,703,936,85,8120,380,875,556,683,1090,1025,395,727,1632,7381,9415,28693,24125,28779,42568,33466,18739,27050,3748,216583
7,125,377,322,392,982,865,367,655,108,4187,223,279,200,269,707,735,287,803,1225,4720,4504,6735,6327,8431,22238,19445,10325,22094,2605,102708
8,149,816,613,678,1276,1032,621,853,70,6111,185,598,369,373,798,908,349,557,1226,5363,8482,20602,16499,19962,46946,41456,21483,27173,3022,205626
9,5,5,7,4,8,9,3,8,3,58,4,13,7,10,16,16,4,12,24,110,122,213,149,209,501,331,236,341,69,2170
