STE_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
1,2207,8304,7010,6082,9183,8532,2419,3757,13321,60817,64865,234240,235935,233071,308221,257734,104063,134932,28228,1601282,2227,6442,5714,6914,7354,11783,5520,25297,1374,72625,1521,584,788,1051,4329,5051,6199,11775,426,31736,4524,10413,11444,12722,52093,46877,25165,32289,1818,197331,960,720,1141,1592,9157,8936,3771,5315,293,31881,6535,15449,18547,21471,40042,80998,32557,62829,4069,282491,2182,5019,6172,6588,24261,27415,12827,18529,721,103722,10269,64967,48549,43201,58806,42079,22081,32593,3850,326396,6844,64182,43127,30494,29566,23265,13087,25146,3505,239222,5406,10025,12214,14954,30350,32596,17263,33630,2326,158760,1945,4591,4234,4532,16011,19903,8622,13082,487,73398,5987,5525,9846,12339,36723,47167,18585,29882,1200,167259,1459,4907,4891,4834,10510,14002,6508,12048,486,59652,6783,21073,21995,22529,44911,72348,29405,53204,1836,274078,3404,18244,17309,14818,21538,21094,7868,11683,1528,117482,9913,8285,12491,14761,66515,42005,26134,22254,1808,204173,10206,42430,34784,36086,50251,44858,22892,38559,2493,282568,17990,40445,67137,73872,85410,75082,23888,34192,4186,422195,1801,11101,6080,6176,7574,8343,3684,6400,629,51775
2,1998,7320,5449,5177,7242,6162,1795,2703,10587,48434,55788,214622,196164,204006,235395,185906,82591,98895,22643,1296007,2224,5939,4808,5912,6597,9788,4721,19767,1151,60913,605,271,300,303,934,1621,1286,3723,92,9139,5203,12123,11831,13952,57368,51449,28228,30645,1927,212723,1131,902,1316,1696,8429,8382,3865,4832,253,30808,5800,11365,12263,16915,35223,69295,27509,46581,3200,228149,2161,5238,5832,6291,20677,22360,10971,14190,602,88321,8683,63624,39306,35985,47985,35209,19533,26119,3190,279636,5051,56644,30272,21436,20152,16029,10062,18286,2890,180825,4459,7579,9575,12651,24769,28157,15620,25398,1867,130069,1466,3939,3444,3810,11924,13543,5907,7742,427,52200,4002,3819,7151,8416,22265,32229,11443,16587,751,106669,1136,3599,3488,3543,7978,9282,4807,8798,374,43013,5846,18188,17249,19440,36964,56739,23462,38068,1459,217402,2767,15878,14143,12219,17559,14834,6196,8496,1220,93315,7829,8593,11552,13646,37692,32219,16954,14666,1168,144321,8014,35674,30538,30722,41940,33528,20788,33130,1942,236276,16744,37234,56353,71041,63156,49439,19865,24816,3353,341999,1789,12856,6132,6256,7376,7795,3747,6219,599,52765
3,1281,5180,3584,4012,4763,4132,1279,2473,7303,34008,42229,153991,139541,172725,204377,139000,66976,91037,16602,1026477,1574,4811,4172,5708,5989,9177,4571,23537,1063,60608,3357,856,996,1221,4052,5433,8477,24952,646,49997,2971,6384,5913,8817,33540,28406,19054,22487,1206,128787,866,572,788,1222,5319,6845,3306,4809,152,23883,4890,9836,9715,14955,26725,46697,24837,51294,2385,191338,1228,2926,2930,4026,13368,13103,7701,10682,399,56370,6181,44118,28587,31776,39584,22318,14943,22136,2140,211778,4085,44015,24133,23111,18837,13333,9113,17847,2189,156670,4129,5950,7539,10623,20868,19479,12657,25304,1534,108083,736,2171,1763,2290,6434,5096,2590,3985,185,25265,2044,2345,3732,5045,14039,12587,5648,8514,334,54286,956,3725,3187,4050,7984,8380,4330,9550,342,42500,3530,11922,10721,12432,23146,30734,13970,26353,843,133652,2210,12572,10489,10489,13610,11146,5143,8758,916,75336,7386,5313,7406,9809,43865,31356,17556,16162,1310,140164,7349,26711,21909,32812,32551,26468,15416,27437,1480,192143,13248,24040,38484,54929,63644,41943,15910,22131,2615,276945,1151,7282,3871,4662,5531,4692,2309,3772,394,33667
4,418,1571,949,1092,1186,815,300,504,2170,9016,16808,62036,54370,65600,70432,38260,21202,24604,5271,358582,1194,2813,2177,3027,3522,5041,2754,9056,501,30084,685,206,281,277,851,1138,1195,4497,107,9222,1581,3562,3143,4511,17397,12608,8391,7908,482,59579,365,316,369,560,2454,2262,1303,1461,76,9164,1612,3691,3226,5282,9640,14345,6952,11215,665,56635,574,1321,1185,1646,5354,4758,2907,3294,146,21187,2746,19255,10811,12408,13743,7346,5913,6728,786,79742,1476,16740,7656,7259,4960,3393,2861,4686,706,49738,1261,2091,2401,3372,5978,5014,3855,6561,417,30953,315,943,722,826,2684,2092,905,1077,68,9633,893,1027,1769,2464,5669,3984,2075,2298,108,20291,333,1035,877,1015,2206,1676,1029,1725,76,9969,1260,4355,3603,4389,8298,8453,4284,6596,256,41499,867,5385,3965,4016,5098,3156,1782,2214,289,26769,2772,2046,3475,4821,17209,11349,6142,4727,382,52914,2623,8865,7980,9649,11547,8479,5704,9225,430,64506,5770,12129,17780,25002,25055,10811,5638,7281,1006,110479,348,2723,1180,1448,1472,1260,653,959,116,10152
5,790,3355,2132,2021,2559,2481,727,1272,3571,18901,23754,91457,79954,84023,99142,74325,33240,43862,8375,538133,1287,2704,2263,2539,2215,4487,2376,10260,464,28613,5629,1557,1845,1570,4533,9449,10133,36885,944,72541,1859,4091,3527,4212,15334,14495,9730,10788,503,64544,565,368,504,686,3361,3057,2059,2689,95,13383,3734,6308,6286,8561,14784,29294,13356,29673,1462,113461,765,1747,1714,2102,6317,7387,4014,5255,194,29500,3462,26086,16401,15401,18698,12147,7026,10039,1136,110409,2345,22650,11981,9266,8102,6599,4097,8512,1081,74620,2275,3482,3745,5517,8448,10212,6673,12022,767,53133,314,1428,922,999,2465,2699,1155,1364,99,11447,1095,1562,2344,2563,5834,7127,2816,3761,152,27244,575,1968,1616,1860,3811,4278,2029,3876,137,20140,2284,6953,6077,6525,11941,18354,8045,13553,407,74146,1306,6991,5687,4944,5546,5735,2553,4762,433,37957,3863,3872,4971,5149,20474,16738,8683,7945,587,72275,3976,14563,13122,14896,17270,15381,8456,12472,814,100951,6474,15469,21030,25493,30522,18328,7406,9954,1239,135898,723,4587,2233,2243,2895,2551,1217,1837,192,18465
6,163,505,301,327,316,202,73,127,690,2700,5494,18982,17236,19320,19511,11038,5681,7214,1611,106099,438,1027,861,1161,1434,2058,1046,3163,199,11383,165,48,56,58,145,244,550,914,39,2217,537,1139,1004,1203,3628,3119,2110,1992,126,14856,142,100,125,201,1133,793,480,512,26,3509,502,929,870,1430,2792,5024,2058,2646,192,16444,162,396,295,398,1227,1027,580,730,38,4840,951,5397,3250,3478,4423,2341,1575,1954,221,23595,653,5592,2435,2183,1758,1151,869,1664,239,16543,540,749,825,918,1454,1492,1054,1991,139,9160,127,270,259,301,810,547,318,283,19,2925,231,257,424,559,1374,865,373,435,20,4540,95,280,234,257,653,420,258,459,20,2676,362,1205,971,1213,2140,1891,948,1415,65,10214,242,1476,938,853,1158,747,370,518,102,6405,1023,817,1498,2104,5548,2771,1558,1504,134,16958,782,2730,2921,3109,3639,2658,1632,2496,139,20105,1679,3305,5207,7086,5810,3393,1606,2337,261,30683,156,934,493,557,684,529,250,373,48,4017
7,90,144,109,139,264,231,67,151,529,1712,2350,4095,4026,5462,12059,8298,3963,6208,1135,47597,70,97,93,97,189,379,132,975,58,2097,222,46,41,51,115,277,318,1428,28,2525,77,127,95,121,484,585,346,577,26,2436,83,24,22,65,464,368,223,363,17,1625,365,329,298,516,1196,1884,1094,4537,150,10370,37,51,62,88,437,405,242,397,10,1738,262,1167,807,946,1660,931,620,962,115,7469,164,1060,890,804,1163,1000,602,1143,118,6954,201,196,268,422,896,837,577,1048,64,4507,46,90,61,56,280,207,106,134,10,1002,68,43,47,107,287,287,99,178,10,1124,46,93,69,102,354,283,179,353,18,1497,210,306,256,372,923,1116,527,1898,46,5653,98,338,309,381,624,510,278,528,51,3125,1181,429,567,990,5284,4423,2423,3078,231,18607,392,729,771,996,2235,1738,923,1626,118,9539,557,642,960,1412,3483,2188,809,1152,174,11374,80,301,195,235,470,432,150,262,31,2160
8,98,324,204,189,318,255,107,123,502,2110,5493,12455,10901,13269,23776,16350,8486,8816,1348,100905,19,90,66,78,115,96,39,84,10,590,11,4,7,4,14,16,11,54,0,115,78,344,218,212,691,787,426,606,20,3377,61,28,47,66,440,387,195,210,11,1451,279,533,515,801,1576,3630,1622,2928,154,12029,52,139,102,131,448,499,278,387,15,2041,498,3620,2060,1934,2616,1408,971,1306,191,14601,424,4108,2120,1573,1638,1247,737,1297,256,13401,215,314,303,491,973,952,593,824,51,4715,142,281,241,278,963,878,412,411,29,3628,135,175,186,276,844,743,358,429,16,3171,84,193,141,173,609,622,324,505,15,2665,572,1180,1141,1551,4054,5341,2330,2999,124,19290,181,818,776,618,972,910,366,523,65,5236,3453,1345,2571,4616,18878,15474,8479,8088,379,63286,804,2923,1806,2206,4174,2861,1832,2893,166,19647,1008,2192,2825,3511,5221,3242,1287,1857,182,21319,139,893,397,404,663,437,253,355,49,3590
9,3,3,0,3,10,3,0,6,11,37,62,128,99,132,228,132,62,97,33,982,0,3,5,8,6,4,3,12,0,34,10,5,3,3,55,15,24,27,3,149,0,11,6,3,9,5,7,3,4,43,0,3,0,0,12,11,3,9,0,41,10,8,4,11,31,33,23,18,0,143,0,0,0,0,0,3,6,4,0,21,5,29,18,25,33,22,22,28,3,184,11,34,35,31,55,21,11,38,6,249,12,15,11,14,23,16,4,17,3,111,0,5,3,0,8,0,0,0,0,15,3,0,3,5,8,6,0,0,0,24,0,8,3,4,6,7,3,6,0,28,0,4,0,4,13,9,11,8,0,48,4,17,13,24,25,11,4,11,6,116,29,14,8,17,115,67,73,111,4,433,11,16,10,25,28,29,14,19,4,159,8,17,3,11,24,30,3,11,3,109,6,3,10,11,25,10,8,3,0,74
