STE_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
1,230286,8748,343,239369,2570,464,36,55,3122,577,53,635,3753,353,8,4115,6092,934,72,162,7256,495,145,641,7902,395,33,8326,8660,1397,107,221,10379,1076,200,1275,11653,748,38,12441,206468,23574,3139,3260,236436,4398,1110,5500,241934,9492,378,251812,65459,11864,1355,2227,80901,3025,721,3746,84648,15132,359,100139,433,107,11,297,842,15,5,21,870,116,934,1920,272361,35542,4501,5781,318182,7432,1836,9273,327453,24745,1672,353865,49246,5256,513,369,55387,1093,283,1382,56763,2987,53,59804,60307,7372,757,595,69033,937,233,1165,70192,2376,78,72648,1653,297,445,23,2414,46,12,54,2467,143,3,2618,697,108,16,778,1604,34,6,38,1646,135,50,1830,111904,13037,1739,1760,128436,2109,530,2638,131072,5638,187,136900,1404,275,23,34,1739,339,34,371,2104,184,3,2288,2767,469,36,73,3352,263,111,369,3728,283,8,4023,4175,748,64,114,5088,597,142,742,5831,463,12,6314,116078,13780,1802,1868,133523,2708,673,3378,136904,6109,205,143216,29123,5606,614,983
2,179143,6770,281,186198,2219,410,56,67,2750,548,45,592,3340,245,9,3601,5363,692,54,106,6219,495,186,682,6896,308,19,7227,7577,1105,109,175,8968,1049,225,1270,10242,554,28,10823,160430,19228,2559,2495,184706,3804,872,4681,189386,7329,311,197023,54481,8595,1099,1637,65813,2479,570,3052,68862,10850,251,79957,369,77,10,238,700,12,3,18,718,84,677,1481,215279,27899,3672,4369,251219,6298,1447,7747,258966,18257,1240,278457,32739,4008,378,280,37398,826,209,1037,38436,2077,56,40565,53592,6147,628,493,60849,815,185,1003,61855,1975,75,63908,1280,218,365,21,1889,35,11,43,1930,114,6,2049,626,125,7,637,1392,38,5,49,1443,108,39,1590,88238,10488,1373,1426,101534,1721,411,2133,103663,4273,172,108111,1134,231,26,24,1417,362,23,387,1804,173,3,1981,2481,349,22,70,2915,266,91,361,3277,203,9,3487,3618,580,47,89,4334,629,116,742,5080,369,16,5464,91853,11070,1420,1516,105867,2348,533,2878,108736,4646,186,113576,23254,3971,478,771
3,143561,6016,212,149792,2126,387,58,59,2630,706,47,750,3384,348,15,3748,4179,545,91,114,4922,397,130,530,5446,270,14,5732,6305,929,148,168,7550,1101,179,1283,8833,617,26,9476,127949,15159,2325,2121,147556,4060,775,4834,152388,6641,242,159272,39239,5605,1116,1139,47095,2425,482,2904,49991,8042,138,58175,221,44,0,126,393,15,3,18,406,41,574,1026,167406,20808,3447,3384,195042,6492,1257,7754,202794,14729,954,218472,31198,3545,412,193,35349,846,178,1020,36369,2027,45,38448,38785,4827,619,364,44586,867,134,1004,45594,1787,48,47430,1109,212,275,17,1618,33,10,41,1654,110,4,1774,428,71,13,545,1062,26,4,31,1089,100,35,1227,71527,8650,1324,1112,82614,1777,326,2099,84711,4027,131,88871,1237,212,24,36,1499,396,17,411,1915,203,3,2120,1936,264,41,78,2317,194,80,277,2594,192,8,2786,3170,474,61,108,3817,590,99,689,4509,393,9,4903,74694,9126,1383,1223,86428,2361,427,2789,89219,4420,144,93779,17298,2637,517,545
4,47534,1928,59,49523,523,121,23,12,678,212,14,225,902,106,5,1014,1204,202,18,29,1448,135,41,176,1629,90,4,1719,1726,318,47,35,2126,348,50,401,2529,192,12,2732,41467,5696,860,617,48645,1160,262,1425,50065,2126,70,52255,11872,2132,291,317,14613,755,181,939,15547,3267,49,18866,76,19,0,44,145,0,0,0,148,10,185,341,53417,7846,1149,983,63399,1913,443,2357,65758,5399,300,71456,8273,1187,94,66,9619,268,59,330,9949,570,3,10522,14461,1975,209,118,16764,307,61,368,17128,585,23,17733,401,78,146,9,634,9,3,17,647,38,3,685,98,24,7,145,270,16,0,17,288,21,7,320,23236,3266,452,333,27285,602,119,727,28013,1216,33,29264,298,65,10,7,386,157,12,169,554,63,5,619,562,92,11,17,683,73,17,92,777,56,0,834,860,157,26,21,1068,230,30,262,1327,125,5,1454,24095,3426,477,357,28353,832,150,984,29337,1338,43,30720,5090,982,124,143
5,72107,2585,98,74788,1218,147,32,31,1424,352,27,381,1812,162,3,1978,2936,320,83,59,3402,318,66,384,3778,163,4,3951,4153,463,112,88,4822,670,90,764,5588,330,7,5927,64593,7638,1525,1038,74800,2518,389,2901,77703,2910,105,80715,24788,3082,911,675,29456,1613,207,1821,31275,3688,92,35058,144,27,0,60,231,11,4,15,245,32,284,565,89533,10747,2439,1776,104488,4138,596,4734,109226,6630,488,116337,12761,1592,227,99,14683,496,91,588,15273,810,13,16105,22062,2563,411,223,25258,633,66,700,25957,758,28,26750,573,103,158,9,840,29,0,32,871,41,0,908,223,36,7,237,506,21,0,20,525,29,15,571,35619,4293,808,563,41281,1183,166,1348,42626,1640,59,44334,665,70,15,24,769,227,13,245,1010,82,0,1099,1293,162,52,21,1528,157,36,196,1720,78,3,1797,1955,229,68,44,2296,382,51,439,2734,159,7,2900,37577,4523,877,611,43579,1569,218,1782,45358,1801,66,47233,10497,1341,388,301
6,14113,738,28,14871,88,26,9,0,126,59,4,67,189,32,3,225,268,44,8,12,335,30,13,43,379,33,0,410,355,71,11,19,461,94,18,111,566,66,3,637,11820,1992,265,197,14273,328,80,411,14682,802,28,15514,3400,669,107,113,4287,223,38,262,4549,1085,14,5655,44,10,0,8,58,4,0,5,64,9,40,113,15267,2669,371,317,18620,555,118,674,19301,1891,85,21273,2369,359,41,21,2790,44,9,58,2845,175,9,3029,4390,650,66,32,5148,75,28,103,5247,264,7,5515,129,12,27,3,172,3,0,6,183,20,0,206,43,3,6,44,97,0,0,0,93,9,0,108,6932,1030,143,94,8201,131,40,168,8368,479,13,8860,54,15,3,3,77,40,0,37,112,24,0,140,134,20,0,3,160,13,9,23,182,21,0,201,190,29,3,5,234,49,12,64,292,41,0,335,7122,1061,144,107,8440,181,46,229,8668,518,13,9194,1518,322,58,49
7,6687,412,9,7104,95,15,4,0,120,162,3,169,286,38,0,331,132,25,6,0,161,17,40,56,214,27,3,243,226,42,9,4,281,182,45,219,503,64,8,573,5799,680,173,117,6769,340,81,419,7189,477,13,7677,1592,270,51,65,1977,211,34,254,2225,1172,8,3402,8,8,0,9,24,3,3,7,28,10,111,148,7400,957,223,185,8770,562,116,675,9445,1658,132,11231,1891,161,29,24,2109,54,4,61,2168,146,0,2311,997,170,19,17,1201,36,5,42,1244,86,3,1331,57,9,19,3,96,0,3,3,94,14,0,112,26,3,0,43,75,7,0,13,88,9,3,102,2970,351,76,87,3478,98,17,113,3593,251,7,3849,59,6,0,0,63,75,0,74,140,18,0,160,60,12,0,0,71,15,21,35,104,16,0,117,115,15,3,0,131,91,25,112,243,31,0,283,3084,368,73,85,3614,189,38,227,3839,280,11,4129,589,144,27,32
8,15167,422,22,15610,165,21,3,0,190,23,4,27,222,13,0,237,253,19,8,0,276,23,3,30,303,14,7,323,421,40,8,0,472,51,11,59,530,31,7,561,13408,1591,253,166,15420,230,52,284,15699,458,24,16175,2643,324,49,46,3058,58,14,72,3134,314,3,3452,31,4,4,13,53,0,0,0,53,0,16,71,16083,1922,305,223,18527,290,70,357,18886,769,43,19703,3701,415,38,21,4176,57,17,75,4255,172,3,4435,3208,332,31,18,3594,36,9,42,3632,87,0,3727,128,22,23,0,176,7,0,5,182,9,0,194,26,0,0,29,66,0,0,0,63,0,3,70,7071,772,94,74,8009,98,27,125,8140,276,11,8419,75,5,3,0,85,8,0,8,95,16,0,106,99,6,0,0,108,8,3,11,118,5,3,128,175,12,4,0,193,18,3,17,216,19,3,234,7249,782,97,74,8203,113,34,142,8348,293,8,8651,1005,128,17,12
9,143,11,0,151,0,0,0,0,3,0,0,0,3,0,0,7,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,9,132,16,3,3,148,0,0,0,148,6,0,163,29,6,4,3,43,0,0,0,43,10,0,50,0,0,0,0,0,0,0,0,0,0,3,3,161,25,4,4,198,0,0,0,196,14,3,216,37,5,0,0,44,0,0,0,44,0,0,44,21,3,0,0,22,0,0,0,22,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,4,3,0,73,0,0,0,73,0,0,75,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,4,67,6,3,0,76,0,0,0,76,0,0,75,21,0,0,0
