STE_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
1,24091,91117,327816,337575,305969,199673,38841,3922,577,1329576,48451,59741,65968,47747,50083,56832,32354,6024,708,367907,2889,3627,8098,7490,7892,9048,3111,515,111,42788,2518,4986,9646,7589,6951,4593,1676,620,193,38774,77952,159473,411531,400397,370895,270148,75983,11083,1588,1779049,6408,12263,18051,14406,13934,11034,902,103,33,77135,12565,9582,6271,3325,3524,5182,1503,190,22,42165,18978,21843,24325,17725,17460,16216,2402,299,52,119299,96933,181313,435851,418123,388354,286363,78389,11382,1642,1898353,121725,51198,53625,45500,60452,119238,228915,144353,52225,877226,11449,15979,37084,30632,29647,27454,23169,15172,7886,198479,230103,248490,526560,494264,478458,433059,330471,170912,61753,2974063,11224,68782,218285,181036,192119,115875,16214,1204,206,804943,67000,74555,121587,153092,143326,108591,31433,3280,378,703243,3497,4853,21687,13731,8616,9386,2727,321,52,64865,2385,3759,6380,5114,5012,3505,1302,560,203,28228,84110,151949,367949,352974,349071,237360,51675,5367,835,1601282,4098,7195,12029,9103,8957,5162,232,56,25,46849,13280,9335,10807,10341,8468,6281,761,88,34,59397,17376,16529,22842,19438,17423,11440,998,139,63,106247
2,14548,69658,272584,271616,248116,158394,29488,2848,519,1067762,41036,54530,56904,38866,38911,44361,26244,4634,594,306086,1935,2891,6818,6460,6667,7728,2824,456,82,35849,1807,3888,7811,5916,5361,3641,1335,483,176,30424,59323,130963,344124,322853,299052,214118,59890,8427,1365,1440118,4117,10310,16440,12183,11585,8788,675,49,19,64163,12202,9546,5349,2603,2506,3430,1146,116,9,36914,16322,19852,21790,14786,14088,12221,1821,167,31,101072,75644,150817,365913,337639,313145,226336,61711,8589,1394,1541194,97648,46275,42523,34963,43820,81216,165959,109286,40582,662276,8559,12637,28731,23375,22411,20010,17152,11570,5587,150037,181849,209733,437167,395979,379374,327567,244826,129451,47567,2353499,5359,49640,178852,131675,142710,82685,10895,779,199,602794,55607,68503,105572,134729,129163,93377,25153,2340,346,614789,2362,4063,18377,12272,7789,8218,2378,265,64,55788,1946,3032,5152,4033,4103,2775,1044,413,141,22643,65277,125234,307957,282699,283765,187053,39474,3795,755,1296007,2638,6438,11036,7726,7031,3870,169,42,22,38970,13098,9754,9410,8826,6909,4698,633,72,30,53428,15731,16191,20442,16547,13940,8564,798,117,51,92396
3,17331,65296,195652,204990,196456,125770,23700,2331,270,831801,38399,35250,38541,29063,30287,32503,18134,3003,307,225498,1859,2388,5917,5698,6187,6503,1928,234,54,30777,1621,2783,5087,4446,3908,2597,973,386,97,21908,59210,105723,245198,244208,236843,167376,44741,5959,734,1109975,7059,11280,14368,11341,11511,9585,747,82,20,65989,10897,5324,3766,2137,1937,2929,1079,132,12,28202,17957,16607,18135,13476,13443,12514,1826,208,34,94194,77168,122330,263330,257681,250288,179889,46561,6169,762,1204176,65666,25281,29760,27517,35613,70812,146167,83347,26384,510549,8358,11669,24766,21953,22637,19583,15866,9195,4627,138646,151196,159280,317852,307148,308537,270282,208597,98704,31767,1853368,9320,47713,121599,112309,126484,73263,9917,702,95,501391,53525,48027,81682,101162,94031,67539,18425,1715,157,466256,2101,3275,14021,8293,6420,6356,1563,172,27,42229,1693,1932,3394,3187,3066,2072,806,328,123,16602,66639,100947,220689,224948,230002,149231,30705,2913,400,1026477,4439,6539,9075,7350,7559,4350,182,43,17,39543,11058,6000,7678,7074,5491,4026,550,39,13,41924,15495,12541,16747,14421,13049,8376,735,78,26,81469
4,4148,19161,63840,67025,69042,47970,8488,800,138,280612,11894,13793,15342,11662,12531,13745,7901,1373,155,88403,591,950,2060,2037,2427,2615,867,141,29,11721,462,833,1577,1264,1260,850,346,145,45,6783,17091,34740,82815,81994,85267,65182,17610,2461,370,387522,1762,3864,5663,4413,4320,3316,174,23,9,23548,3653,2278,1453,843,892,1160,282,43,6,10612,5415,6145,7118,5260,5214,4479,455,64,12,34158,22509,40885,89933,87255,90478,69660,18062,2521,381,421680,26973,11646,12456,11465,15565,28807,58402,36740,14300,216360,2042,2690,5882,5466,6072,5707,4850,3171,1656,37533,51516,55223,108274,104188,112117,104169,81316,42437,16340,675578,1772,12484,37257,31847,40783,26554,3487,262,52,154498,17050,18777,30327,38219,38822,30108,7890,724,92,182009,702,1272,5466,3217,2484,2804,777,83,13,16808,464,634,1127,890,952,705,313,144,54,5271,19982,33165,74174,74170,83042,60167,12465,1215,205,358582,1012,2014,2969,2380,2262,1201,43,13,9,11902,3869,2277,2499,2349,1919,1330,149,27,4,14421,4883,4293,5468,4732,4183,2531,191,40,11,26328
5,7965,31827,117581,115913,108906,68638,12707,1026,151,464714,18062,19540,21812,15255,15589,17575,11135,1997,185,121151,861,1609,4778,4284,4586,4424,1334,191,19,22092,750,1453,2947,2377,2118,1341,468,150,35,11643,27633,54434,147116,137821,131201,91972,25654,3366,391,619602,2965,5591,9055,7562,7595,5870,520,33,3,39202,5434,3107,2022,1101,966,1475,667,76,3,14855,8403,8694,11080,8663,8565,7350,1193,109,10,54061,36035,63129,158193,146480,139765,99324,26841,3479,398,673657,36990,13738,16201,13534,15580,29283,64625,39724,13098,242787,4085,5690,16556,13498,12779,10350,7283,4653,2344,77242,77112,82563,190956,173520,168121,138950,98758,47859,15846,993685,4040,23397,68929,51886,60825,36422,4727,300,42,250575,24720,25005,45063,56964,52852,38911,10789,1029,104,255437,981,1690,7657,4695,3754,3811,1055,104,10,23754,723,1085,1859,1533,1608,1037,357,134,34,8375,30463,51170,123511,115078,119039,80185,16923,1570,193,538133,1784,2976,5073,4213,4059,2060,96,23,9,20286,5540,3074,4768,4592,3141,2159,306,31,5,23618,7325,6054,9844,8807,7199,4219,406,52,10,43906
6,1691,5858,16440,17667,19952,14183,2311,221,46,78377,3451,3237,3786,3399,4099,5004,2556,478,45,26054,213,300,617,622,833,987,288,43,7,3921,165,220,441,371,414,322,128,58,14,2138,5526,9621,21291,22067,25297,20499,5287,795,111,110489,651,1218,1419,1133,1107,956,47,3,8,6539,963,537,418,237,294,387,91,16,0,2952,1612,1751,1836,1366,1407,1338,141,22,8,9493,7135,11372,23129,23432,26703,21835,5433,818,118,119978,8086,3005,3474,3507,5060,10975,20536,11688,3782,70118,741,915,1733,1659,2129,2259,2109,1178,448,13159,15960,15289,28338,28598,33896,35070,28078,13679,4347,203256,782,3750,8886,8877,12299,7869,908,63,13,43443,5166,4854,8936,11884,12155,9924,2358,239,23,55547,283,405,1492,991,964,1095,231,25,3,5494,175,157,252,251,338,262,111,41,19,1611,6413,9168,19566,22006,25756,19146,3604,376,59,106099,353,532,628,543,640,356,14,0,3,3072,972,508,685,580,529,472,44,10,0,3804,1324,1046,1310,1125,1166,825,66,11,3,6875
7,867,3737,12116,10355,9231,5947,1214,86,17,43576,1286,978,1661,1202,1136,1053,534,74,3,7913,84,203,501,431,434,397,85,10,0,2158,108,203,424,282,243,160,45,7,0,1470,2346,5115,14702,12277,11043,7549,1878,184,19,55115,334,557,844,637,560,310,45,3,0,3294,225,157,189,124,120,100,31,0,0,947,560,714,1033,762,681,411,75,5,0,4245,2905,5835,15733,13032,11722,7964,1957,188,21,59357,3691,1775,3107,2482,2275,2472,3516,1444,308,21067,880,1241,3156,2334,2237,1671,843,258,61,12677,7476,8850,21992,17847,16238,12108,6312,1891,392,93101,628,2677,8394,6828,7042,4254,677,41,3,30527,1394,1240,3206,3156,2351,1657,518,57,3,13580,64,164,805,501,406,331,77,6,0,2350,97,155,303,193,222,117,44,4,3,1135,2179,4233,12702,10681,10018,6357,1311,105,15,47597,261,371,574,455,379,153,23,0,0,2216,232,133,328,250,160,94,22,0,0,1225,496,506,899,710,544,239,47,0,0,3439
8,1218,5922,21873,21116,17991,9696,1691,113,8,79627,3419,4041,3759,2792,2223,2423,1503,246,19,20435,211,271,657,569,575,489,185,19,3,2989,156,277,429,351,245,134,52,15,4,1674,5004,10517,26724,24834,21041,12749,3428,388,44,104720,243,500,728,582,459,371,57,4,0,2953,966,565,314,166,121,197,98,14,4,2442,1212,1062,1040,751,580,574,155,18,3,5394,6212,11576,27763,25587,21621,13321,3580,407,50,110115,5668,3377,2588,1777,2036,5540,9518,5459,1951,37909,482,906,2079,1579,1354,1051,841,581,321,9200,12366,15863,32435,28940,25003,19908,13946,6445,2316,157220,799,4932,16600,13472,13717,7056,812,39,3,57431,4562,4849,6920,8346,6165,4245,1394,134,15,36623,201,399,2101,1299,699,635,147,20,7,5493,181,256,295,219,206,125,48,12,9,1348,5738,10435,25912,23338,20786,12065,2392,208,31,100905,133,306,569,433,318,167,14,5,0,1938,992,554,456,355,237,206,60,6,4,2871,1128,860,1020,783,552,376,72,10,4,4808
9,18,40,135,198,214,187,85,9,0,885,19,17,24,19,44,40,34,4,0,206,0,4,15,10,8,20,8,0,0,55,0,6,4,6,3,7,0,3,0,37,30,69,179,236,277,251,122,21,3,1188,3,0,0,0,3,3,0,0,0,18,0,0,0,3,0,4,0,0,0,10,4,0,0,5,3,9,0,0,0,28,39,71,183,244,280,261,122,21,3,1215,56,48,106,79,62,57,102,60,21,594,8,24,39,24,38,39,36,15,3,228,106,136,330,345,376,364,263,95,28,2037,4,29,89,117,137,108,35,0,0,524,26,15,56,74,71,69,40,9,0,361,3,3,18,16,8,11,3,0,0,62,9,0,0,3,11,5,3,0,0,33,43,44,161,207,235,193,81,12,0,982,3,3,5,3,3,3,0,0,0,20,0,0,0,3,0,4,0,0,0,12,3,3,8,9,3,5,0,0,0,34
