STE_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
1,42788,130397,116887,120634,337213,419499,203460,369411,38774,1779049,816,3340,2762,3099,2244,3123,1153,4643,440,21620,236,204,273,353,576,709,568,918,38,3869,1782,6283,6343,6619,15482,11637,4722,4927,478,58273,273,267,554,701,2014,1632,542,521,38,6536,1081,5796,5380,4942,5902,7680,2419,3217,354,36769,1146,2792,3752,4084,9720,9027,3496,3684,218,37925,6921,43803,32954,29904,31034,18083,8876,9952,2097,183611,4143,39531,24639,18737,14189,10043,5445,8732,1832,127288,1619,3576,4449,5015,8705,7195,2874,3071,424,36936,1151,2502,2594,2653,6305,6872,3129,4099,180,29480,4321,3583,7745,9160,20244,20736,7366,8699,582,82434,943,3080,3325,3229,6374,6581,2700,3204,225,29651,4345,13543,15022,15094,22699,26430,11066,15146,729,124071,2026,11615,10408,8613,11219,9593,3452,4196,734,61858,5652,4876,8966,10201,30254,16093,7842,6368,676,90925,8168,30083,28430,29598,34025,29122,15087,24329,1673,200508,15312,33869,58749,63208,64237,53749,15888,19787,3231,328016,997,6197,3520,3373,3082,3134,1360,2019,270,23954,1735,11005,9061,8408,10746,7774,3651,3665,690,56746
2,35849,114778,90030,101276,275608,347483,169015,275664,30424,1440118,836,3185,2454,2740,2194,2573,1061,3574,364,18981,94,83,154,154,210,398,178,319,3,1604,2039,7575,6861,7259,15747,11893,4912,4193,517,60994,457,379,733,908,2521,2047,693,623,39,8397,834,4678,3996,3898,4465,5327,1716,2110,304,27340,1100,2960,3545,3804,7970,6744,2633,2560,200,31520,5837,42648,27026,24892,24540,14842,7733,7969,1745,157246,3107,34554,17095,13068,9630,6720,4225,6279,1533,96199,1382,2896,3518,4471,7210,5741,2436,2393,298,30341,825,2213,2098,2220,4318,4251,1925,2040,156,20048,2899,2575,5667,6349,12041,13530,4425,4752,349,52594,733,2394,2474,2359,4722,4486,2036,2248,173,21618,3692,11763,11943,12727,17808,19547,8255,10237,636,96600,1657,10096,8202,6871,8470,6282,2525,2841,571,47516,4781,5519,8835,10014,18261,12142,6048,4899,510,71014,6492,25406,25247,25044,28134,20266,13328,20225,1271,165409,14538,31853,50297,61411,48360,34897,12587,14248,2614,270795,1004,7077,3533,3434,2999,2782,1436,1961,272,24507,1478,9454,7025,7224,8551,5279,2643,2710,500,44851
3,30777,81012,61493,82990,205858,228062,134297,263579,21908,1109975,622,2679,2271,2854,2216,2836,1196,5089,386,20138,548,288,384,474,957,1354,1270,2490,69,7830,952,3799,3354,4443,8681,6333,3093,2867,290,33811,267,238,433,590,1283,1540,545,513,25,5432,761,3936,3188,3593,4288,4943,1963,2799,234,25711,498,1600,1791,2346,4635,3789,1713,1682,112,18160,4138,29782,20302,22337,22279,9791,6475,7116,1213,123428,2582,26806,14958,15049,10253,6516,4394,7216,1219,88985,1191,2507,3083,3875,5959,4525,2295,2715,298,26451,375,1222,1094,1380,2648,1620,848,1073,61,10317,1593,1659,2960,3993,8861,6162,2586,2679,194,30697,618,2410,2155,2568,5200,4375,1970,2980,155,22439,2180,7888,7582,8541,12599,11446,5084,6948,416,62686,1337,8334,6461,6200,7222,5187,2264,3345,460,40816,4129,3091,5279,6548,21000,11872,5638,4433,508,62499,6003,20375,18525,26939,22413,16844,10196,17691,999,139985,11286,20291,34011,47539,49373,29222,10711,12976,2057,217453,669,4230,2333,2674,2299,1767,920,1268,200,16368,1218,7663,5786,6760,7445,4753,2534,2680,415,39257
4,11721,33252,22917,32242,83120,77187,47293,73009,6783,387522,383,1505,1052,1272,927,1122,463,1327,156,8198,86,60,93,123,212,247,180,363,11,1379,542,2208,1779,2279,4039,2377,1213,1031,121,15588,133,120,200,264,709,405,193,112,9,2149,252,1481,1016,1109,1233,1144,495,463,68,7271,213,654,680,895,1640,1096,516,434,32,6151,1828,12691,7634,8523,6917,2896,2145,1903,422,44949,929,10464,4856,4517,2556,1530,1216,1732,384,28183,322,822,816,1064,1284,871,471,588,60,6299,160,522,454,518,996,549,256,247,34,3737,673,772,1511,2020,3441,1866,897,712,58,11950,176,660,568,683,1353,807,414,470,39,5163,782,2734,2535,3006,4095,2775,1467,1549,114,19059,524,3605,2500,2217,2496,1276,690,805,149,14250,1680,1179,2686,3464,7924,4206,1983,1518,151,24796,2078,6331,6631,7972,7584,5068,3684,5655,294,45305,4956,10294,15687,21368,18637,7381,3651,4205,794,86988,199,1556,692,788,648,476,251,300,56,4962,474,2814,2032,2434,2545,1356,724,676,141,13205
5,22092,46805,34852,39498,99649,132076,76558,156428,11643,619602,437,1520,1164,1228,802,1297,508,1751,165,8875,1053,417,820,771,1305,2677,1791,4353,128,13313,585,2476,2111,2273,3516,3057,1343,1101,125,16597,163,169,323,345,1075,723,350,275,10,3435,592,2659,2062,2071,2464,3643,1133,1706,176,16508,290,987,1066,1262,2214,1959,826,662,53,9319,2371,17803,11656,11255,10745,5421,2870,2963,669,65759,1380,13688,7196,6031,4192,3191,1830,3435,614,41569,652,1491,1505,2041,2428,2360,1066,1244,131,12918,154,778,583,562,919,763,325,315,44,4441,846,1158,1991,1978,3680,3305,1117,1023,84,15179,348,1275,1143,1255,2527,2315,901,1074,79,10915,1292,4652,4241,4282,5844,6122,2523,3087,162,32195,698,4653,3423,2920,2947,2513,1015,1641,235,20036,2177,2440,3715,3685,10484,6296,2825,2276,231,34128,3207,11118,11327,12723,12139,9903,5624,7868,583,74485,5651,13391,18770,22515,24009,12686,4850,6004,983,108866,409,2749,1410,1303,1255,994,472,615,89,9300,650,4670,3318,3489,4052,2629,1144,1212,222,21391
6,3921,9711,6889,9458,23060,22427,13055,19838,2138,110489,140,508,392,487,371,429,155,460,47,2993,8,19,19,16,14,32,32,41,0,182,176,687,522,522,763,516,283,234,33,3731,50,41,63,109,273,173,83,59,3,855,73,353,248,256,220,296,91,81,6,1626,57,210,156,179,310,216,86,73,10,1287,647,3696,2366,2522,2242,966,563,563,110,13674,438,3677,1660,1463,964,520,381,661,159,9931,140,306,323,345,323,307,146,168,21,2069,72,175,180,188,334,181,84,57,6,1278,183,172,376,452,902,392,166,130,13,2790,56,176,155,176,432,214,104,137,9,1459,214,737,668,760,1025,619,271,328,29,4665,141,1022,615,467,633,304,141,190,53,3559,647,549,1217,1521,2677,1198,595,579,60,9051,617,1988,2435,2545,2327,1524,1034,1541,98,14100,1435,2810,4593,5999,4383,2390,1093,1442,210,24355,89,547,293,303,281,190,87,112,26,1921,147,824,657,685,729,374,217,211,20,3859
7,2158,2643,2300,2969,10185,11145,6362,15881,1470,55115,20,44,38,47,84,135,53,280,17,711,29,13,9,17,33,65,40,151,8,376,18,74,52,61,106,134,55,82,7,589,34,4,13,28,160,90,45,53,5,431,62,109,95,147,276,313,121,399,10,1539,16,32,32,47,128,128,70,64,4,520,160,719,511,670,923,461,282,346,75,4139,99,618,521,537,623,470,325,513,53,3754,57,62,87,154,239,206,125,162,9,1116,30,52,26,35,126,66,33,42,0,412,53,36,35,94,219,186,64,81,5,771,27,50,45,68,239,162,97,141,13,846,111,201,165,252,506,474,216,431,17,2375,64,220,196,236,387,267,145,193,25,1728,600,239,347,625,2923,1725,838,948,93,8335,316,554,628,789,1591,1163,690,1151,92,6974,452,512,794,1160,2546,1563,535,738,124,8417,44,186,124,144,225,190,61,111,15,1106,67,224,203,218,462,257,109,173,43,1746
8,2989,8150,5593,6696,23172,25101,12991,18359,1674,104720,9,38,37,29,52,28,8,16,3,213,3,0,0,0,4,3,0,3,0,19,30,228,113,122,188,142,57,78,10,965,29,5,23,37,128,100,42,36,0,402,49,199,160,163,195,262,84,115,20,1249,23,74,53,53,117,100,39,62,0,518,323,2235,1281,1191,1297,526,316,365,102,7644,221,2214,1084,815,657,516,290,352,136,6286,72,94,112,152,301,181,78,80,9,1076,85,159,146,158,409,251,138,112,20,1475,92,108,141,201,488,356,157,130,9,1684,56,116,94,108,384,325,143,143,6,1372,349,691,724,981,1779,1678,779,860,45,7883,91,468,437,330,470,396,160,185,28,2568,2297,748,1883,3357,9537,6719,3716,3032,180,31468,628,1931,1394,1769,2561,1654,1175,1690,92,12895,844,1745,2331,2915,3880,2270,869,1091,133,16069,90,505,257,238,304,190,118,133,20,1853,98,575,435,473,701,403,214,217,42,3153
9,55,88,50,79,272,199,171,247,37,1188,0,0,0,0,3,0,0,0,0,9,0,0,0,0,16,0,0,0,0,19,0,3,6,0,4,3,0,0,3,19,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,9,3,23,17,27,26,7,10,11,0,121,10,19,22,25,32,15,9,18,6,156,0,6,4,3,7,7,0,3,0,33,0,0,3,0,0,0,0,0,0,7,3,0,3,5,8,3,0,0,0,22,0,7,0,4,0,4,3,0,0,17,0,4,0,4,5,3,3,3,0,25,4,14,6,13,17,3,3,3,6,80,9,6,9,10,53,24,15,29,0,149,6,11,10,22,21,21,6,18,0,120,10,11,7,11,21,22,0,11,3,90,0,3,6,4,5,4,0,0,0,33,0,3,5,3,4,3,0,0,3,25
