STE_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
1,456084,798126,429239,350261,467977,311414,206839,297887,62505,3380332
2,369921,636220,358749,289348,363216,265142,159193,247428,46924,2736125
3,258509,423917,305441,241956,291317,207795,147636,225268,34599,2136455
4,94075,151091,100142,89625,99540,71761,45515,82850,11507,746105
5,139350,237230,187396,122889,150408,102337,86392,112599,19132,1157735
6,26467,40772,30243,26754,28194,21402,13800,25183,3769,216583
7,12515,20654,16189,14178,14102,7021,5880,9642,2535,102708
8,32776,62716,19639,21694,34668,13956,4692,10354,5129,205626
9,340,242,380,301,249,130,161,302,54,2170
