STE_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
1,2658,5374,21615,29351,8942,56081,4246,30906,2885,162062,15484,45852,51570,55794,37176,51046,13630,34870,6001,311421,87532,228975,110232,80202,98652,61720,39270,57945,14942,779477,124889,208003,92104,65285,106536,48512,44272,50411,13360,753373,119139,161683,84445,66586,113056,48780,52807,61143,12319,719965,76565,114302,56487,44018,81262,34749,42047,49827,8236,507504,24112,29936,11545,8323,20257,9344,9760,11303,3075,127661,4926,3585,1086,604,1895,1016,741,1348,1262,16449,787,419,141,85,205,159,70,140,422,2426,456084,798126,429239,350261,467977,311414,206839,297887,62505,3380332
2,2001,2849,13645,21723,5471,49240,2434,25101,2132,124594,12216,32850,42157,45993,28057,48951,10931,30557,4485,256201,70588,190453,99109,67129,81302,51758,31725,48951,11061,652084,100582,168556,76922,52970,81697,39259,33614,41908,10050,605556,98578,127918,70575,56378,89026,40328,40955,49649,9403,582816,62318,88099,46108,37259,61757,27449,32097,39925,6169,401175,19228,22725,9201,7308,14491,7313,6886,9827,2378,99365,3803,2430,846,493,1228,722,463,1335,890,12220,599,342,174,97,186,116,79,176,355,2117,369921,636220,358749,289348,363216,265142,159193,247428,46924,2736125
3,1946,2779,15005,22461,7444,44906,3700,25623,1970,125844,10107,25627,36560,36216,23919,32418,10762,27930,3124,206670,46372,110414,80147,52238,59550,35068,29429,45267,7392,465882,66094,112748,67916,47116,66318,30532,31708,39024,7705,469158,70351,95526,59481,47831,72787,33048,36839,43906,7074,466843,45815,60977,38497,30502,49587,24113,28178,34453,4495,316606,14515,14313,7187,5227,10761,6953,6553,8099,1832,75444,2946,1396,566,332,869,688,426,890,773,8874,363,140,78,38,88,72,37,76,235,1132,258509,423917,305441,241956,291317,207795,147636,225268,34599,2136455
4,544,637,3604,6278,1503,13937,902,9155,514,37074,3112,7403,11582,12874,6452,12244,2935,10405,904,67907,15262,38362,25423,19406,18933,12422,8932,15893,2352,156990,22442,38181,20710,16849,21574,10285,9455,14259,2401,156163,26257,33042,21096,18550,26161,12002,11889,16815,2497,168303,18881,26253,14527,13219,20104,8497,9238,12902,1719,125351,6221,6490,2873,2275,4411,2088,1975,3050,692,30077,1185,638,287,146,350,259,158,327,318,3676,168,81,34,32,51,25,28,40,114,574,94075,151091,100142,89625,99540,71761,45515,82850,11507,746105
5,805,1196,7406,9904,2763,21634,1551,11995,851,58101,4710,12164,20740,17994,11335,17638,5596,13834,1610,105605,25283,65978,52739,28087,32672,17834,19090,24705,4233,270623,35136,61934,42073,23608,32597,14231,18954,20119,4242,252898,38324,51719,36769,23669,37080,15878,21612,20970,4221,250247,25773,34573,22693,16263,27002,11472,15806,15990,2578,172156,7760,8688,4580,3106,6346,3260,3533,4320,983,42578,1389,887,352,225,563,356,239,600,320,4940,177,87,45,29,54,26,21,64,85,587,139350,237230,187396,122889,150408,102337,86392,112599,19132,1157735
6,221,169,1420,1948,532,4566,279,2616,185,11936,888,1699,3657,3462,1818,3242,885,2847,285,18787,3985,8968,7146,5072,5011,3453,2278,4287,659,40859,6088,9942,6039,5112,6061,3163,2606,4334,733,44068,7273,9954,6282,6081,7629,3594,3841,5508,893,51055,5710,8026,4782,4317,5825,2680,3165,4516,628,39642,1879,1803,821,704,1210,628,678,935,246,8897,387,179,87,55,104,73,60,120,110,1165,39,30,9,7,19,5,14,16,35,175,26467,40772,30243,26754,28194,21402,13800,25183,3769,216583
7,68,147,588,798,386,1457,119,817,143,4530,443,952,1761,1976,1262,1015,478,1179,289,9355,2499,6144,5108,4170,3474,1516,1377,2472,635,27399,3125,5218,3647,3071,3200,1116,1185,1853,535,22954,3473,4347,2978,2456,3113,1039,1377,1777,506,21058,2322,3075,1715,1408,2130,663,1062,1218,310,13909,526,692,354,269,507,187,257,299,96,3187,54,60,28,18,28,32,18,25,16,284,4,3,6,3,0,3,0,3,6,29,12515,20654,16189,14178,14102,7021,5880,9642,2535,102708
8,464,386,879,2790,635,3672,207,1570,141,10740,1509,3414,2737,4571,3341,3129,427,1451,371,20950,6502,19283,6010,5038,8672,2523,943,2357,1312,52637,9518,17094,4212,3699,7992,1640,864,1798,1353,48172,9282,12705,3371,3252,7947,1483,1069,1577,1131,41822,4582,7679,1919,1884,4924,1096,888,1248,593,24808,809,1939,461,434,1061,366,269,325,161,5821,96,195,39,36,101,45,20,34,35,594,11,15,5,0,7,3,0,7,22,78,32776,62716,19639,21694,34668,13956,4692,10354,5129,205626
9,4,4,4,22,6,13,6,13,0,70,9,9,21,20,12,3,9,27,0,119,42,45,50,71,41,14,25,48,5,336,77,65,76,58,59,20,25,49,11,448,85,42,106,71,69,25,31,64,15,508,73,58,82,34,46,34,36,74,8,446,33,29,30,13,9,20,34,32,9,203,13,3,3,3,0,3,0,4,0,29,3,0,0,0,0,0,0,0,0,4,340,242,380,301,249,130,161,302,54,2170
