STE_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1,1853321,1922206,3775527,249384,263148,512538,753633,787372,1541004,23509,24403,47910,37874,39295,77164,6385,6497,12886,9006,8868,17876,2616,2752,5366,3360,3260,6621,11578,12039,23614,140,93,226,848107,884572,1732681,220499,231135,451634,19711,18287,37996,1337700,1397148,2734848,256133,248589,504723,3447154,3567941,7015093
2,1470918,1535667,3006585,167511,177821,345335,29759,31726,61487,597656,625662,1223321,22706,23870,46579,9669,10137,19803,11059,11310,22367,4656,5163,9820,3283,3354,6639,3911,4124,8035,85,35,115,682783,715386,1398162,189631,202512,392145,14106,12810,26911,1054022,1108529,2162553,192543,193726,386271,2717482,2837924,5555409
3,1048012,1070146,2118153,139003,147203,286205,51704,54005,105716,23047,24009,47057,567787,602724,1170509,7723,7784,15502,10299,10331,20632,4226,4728,8952,7099,6897,13996,4080,4222,8304,81,70,154,676040,714778,1390825,108274,119820,228095,19680,18132,37806,942997,999929,1942926,178849,166798,345648,2169856,2236877,4406728
4,448818,461635,910448,48656,52057,100717,6412,6317,12726,6565,6736,13297,5283,5334,10614,159590,170853,330444,2928,2820,5748,791,876,1668,2751,2852,5604,781,753,1529,25,16,36,185114,196557,381671,36685,38697,75383,4477,4092,8563,274927,291405,566335,52347,50456,102797,776090,803496,1579584
5,564486,572692,1137181,76616,78902,155516,10370,9545,19911,9512,9220,18735,11052,10013,21066,3976,3618,7596,279992,286044,566033,1843,1820,3663,2699,2529,5231,913,915,1823,165,134,293,320515,323837,644349,86449,89512,175956,7929,6985,14918,491508,499232,990739,99265,85494,184759,1155261,1157421,2312687
6,136218,140649,276867,16036,17500,33531,3193,3388,6583,3354,3581,6931,3791,4123,7915,887,925,1819,2082,2145,4228,43273,47687,90959,478,469,951,301,311,617,17,11,32,57385,62637,120021,5896,6330,12229,1305,1198,2505,80622,87666,168282,18095,18242,36341,234935,246554,481489
7,48046,46405,94453,4164,4061,8224,3422,2966,6391,3043,2878,5923,5300,4406,9706,2031,1875,3903,2534,2200,4732,372,358,738,16183,15951,32140,378,300,674,13,3,19,33270,30947,64221,6860,7239,14102,1258,1122,2378,45553,43375,88928,15965,11857,27823,109568,101644,211208
8,88366,93546,181911,4852,4887,9737,13402,14151,27556,3336,3366,6705,3569,3542,7108,1121,1114,2238,1071,1069,2142,383,414,798,627,644,1276,38361,38626,76991,27,30,58,61900,62959,124860,14106,15216,29324,1169,982,2145,82026,84037,166068,11454,11169,22626,181845,188757,370599
9,1223,1197,2416,130,154,281,106,78,183,23,19,44,68,43,111,13,15,28,105,85,191,7,3,9,10,4,18,26,27,52,4,0,3,355,276,635,90,110,200,10,19,28,579,563,1144,517,236,760,2319,2000,4318
