STE_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
1,7070,16854,3228,1685,2331,1594,1309,1586,510,36171,13286,37127,9514,2051,4768,3528,3203,3181,1293,77952,45901,53769,130287,8354,14433,11330,34079,24575,4717,327450,24415,9378,68344,2456,3857,2951,8004,13270,1675,134350,9769,4269,10142,1139,1517,1480,3243,6153,560,38273,4629,40070,2254,8308,1535,1250,1461,1673,597,61777,5863,26793,1766,2963,1433,959,1486,1203,338,42814,70118,72990,11171,10332,30945,25617,12796,11345,4021,249323,15678,39389,4112,22942,8350,4384,3855,4413,1617,104731,5290,18861,5360,2564,2691,3175,1689,2337,516,42485,6290,1121,21155,3522,1753,2760,4651,4803,494,46549,191,173,325,145,90,148,288,467,78,1907,2738,3121,2511,1222,1283,837,2335,1509,711,16267,4024,2721,7204,1893,1535,2100,5009,5271,5474,35231,215256,326633,277373,69582,76540,62112,83404,81796,22595,1215285,4611,14472,3781,2791,5589,2106,247,1042,412,35052,3012,9342,1298,1257,4482,1350,223,767,388,22119,3146,7419,2826,1589,3778,1840,1123,2245,354,24318,1394,5942,1694,663,1638,1087,101,314,114,12951,2155,2889,1830,1214,2319,1107,242,1583,146,13479
2,6452,14792,2545,1530,1933,1527,1076,1531,423,31804,11779,31818,7498,1830,4290,3241,2767,3085,1075,67372,37408,43257,100278,6023,10890,9091,24421,21295,3459,256133,17242,7594,63651,1803,2713,2516,5820,10477,1340,113159,9110,3134,8285,914,1196,1244,2546,4306,426,31157,3663,31356,1979,7339,1337,1154,1114,1523,450,49915,5119,22874,1586,2799,1323,948,1182,1154,316,37300,53738,54631,8630,8293,24731,18434,10561,9273,2678,190955,11126,27486,3478,16723,6587,3859,3286,4279,1161,77974,4572,16079,4780,2619,2613,3395,1599,2430,419,38501,5442,1004,17992,3130,1665,2499,3909,4400,368,40413,133,112,209,89,78,108,217,349,65,1367,2689,3088,2235,1574,1277,888,1825,1312,579,15477,3635,2257,6618,1479,1296,1782,3989,4218,4212,29495,172100,259473,229776,56152,61926,50702,64316,69632,16964,981026,4384,14086,3329,2804,4779,2309,199,1045,377,33321,2536,7855,1123,1238,3621,1186,165,776,284,18782,2672,6322,2238,1410,2758,1548,866,2043,262,20115,1286,5304,1811,580,1543,1156,60,283,93,12111,2019,2194,1909,992,1856,1057,191,1396,148,11765
3,3103,8788,1930,949,963,739,568,920,233,18191,4817,13849,4437,918,1780,1497,1185,1649,505,30632,28719,32145,106713,5501,8217,7683,23698,18177,2971,233825,14495,5293,49816,1824,2678,2249,6581,11620,1200,95753,4664,3083,5511,709,1090,967,2303,4390,304,23033,3001,26738,1526,6084,977,761,970,1218,393,41666,3751,16834,1214,1900,941,598,1189,830,246,27495,31831,28416,6768,5847,14151,11760,8052,7103,1591,115520,6452,16530,2784,14723,4135,2749,2621,3690,704,54394,2182,7021,2963,1455,1343,1837,962,1578,202,19547,4224,781,14527,2535,1165,2161,3565,4127,291,33389,117,94,208,107,61,141,156,298,44,1223,1542,1592,1733,1173,686,463,1735,1066,469,10446,2271,1311,5002,1165,872,1286,3434,3836,3227,22403,111166,162461,205137,44893,39047,34882,57019,60512,12376,727504,1867,7837,2202,1508,2318,930,93,642,169,17574,943,2837,490,597,1490,591,68,448,108,7584,1341,3607,2001,1014,1634,922,779,2007,148,13459,710,2791,981,367,1065,698,69,272,59,7007,1301,1938,1081,819,1501,762,206,1161,96,8859
4,1412,4059,788,408,432,294,280,603,69,8342,1475,4780,1592,361,681,479,477,639,131,10609,9843,10164,33534,2059,3053,2670,7331,7043,992,76687,3742,1506,13274,502,681,637,1432,2646,296,24712,3007,1171,2397,297,373,398,795,1854,145,10438,952,9881,538,2263,354,264,342,485,115,15194,1380,6912,338,748,334,211,338,290,80,10629,11474,10308,2144,2166,5456,4374,2248,2529,571,41270,2341,6163,943,6371,1730,906,854,1370,292,20978,714,2551,1041,521,445,568,323,573,72,6810,1487,210,4900,772,365,687,907,1344,99,10784,32,19,50,21,13,15,42,103,24,316,505,551,524,396,260,167,545,364,149,3462,949,484,1647,423,296,482,1069,1258,914,7526,39324,58761,63702,17294,14484,12156,16974,21108,3950,247744,751,3110,923,591,819,362,36,311,70,6978,273,940,221,230,542,133,19,168,34,2556,480,1152,560,362,632,344,227,664,55,4481,281,882,329,169,386,282,21,104,25,2487,578,687,513,327,542,312,54,456,33,3487
5,2592,7481,1589,718,701,532,628,764,189,15198,2510,7101,2546,565,1067,788,864,960,261,16650,18621,23367,72068,3496,5375,3952,14443,10791,2180,154292,5597,2802,25140,907,1380,894,3548,4847,692,45809,3075,1851,2742,387,467,489,1402,1910,165,12492,1960,13141,1087,2611,521,402,769,712,239,21449,2193,8587,712,939,496,282,810,487,152,14654,17684,17856,3749,3159,7241,5460,3896,3181,917,63140,3612,8840,1551,6339,2077,1198,1404,1740,403,27153,1078,3466,1740,792,672,913,622,860,94,10237,2039,382,7737,1145,614,848,2301,1942,164,17183,51,44,156,35,24,43,122,163,27,670,701,847,1095,662,337,220,897,446,241,5450,1163,713,2969,594,462,536,1911,1682,1647,11678,62872,96476,124878,22352,21442,16557,33621,30497,7362,416057,1250,5904,1842,1218,1673,878,129,533,119,13550,475,1401,349,368,921,340,41,351,63,4302,901,2734,1440,707,1129,686,547,911,88,9148,415,1597,670,272,607,445,41,171,33,4254,808,1426,875,463,898,471,140,643,54,5777
6,396,1264,232,110,144,51,44,109,29,2371,339,1017,518,79,177,138,89,152,43,2560,2425,2367,9554,618,840,668,2099,1769,313,20667,2161,446,4854,211,263,249,578,831,142,9719,1216,537,777,137,112,124,314,677,53,3944,229,2729,106,509,97,43,70,86,28,3898,412,2038,117,234,98,63,69,75,35,3130,2627,2256,498,440,1344,847,467,472,146,9096,688,1665,250,1551,430,182,145,245,91,5247,212,672,263,170,128,132,65,113,13,1762,499,74,1707,276,167,242,295,424,33,3713,14,12,13,6,4,6,13,23,12,99,166,180,142,119,98,40,109,100,40,994,340,148,615,128,98,151,443,462,297,2689,11714,15396,19645,4589,4006,2934,4789,5539,1274,69894,229,908,250,152,229,68,9,71,15,1948,59,160,43,54,115,32,3,27,7,504,94,194,146,108,182,80,59,246,20,1133,68,189,86,37,83,55,3,17,11,556,255,284,175,109,159,93,19,167,19,1283
7,170,423,113,57,55,22,18,40,11,910,176,404,239,70,95,61,60,66,19,1185,1416,1649,6845,608,466,288,997,872,235,13374,659,199,1871,183,99,64,305,558,91,4036,245,250,233,102,92,34,100,221,22,1304,175,1245,98,291,68,22,60,66,27,2053,242,820,98,168,71,9,58,47,19,1524,1366,902,352,545,608,318,285,244,82,4702,414,854,138,1223,248,74,109,129,63,3244,99,207,155,80,44,35,25,55,11,700,201,56,699,201,63,93,164,147,22,1656,10,3,36,14,3,8,15,23,3,103,107,105,129,192,43,13,82,79,36,780,161,127,337,171,69,65,197,252,274,1662,5443,7241,11333,3901,2025,1096,2460,2799,927,37232,105,381,83,78,111,28,4,30,8,829,50,82,29,44,85,32,0,31,9,374,84,152,136,67,110,47,31,93,4,725,30,70,56,14,36,15,3,13,3,241,95,185,73,71,148,41,12,105,8,744
8,912,2502,251,184,426,98,49,106,121,4648,1579,5421,760,210,598,207,121,171,243,9316,2074,3339,4192,496,851,349,641,710,236,12893,1186,504,3156,135,249,119,193,479,101,6126,310,392,452,77,185,50,64,137,39,1707,294,2234,106,446,156,48,35,59,57,3433,345,1539,56,225,164,44,35,77,38,2530,4244,4299,526,722,2394,765,277,437,363,14021,2964,5331,363,1778,1614,334,160,300,377,13212,456,1264,331,202,311,168,47,118,49,2944,347,80,1226,219,160,111,135,173,23,2486,8,12,10,5,0,3,3,22,0,64,311,301,109,157,168,34,62,58,73,1264,177,204,239,102,101,65,83,127,243,1354,15199,27416,11792,4975,7375,2385,1902,2970,1974,75983,748,1852,266,289,722,132,6,54,92,4159,411,1207,138,121,313,101,5,33,76,2401,182,495,103,98,183,77,33,70,22,1264,134,318,64,26,175,68,7,22,11,831,190,318,119,65,233,48,4,38,17,1036
9,7,9,3,3,3,0,0,5,3,30,3,3,6,3,0,0,0,0,0,17,39,19,127,10,5,3,31,26,4,266,18,3,51,6,0,0,7,14,0,99,7,6,7,0,0,3,0,9,5,31,4,12,3,3,0,0,0,0,0,23,11,19,0,3,0,0,0,3,0,37,41,6,5,12,10,0,0,5,3,81,13,13,0,27,8,0,0,0,3,61,0,5,0,0,0,0,0,0,0,9,5,0,17,0,3,4,5,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,13,3,4,8,7,3,0,10,10,0,46,152,87,248,68,28,20,57,77,21,755,3,0,3,4,3,0,0,0,0,12,3,0,0,0,0,0,0,0,0,10,0,3,0,5,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,3,3,4,0,3,0,0,3,0,16
