STE_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
1,132055,120735,252786,61972,71928,133903,4539,3211,7752,1358,1375,2732,3995,2700,6694,1081484,871920,1953399,62390,82426,144820,32159,744,32908,18780,2382,21159,18133,5198,23332,12473,6341,18811,64651,66308,130957,1493995,1235266,2729260,29514,30645,60155,887,742,1628,790,705,1491,19614,14603,34213,3513,6395,9901,2395,1062,3453,56703,54142,110847,803,626,1428,208,251,458,2981,2936,5916,1250,2592,3844,914,741,1650,6150,7150,13302,12839,6570,19414,75700,67854,143553,7872,7267,15141,628,562,1188,702,246,947,9204,8077,17281,70270,92758,163026,111321,181860,293177,18569,15469,34034,1779049,1601282,3380332
2,83520,74229,157750,13510,15248,28761,431,169,598,23016,28125,51140,3158,1718,4882,939104,752388,1691496,47279,63217,110502,16344,385,16720,8805,1074,9878,24197,9770,33963,9632,4679,14313,44031,43763,87794,1213035,994763,2207802,11259,9751,21010,12,14,24,8061,8269,16333,16307,12026,28327,2193,3838,6036,2312,971,3283,40142,34864,75009,11,4,18,1161,1612,2774,841,815,1655,703,1276,1978,277,226,505,2990,3937,6924,10728,6893,17628,53867,45695,99558,9587,9747,19332,356,382,734,654,327,978,10599,10457,21049,55832,71082,126918,92360,161894,254257,14424,12119,26545,1440118,1296007,2736125
3,20360,21951,42306,31111,32713,63829,1575,1357,2936,835,1014,1849,1961,1597,3554,732103,636865,1368965,49746,62766,112508,19403,547,19948,17651,1980,19630,16465,5218,21679,10923,4770,15689,35971,34499,70471,938102,805267,1743368,3512,3628,7136,27,36,66,20,25,45,5902,5937,11835,981,1386,2365,791,219,1005,11230,11232,22456,452,339,794,224,354,575,2278,2550,4821,962,1990,2957,626,433,1057,4537,5666,10206,10248,5297,15552,26016,22195,48212,1918,1869,3784,1262,691,1952,676,275,951,3854,2836,6690,47482,64941,112422,84213,122576,206793,10316,8647,18963,1109975,1026477,2136455
4,4258,4794,9046,13285,16303,29592,110,33,147,1180,1577,2763,860,517,1374,269118,223238,492357,13835,20172,34003,4388,123,4513,3082,362,3440,5659,1797,7455,3923,1243,5165,10881,9814,20697,330573,279966,610544,828,720,1550,3,0,3,88,109,199,840,1057,1895,113,175,287,144,47,191,2023,2102,4125,4,0,3,142,175,321,1200,1816,3024,372,858,1229,212,156,370,1936,3011,4952,3380,2167,5539,7337,7283,14619,345,475,824,197,235,436,206,92,296,752,797,1551,15056,17620,32679,30291,49785,80076,3514,3124,6634,387522,358582,746105
5,12479,13381,25863,28786,15955,44742,193,76,268,89,64,153,1328,714,2041,397816,335220,733030,26338,29831,56173,8232,270,8503,5008,741,5751,8853,2875,11730,12613,3214,15822,16298,15612,31914,518031,417953,935984,7363,6862,14225,7,6,16,9,7,14,4641,4956,9596,629,1013,1635,589,198,781,13229,13047,26277,25,14,40,8,4,13,945,882,1826,514,870,1382,535,182,714,2019,1954,3974,4847,2132,6983,20102,17133,37238,2145,2525,4668,364,168,528,262,91,354,2775,2782,5553,20115,29237,49354,50935,65773,116705,7638,5262,12903,619602,538133,1157735
6,38,21,61,2344,2879,5226,26,14,37,19,27,38,312,261,576,75401,65995,141396,5141,7394,12541,1651,43,1695,1129,163,1298,1276,380,1656,1021,394,1417,5277,5166,10443,93649,82728,176380,8,8,10,0,0,0,0,0,4,20,14,37,4,3,4,7,0,10,39,26,64,0,0,3,0,0,0,138,301,440,116,228,340,38,55,96,288,588,881,890,531,1416,1219,1141,2362,11,4,17,46,49,95,51,27,75,108,80,189,4769,5362,10135,9529,15728,25264,1214,1044,2255,110489,106099,216583
7,23,22,41,3361,1511,4872,30,10,39,7,9,14,141,142,279,33139,28731,61874,3028,3918,6947,535,19,557,1122,266,1392,1535,1021,2552,859,338,1197,4202,4482,8683,47982,40465,88454,4,4,11,0,0,0,0,0,0,9,6,16,0,0,0,0,0,0,16,7,25,5,4,11,0,0,0,811,149,959,86,117,200,141,24,171,1041,296,1336,550,345,900,1607,655,2262,5,3,12,53,33,85,38,35,72,99,71,171,1064,1589,2653,3544,4142,7684,812,670,1481,55115,47597,102708
8,97,51,149,5939,6295,12226,27,12,37,25,24,50,192,126,315,69443,61332,130776,4116,8203,12320,959,20,979,1772,207,1974,3730,1636,5366,737,326,1061,4994,4308,9305,92026,82536,174561,17,9,23,0,0,0,3,0,4,47,26,72,0,3,8,11,0,9,78,43,119,0,3,3,3,0,4,406,457,867,254,422,683,159,130,286,829,1018,1843,941,655,1603,1847,1714,3562,24,19,44,91,80,173,63,25,87,176,125,301,2731,3579,6307,7305,12386,19685,637,567,1205,104720,100905,205626
9,4,0,4,32,21,53,28,13,37,0,0,0,0,0,3,680,593,1269,53,63,117,63,8,69,41,13,52,13,5,16,22,6,31,89,73,163,1023,806,1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,21,0,0,0,0,0,0,0,0,0,0,0,0,11,16,21,19,8,30,28,25,53,0,0,0,6,3,4,5,0,5,7,3,15,33,47,77,65,94,157,24,11,38,1188,982,2170
