STE_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1,5766,13447,29063,26904,25892,17782,4943,598,72,124477,7149,15891,37207,33798,33206,22291,7158,1905,503,159108,162062,311421,779477,753373,719965,507504,127661,16449,2426,3380332
2,3478,10498,24072,20654,20911,14217,3903,465,58,98254,5097,12531,29893,27146,27935,18622,6140,1511,440,129326,124594,256201,652084,605556,582816,401175,99365,12220,2117,2736125
3,4485,9619,20067,17714,16779,11397,3091,303,17,83470,4955,9130,19550,19831,19291,12996,4339,1132,273,91505,125844,206670,465882,469158,466843,316606,75444,8874,1132,2136455
4,1092,3104,6483,5880,6318,4707,1336,172,15,29099,1146,2229,5096,4894,5304,3870,1387,434,133,24488,37074,67907,156990,156163,168303,125351,30077,3676,574,746105
5,2272,5357,11717,9426,9072,6176,1627,197,16,45857,2477,5120,12255,11440,11388,7358,2402,592,107,53143,58101,105605,270623,252898,250247,172156,42578,4940,587,1157735
6,359,912,1721,1621,1769,1324,366,51,4,8120,450,643,1360,1407,1615,1242,471,148,43,7381,11936,18787,40859,44068,51055,39642,8897,1165,175,216583
7,220,460,1094,901,851,509,131,10,0,4187,279,501,1176,1014,953,592,163,33,9,4720,4530,9355,27399,22954,21058,13909,3187,284,29,102708
8,336,793,1510,1304,1163,739,239,21,5,6111,305,631,1395,1201,978,567,212,47,25,5363,10740,20950,52637,48172,41822,24808,5821,594,78,205626
9,0,0,9,8,19,13,4,0,0,58,3,11,10,22,32,23,15,0,0,110,70,119,336,448,508,446,203,29,4,2170
