STE_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
1,5162,7147,8058,10617,34434,67149,38813,111598,3369,286353,7255,19494,16102,19714,66631,105461,43952,80451,3468,362516,8085,14281,18914,22089,78387,102103,46486,65505,6798,362657,3832,16401,13745,13665,20416,15975,11063,11662,1996,108753,2784,6668,6276,6585,32131,28491,13031,17838,1350,115157,2985,21592,14072,11023,20900,22366,10852,18073,1888,123753,5482,10420,12170,13917,41196,36443,22550,39792,4136,186100,5960,32157,25702,21192,37616,35101,14514,19721,4858,196828,1247,2237,1851,1818,5495,6401,2202,4767,10919,36937,42788,130397,116887,120634,337213,419499,203460,369411,38774,1779049,6303,8215,11582,16208,29957,37378,20242,38174,1681,169733,20895,38853,55047,55293,79425,92870,37841,51461,3928,435609,2261,8941,10038,10605,14298,9932,4557,4889,1052,66581,9749,49361,47290,47897,38651,23578,9457,11252,4275,241506,12782,41517,52197,52803,92589,62083,19863,15582,3417,352824,7411,54965,35212,29473,27109,16593,6935,7096,2860,187657,720,2581,2683,2711,5996,2988,1207,1447,398,20736,3434,27457,19907,16193,16375,9040,3053,3487,2119,101060,1300,2358,1973,1897,3826,3275,905,1543,8500,25568,64865,234240,235935,233071,308221,257734,104063,134932,28228,1601282
2,4712,6123,6362,9648,28882,55189,33512,89232,2855,236522,5873,15630,12679,17811,53828,83296,37327,57848,2703,286999,7071,11552,14245,18790,67816,89437,38069,48182,5429,300585,3385,15608,10054,10929,12508,15084,8099,8896,1577,86142,2267,5892,5274,5964,25737,24063,11061,13067,1030,94359,2467,21142,11143,9073,17182,17672,9399,14670,1551,104297,4218,7472,9131,10812,33071,30178,17517,25992,3155,141549,4785,29460,19861,16787,32582,27830,12359,14509,3708,161881,1072,1892,1284,1463,3997,4726,1668,3266,8417,27790,35849,114778,90030,101276,275608,347483,169015,275664,30424,1440118,5254,7662,10135,14737,23636,27014,15811,27810,1338,133394,17683,34072,47593,53932,60158,64506,30364,37960,2948,349220,2127,8619,8565,9333,12907,8268,3764,3681,892,58163,9163,45815,39925,41391,30614,16526,7561,8669,3547,203205,10413,34554,41314,42626,65819,45320,15302,10796,2712,268855,6229,55351,29138,23972,20428,12194,5536,5475,2521,160845,674,2002,2057,2566,5351,2828,1051,833,291,17645,3118,24737,15960,13883,13857,7018,2601,2601,1768,85549,1121,1811,1469,1567,2626,2231,616,1067,6632,19134,55788,214622,196164,204006,235395,185906,82591,98895,22643,1296007
3,3201,3943,3766,5955,17713,31806,21354,70365,1818,159911,4392,9496,7358,12545,34174,47395,22515,41814,1463,181149,7130,9463,9842,15167,55474,62772,37592,58174,3936,259548,2803,9883,7263,9206,11746,12195,7351,9096,1176,70722,1748,3731,3073,3938,17641,13907,7747,10704,590,63083,1715,15023,7653,8294,12586,11955,6867,12811,1064,77965,4739,6015,6750,9903,25255,21612,17722,38354,2742,133094,4188,22186,14903,16853,28391,23145,11825,18930,3124,143544,861,1275,879,1128,2877,3274,1320,3338,6002,20957,30777,81012,61493,82990,205858,228062,134297,263579,21908,1109975,3348,5051,5990,9529,18320,18968,12019,24375,1000,98596,12817,22068,28546,38719,44334,44057,20805,29464,1962,242768,1670,5972,5990,7839,10569,6037,3473,3705,630,45898,7211,32848,30803,39929,29069,13663,6559,8514,2642,171234,8593,25723,29120,34779,64197,37029,14614,12021,2169,228238,4356,38276,22327,22671,19964,9561,5063,5964,1661,129834,656,1550,1601,2080,3145,1875,1220,2148,258,14539,2763,21203,14285,16069,12909,6279,2710,3911,1588,81723,796,1296,877,1109,1876,1540,522,930,4684,13638,42229,153991,139541,172725,204377,139000,66976,91037,16602,1026477
4,1442,1857,1689,2848,7819,11871,9205,22888,611,60235,1673,3842,2957,4440,14785,15449,8563,12619,520,64852,2455,3482,3601,6008,20923,20685,11198,13916,1196,83461,1084,4357,2608,3709,4433,4274,2545,2597,390,26009,674,1449,1148,1810,7565,4716,2936,2978,198,23478,690,5574,2611,2971,4952,3900,2692,3494,324,27204,1546,2217,2447,3548,10174,6946,5507,9014,721,42117,1825,9976,5552,6506,11274,8289,4153,4647,1010,53241,332,489,298,403,1196,1046,489,861,1803,6923,11721,33252,22917,32242,83120,77187,47293,73009,6783,387522,1346,2252,2510,4201,6512,5766,4170,6769,324,33836,5054,8168,12032,14968,17142,12550,6978,8700,641,86234,647,2478,2534,3225,3795,1749,982,1056,205,16672,3172,13964,12022,15186,9528,3984,2179,2647,935,63618,3193,9564,11010,13509,22055,9276,4181,2698,581,76062,1819,15265,8020,8108,5693,2350,1453,1280,568,44558,141,473,451,539,822,411,191,334,40,3399,1099,9407,5456,5413,4120,1776,906,916,525,29609,337,471,339,457,759,404,170,218,1449,4586,16808,62036,54370,65600,70432,38260,21202,24604,5271,358582
5,2231,2527,2530,3352,9420,19696,13138,35444,841,89176,2904,5596,4441,5912,18585,29664,14357,23784,893,106140,6179,5749,6377,8723,29042,38255,21222,41256,2638,159429,1479,5519,3641,3681,4429,6744,3829,4661,569,34549,922,1926,1557,1875,8325,8085,4482,5661,351,33182,933,8260,3952,3364,5219,5902,3250,5551,490,36926,3991,3780,3644,4704,12287,11207,10011,25912,1535,77073,2880,12683,8214,7303,10844,10551,5323,11938,1423,71162,572,761,503,580,1499,1973,938,2229,2906,11962,22092,46805,34852,39498,99649,132076,76558,156428,11643,619602,1971,3269,3712,5358,9193,10224,5910,10039,506,50179,6937,13900,17541,18711,24135,23913,11143,13806,1009,131093,1148,4047,3984,4357,6134,3746,1835,2341,379,27968,3954,18956,16265,18564,14178,7410,3147,4456,1404,88337,4569,15843,17318,17744,28978,19416,6728,5602,1028,117227,2442,21297,11894,10489,9020,4941,2180,2262,884,65407,628,959,906,1069,1566,1003,783,2241,162,9326,1664,12417,7745,7142,4943,2864,1234,2647,771,41438,441,757,591,595,994,810,272,479,2222,7164,23754,91457,79954,84023,99142,74325,33240,43862,8375,538133
6,468,604,551,888,2254,3420,2365,6308,208,17059,556,1181,952,1434,3874,3747,1992,3140,135,17011,765,1142,1071,1732,6065,6874,3311,3635,367,24958,367,1168,824,1203,1260,954,627,727,106,7230,211,480,348,524,2080,1320,774,885,44,6668,238,1709,757,752,1426,1095,712,891,105,7686,535,777,779,977,2613,2258,1974,2602,284,12799,679,2507,1480,1819,3085,2424,1146,1389,317,14854,102,140,123,131,404,342,148,270,563,2223,3921,9711,6889,9458,23060,22427,13055,19838,2138,110489,430,683,737,1132,1736,1564,990,2042,93,9404,1453,2287,3693,4415,4446,3298,1774,2225,168,23765,210,874,829,996,1125,561,306,315,63,5279,1002,4169,4061,4571,2514,1285,752,888,281,19527,1078,2685,3244,3777,6046,2641,1080,826,153,21526,647,4543,2475,2384,1957,762,404,388,156,13716,71,163,174,159,170,100,73,72,14,1002,480,3421,1886,1741,1250,692,269,369,219,10323,120,155,133,149,265,135,42,87,463,1542,5494,18982,17236,19320,19511,11038,5681,7214,1611,106099
7,235,115,123,188,979,1519,994,3124,98,7385,302,312,236,457,1884,2033,962,2069,85,8350,535,366,347,529,2547,3118,1839,4568,264,14109,375,323,343,427,1112,1379,862,1268,147,6237,110,121,114,174,969,735,361,583,38,3203,69,502,276,229,547,338,226,396,42,2633,230,190,252,327,975,792,586,1816,141,5309,220,648,551,560,958,991,426,1766,210,6329,77,69,55,70,210,238,104,292,447,1564,2158,2643,2300,2969,10185,11145,6362,15881,1470,55115,224,166,158,321,1096,1028,689,1408,48,5137,760,659,830,1231,2922,2661,1238,1851,150,12305,103,173,196,239,524,342,173,285,43,2072,360,902,1020,1208,1956,1063,495,766,187,7945,533,645,711,1135,3783,2131,841,984,140,10899,158,954,575,672,901,484,259,293,89,4386,32,46,44,54,128,81,57,123,10,569,109,504,448,546,575,422,182,427,89,3310,73,49,38,57,177,89,37,74,374,973,2350,4095,4026,5462,12059,8298,3963,6208,1135,47597
8,482,395,416,691,3069,4606,3240,5807,147,18854,783,1434,1018,1636,7917,8804,3855,4830,243,30517,383,668,645,933,3768,4641,2088,2904,214,16257,343,1510,924,884,1264,1329,886,1121,171,8424,387,539,470,615,3726,2483,1166,1139,95,10620,161,1523,714,611,888,683,426,652,99,5760,139,420,309,373,719,820,585,881,91,4332,221,1521,1007,813,1164,1109,489,660,150,7133,88,130,99,139,671,629,254,363,458,2830,2989,8150,5593,6696,23172,25101,12991,18359,1674,104720,794,464,755,1381,2849,2879,2118,2616,77,13929,2001,2382,2923,4133,7631,6254,3210,3427,241,32204,125,392,421,480,920,509,255,239,42,3384,589,3172,2252,2240,2408,1130,544,682,256,13269,1319,1943,2325,3122,7751,4327,1833,1232,192,24044,354,2951,1400,1159,1123,551,266,268,140,8203,29,60,35,56,64,51,13,35,5,357,106,966,676,505,471,217,82,130,67,3221,176,124,122,194,557,436,167,188,326,2301,5493,12455,10901,13269,23776,16350,8486,8816,1348,100905
9,9,15,4,10,29,40,24,78,4,203,8,3,5,3,27,23,13,20,0,103,14,19,12,23,89,61,55,49,9,324,4,12,7,4,8,13,35,24,4,112,8,0,0,0,18,11,7,9,0,52,0,3,0,0,5,4,6,8,0,29,7,10,4,7,47,15,11,31,7,152,10,18,12,21,47,29,14,17,5,172,0,3,0,0,13,5,3,7,3,43,55,88,50,79,272,199,171,247,37,1188,4,3,5,18,28,24,13,34,4,140,6,18,11,6,25,41,6,19,5,146,4,7,11,3,13,13,0,3,5,54,16,31,24,32,37,16,12,13,9,187,18,14,22,28,59,27,15,14,0,200,3,24,16,23,22,6,6,7,0,104,0,3,3,0,3,0,0,0,0,16,6,32,11,18,42,9,3,8,3,132,0,3,0,0,0,0,0,0,3,12,62,128,99,132,228,132,62,97,33,982
