STE_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
1,876,299,4353,3742,14292,2029,25594,893,247,2475,2175,14262,569,20628,6327,1014,17724,11894,49575,3417,89954,1862,311,3412,3097,9979,482,19143,4279,817,18617,15071,124847,6003,169633,5084,724,12456,6352,15906,1585,42108,6491,950,19718,11110,31618,3346,73238,3431,549,13987,11862,21730,2820,54372,4897,968,13286,11269,32067,3785,66271,5466,1060,14237,5400,6521,1068,33754,14924,3116,33241,10429,6947,1756,70421,2348,509,6556,4586,7833,975,22814,27787,5072,66171,15483,13245,3335,131087,2719,571,9121,5434,13951,1686,33488,10513,3712,23267,18808,28907,2419,87616,20123,5083,29023,6152,8168,1433,69984,15017,3102,32498,10809,14716,2552,78691,1504,408,5625,2918,6021,684,17164,2736,564,6772,4613,35781,1439,51907,4941,701,12673,6837,24257,8006,57418,142222,29783,345230,168043,480623,49380,1215285,505,400,3239,2637,3999,1123,11898,301,79,804,442,972,119,2716,3163,714,11009,6618,9350,1839,32692,633,178,1588,833,1279,173,4677,1744,441,6382,5519,7976,1253,23318,3486,615,9260,4952,5815,1055,25179,5370,1215,24029,17188,30346,5178,83323,2856,595,14606,12132
2,716,266,3254,3563,12064,1622,21480,492,106,1227,536,3012,172,5546,6215,1580,21176,14118,50965,3711,97764,1740,467,4379,2332,7173,512,16605,2456,838,13529,12093,108071,4696,141684,3344,841,10307,5550,13069,1297,34410,5029,1138,18544,10923,24307,2791,62734,2631,480,11344,9956,15659,1948,42012,3970,1091,12222,10745,24027,3247,55296,3859,1028,10263,4078,4719,708,24650,7705,2432,21192,7594,3927,1067,43917,1462,431,5091,2833,5363,590,15769,21353,4796,55182,12806,9312,2462,105911,2268,723,7892,5006,10709,1245,27842,6787,3336,16101,12297,15942,1594,56060,17162,7709,23804,5933,6091,1114,61821,11612,3925,25750,8431,10533,1806,62052,1528,653,6478,3236,5193,654,17744,2054,639,5312,4574,26385,1301,40262,3703,807,10478,6223,19680,6577,47466,106084,33266,283524,142820,376214,39116,981026,413,389,2679,2355,2877,850,9560,178,67,561,153,191,33,1178,2896,1021,11402,6490,8722,1623,32158,880,329,2401,1020,1151,172,5952,1036,456,4899,4181,5298,715,16590,1991,640,7409,3913,4362,703,19021,3882,1555,23394,16154,22615,4005,71606,2205,617,11675,9503
3,520,175,2682,2591,9910,1516,17390,1596,515,4686,2697,19380,900,29771,1998,597,7213,6649,40522,2208,59191,936,309,2441,2247,7623,362,13914,1496,547,8520,9052,94277,4081,117975,1109,308,3786,3095,12407,834,21539,1662,454,8283,6229,23743,1947,42314,1455,272,6499,6187,16523,1631,32569,1877,673,6520,7721,24346,2491,43622,699,225,3125,1987,3796,332,10171,2141,838,7052,4553,3102,467,18153,865,320,3531,2125,6061,610,13509,9400,2767,28821,8303,9459,1606,60358,961,332,4032,3172,10516,1030,20041,4813,2696,14275,13092,20611,1689,57174,10098,4057,18015,4324,6759,900,44152,7869,2368,20567,7122,9842,1493,49259,574,223,2738,1839,4443,464,10281,1074,404,3159,3009,24171,1066,32881,1511,336,4790,3721,17947,4931,33239,52662,18414,160738,99718,365425,30551,727504,336,228,2632,2084,3054,804,9136,532,231,1811,775,1566,157,5066,790,314,3963,3546,6538,897,16052,364,167,1220,793,1111,85,3744,475,317,3444,3499,6071,645,14453,549,240,2472,2062,3647,418,9391,1525,687,10926,10498,22903,2888,49435,1426,439,8405,8153
4,252,118,1370,1326,5493,847,9410,379,78,1150,501,3290,187,5582,1165,378,4365,3344,17005,1087,27352,328,123,1010,728,2630,146,4971,405,152,2624,2434,25918,1306,32843,396,126,1559,1258,4562,349,8263,771,180,3370,2185,8643,703,15853,564,85,2101,1558,4955,509,9770,591,189,1776,1940,6671,778,11945,304,101,1197,756,1553,124,4035,624,317,2142,1974,1117,176,6355,170,98,803,811,1399,140,3429,2954,978,9314,2797,2869,480,19387,378,106,1271,1085,3803,393,7031,2131,1076,5756,4618,7488,622,21688,3991,1383,7040,1793,2222,304,16726,3285,906,8041,2717,4190,592,19736,178,85,823,574,1255,149,3064,418,181,1237,1043,8579,402,11853,401,98,1369,977,4263,1350,8457,19698,6750,58317,34434,117908,10649,247744,131,122,996,903,1283,326,3751,104,41,363,144,238,16,907,443,166,2126,1473,2795,418,7412,127,73,450,261,433,38,1385,157,73,922,881,1688,189,3905,184,78,955,634,1215,141,3215,543,273,3914,2870,8470,1067,17134,469,117,2414,1758
5,259,88,1638,1227,4650,696,8554,3332,873,9408,4522,24403,1268,43803,1379,372,5453,3854,19985,1057,32100,642,163,1663,974,3802,205,7449,1223,385,6839,6744,48644,2274,66107,635,175,2486,1741,5902,453,11388,1272,271,5553,3223,10366,940,21628,777,184,3962,3494,7118,797,16340,1104,337,3926,4261,11171,1230,22030,400,135,1510,1014,1702,174,4935,1089,508,3940,2313,1333,300,9477,353,170,1894,1418,2487,304,6627,5587,1481,18144,5200,5159,982,36554,590,197,2423,1646,5137,535,10532,2723,1498,7580,6310,9335,940,28390,4883,2628,9465,2034,3170,443,22631,3640,1080,9950,2983,4083,773,22517,401,151,1762,950,2106,216,5583,694,224,2047,1651,13432,547,18603,1187,260,3806,2580,10588,2390,20801,32175,11167,103466,58136,194578,16527,416057,139,173,1356,964,1344,444,4416,1048,430,3518,1436,2383,299,9111,542,269,2591,1823,2799,456,8480,298,118,842,402,574,66,2298,440,263,2588,2195,3530,477,9499,277,136,1447,1014,1671,247,4787,1136,457,7046,5202,11267,1765,26876,777,221,5066,3837
6,138,60,594,639,2403,336,4161,36,13,126,107,930,55,1271,178,63,665,687,4804,305,6693,153,50,423,338,1023,57,2049,54,28,404,595,9120,333,10537,36,18,196,241,1199,89,1786,113,43,656,499,2746,266,4312,148,30,550,377,1828,157,3091,64,37,321,496,2186,245,3357,58,27,286,227,485,35,1119,87,63,395,396,285,31,1260,21,34,145,181,353,53,779,698,253,2190,679,820,124,4763,74,20,228,228,905,79,1530,519,438,1513,1073,2105,176,5827,1182,365,2242,454,808,105,5163,730,287,1908,805,1363,143,5233,111,49,362,195,531,50,1291,92,47,287,203,2380,99,3102,74,23,276,207,1521,464,2568,4552,1940,13759,8629,37807,3202,69894,61,33,405,297,526,127,1444,3,0,32,20,46,3,112,66,41,355,288,757,104,1621,48,36,203,161,158,17,614,23,20,145,195,454,59,890,23,22,114,115,308,26,611,96,79,877,699,2700,372,4825,138,48,767,543
7,11,0,85,109,416,76,701,95,18,237,154,1032,57,1598,28,8,136,130,911,65,1272,74,17,189,132,544,23,978,134,19,508,491,4707,287,6148,27,6,112,102,412,35,695,99,11,301,196,868,115,1596,105,20,472,303,754,112,1761,65,30,303,393,1062,130,1981,13,16,100,82,191,14,411,16,11,72,95,57,9,264,16,16,78,75,228,20,425,274,100,870,306,1167,89,2806,37,5,144,119,432,56,803,577,283,1510,1561,3141,255,7334,406,235,739,171,446,66,2066,361,127,876,336,487,124,2308,51,13,137,104,253,41,595,53,24,180,120,1155,116,1645,80,20,228,170,983,362,1841,2522,983,7285,5155,19249,2036,37232,10,3,97,80,161,24,384,9,8,79,49,89,10,242,14,9,57,58,158,16,308,27,22,86,61,98,8,300,27,32,195,198,413,47,916,11,3,53,51,117,19,252,67,28,400,266,772,146,1681,88,19,587,349
8,34,13,66,47,75,11,245,6,0,10,9,38,0,69,138,27,303,224,908,47,1646,93,19,175,112,341,25,764,120,51,748,765,5449,222,7351,82,31,268,148,341,39,907,280,64,891,494,1292,124,3143,255,28,877,667,1218,122,3175,241,70,452,372,847,84,2066,225,82,565,270,367,30,1539,232,79,483,246,148,29,1217,90,34,257,194,305,21,901,2547,630,4462,1127,844,195,9809,166,55,503,249,581,68,1616,6616,2066,9970,3842,3403,399,26300,2244,514,1933,413,526,83,5710,971,244,1709,609,668,116,4325,141,58,356,154,290,23,1020,223,59,413,224,1248,50,2223,276,54,477,235,628,290,1957,14974,4184,24927,10404,19514,1988,75983,18,3,53,19,35,10,143,3,0,0,6,0,0,7,45,22,154,89,148,22,480,35,12,122,51,66,5,299,60,20,223,197,276,28,804,25,14,94,73,72,8,291,283,70,1071,592,1061,142,3228,197,39,782,458
9,0,0,4,3,3,3,14,0,0,4,6,49,7,66,0,0,3,0,13,0,23,0,3,0,3,23,0,27,0,0,3,0,79,3,91,0,0,0,0,10,0,8,0,0,3,3,23,3,34,0,0,8,11,26,12,55,0,0,3,9,27,8,43,0,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,4,0,8,0,12,0,0,7,6,3,3,20,0,0,5,6,18,3,32,17,8,40,33,85,11,183,5,3,15,0,3,0,33,3,0,6,3,4,0,12,0,0,8,0,16,3,28,0,0,3,0,25,0,30,0,0,5,6,20,11,39,26,19,118,88,441,64,755,0,0,0,0,3,0,7,0,0,0,9,3,0,11,0,0,0,0,0,0,10,0,0,0,3,3,0,8,0,0,0,0,5,0,4,0,0,0,0,0,0,0,3,0,9,8,16,5,50,4,0,14,28
