STE_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
1,3511,9761,9757,9835,8823,6818,2593,768,51860,7369,30751,30741,14096,6721,2087,273,54,92100,24638,79387,81680,91953,86679,65067,32003,10177,471587,14039,36079,35362,34160,27993,19345,10187,2822,179984,3333,8845,10466,10174,8357,5187,2359,630,49353,4179,17217,15665,14233,12956,7459,3701,1416,76826,1743,9407,10121,10755,15520,10388,4079,1130,63147,21142,80408,72595,57897,43205,27270,9340,2683,314539,10041,30148,28663,26021,22274,14637,5259,1468,138508,7159,17005,12362,7934,5867,3439,1294,382,55451,6078,16799,13736,10294,6949,4887,2122,560,61432,1140,696,510,510,560,607,493,184,4701,1508,4118,4968,4900,3796,2489,1191,511,23489,40870,49619,42483,40755,36892,32428,23400,12201,278652,146753,390242,369112,333511,286604,202113,98291,34986,1861620,4333,12606,11983,9899,7111,3742,1253,349,51274,1452,10078,10054,6160,3316,1191,212,26,32486,2320,9849,8125,7766,5843,3791,3031,1527,42252,1649,5427,4318,3197,1822,736,275,71,17495,2170,4441,4719,3836,2455,1098,353,80,19155,15554,54797,47144,46786,45653,25145,11510,4072,250661,9031,37855,38642,36708,40950,25384,9879,2982,201435,36102,118959
2,4114,8827,8774,8266,7365,5357,1860,602,45168,6128,27861,26277,11892,5750,1735,213,36,79889,20095,65251,64525,71752,63091,46109,22209,7237,360274,14692,36802,27517,25159,19818,12676,7018,1972,145657,2755,8006,8671,8185,5855,3333,1413,417,38636,3596,14872,12747,11305,9720,5342,2381,850,60813,1582,8656,8885,8977,11881,9263,3611,888,53736,18004,63252,56312,43671,31038,17933,6155,1922,238270,9795,23545,20956,18619,15964,10300,3489,891,103560,7432,16956,10994,6348,4436,2613,886,274,49934,5375,16293,11106,8506,5369,3166,1480,415,51700,902,552,344,374,401,452,402,131,3557,1433,4431,4881,4334,3268,2027,918,407,21698,31448,37912,32218,30901,27282,24310,17789,8708,210566,127343,333207,294205,258284,211238,144605,69823,24754,1463464,5591,13349,12305,8224,5026,2211,733,278,47724,1357,9686,8677,4586,2412,744,86,27,27575,2302,8930,7582,5774,3865,2732,2356,1037,34571,1778,5728,3963,2725,1317,530,153,59,16266,1916,4337,4351,3033,1738,645,232,81,16320,13902,52769,41367,38693,34093,19608,9353,3289,213078,6785,31643,31354,31545,32806,21806,8067,2401,166408,25248,87322
3,2073,5376,5344,4922,4192,3276,1138,286,26614,4819,11123,11186,6323,3152,1085,157,16,37862,21306,59996,60389,63844,57505,42746,19402,4995,330173,9202,26868,25111,23657,21919,15065,6962,1694,130482,2327,5451,7028,6522,4902,2831,1218,301,30580,3124,11296,11222,10575,8161,4486,1993,624,51480,1015,5468,7149,7742,8428,6142,2282,491,38707,13453,32591,33593,29904,21611,13054,4217,1100,149521,8979,15718,15159,13114,10536,7104,2463,530,73606,5141,7619,5216,3522,2607,1708,677,163,26650,5952,10655,9673,7705,5045,3493,1207,283,44012,766,397,237,268,352,388,316,135,2847,1058,2625,3191,3268,2416,1571,749,261,15146,29292,32771,29578,29369,25277,21199,13626,6525,187630,108499,227949,224075,210724,176098,124136,56406,17418,1145303,2566,6905,6284,4573,2937,1492,455,130,25339,1145,3024,3406,2182,1221,469,69,8,11521,1826,5443,4753,3865,2642,1735,1228,536,22021,1006,3034,2316,1706,835,397,112,33,9447,1634,3289,3444,2279,1332,483,130,31,12628,12339,36386,32673,33281,28961,15967,6814,2176,168594,5202,22181,28402,27897,24493,14523,5301,1392,129395,25624,61855
4,647,2405,2453,2235,2113,1651,580,161,12249,1269,4257,3898,2188,1320,448,58,10,13431,6701,19268,19316,22090,20251,16243,8309,2680,114857,3434,7291,5509,6024,5740,4324,2458,761,35535,1083,2730,3019,2764,2059,1209,446,183,13498,1016,4004,3960,3686,3441,1986,802,352,19238,461,2279,2343,2448,3901,3257,932,253,15883,3356,11531,12228,10784,8624,5691,2015,624,54858,2422,6091,5730,5332,4991,3474,1114,328,29482,1329,2678,1953,1376,1138,714,246,69,9498,1670,3677,3075,2557,1790,1191,452,117,14526,166,102,97,97,121,129,144,65,908,327,946,1042,1044,842,620,301,131,5259,7890,8647,8128,8704,7997,6950,5120,2769,56199,31758,75902,72754,71319,64333,47886,22969,8501,395426,914,2763,2593,1823,1272,644,213,78,10301,198,1244,1171,753,446,155,36,4,4003,588,1816,1638,1408,956,798,637,356,8193,450,1090,770,589,326,161,49,13,3445,591,1304,1255,971,553,231,58,12,4970,4279,14388,12275,13169,13354,6799,2899,1143,68306,1659,7519,7876,7520,9177,6802,2175,834,43566,6400,19638
5,1491,4403,4359,3997,3117,2193,677,194,20435,2218,6406,6086,3247,1506,470,63,8,19999,14498,43763,41422,40048,33129,21638,9336,2329,206167,5538,14779,11248,10875,8958,6143,3328,808,61681,1176,3145,3532,3214,2521,1654,726,184,16151,1393,6009,5847,5336,4053,2241,969,322,26167,561,2709,3379,3885,4619,2921,1223,311,19607,5343,18358,18053,16035,11295,7191,2448,645,79368,3492,8151,7274,6285,5398,3488,1172,316,35573,2352,4005,2763,1813,1445,849,309,89,13624,1872,5961,4913,4109,2600,1549,596,149,21746,355,199,178,163,164,193,166,61,1478,445,1478,1603,1655,1155,649,357,127,7468,14668,21684,18173,16703,13294,9964,6994,3372,104853,55400,141059,128832,117376,93242,61137,28375,8913,634332,2154,5735,4943,3258,1920,790,225,87,19113,480,2123,1945,1241,680,223,44,0,6751,1291,4397,3608,2259,1398,799,718,331,14797,691,2018,1406,978,503,174,43,12,5824,872,2331,2272,1487,776,284,95,23,8142,6599,21444,17756,16814,14769,8483,3918,1182,90964,3288,12840,15363,15754,13798,7329,2846,777,71989,10805,33181
6,156,573,679,726,718,580,190,67,3690,461,1186,803,545,336,131,21,4,3487,1847,4600,4983,6049,6395,4847,2383,684,31795,1186,2663,2019,2475,2646,1703,915,233,13831,398,955,1137,1132,844,458,214,56,5192,200,839,934,1019,1106,607,267,93,5070,80,584,764,824,1208,984,346,91,4876,758,2265,2387,2541,2302,1546,535,166,12489,575,1262,1378,1503,1528,1132,348,89,7818,250,596,556,437,432,377,125,34,2808,556,1104,1132,917,707,432,183,34,5063,60,33,32,31,63,69,49,23,353,86,232,293,337,315,220,96,38,1620,2851,2494,2433,3040,3156,3036,1999,761,19765,9461,19389,19523,21573,21759,16123,7673,2372,117870,172,695,763,563,393,219,69,27,2898,65,163,223,177,144,79,12,0,864,130,312,442,407,311,253,159,79,2093,87,189,179,146,114,36,5,5,767,192,394,489,430,263,94,27,7,1906,1015,3091,2822,3548,3903,2445,1057,375,18262,342,1969,2528,2637,3294,2263,1115,330,14474,1900,4783
7,51,227,251,239,194,103,25,5,1091,176,459,377,182,114,29,6,0,1338,1226,4237,3396,3230,2294,1083,316,55,15833,328,1482,1058,867,708,391,131,21,4993,150,381,399,371,224,88,26,9,1649,106,673,573,480,330,132,28,7,2325,27,303,380,389,449,248,61,4,1869,348,1453,1281,1140,757,301,51,6,5340,280,958,917,792,590,246,69,9,3859,105,243,210,138,110,61,13,3,884,224,595,423,363,199,78,13,0,1896,41,33,21,17,24,17,3,0,161,76,251,237,190,121,50,15,3,931,3267,4385,3319,2975,2104,1106,359,87,17608,6414,15679,12841,11363,8210,3933,1118,220,59779,78,298,314,196,102,34,0,0,1031,28,171,166,80,67,16,0,0,534,103,304,231,172,92,47,15,3,975,25,125,81,61,25,4,0,0,325,144,284,285,146,80,17,3,0,953,424,2204,1598,1298,1082,411,146,37,7193,180,1283,1285,1251,1057,459,110,16,5640,840,2958
8,466,1336,1179,1276,1197,933,356,127,6870,772,3033,3261,2045,1181,355,32,0,10682,923,3551,3514,3341,2831,2109,1037,356,17670,682,1990,1545,1260,1023,774,436,134,7850,114,458,487,448,377,221,117,29,2259,188,1133,936,742,610,287,144,57,4101,111,630,726,587,633,465,240,69,3457,1200,4282,4195,3468,2396,1337,410,141,17435,1136,4168,3594,2996,2701,2148,733,228,17704,447,1151,855,575,385,186,59,13,3663,341,947,735,478,279,155,63,18,3018,57,22,11,7,20,16,19,7,166,99,322,393,353,259,189,112,42,1780,1782,2564,2042,1718,1288,1043,769,396,11602,8328,25600,23476,19289,15181,10221,4533,1628,108258,573,1506,1373,1083,699,401,115,56,5808,203,884,826,701,419,118,14,0,3165,161,590,443,282,251,148,104,59,2033,105,328,242,205,120,55,10,0,1067,134,365,383,261,137,68,26,3,1377,745,3293,2675,2290,2137,1213,648,212,13214,440,2160,2264,1948,2087,1678,712,162,11437,1974,6345
9,0,8,6,6,6,4,3,0,41,0,8,6,5,0,0,0,0,12,16,46,57,78,68,47,9,5,323,7,12,24,32,42,11,11,0,130,4,4,9,11,7,3,0,0,42,0,0,4,3,3,7,3,0,28,0,3,13,8,3,7,3,0,40,5,17,25,19,9,11,3,0,89,8,22,13,10,11,10,0,0,73,0,0,0,3,0,5,0,0,11,0,11,17,10,9,4,0,0,53,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,18,76,145,96,79,71,44,24,3,542,121,273,273,269,244,146,52,13,1386,0,5,9,3,0,0,0,0,16,0,4,0,3,0,0,0,0,13,4,3,4,0,5,0,4,0,16,0,0,0,3,0,0,0,0,5,3,3,4,5,3,0,0,0,17,3,12,18,13,28,18,3,3,97,5,23,23,22,20,12,5,0,113,14,44
