STE_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1,2808418,2910549,5718965,115401,120906,236309,298741,308851,607596,9457,9332,18786,14362,14509,28877,2674,2380,5057,4484,3952,8443,833,845,1678,1442,1327,2774,4161,4324,8482,88,55,143,336242,345582,681826,65461,71482,136936,8012,7190,15202,525120,545160,1070271,307543,295733,603282,3641083,3751438,7392522
2,2217757,2309805,4527557,80366,84947,165312,11845,11979,23825,245982,256559,502540,8689,8759,17447,3815,3787,7609,4847,4647,9494,1450,1615,3062,1440,1428,2866,1384,1497,2884,42,26,73,279496,290308,569799,54443,60938,115384,5308,4818,10129,419606,441013,860618,234315,233203,467521,2871675,2984027,5855698
3,1687291,1736699,3423989,72942,78125,151064,17742,18633,36379,8196,8418,16609,244910,259547,504460,2668,2635,5302,4188,4109,8301,1289,1388,2676,2590,2402,4995,1378,1404,2785,47,32,79,283021,298572,581589,31398,35572,66975,7197,6214,13418,394559,418483,813045,212271,199419,411694,2294125,2354605,4648722
4,645506,667988,1313493,22564,24105,46666,2226,2308,4535,2361,2285,4645,1901,1931,3829,64495,67403,131897,1160,992,2151,235,275,512,842,884,1726,285,248,529,5,6,13,73513,76331,149848,10288,11488,21779,1751,1437,3191,108116,113371,221485,63107,60431,123538,816727,841786,1658509
5,909650,920040,1829692,42427,43622,86049,2891,2759,5642,2701,2545,5250,3481,2898,6379,1203,1046,2243,118326,119471,237796,412,446,856,933,894,1829,237,256,494,51,40,94,130231,130356,260591,19518,21421,40940,3086,2832,5926,195261,198235,393496,117417,102705,220123,1222334,1220984,2443315
6,193382,202099,395478,6849,7491,14343,1204,1273,2480,1349,1399,2744,1482,1564,3045,354,334,688,717,743,1462,17426,19068,36496,185,189,373,101,111,207,6,3,7,22825,24684,47509,1933,2057,3992,519,460,975,32120,34693,66816,21191,21125,42320,246689,257920,504612
7,77829,74303,152140,2851,2805,5654,1261,1193,2451,1174,1112,2285,2298,2014,4311,745,714,1459,1081,1000,2078,91,91,183,9381,9244,18622,136,134,271,6,3,10,16171,15493,31667,1933,2168,4099,708,667,1380,21666,21135,42802,17360,13175,30536,116860,108615,225476
8,144510,150072,294585,2838,2896,5729,4649,4971,9615,1232,1256,2494,1267,1329,2594,400,430,832,520,481,1001,127,146,267,228,201,434,16820,17182,34004,17,15,34,25268,26013,51273,4582,4864,9444,389,337,724,33071,34104,67174,15494,15018,30511,193075,199190,392268
9,1614,1578,3194,60,64,125,55,48,106,14,14,30,43,29,66,7,10,14,51,41,98,0,0,0,10,9,12,19,17,36,3,3,5,203,161,370,33,43,73,9,5,15,302,273,581,527,238,762,2445,2092,4536
