STE_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
1,11467,15359,19639,26824,64387,104528,59060,149778,5044,456084,28149,58347,71154,75010,146052,198331,81792,131914,7391,798126,10346,23219,28958,32697,92687,112038,51047,70388,7854,429239,13578,65756,61037,61556,59065,39552,20518,22919,6269,350261,15565,48182,58470,59388,124715,90577,32894,33422,4770,467977,10394,76554,49281,40499,48011,38958,17789,25168,4748,311414,6207,12998,14852,16625,47195,39432,23755,41241,4531,206839,9396,59612,45609,37386,53991,44141,17571,23213,6978,297887,2549,4600,3816,3714,9321,9678,3105,6304,19420,62505,107652,364637,352817,353702,645428,677232,307523,504342,67003,3380332
2,9965,13783,16500,24384,52516,82205,49322,117043,4189,369921,23556,49707,60274,71740,113981,147803,67690,95813,5649,636220,9194,20170,22813,28129,80723,97703,41836,51857,6324,358749,12554,61417,49979,52315,43123,31608,15660,17566,5125,289348,12681,40444,46579,48592,91557,69380,26366,23867,3743,363216,8700,76487,40279,33051,37614,29870,14936,20141,4066,265142,4889,9473,11185,13378,38426,33001,18569,26828,3450,159193,7901,54202,35827,30673,46438,34849,14957,17107,5470,247428,2194,3708,2755,3029,6623,6957,2277,4329,15048,46924,91630,329396,286191,305282,511004,533393,251609,374556,53063,2736125
3,6542,8991,9758,15482,36032,50767,33375,94744,2823,258509,17212,31557,35911,51263,78507,91446,43316,71283,3426,423917,8798,15433,15830,23010,66044,68815,41069,61878,4563,305441,10012,42732,38071,49133,40811,25860,13909,17612,3824,241956,10345,29452,32192,38720,81838,50934,22356,22729,2756,291317,6074,53303,29973,30962,32544,21516,11923,18769,2724,207795,5401,7568,8353,11987,28405,23488,18938,40501,3000,147636,6954,43387,29192,32921,41297,29430,14536,22841,4710,225268,1657,2576,1755,2239,4759,4818,1844,4263,10680,34599,73004,235001,201035,255714,410236,367068,201274,354621,38511,2136455
4,2787,4111,4194,7054,14330,17640,13371,29655,939,94075,6731,12016,14991,19407,31925,27999,15541,21319,1163,151091,3102,5956,6134,9228,24726,22437,12180,14973,1399,100142,4256,18324,14632,18894,13964,8255,4723,5242,1328,89625,3868,11014,12161,15312,29618,13994,7113,5669,784,99540,2510,20841,10632,11078,10640,6250,4144,4773,896,71761,1685,2683,2901,4088,10991,7358,5696,9348,755,45515,2923,19385,11002,11923,15399,10067,5054,5568,1538,82850,661,959,634,858,1952,1447,663,1075,3251,11507,28535,95282,77283,97844,153550,115449,68498,97619,12047,746105
5,4199,5797,6246,8717,18609,29916,19052,45476,1341,139350,9836,19498,21981,24623,42717,53586,25504,37589,1903,237230,7322,9798,10362,13074,35171,42002,23058,43594,3014,187396,5435,24473,19902,22246,18612,14156,6973,9116,1974,122889,5498,17770,18870,19612,37303,27505,11207,11264,1382,150408,3375,29560,15843,13855,14237,10840,5428,7816,1369,102337,4623,4743,4553,5771,13855,12204,10798,28152,1698,86392,4547,25103,15959,14446,15781,13418,6563,14591,2194,112599,1007,1526,1096,1167,2495,2781,1216,2709,5132,19132,45846,138263,114814,123517,198785,206403,109800,200293,20014,1157735
6,899,1285,1293,2015,3986,4976,3359,8347,305,26467,2010,3471,4640,5852,8321,7048,3764,5366,303,40772,975,2014,1904,2732,7193,7437,3614,3951,434,30243,1368,5339,4883,5774,3767,2235,1382,1618,393,26754,1289,3164,3594,4303,8128,3963,1855,1705,192,28194,881,6250,3233,3134,3381,1860,1116,1281,260,21402,609,947,958,1138,2781,2358,2041,2676,296,13800,1161,5928,3369,3557,4340,3115,1416,1758,534,25183,225,298,256,275,672,471,192,362,1025,3769,9415,28693,24125,28779,42568,33466,18739,27050,3748,216583
7,454,280,289,508,2077,2552,1679,4535,145,12515,1067,972,1067,1685,4806,4696,2202,3919,242,20654,637,540,539,764,3079,3460,2013,4851,307,16189,734,1223,1368,1638,3060,2439,1357,2030,327,14178,647,764,828,1313,4752,2865,1203,1562,178,14102,228,1457,852,907,1452,824,488,689,133,7021,263,235,289,384,1104,874,641,1939,152,5880,323,1149,1002,1108,1538,1415,608,2195,299,9642,148,119,95,127,387,328,145,367,817,2535,4504,6735,6327,8431,22238,19445,10325,22094,2605,102708
8,1280,858,1170,2073,5910,7484,5357,8423,224,32776,2783,3822,3936,5767,15546,15061,7067,8252,478,62716,507,1059,1067,1421,4692,5154,2341,3143,255,19639,929,4685,3180,3117,3668,2460,1426,1797,427,21694,1705,2480,2789,3729,11481,6806,3004,2379,289,34668,514,4472,2113,1767,2010,1235,692,918,238,13956,170,483,341,432,782,873,599,915,103,4692,327,2491,1686,1318,1628,1320,576,794,220,10354,268,257,222,332,1228,1064,423,553,787,5129,8482,20602,16499,19962,46946,41456,21483,27173,3022,205626
9,16,15,9,27,54,59,43,114,10,340,10,21,14,12,57,62,24,37,3,242,15,23,22,28,97,72,55,53,7,380,19,35,35,34,47,29,48,38,8,301,27,18,21,31,79,39,22,20,0,249,4,23,15,21,22,10,16,8,0,130,7,11,5,10,52,18,11,31,7,161,19,52,25,41,84,36,15,22,11,302,4,5,0,3,12,4,3,12,12,54,122,213,149,209,501,331,236,341,69,2170
