STE_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
1,11200,21734,14872,10169,13400,4507,2102,77983,1451,1062,641,473,699,255,151,4738,523,743,573,430,605,216,120,3209,21061,41272,31019,22990,33745,13216,6646,169944,1158,2781,1809,1308,1708,533,240,9535,2288,4192,2109,1345,1484,500,236,12148,3441,6972,3911,2652,3189,1033,478,21678,24500,48246,34928,25641,36938,14246,7126,191626,34646,32193,17417,11259,12782,4772,2745,115808,714,811,518,357,251,87,43,2773,59855,81247,52863,37263,49971,19102,9911,310205
2,8169,16770,11923,8435,11644,5008,2291,64235,1083,774,510,392,573,265,171,3780,376,535,433,317,461,250,138,2515,14632,29622,22744,17379,26784,12979,6650,130789,844,1907,1258,890,1286,581,276,7040,1445,2988,1746,1065,1201,517,231,9195,2293,4890,3005,1961,2484,1095,506,16227,16922,34511,25747,19339,29267,14076,7158,147018,23484,22138,12037,8078,10049,4446,2436,82670,486,563,358,270,220,94,49,2043,40897,57215,38145,27686,39534,18620,9640,231727
3,8201,16650,11144,7344,9267,2186,980,55763,1025,902,535,379,503,136,88,3569,372,607,413,308,402,89,52,2234,15477,31773,23493,16839,23383,6407,3017,120399,1537,3188,1970,1223,1448,270,138,9780,2046,3523,1738,1084,966,201,87,9639,3577,6717,3709,2305,2421,470,223,19418,19054,38490,27197,19147,25802,6880,3235,139810,25393,23857,12275,7677,7875,1880,989,79948,500,606,385,245,174,30,16,1964,44949,62956,39858,27070,33856,8789,4242,221721
4,2745,5637,3985,2775,3803,1312,653,20914,416,289,168,123,203,73,47,1320,104,151,106,69,107,38,16,595,4599,9453,7149,5421,8435,3322,1731,40114,340,822,510,367,472,171,59,2744,565,1002,598,319,370,109,56,3018,910,1827,1105,688,845,280,108,5759,5509,11284,8258,6105,9278,3601,1837,45872,8226,7732,4107,2818,3152,1126,573,27737,194,235,125,79,59,16,9,711,13930,19246,12489,9001,12497,4744,2415,74325
5,3566,7674,5284,3553,4743,1445,713,26969,433,384,262,189,278,79,69,1695,154,197,129,112,169,56,29,849,6411,13556,10248,7777,11424,3959,2071,55450,510,1224,789,588,716,218,91,4149,822,1660,904,499,502,121,57,4572,1331,2886,1695,1089,1222,341,153,8724,7739,16443,11944,8861,12650,4304,2227,64167,11078,10101,5112,3229,3339,947,561,34368,292,336,209,125,66,14,4,1044,19115,26879,17261,12216,16056,5268,2793,99584
6,1033,2096,1367,936,1302,336,91,7162,148,134,77,65,66,28,11,521,42,63,37,25,60,18,6,248,1611,3387,2461,1877,2777,801,277,13190,100,250,148,92,118,40,4,750,162,357,182,116,115,18,4,960,264,605,329,211,231,56,11,1705,1869,3997,2784,2092,3007,861,282,14892,3269,3056,1506,977,1060,252,95,10217,62,70,40,27,10,5,0,221,5198,7121,4334,3097,4077,1120,382,25327
7,298,479,312,219,207,33,11,1558,59,53,33,23,30,0,3,195,44,54,42,23,19,0,0,179,843,1523,1030,728,879,112,51,5161,117,170,112,58,57,4,0,518,64,93,42,43,22,5,0,268,185,267,154,100,75,7,0,789,1022,1787,1185,829,954,124,53,5950,1318,1304,692,460,303,35,18,4129,115,102,57,48,8,0,0,332,2452,3195,1935,1331,1268,159,74,10415
8,572,945,632,405,509,166,69,3300,109,50,38,28,54,27,14,325,12,33,16,11,24,16,6,115,1242,2274,1745,1227,1910,754,354,9517,46,92,57,39,65,21,13,329,59,105,62,29,50,16,3,325,101,199,122,66,115,32,17,659,1349,2470,1871,1302,2030,791,368,10171,1090,1029,580,330,409,190,91,3721,27,18,11,10,3,3,0,71,2464,3514,2457,1631,2443,984,460,13961
9,8,10,9,5,8,0,0,34,0,3,3,0,3,0,0,4,0,0,3,0,0,0,0,7,9,25,26,15,25,5,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,9,29,33,14,28,5,0,113,7,8,6,3,3,0,0,27,0,4,3,0,0,0,0,8,19,34,38,22,27,5,0,147
