STE_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
1,1978,43374,47768,33845,25445,15429,5057,1197,174102,526,6305,8941,8189,8359,4530,1234,266,38346,31384,120938,98479,71757,58358,35110,12988,3936,432949,13690,45129,48629,46301,36269,22865,9167,2991,225035,48388,110301,108265,116612,103763,75297,37988,11373,611985,5156,4818,3752,3397,2699,1815,608,161,22406,3422,6500,7655,8938,9698,8410,3791,1110,49518,56965,121620,119673,128944,116157,85513,42391,12642,683907,1904,4462,4362,4060,3830,3368,1821,658,24461,40301,48414,41257,40412,38196,35297,25645,13292,282811,146753,390242,369112,333511,286604,202113,98291,34986,1861620,3829,56431,47553,30263,20329,9365,2143,463,170384,1501,12427,14870,13841,13883,6585,1572,321,64998,45534,164825,132893,88902,63480,32979,11764,3560,543936,21686,59909,66331,66782,54455,31779,12860,4307,318103,37893,66563,59872,58771,40290,16349,5022,2310,287068,7568,7392,8432,8716,7314,3800,966,342,44517,5296,8333,13010,18498,18840,13857,5269,2349,85464,50759,82285,81318,85980,66443,34005,11260,5002,417050,1813,4345,4528,5720,6967,6113,3034,1396,33918,36270,42057,35692,38102,41053,42502,36762,27654,300089,161392,422277,383182,329593,266613,163335,79385,42703,1848473,5808,99809
2,2270,36415,35299,23749,17064,10414,3270,728,129212,611,7212,9715,9337,8807,4578,1056,216,41542,28628,104934,83222,56778,42891,24803,8764,2757,352775,14171,42692,39179,35076,29015,20655,8096,2538,191424,42446,93320,84200,92093,75251,50048,25722,7718,470796,4201,3509,2790,2211,1623,950,295,66,15649,2549,4919,5447,5802,5675,4354,1908,656,31307,49200,101741,92438,100103,82557,55353,27919,8438,517755,1393,3356,3129,2676,2465,2182,1329,479,17015,31065,36849,31223,30558,28437,26616,19383,9599,213729,127343,333207,294205,258284,211238,144605,69823,24754,1463464,3485,46823,36365,21734,14197,6469,1411,339,130829,1832,16751,19178,17619,14264,6245,1505,289,77681,40513,140680,109682,69665,47826,25105,9136,2883,445493,20154,54232,54514,51806,39185,23044,9324,3341,255598,29512,52993,45482,45813,30709,13205,3990,1628,223341,5181,5388,5470,5297,4185,2178,493,182,28371,3757,6849,8781,10352,9108,6382,2500,1252,48977,38455,65223,59733,61461,44012,21767,6986,3066,300691,1389,3332,2998,3074,3211,3205,1702,875,19785,29186,33586,28029,29678,31598,33408,27930,19104,232510,135002,360637,310501,255032,194286,119244,57988,29889,1462594,5758,83243
3,721,13999,17393,14556,10914,6787,2202,432,67014,486,3872,5237,5712,4856,2422,644,102,23342,14970,53294,47665,35829,26525,16849,5803,1430,202370,9032,22819,28240,29705,23945,15250,5415,1403,135808,43454,91609,86602,86356,75025,52224,23228,5812,464294,7184,3712,2613,1923,1302,843,274,46,17904,2776,4293,4889,4954,4897,4110,1901,504,28329,53412,99617,94102,93236,81227,57170,25405,6357,510527,1021,2082,2176,2048,1939,1897,1168,364,12696,28847,32253,29256,29636,26706,23759,15778,7330,193557,108499,227949,224075,210724,176098,124136,56406,17418,1145303,1170,18831,18798,14003,9412,4055,786,176,67232,1277,8757,10702,10274,7880,3466,909,139,43400,24482,83980,73127,49354,33528,17926,5973,1680,290053,15618,37781,42110,42484,31551,17176,6313,1772,194814,36268,52330,45967,43704,30378,11894,2673,915,224130,8562,5849,4736,4225,3445,1811,381,116,29113,4087,6100,8041,8810,8193,5532,1894,679,43337,48920,64275,58739,56741,42017,19235,4947,1718,296581,1033,1975,1990,2496,2629,2557,1348,516,14538,25557,26713,23944,26092,26072,25652,20500,14660,189187,118058,242309,229412,201442,153089,90063,40789,20658,1095813,1888,32832
4,267,5762,6530,4941,4040,2744,1035,257,25568,113,1284,1844,2032,2139,1224,292,55,8979,5196,19691,17360,12449,10690,7395,2367,842,75993,2097,7841,9295,10371,9366,6840,2383,746,48941,12823,28659,25834,28990,25945,18823,9799,3007,153873,2235,1941,1299,934,691,430,125,36,7688,843,1475,1760,2032,2144,1894,842,261,11244,15896,32075,28884,31961,28779,21141,10768,3301,172808,368,829,862,838,867,818,471,210,5249,7819,8428,7984,8734,8446,7725,5669,3086,57880,31758,75902,72754,71319,64333,47886,22969,8501,395426,441,7819,6854,4594,3477,1785,389,73,25426,347,2771,3625,3581,3580,1779,391,75,16155,8165,30110,24900,16582,13434,7598,2659,940,104390,3237,10877,12820,14896,13220,7522,2566,1016,66159,10693,18304,15333,15664,11036,4792,1390,556,77770,2651,2803,2278,1845,1415,707,188,58,11938,1206,2035,3013,3276,3054,2175,829,394,15979,14551,23139,20629,20785,15502,7672,2403,1006,105691,342,763,755,899,923,1007,583,306,5575,6999,6843,6312,7585,8339,9295,8159,6085,59607,34088,82324,75896,68924,58478,36649,17155,9492,383004,708,13581
5,391,8933,11073,8478,6011,3661,1203,270,40017,238,2506,3199,3307,2636,1282,303,56,13535,8878,35694,30367,22408,16205,9397,3172,897,127017,4599,15281,15979,15585,12940,8805,3408,854,77449,21579,51410,44815,45863,37502,23718,11134,2694,238718,3637,2123,1353,1034,695,351,107,29,9329,1173,2297,2645,2748,2486,2023,973,261,14614,26389,55825,48817,49648,40687,26094,12213,2979,262654,567,1419,1476,1310,1096,1021,498,176,7562,14330,21405,17919,16654,13670,10873,7570,3675,106102,55400,141059,128832,117376,93242,61137,28375,8913,634332,613,11424,10674,7051,4427,1929,432,89,36649,676,5590,6430,5796,4422,1623,424,89,25052,13472,52350,42003,27830,18124,9577,3708,950,168006,6811,19948,21120,21247,17085,9220,3657,1111,100181,15533,26554,21370,19749,12920,5254,1536,566,103483,4379,3390,2797,2358,1824,972,292,95,16110,1824,3495,4995,5390,4831,3238,1224,459,25451,21738,33447,29161,27493,19580,9457,3044,1116,145041,578,1536,1355,1501,1587,1446,792,309,9094,12477,16106,13379,13690,13699,12991,11228,7917,101493,56365,140398,124122,104613,78914,46248,23276,11580,585515,1004,20353
6,40,1099,1282,1303,1268,1006,324,91,6411,43,356,476,658,619,384,95,14,2643,933,4009,3909,3326,3404,2307,752,275,18908,408,1527,2248,2801,2873,2149,825,231,13058,4174,8868,8251,9494,9278,6119,2982,770,49936,743,565,356,231,215,120,45,14,2290,230,352,464,535,602,509,270,72,3039,5156,9787,9069,10267,10089,6745,3295,854,55266,78,153,161,192,217,241,170,52,1265,2812,2450,2381,3026,3291,3284,2206,859,20311,9461,19389,19523,21573,21759,16123,7673,2372,117870,113,1633,1639,1487,1276,683,133,32,6998,99,812,1006,1164,1094,553,125,28,4883,1614,6294,6169,5084,4890,2746,906,313,28018,663,2374,3319,4095,3839,2623,1183,341,18429,3224,5764,4974,4839,3678,1358,368,130,24333,1129,1022,715,676,493,254,61,29,4377,457,699,905,1099,1221,752,319,141,5587,4810,7477,6592,6617,5388,2360,748,301,34297,70,171,166,232,288,349,238,85,1601,2551,2098,2187,2809,3464,3976,3118,1661,21863,9915,20851,21074,21488,20232,13304,6450,2765,116089,151,2728
7,24,730,767,584,465,243,46,4,2863,12,206,277,286,229,85,18,0,1108,448,2746,2038,1394,1062,473,117,23,8299,232,1285,1433,1460,987,410,108,7,5922,1911,5633,4362,4170,2962,1363,378,67,20843,337,306,235,170,87,30,7,0,1176,155,298,309,259,202,122,32,10,1386,2405,6237,4906,4599,3243,1519,418,80,23412,50,133,118,105,93,41,22,8,570,3254,4334,3294,2932,2129,1172,390,105,17613,6414,15679,12841,11363,8210,3933,1118,220,59779,45,995,930,701,557,179,31,3,3438,49,623,644,541,420,112,17,0,2407,712,4512,3201,2034,1426,551,129,30,12600,367,1610,1633,1641,1140,406,120,15,6939,1307,2616,1934,1617,953,264,48,12,8751,419,422,279,252,159,46,5,3,1585,173,386,371,375,271,132,36,9,1742,1899,3427,2584,2245,1377,438,83,22,12078,50,115,103,98,73,48,26,9,518,2563,3284,2433,2262,1748,958,377,150,13784,5679,14575,11527,9519,6750,2706,792,229,51766,67,1725
8,140,3841,5105,3943,3037,1857,665,190,18775,84,997,1103,1212,1168,594,105,19,5280,2635,9152,7037,5093,4095,2849,1101,373,32332,726,2838,3090,2788,2015,1227,446,163,13283,2261,5481,4428,3957,3003,2089,1137,344,22699,415,313,181,125,75,45,21,13,1186,151,260,341,303,310,258,100,39,1763,2828,6050,4958,4376,3389,2391,1264,394,25643,110,223,205,196,176,162,114,52,1235,1809,2499,1978,1688,1300,1146,838,447,11705,8328,25600,23476,19289,15181,10221,4533,1628,108258,255,4632,4650,3196,2027,986,244,44,16045,158,1814,1904,1749,1456,847,173,26,8136,3586,12068,9038,6138,4569,2650,1023,278,39359,1026,3226,3489,3381,2631,1727,755,234,16476,1963,3182,2688,2260,1532,618,200,86,12529,462,333,316,260,221,140,51,27,1812,228,293,512,734,793,695,281,115,3637,2650,3808,3515,3253,2548,1450,533,223,17978,74,184,176,214,227,257,116,58,1309,1682,2090,1623,1494,1545,1391,1207,1061,12094,9435,27836,24392,19422,15008,9325,4045,1923,111387,393,8475
9,0,8,6,0,5,8,3,0,33,0,3,10,4,0,0,0,0,22,7,26,34,20,29,15,0,3,135,3,15,24,28,17,13,3,0,100,15,60,87,110,117,51,16,3,462,4,4,5,3,0,3,0,0,27,0,8,6,6,9,6,4,0,38,26,73,100,117,124,61,18,6,527,4,4,3,3,0,0,0,0,18,81,146,97,88,66,44,30,3,548,121,273,273,269,244,146,52,13,1386,0,4,18,8,3,3,0,0,43,4,7,10,8,4,0,0,0,33,12,42,51,23,36,17,4,5,195,3,31,45,31,32,17,7,3,171,16,32,30,39,19,9,0,0,148,9,6,8,3,7,0,0,0,30,5,5,9,13,13,12,0,0,60,34,51,53,53,37,16,3,0,236,0,0,3,4,0,0,0,0,16,41,31,33,64,58,40,23,6,291,82,171,208,195,180,96,44,9,987,0,11
