STE_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
1,1977,3887,3308,2857,4557,1795,972,19342,547,1278,1044,798,1203,444,229,5538,64,99,71,70,114,40,18,479,105,139,107,89,106,48,25,615,2683,5398,4526,3813,5979,2325,1240,25970,217,440,317,255,347,114,56,1746,81,267,139,109,105,38,25,759,294,708,460,362,443,152,85,2501,2976,6105,4987,4176,6424,2477,1322,28480,1366,2172,1643,1321,1540,588,393,9012,113,139,108,87,59,10,13,538,4456,8415,6736,5584,8022,3075,1728,38021,5913,13844,11626,9059,14490,6441,3303,64678,10653,20460,13828,9372,12193,4061,1874,72442,1394,965,567,410,578,216,132,4260,415,606,465,337,507,169,91,2594,18372,35872,26492,19180,27763,10889,5402,143970,947,2340,1484,1051,1361,419,185,7794,2205,3932,1964,1238,1385,460,204,11385,3151,6271,3454,2287,2744,877,392,19180,21523,42141,29944,21463,30512,11766,5801,163146,33279,30024,15777,9941,11243,4186,2352,106799,599,671,406,274,187,75,28,2235,55399,72834,46124,31680,41947,16027,8177,272189,7889,17728,14934,11915,19045,8240,4276,84015
2,1338,2809,2382,2084,3623,1801,939,14976,402,916,755,567,904,452,225,4217,62,63,54,67,101,51,29,434,92,89,73,66,83,38,27,464,1895,3883,3266,2786,4707,2337,1222,20092,150,266,226,178,263,120,73,1271,62,189,118,74,98,36,24,594,211,457,337,258,364,156,89,1867,2105,4341,3606,3040,5072,2494,1314,21965,888,1517,1133,892,1098,545,310,6389,86,101,67,44,48,19,11,371,3082,5955,4806,3980,6214,3059,1636,28724,3671,8725,7487,6153,10478,5652,3103,45282,7769,15857,11162,7870,10738,4557,2069,60018,1017,715,457,324,476,221,146,3347,288,439,362,254,381,207,116,2050,12744,25734,19471,14600,22077,10637,5429,110694,689,1639,1033,713,1024,466,205,5767,1382,2800,1635,993,1098,478,214,8593,2075,4434,2665,1706,2122,945,415,14359,14819,30170,22141,16301,24198,11578,5846,125055,22591,20624,10906,7180,8950,3909,2125,76280,405,464,295,225,174,74,36,1668,37819,51259,33342,23705,33319,15561,8010,203001,5009,11537,9871,8237,14100,7450,4044,60254
3,1580,3464,2843,2233,3333,893,436,14791,382,1004,788,641,778,206,86,3887,53,111,90,54,73,16,19,417,89,107,85,76,93,9,9,468,2107,4693,3805,3006,4267,1128,553,19562,245,501,410,278,339,56,41,1864,86,233,145,100,73,17,13,658,334,732,552,375,415,74,47,2530,2439,5424,4359,3381,4686,1200,599,22090,1124,1932,1279,965,1051,238,149,6739,77,139,82,69,32,13,7,418,3635,7494,5728,4417,5765,1451,751,29241,4304,10148,8558,6574,9883,3105,1461,44040,7819,15648,10352,6703,8489,1980,891,51876,971,791,451,322,436,113,73,3152,282,498,327,233,308,78,36,1768,13373,27087,19689,13835,19111,5279,2466,100830,1287,2688,1564,945,1114,216,102,7910,1961,3290,1593,987,892,179,75,8981,3247,5981,3151,1929,2010,396,174,16886,16620,33064,22837,15762,21121,5674,2636,117720,24267,21926,10988,6710,6822,1642,842,73207,424,469,300,177,144,16,13,1543,41314,55466,34130,22657,28094,7339,3490,192478,5887,13616,11407,8811,13217,3996,1900,58830
4,398,952,830,716,1180,465,235,4776,157,378,321,244,330,105,65,1601,17,46,16,13,34,13,6,137,21,30,20,21,19,7,3,123,598,1402,1200,988,1559,591,306,6642,77,160,115,81,124,40,18,621,27,83,61,41,37,13,13,265,103,238,177,115,163,51,27,883,703,1645,1375,1108,1723,641,335,7523,381,634,460,374,474,164,80,2570,38,50,27,17,9,0,0,142,1118,2328,1861,1492,2205,811,418,10232,933,2422,2052,1737,3152,1438,776,12508,2592,5263,3664,2531,3478,1203,587,19312,404,241,150,115,169,64,46,1184,77,126,80,53,87,31,16,472,4004,8050,5952,4432,6883,2735,1422,33478,261,661,399,289,349,131,37,2122,545,928,530,284,330,93,41,2755,805,1589,932,567,681,227,85,4876,4805,9640,6879,5003,7559,2958,1500,38351,7848,7100,3653,2439,2680,963,486,25168,157,181,102,64,51,14,9,569,12810,16924,10628,7507,10292,3935,2002,64091,1332,3371,2881,2451,4328,1900,1013,17285
5,596,1295,1207,1070,1649,567,308,6690,192,432,357,279,328,126,60,1774,33,50,61,39,57,10,16,263,28,23,23,33,48,11,7,172,846,1807,1644,1423,2082,709,395,8901,104,223,186,130,179,50,16,897,36,90,71,47,33,5,3,289,144,312,261,180,210,63,23,1183,992,2120,1901,1600,2286,768,419,10085,411,686,460,344,375,107,73,2461,51,61,52,28,12,7,0,212,1452,2868,2416,1971,2677,882,493,12758,1658,4008,3378,2849,4586,1811,952,19247,3376,7241,4929,3266,4414,1317,648,25196,401,332,206,149,220,71,53,1428,124,172,104,82,120,53,20,677,5561,11751,8610,6351,9348,3250,1679,46549,409,999,607,455,544,169,75,3247,780,1570,834,452,475,115,60,4286,1188,2569,1434,910,1018,283,131,7533,6750,14318,10045,7269,10364,3536,1807,54082,10668,9415,4647,2885,2963,837,493,31909,242,273,155,92,47,13,5,835,17665,24013,14850,10244,13380,4382,2303,86834,2255,5308,4581,3916,6235,2381,1264,25937
6,139,349,300,254,399,107,50,1607,42,108,105,76,119,33,11,498,12,14,14,13,12,3,0,69,3,12,5,7,17,7,4,53,200,486,423,350,551,159,62,2225,21,55,42,19,28,9,0,170,13,43,27,15,12,4,0,112,35,99,69,36,41,12,0,280,228,576,489,383,586,168,70,2509,145,210,156,115,150,54,18,838,8,7,8,6,0,0,0,31,381,792,651,501,741,219,86,3378,254,742,679,593,944,317,124,3654,989,1988,1260,860,1181,301,81,6662,139,120,65,51,57,20,7,450,35,55,28,17,41,7,4,192,1411,2903,2033,1529,2223,643,213,10964,77,194,108,73,92,34,0,575,151,315,149,109,105,13,4,845,231,508,263,181,194,44,4,1425,1639,3414,2293,1707,2421,692,218,12386,3127,2854,1349,862,911,204,75,9372,53,59,31,25,12,5,0,191,4820,6324,3678,2588,3342,899,293,21954,392,1093,977,853,1345,421,170,5257
7,105,206,169,111,166,24,12,791,28,24,33,27,18,0,0,131,6,11,4,3,8,0,0,41,5,4,3,4,3,0,0,21,146,256,209,148,196,22,12,989,19,32,31,15,21,0,0,111,6,14,3,6,3,3,0,31,25,42,32,18,23,5,0,141,170,297,242,171,226,29,12,1134,107,123,110,67,53,10,4,477,19,16,12,16,7,0,0,70,295,436,361,253,282,38,11,1675,338,727,480,346,450,55,28,2435,273,456,283,189,186,29,11,1430,52,43,25,24,14,0,3,156,34,51,35,17,19,0,0,159,692,1272,822,577,679,93,48,4171,99,140,83,42,37,3,0,407,60,84,37,35,18,0,0,232,163,221,123,84,53,3,0,641,853,1494,944,657,732,96,48,4814,1205,1185,582,390,249,32,13,3647,99,82,48,33,5,0,0,267,2160,2761,1572,1078,981,123,63,8732,443,936,647,461,619,80,42,3228
8,118,308,271,197,326,131,70,1414,27,66,50,39,49,18,11,253,3,8,4,3,5,4,0,31,5,8,5,3,0,0,0,27,155,383,333,235,387,148,79,1723,9,8,12,3,12,3,0,59,0,11,3,3,9,3,0,26,9,18,20,9,18,8,0,82,165,402,349,246,406,158,82,1804,43,86,62,49,71,36,19,365,4,5,3,0,0,0,0,21,207,493,413,298,478,189,101,2184,427,942,790,583,1002,423,191,4362,548,883,584,371,455,147,63,3042,111,43,33,32,45,25,14,293,10,21,6,10,19,12,6,85,1093,1886,1416,996,1526,609,268,7793,34,78,46,31,52,19,14,273,59,99,58,24,44,13,3,302,95,180,102,61,97,24,15,578,1186,2063,1523,1054,1620,633,283,8363,1048,941,520,274,339,161,78,3361,19,12,5,4,7,0,0,47,2252,3021,2044,1333,1968,792,359,11773,546,1253,1063,783,1329,555,264,5779
9,5,6,4,0,7,3,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,5,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,5,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,0,5,3,0,29,3,10,5,6,10,0,0,30,8,10,9,3,8,0,0,32,0,3,3,0,3,0,0,4,0,0,3,0,0,0,0,7,13,22,23,10,15,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,13,26,23,10,21,0,0,88,7,8,4,3,3,0,0,25,0,4,3,0,0,0,0,8,19,34,25,21,24,0,0,118,8,11,9,9,17,3,0,53
