STE_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
1,54384,6022,703,386,61497,1040,324,1360,62860,3295,59,66217,100275,10864,1133,806,113074,1038,259,1293,114371,2479,120,116970,25014,2326,2462,261,30055,336,40,378,30431,586,35,31053,1596,183,41,1217,3032,44,16,66,3099,153,93,3347,181261,19395,4340,2665,207663,2468,630,3098,210764,6511,302,217581,2503,364,33,63,2954,414,57,468,3425,202,8,3630,5129,720,60,119,6030,362,108,469,6505,270,16,6785,7628,1081,93,177,8989,780,164,937,9927,471,21,10417,188893,20475,4437,2843,216653,3245,793,4036,220691,6991,323,228004,89301,15702,2250,2846,110095,4211,1023,5237,115331,14947,385,130663,515,105,9,427,1061,19,11,27,1091,108,987,2188,278710,36284,6698,6112,327808,7474,1824,9303,337107,22040,1705,360855,77036,8820,750,511,87120,1623,497,2117,89233,4672,92,94004,114377,12552,1259,983,129168,1555,373,1929,131096,3629,122,134846,5014,628,996,84,6717,87,22,109,6824,252,14,7092,1387,179,29,1456,3055,54,18,73,3129,193,110,3434,197808,22177,3028,3040,226054,3320,909,4226
2,35056,4785,488,240,40565,971,244,1218,41782,2459,56,44298,86360,9720,1069,730,97886,1096,242,1343,99221,2164,94,101487,20565,2011,2028,215,24822,260,37,297,25117,423,11,25552,1287,169,29,961,2442,48,10,53,2493,115,87,2692,143265,16689,3610,2149,165709,2372,538,2910,168616,5160,249,174030,2132,365,30,53,2578,439,35,474,3056,222,4,3283,4363,628,40,55,5084,380,129,510,5590,187,15,5783,6493,989,68,108,7664,820,160,977,8640,408,20,9070,149756,17677,3675,2258,173373,3194,698,3891,177257,5573,267,183103,78211,12290,1970,2100,94565,3758,727,4485,99052,11775,266,111095,449,94,12,341,902,23,7,25,927,92,789,1810,228420,30062,5654,4696,268837,6977,1428,8406,277245,17439,1323,296009,48859,6603,530,352,56341,1307,357,1662,58004,3382,68,61445,99133,10816,1092,891,111937,1353,263,1615,113551,3052,126,116727,3786,530,805,61,5184,60,17,74,5260,189,9,5449,1073,173,18,1009,2277,43,17,58,2334,154,84,2570,152848,18124,2450,2320,175737,2755,647,3408
3,30442,3721,513,240,34912,879,211,1085,35998,2180,35,38214,59622,7092,811,519,68040,1017,183,1196,69238,1867,65,71172,14550,1513,1519,127,17707,242,29,265,17977,445,16,18432,886,116,25,663,1689,40,4,51,1742,93,59,1895,105489,12442,2865,1550,122352,2178,425,2607,124958,4589,169,129715,1790,324,39,37,2192,528,36,566,2760,241,8,3004,3309,538,51,83,3978,413,105,520,4501,189,9,4701,5100,854,95,128,6171,937,144,1087,7261,432,16,7703,110592,13302,2961,1675,128526,3112,573,3692,132218,5020,186,137417,53898,8069,1756,1550,65270,3403,637,4035,69310,7911,179,77400,289,40,11,159,498,11,3,17,516,49,556,1119,164778,21414,4723,3384,194295,6528,1214,7741,202040,12973,925,215934,46438,5497,663,337,52936,1372,326,1696,54632,3098,47,57781,71372,8199,993,686,81239,1435,241,1681,82920,2586,95,85601,3052,411,513,38,4020,88,16,96,4113,203,10,4323,786,123,18,887,1807,70,16,84,1892,125,64,2077,121640,14229,2185,1945,139999,2961,595,3556
4,7303,1231,124,58,8714,209,48,260,8976,695,6,9670,22765,3049,302,138,26249,352,71,428,26675,774,24,27472,5489,712,658,55,6918,81,15,97,7010,159,5,7174,313,64,13,217,610,11,7,14,620,29,17,666,35876,5056,1095,470,42494,656,143,795,43290,1652,49,44986,469,107,15,14,610,175,18,189,799,73,5,878,998,195,16,16,1224,121,41,161,1391,77,3,1466,1471,301,32,32,1832,294,60,350,2189,151,10,2350,37341,5356,1127,498,44331,950,196,1150,45479,1800,56,47339,16901,3272,552,412,21140,1258,226,1486,22624,3345,56,26025,112,29,3,37,177,3,0,3,177,19,199,395,54352,8657,1680,953,65644,2211,427,2639,68277,5165,317,73755,11792,1808,157,97,13859,351,94,453,14308,918,11,15238,26633,3333,364,208,30533,423,105,534,31066,908,32,32009,1115,188,287,21,1605,16,4,25,1629,69,4,1703,203,48,4,259,515,11,3,13,533,30,14,573,39737,5376,820,579,46512,810,209,1021
5,11519,1764,235,99,13608,539,103,646,14252,1011,19,15282,33567,3721,640,297,38224,673,80,752,38982,799,26,39810,6980,745,882,74,8682,168,21,190,8873,182,13,9068,428,68,20,324,840,29,0,29,871,38,22,927,52502,6298,1774,791,61357,1409,212,1621,62978,2029,86,65091,1033,163,32,14,1235,246,16,262,1499,109,4,1613,2358,275,78,50,2753,255,37,294,3053,115,6,3171,3386,438,106,67,3992,502,59,563,4553,221,14,4787,55886,6733,1879,855,65348,1911,272,2179,67533,2254,93,69879,36707,4396,1461,894,43455,2302,308,2610,46067,3975,112,50153,157,27,8,75,271,13,7,20,292,40,333,665,92752,11154,3340,1821,109075,4231,582,4811,113883,6270,541,120697,17727,2509,319,160,20714,764,171,929,21642,1384,20,23050,40854,4400,741,371,46372,1004,112,1115,47490,1089,43,48619,1454,202,344,19,2023,59,9,62,2083,72,4,2163,406,53,11,396,869,25,3,24,894,39,23,956,60440,7172,1414,949,69974,1842,295,2137
6,1812,336,48,19,2217,47,14,60,2272,176,3,2449,6480,1017,120,70,7697,76,29,105,7800,274,10,8084,1512,241,146,25,1924,30,7,38,1961,58,5,2021,91,12,0,49,154,4,0,11,161,15,4,181,9903,1605,320,161,11985,159,45,204,12196,522,19,12735,63,21,3,0,90,24,3,21,112,27,0,138,205,36,5,14,257,26,4,29,287,21,0,308,271,55,8,14,346,43,12,55,401,45,0,447,10174,1661,330,168,12329,205,57,260,12591,569,19,13183,4383,851,136,130,5493,362,56,411,5904,1038,20,6963,55,9,3,4,76,0,4,4,80,10,42,126,14607,2517,472,308,17898,566,117,681,18576,1620,82,20270,3193,607,62,24,3888,93,27,119,4008,280,14,4298,7871,1267,124,89,9341,123,38,158,9506,410,13,9925,347,43,66,10,462,11,3,17,475,31,0,509,56,9,3,59,128,0,0,0,129,11,0,144,11459,1923,250,182,13819,239,60,298
7,2271,237,44,32,2585,50,7,57,2634,160,3,2802,2195,231,59,23,2502,42,8,52,2555,95,0,2652,702,64,102,5,875,11,3,14,890,23,0,906,49,9,0,71,130,0,0,0,130,18,3,156,5212,531,209,133,6089,104,18,125,6215,299,3,6513,89,17,5,3,107,157,6,166,273,27,7,308,123,13,0,3,135,18,24,45,178,17,0,198,209,27,8,3,246,171,32,210,456,46,7,508,5416,563,218,137,6334,283,52,334,6669,343,13,7017,2909,384,109,100,3496,241,49,295,3792,1292,22,5101,20,8,0,12,39,0,0,0,41,16,123,179,8340,957,322,251,9871,522,105,626,10497,1650,156,12304,2983,289,48,29,3349,87,14,98,3451,237,5,3688,2382,317,55,22,2781,64,20,87,2863,138,0,3003,166,25,56,4,245,3,4,9,255,18,0,273,39,5,0,60,113,4,0,12,119,16,0,141,5567,640,162,110,6484,161,39,203
8,4166,609,82,33,4899,78,15,95,4990,215,0,5208,6206,926,79,37,7250,37,22,57,7308,116,9,7438,2478,267,321,17,3086,20,3,21,3105,27,0,3134,85,8,0,52,151,0,0,0,152,6,9,162,12935,1819,490,146,15383,137,33,172,15556,364,18,15939,197,27,3,3,230,18,7,19,257,16,0,266,224,33,4,6,265,12,6,22,291,13,3,306,426,59,5,8,504,30,14,39,546,28,3,572,13358,1874,496,152,15883,172,48,220,16099,393,18,16516,3904,537,125,90,4658,111,30,146,4801,355,5,5165,46,3,0,25,74,3,0,3,75,0,22,96,17315,2420,617,270,20614,283,82,361,20978,749,49,21780,5948,712,78,35,6772,119,24,139,6914,292,11,7218,6564,768,81,55,7468,60,15,72,7547,117,8,7673,418,66,86,3,576,3,4,8,581,3,0,585,56,4,0,70,128,0,0,0,128,7,0,139,12988,1551,244,166,14948,181,45,222
9,39,6,0,0,52,0,0,0,52,7,0,58,53,4,0,3,65,0,0,0,65,0,0,66,14,3,3,0,14,0,0,0,14,0,0,14,0,0,0,3,3,0,0,0,3,0,0,3,104,13,4,4,127,0,0,0,127,9,0,135,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,104,13,4,4,129,0,0,0,129,8,0,139,53,9,0,0,64,0,3,3,63,4,0,67,0,0,0,0,0,0,0,0,0,0,0,0,157,19,4,6,190,0,3,3,190,10,0,206,55,11,0,0,67,0,0,0,67,5,0,68,67,5,0,0,73,0,0,0,73,5,0,74,7,0,0,0,5,0,0,0,5,0,0,5,0,0,0,3,3,0,0,0,3,0,0,3,124,18,3,3,143,0,0,0
