STE_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
1,20207,105982,29357,30034,5323,244359,42714,15996,131104,64663,81631,12896,349002,3236,997,11314,5872,10074,1347,32838,4817,1366,14338,13758,56140,3075,93492,8478,1492,23528,13494,32386,13826,93207,274000,78397,748689,377313,751393,98853,2328647
2,28116,84692,24674,21392,3915,206373,34852,21371,108541,54243,60541,10188,289740,3045,1559,12544,6422,8823,1209,33598,3891,1679,11547,12412,41069,2560,73151,6225,1668,18894,11414,25660,11169,75033,206694,93924,611665,313922,571344,75373,1872916
3,16400,68786,20324,27079,3284,161908,21651,11454,84485,44346,55811,7168,224922,1129,576,5755,3943,7712,871,19988,1926,981,7368,9622,38871,2029,60794,2603,731,9150,7196,23269,8211,51158,104411,52297,379873,231953,563636,57376,1389546
4,5231,24104,7889,7676,1017,55629,8637,4744,33469,17540,22776,2871,90037,414,208,1765,1175,2231,266,6047,728,404,2698,2814,13839,728,21218,711,232,2529,1771,5719,2268,13232,38617,18960,135328,79100,187493,19898,479393
5,10496,36213,10641,14419,2202,85841,10348,5966,43789,21028,24217,4192,109546,783,405,3748,2015,3862,468,11278,1219,545,4666,4882,21228,1095,33630,1863,546,6690,4653,13319,4152,31217,59748,31149,227760,125174,291008,32980,767809
6,1310,7640,1830,2830,355,17046,1991,1432,7765,4598,7737,933,24461,237,120,737,368,905,93,2459,199,105,608,671,4092,196,5871,150,41,545,404,1941,789,3867,9773,5528,33716,19961,60824,6326,136123
7,919,3006,840,1491,245,7716,1018,645,3492,1555,1952,389,9053,114,46,354,214,468,75,1274,137,66,395,323,1686,186,2787,114,50,429,301,1267,625,2786,5413,3111,17673,10605,28432,3716,68958
8,1841,6647,1545,1697,220,16805,2773,1225,7117,2954,3111,488,17671,338,162,896,322,519,57,2292,429,151,986,718,2117,122,4530,431,89,932,449,893,484,3274,27643,10461,54279,21832,32023,3796,150034
9,18,52,18,26,11,130,8,5,30,20,24,3,83,0,0,18,8,25,3,48,0,0,4,6,37,0,43,0,0,3,10,25,16,55,62,45,258,227,632,125,1353
