STE_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
1,1413,3105,2950,3809,5111,8658,4368,20658,933,51007,1281,380,520,695,3753,4341,5630,10861,386,27861,2736,4127,5099,6107,36611,35243,20440,27356,1336,139060,687,456,586,887,7150,7307,3232,4791,253,25339,5456,9655,13166,16522,34139,73324,30137,59609,3712,245725,1037,2234,2419,2503,14534,18394,9328,14840,503,65797,3352,21164,15590,13303,27777,24000,13210,22642,1751,142784,2700,24651,18494,11756,15381,13221,7634,16415,1678,111927,3786,6449,7765,9941,21644,25398,14382,30563,1902,121826,797,2087,1642,1881,9705,13026,5490,8985,308,43914,1675,1947,2103,3179,16477,26432,11218,21184,612,84829,516,1834,1566,1610,4133,7417,3812,8846,260,30001,2442,7525,6967,7434,22213,45919,18337,38063,1101,150003,1380,6625,6900,6204,10321,11499,4417,7489,791,55623,4264,3408,3528,4556,36262,25914,18298,15884,1130,113251,2040,12348,6356,6490,16232,15734,7812,14233,819,82060,2677,6582,8386,10665,21177,21333,7993,14404,962,94176,803,4903,2553,2798,4492,5210,2317,4387,359,27826,1254,4381,4014,4542,13614,16521,8313,14293,801,67732,2495,6531,6269,5736,16485,20616,7072,13927,19174,98294
2,1389,2759,2349,3176,4403,7215,3661,16193,789,41931,512,186,148,149,723,1223,1106,3402,84,7538,3162,4553,4966,6687,41624,39553,23320,26447,1412,151722,667,525,581,790,5915,6333,3176,4208,214,22407,4966,6682,8266,13015,30760,63963,25790,44469,2900,200809,1064,2275,2282,2482,12708,15608,8338,11626,406,56795,2843,20971,12277,11095,23440,20363,11797,18152,1443,122393,1940,22095,13181,8372,10525,9310,5837,12007,1359,84630,3080,4681,6054,8181,17552,22421,13188,23008,1569,99728,641,1726,1349,1598,7605,9292,3979,5702,265,32156,1102,1247,1482,2070,10227,18692,7017,11832,404,54078,402,1204,1023,1188,3261,4795,2773,6550,202,21400,2153,6422,5299,6717,19156,37189,15206,27825,824,120796,1115,5785,5942,5347,9088,8555,3664,5655,647,45797,3050,3075,2711,3633,19432,20073,10904,9764,657,73307,1522,10269,5290,5682,13804,13263,7462,12897,678,70865,2210,5378,6052,9634,14794,14544,7282,10570,741,71205,779,5773,2601,2820,4373,5014,2306,4263,327,28259,1020,3655,3432,3818,11518,13168,6314,9831,641,53404,2224,5507,4733,4822,14689,16902,5899,11245,14865,80894
3,952,2128,1895,2860,3774,6347,3376,18454,680,40470,2805,571,612,745,3094,4077,7213,22463,585,42168,2021,2592,2560,4373,24862,22074,15966,19617,916,94977,605,329,353,634,4036,5306,2760,4295,133,18452,4125,5899,6527,11355,22446,41756,22872,48495,2152,165630,724,1332,1142,1681,8736,9313,5994,8994,289,38207,2040,14339,8284,9436,17299,12529,8466,15021,934,88344,1507,17212,9175,8065,8584,6817,4724,10625,968,67686,2938,3440,4459,6746,14905,14956,10359,22586,1238,81635,368,950,674,917,3788,3478,1742,2917,122,14949,449,683,773,1054,5178,6422,3060,5844,132,23592,335,1314,1030,1480,2778,4006,2359,6568,190,20064,1355,4033,3141,3895,10542,19287,8887,19403,428,70961,877,4234,4029,4285,6379,5963,2880,5412,460,34520,3249,2219,2125,3260,22867,19486,11915,11728,805,77667,1348,6341,3383,5870,10139,9627,5222,9751,485,52160,1964,3755,4476,7390,14277,12719,5198,9159,559,59499,479,3052,1535,1982,3234,2922,1388,2503,197,17299,896,2895,2362,3297,9164,10031,5518,9561,488,44213,1732,3695,2954,3661,9764,10963,4391,10189,10151,57496
4,810,1317,1129,1758,2591,3920,2290,7730,340,21891,600,144,190,157,640,889,1012,4129,94,7850,1033,1359,1364,2233,13361,10231,7179,6880,358,43996,237,194,172,298,1752,1851,1112,1351,63,7017,1356,2214,2202,4175,8406,13199,6458,10753,600,49366,368,670,506,750,3720,3662,2387,2855,114,15038,923,6568,3181,3886,6822,4453,3769,4825,365,34793,550,6277,2800,2746,2401,1864,1648,2952,325,21560,936,1273,1582,2306,4690,4138,3387,5980,360,24652,151,418,268,310,1684,1550,647,829,37,5891,226,254,256,446,2229,2121,1173,1590,48,8337,158,377,311,332,852,872,612,1257,44,4806,476,1628,1062,1383,4200,5684,2812,5048,146,22440,345,1781,1464,1800,2597,1877,1092,1411,143,12514,1087,864,789,1355,9287,7137,4163,3211,229,28120,547,2531,1354,1678,3961,3411,2015,3568,128,19198,819,1829,2096,3633,6422,3430,1991,3075,206,23493,150,1163,487,654,823,791,399,660,59,5188,365,1148,871,1231,3750,3552,2046,2785,152,15900,570,1239,846,1123,2929,2561,1101,2132,2972,15470
5,856,1184,1099,1315,1416,3192,1872,8511,300,19738,4580,1138,1028,796,3226,6773,8343,32528,819,59228,1275,1607,1418,1937,11817,11434,8388,9687,376,47949,401,197,186,340,2289,2332,1705,2414,81,9948,3146,3643,4223,6485,12325,25658,12222,27969,1285,96950,471,761,646,846,4104,5429,3187,4589,144,20178,1090,8285,4744,4144,7957,6729,4155,7078,466,44649,960,8958,4781,3232,3914,3408,2263,5072,460,33051,1624,1994,2238,3470,6020,7849,5611,10783,632,40221,163,645,340,440,1541,1933,835,1052,56,7013,253,399,350,578,2159,3825,1699,2741,67,12064,224,690,472,600,1282,1969,1122,2800,61,9226,991,2304,1835,2247,6105,12238,5519,10467,247,41955,607,2344,2265,2025,2602,3226,1539,3117,199,17913,1690,1433,1250,1461,9988,10444,5863,5666,351,38144,761,3439,1799,2179,5134,5478,2830,4607,232,26462,818,2078,2261,2980,6517,5634,2558,3948,253,27036,316,1835,820,939,1641,1555,738,1220,101,9160,638,1577,1340,1617,4524,5802,3139,5563,269,24466,1240,2291,1761,1861,5092,7167,2977,6603,5244,34240
6,297,519,468,675,1064,1629,889,2695,148,8395,153,35,39,47,129,214,518,865,38,2036,358,452,477,683,2869,2604,1828,1760,98,11124,88,62,63,90,864,620,394,451,20,2660,427,574,626,1179,2573,4723,1971,2567,183,14820,106,185,145,217,912,808,491,654,29,3552,301,1705,885,955,2181,1374,1010,1395,114,9924,208,1913,776,718,796,628,490,1001,85,6610,404,445,504,581,1128,1183,912,1819,116,7090,57,103,79,110,474,366,229,219,10,1646,51,85,43,112,477,474,203,305,12,1751,41,105,77,82,217,205,156,326,5,1219,144,463,304,449,1116,1270,676,1088,37,5554,106,455,319,389,519,442,232,332,52,2838,384,271,278,581,2868,1577,961,927,69,7912,165,741,487,564,1318,1131,600,954,43,5997,250,493,614,1083,1426,1012,516,894,46,6330,69,386,203,253,407,337,162,258,26,2098,88,341,248,347,953,997,492,730,66,4260,223,373,261,352,776,824,323,600,939,4673
7,49,54,47,54,111,245,83,700,42,1379,191,32,25,29,80,215,278,1275,20,2155,59,57,44,61,386,453,292,490,18,1851,50,14,11,34,301,275,186,314,10,1196,301,217,202,367,919,1575,976,4136,140,8829,28,24,33,46,311,272,168,326,12,1216,102,450,298,275,736,462,339,624,39,3332,67,439,371,265,544,529,283,635,69,3197,139,134,176,268,653,626,453,884,57,3395,17,38,37,23,157,145,78,89,8,585,13,13,6,11,66,98,36,100,0,351,19,43,24,31,114,119,89,210,3,651,97,105,92,119,412,640,312,1472,23,3275,36,110,114,150,239,242,142,338,22,1393,578,195,218,362,2361,2697,1591,2125,141,10269,79,178,138,211,645,572,231,473,25,2563,105,127,169,257,934,624,274,413,46,2953,31,113,65,91,243,238,89,153,17,1045,64,157,117,173,519,608,259,479,69,2442,128,143,95,134,442,503,222,653,696,3010
8,17,53,30,46,68,65,27,75,3,379,11,5,8,4,6,13,11,49,0,101,49,118,97,88,502,640,369,520,12,2410,31,17,21,27,310,288,160,173,11,1044,228,334,353,632,1382,3362,1538,2811,132,10781,31,71,51,78,331,397,238,325,12,1522,178,1385,782,748,1315,880,653,942,86,6963,198,1898,1041,760,976,733,442,947,114,7111,138,221,193,336,672,768,517,747,39,3641,55,118,94,120,557,624,271,298,11,2155,48,75,47,78,359,388,201,296,3,1488,23,71,50,71,222,301,184,364,9,1292,217,488,422,569,2275,3664,1553,2141,75,11410,86,347,340,286,500,513,211,336,30,2664,1157,600,692,1255,9345,8748,4767,5053,202,31817,173,991,405,435,1612,1203,656,1199,76,6754,163,447,498,593,1335,971,419,768,50,5250,50,385,140,171,357,246,132,224,29,1737,53,242,180,209,573,628,400,639,27,2953,87,274,162,183,480,652,247,433,724,3250
9,0,3,5,4,4,3,3,5,0,27,8,4,0,3,43,10,24,27,3,127,0,4,0,0,7,3,3,3,0,22,0,3,0,0,10,14,3,9,0,36,5,7,4,12,32,32,23,18,0,135,0,0,0,0,0,3,6,3,0,13,0,6,4,0,13,10,10,22,4,67,3,15,9,8,21,13,9,19,3,94,5,4,7,8,14,18,0,9,3,77,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,6,0,18,0,0,0,0,8,6,4,6,0,25,0,3,3,11,10,7,0,6,0,44,14,12,3,11,60,39,60,87,3,284,0,3,0,5,8,10,3,9,0,33,4,3,0,0,3,5,0,0,0,16,3,3,4,4,19,3,9,0,0,42,0,0,0,5,6,9,3,6,0,36,4,7,0,3,15,14,4,9,15,72
