STE_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
1,419,1095,40,41,118,50,24,19,22,1819,2660,16184,305,206,451,138,100,112,181,20342,29131,61366,4873,3262,9564,4892,2614,2607,1748,120063,958,2236,141,121,303,173,108,84,84,4208,4239,11559,864,894,1332,485,359,338,206,20277,1532,2286,266,355,478,131,88,82,85,5302,69034,167038,21847,17092,25460,16866,10289,12571,5048,345230,205,196,235,147,87,118,87,111,31,1216,16907,17094,12023,7369,5379,4854,4340,3915,1125,72997,19508,17389,17545,11190,8212,6894,5683,5905,1499,93828,56441,18297,205453,21083,18882,19291,46564,41742,7413,435164,1977,1101,1926,1569,1188,1648,2133,2829,200,14558,5243,3357,4087,3224,2457,3271,4444,4274,540,30898,2643,3961,2288,989,1045,1107,1564,1717,384,15699,4367,3469,5474,2038,1579,2203,5021,5495,4039,33684,215256,326633,277373,69582,76540,62112,83404,81796,22595,1215285,372,1744,21,86,233,51,3,11,21,2547,1507,11895,199,234,568,92,15,44,125,14681,18227,67547,1730,5382,14307,4353,314,1333,1354,114549,688,2672,45,212,521,126,9,47,59,4373
2,330,960,52,43,98,49,12,30,15,1584,2207,14741,246,180,381,110,62,108,167,18208,20412,42883,3631,2678,6941,3803,2207,2485,1256,86295,938,1937,131,135,304,157,87,83,76,3849,5044,14145,935,1297,1584,615,390,492,257,24762,1241,2064,240,366,398,133,73,91,55,4657,56816,133757,18266,14010,22407,14987,8490,11004,3782,283524,157,161,220,172,92,102,106,113,31,1144,13448,13902,11061,5471,4733,4149,3956,3833,863,61417,16254,13667,15844,9295,6949,5608,5625,5896,1117,80265,44926,13116,167546,16565,13652,15093,33569,35317,5364,345159,1319,659,1600,1129,789,1169,1537,2129,148,10479,3407,2013,2983,2374,1578,2138,3028,2702,350,20576,1805,2630,1713,729,753,690,1159,1080,328,10883,3779,2833,5310,1711,1273,1907,4011,4261,3157,28239,172100,259473,229776,56152,61926,50702,64316,69632,16964,981026,309,1732,26,108,221,53,3,17,15,2483,1499,11697,173,208,549,88,9,46,134,14409,12654,48575,1505,4862,10264,3230,221,1427,976,83721,715,3195,66,267,520,148,3,52,69,5035
3,178,585,31,28,46,28,4,7,11,917,1199,9153,148,82,196,63,47,69,78,11048,10082,21301,1574,1335,2678,1360,748,1122,498,40697,376,951,62,52,133,62,34,43,25,1737,2353,7531,555,710,754,277,207,230,116,12721,1041,1719,237,280,388,101,59,76,53,3952,29104,82393,10603,8880,10750,6982,3828,6235,1962,160738,119,91,150,133,60,48,48,94,21,766,8091,9029,6399,3500,2406,1911,1953,1892,511,35692,12866,10916,11705,8768,5509,4208,3942,4433,908,63262,38351,12980,163606,16082,13052,14803,36576,35279,5067,335804,1061,696,1637,1202,708,1446,1747,2856,146,11498,2709,1532,2659,1951,1085,1717,3164,2971,323,18120,1080,1642,1347,557,429,458,893,1104,214,7721,2550,1925,4428,1328,851,1422,3777,4101,2455,22827,111166,162461,205137,44893,39047,34882,57019,60512,12376,727504,156,974,22,54,124,30,4,9,8,1381,737,6981,101,125,319,56,3,27,42,8392,6115,26109,602,2235,4394,1325,65,736,398,41983,281,1456,28,107,213,54,0,36,28,2206
4,52,253,10,24,14,8,3,5,5,378,549,4010,71,53,86,26,26,46,25,4884,3295,6942,658,704,1007,541,450,683,144,14430,132,337,21,22,35,11,16,18,7,594,949,2780,180,233,347,107,61,112,43,4818,401,566,80,82,119,25,14,26,19,1342,9996,29817,3614,3538,3883,2402,1533,2920,603,58317,45,37,49,37,13,17,19,17,3,242,3004,3556,2064,1697,1039,739,650,688,208,13649,4497,3900,3721,2518,1853,1333,1113,1330,274,20540,13135,4398,49790,6259,4750,5041,10054,11199,1603,106236,558,250,639,506,313,576,678,1150,65,4735,1188,650,911,916,507,661,926,1056,133,6941,429,584,518,225,196,157,313,487,94,3002,1084,667,1378,483,317,503,1114,1363,722,7641,39324,58761,63702,17294,14484,12156,16974,21108,3950,247744,65,455,3,28,51,13,0,7,6,638,336,2920,50,68,121,24,3,11,20,3542,2044,8668,263,1222,1488,445,25,433,147,14739,98,547,6,57,62,23,0,4,12,810
5,147,379,26,37,42,20,3,18,3,670,800,5215,96,73,117,27,43,47,55,6474,6211,12333,1219,874,1767,796,776,759,295,25031,290,612,33,44,79,32,39,24,12,1182,1629,4648,325,335,473,169,159,133,73,7933,569,818,125,219,180,38,33,36,29,2052,19757,50360,7941,5139,6702,4209,3604,4510,1225,103466,66,54,134,59,20,31,58,51,13,487,5541,5987,5081,2170,1659,1198,1749,1408,377,25157,6128,5611,7691,3311,2308,1987,2614,2339,487,32487,17707,6966,96076,7311,6377,5810,19342,15782,3229,178601,543,349,1063,709,356,670,944,1520,99,6257,1412,911,1818,1056,562,684,1693,1406,178,9721,783,1081,980,311,293,255,549,647,124,5011,1287,1131,2261,713,498,626,2026,1821,1154,11518,62872,96476,124878,22352,21442,16557,33621,30497,7362,416057,143,751,15,50,110,18,0,12,5,1104,422,3756,72,80,183,39,6,37,36,4625,3167,12570,482,1446,2517,846,68,517,230,21845,190,1021,24,62,174,50,0,21,23,1555
6,17,64,4,4,8,0,0,0,0,95,150,1222,23,9,34,4,8,4,17,1474,699,1617,122,117,205,59,51,78,41,2981,28,100,9,11,11,0,3,3,0,165,226,760,51,62,85,20,14,20,6,1250,137,225,19,73,57,7,3,0,15,533,2466,7622,807,822,882,372,202,428,155,13759,9,9,8,7,0,3,3,3,3,55,896,915,582,301,316,143,118,165,56,3490,1175,1008,881,596,504,332,225,280,79,5085,5085,1307,16138,1913,1555,1507,3281,3301,599,34683,131,70,174,162,95,163,172,377,12,1358,257,160,241,294,121,138,214,300,38,1764,96,144,94,47,40,32,60,82,14,612,337,172,484,170,95,157,443,485,237,2587,11714,15396,19645,4589,4006,2934,4789,5539,1274,69894,14,104,0,10,10,3,0,0,0,139,101,954,18,19,75,4,0,9,12,1196,515,2561,56,233,338,75,5,56,44,3885,25,125,0,8,23,0,0,0,5,187
7,10,20,0,0,0,3,0,0,0,35,73,311,13,7,14,3,0,0,3,417,485,950,110,172,170,66,38,51,29,2072,26,47,3,8,7,0,0,0,0,102,134,375,28,41,41,9,8,11,10,651,54,100,14,31,12,0,4,4,5,229,1301,3278,665,626,492,212,237,377,90,7285,8,4,10,11,0,0,0,9,3,42,413,421,336,286,119,61,91,71,37,1832,629,495,672,732,274,100,161,163,55,3280,1888,800,8808,1434,689,455,1494,1496,404,17468,67,92,117,162,54,54,83,141,17,786,144,107,166,183,65,43,116,141,39,994,48,73,99,34,22,19,34,64,22,418,167,165,293,164,67,68,192,275,220,1614,5443,7241,11333,3901,2025,1096,2460,2799,927,37232,9,61,0,3,3,0,0,0,3,86,47,314,7,8,10,0,0,0,4,397,399,1424,32,179,273,54,0,36,20,2414,27,87,0,5,10,5,0,0,0,141
8,31,99,0,4,7,0,0,0,3,143,625,2727,48,28,182,13,9,13,47,3695,3092,5514,275,354,1140,198,92,183,291,11136,77,180,4,10,44,3,0,8,13,340,733,1626,78,113,258,35,23,30,66,2964,287,340,27,52,127,12,3,3,26,880,5082,12423,1196,1334,2625,704,291,653,626,24927,19,14,13,15,3,5,7,0,3,74,953,1100,533,443,506,191,104,148,109,4086,1392,1403,1016,771,815,258,163,256,171,6240,2331,1286,8008,1363,1268,671,969,1255,367,17519,104,78,115,173,109,100,60,110,15,862,206,187,127,167,134,86,87,115,31,1138,138,263,106,57,55,42,31,51,26,764,138,182,241,95,87,76,71,142,181,1222,15199,27416,11792,4975,7375,2385,1902,2970,1974,75983,31,121,0,3,14,4,0,0,3,173,411,1706,32,20,171,7,0,8,35,2393,2176,5324,146,537,1355,215,11,94,246,10098,69,225,0,18,43,4,0,10,5,375
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,6,36,41,4,16,4,3,3,4,8,118,0,0,0,0,0,0,0,0,0,0,15,7,7,3,0,5,3,3,0,41,10,8,10,14,3,0,0,3,0,50,55,15,195,25,11,4,30,33,11,385,0,3,5,7,0,0,3,7,0,26,8,0,5,3,0,0,4,3,0,32,0,0,3,0,0,0,0,0,3,6,12,6,8,5,3,0,10,13,3,53,152,87,248,68,28,20,57,77,21,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,14,0,0,6,0,0,0,0,36,0,0,0,0,0,0,0,0,0,3
