STE_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
1,290,4290,120,52215,1743,351,191,952,317,1424,161,874,336,5256,34682,46288,903,243,397,453,146,383,80,353,226,5989,4277,13460,159513,30117,5044,84566,8785,69716,4387,47959,7305,249212,42930,709524
2,244,2962,95,33642,1452,301,166,840,253,1220,121,751,270,4057,26174,35592,871,199,388,544,141,394,57,332,242,5395,3632,12197,127004,24465,4456,73994,7518,56682,3719,39277,6119,183315,33161,559717
3,179,2157,75,23960,1216,224,120,709,205,985,104,545,190,3212,26701,34221,740,145,315,372,99,304,47,201,151,3594,2632,8607,107252,19823,3574,64697,6753,48524,3229,31528,5269,158959,31848,481451
4,62,793,21,6703,335,88,32,244,53,319,28,205,64,1456,8737,11564,164,54,79,141,27,63,19,76,43,1373,910,2946,32173,7971,1267,24202,2298,16335,1298,13289,1863,67192,10710,178588
5,143,1294,43,18768,579,125,69,386,102,540,55,315,115,1527,18041,21854,319,78,141,173,70,137,26,94,76,1659,1325,4089,55398,11045,2075,33899,3789,26413,1951,17055,2935,72706,20571,247841
6,19,204,14,1738,81,33,18,92,21,119,7,97,22,462,2859,3803,48,21,15,39,5,29,3,19,24,543,374,1119,9318,2826,453,7843,735,5025,463,4778,729,21960,3718,57849
7,13,34,3,2002,79,11,11,25,18,43,8,24,14,78,1406,1711,28,14,18,10,0,33,8,14,7,135,184,445,6896,603,247,2250,443,1972,151,702,220,2973,1689,18138
8,36,352,12,4769,122,12,7,52,18,36,8,25,9,153,2222,2664,23,4,15,14,3,18,0,11,6,129,103,316,11718,1279,268,4521,654,3966,224,2385,406,10543,2480,38438
9,0,0,0,17,0,0,0,0,0,3,0,0,0,0,25,30,0,0,0,0,0,0,0,0,0,4,11,11,98,32,13,85,8,54,0,32,7,84,31,443
