STE_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
1,12671,3461,39152,17416,12636,10591,5445,9548,1218,112144,325,329,393,461,344,369,317,731,137,3412,4820,7030,3065,3043,4479,2143,2571,2145,1128,30431,6119,5958,8347,6026,6321,5305,5472,7924,9172,60645,343757,732395,327037,235406,299946,140698,92177,119101,38126,2328647
2,10994,2892,33994,14582,10725,10263,4646,9157,952,98207,237,247,266,279,248,243,243,569,105,2435,4915,7273,2902,3669,4624,2293,1991,1959,962,30575,5327,4715,7606,4995,4725,4481,4423,6417,7015,49698,269802,587335,273638,203353,221412,116015,71302,101650,28413,1872916
3,9428,2460,27747,13646,9604,8908,4274,8593,779,85438,203,204,253,292,284,342,180,489,74,2312,2434,3258,2113,2157,2375,1038,1876,1517,650,17419,3453,2907,5687,3878,3504,3333,3742,5828,5307,37651,176623,388488,237763,164452,165133,84420,63000,89629,20038,1389546
4,3013,670,9933,3857,2699,2812,1024,2791,254,27051,52,63,64,88,76,70,47,178,40,672,815,1156,627,838,824,370,571,531,226,5951,1376,1058,1892,1484,1223,1225,1146,1981,1506,12891,61734,139679,75600,62639,55705,27997,18307,31160,6571,479393
5,4550,1182,14647,6490,5057,4134,2786,4007,404,43265,97,85,192,160,124,138,140,290,38,1263,1154,1738,1292,1254,1111,542,1007,698,350,9147,1793,1559,3390,2009,1858,1593,2122,2625,2714,19668,96998,219095,144827,83911,86145,41968,37565,45792,11512,767809
6,983,209,3388,1460,939,874,342,955,90,9231,19,22,16,24,14,24,18,43,17,193,273,395,182,227,248,94,126,138,61,1743,491,335,715,520,421,423,472,789,465,4631,17968,37716,23442,18019,15749,7371,5186,8551,2116,136123
7,409,149,1183,629,543,302,188,336,53,3796,11,15,41,24,13,9,15,38,14,176,162,198,147,275,138,38,84,92,52,1184,244,280,395,400,282,181,221,388,462,2851,9142,18412,12738,9200,8306,2887,2717,4082,1477,68958
8,656,246,2027,816,916,407,151,315,85,5621,10,18,9,13,6,13,3,30,4,105,591,676,141,310,505,94,66,94,133,2611,279,380,287,265,351,148,89,188,426,2402,26628,57127,14336,13522,23035,5449,2091,4258,3588,150034
9,11,0,33,14,12,8,10,7,0,89,0,0,0,0,0,0,0,0,0,5,3,0,11,4,3,0,4,0,0,25,7,5,14,13,9,4,10,15,4,93,241,216,280,198,154,48,66,115,35,1353
