STE_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
1,2855,5907,14082,13216,12764,8288,2706,767,228,60817,84110,151949,367949,352974,349071,237360,51675,5367,835,1601282,2086,4364,9982,11500,15117,15565,10030,3394,583,72625,236,1512,8611,8998,7629,4172,513,51,12,31736,5959,13756,39253,46195,50117,34677,6610,684,87,197331,303,1578,6596,8315,8675,5624,740,39,5,31881,12838,30742,71133,64945,57581,36607,7921,645,80,282491,1885,6499,23350,27150,24734,15855,3761,432,52,103722,40225,52322,71710,57516,54972,38582,9842,1103,122,326396,53012,43689,54401,32946,29255,20509,4873,462,66,239222,2025,8170,29855,36153,41617,32023,8174,702,48,158760,2121,5790,20843,20586,14758,7516,1576,183,20,73398,1097,9824,48858,50725,35292,17312,3551,482,116,167259,1468,5202,14748,13686,12374,8334,3164,586,92,59652,3103,20409,78642,71709,53001,33954,11654,1444,160,274078,2223,9431,27778,26632,26778,19200,4892,482,59,117482,2099,10379,44144,52354,53604,35016,6080,435,59,204173,6853,19871,57943,63046,66833,54872,12008,1051,82,282568,6728,31146,93006,90016,99815,81669,18194,1473,152,422195,4894,7397,12334,10194,8713,5939,1968,297,44,51775
2,2145,4595,10971,10237,10620,6820,2253,604,187,48434,65277,125234,307957,282699,283765,187053,39474,3795,755,1296007,1611,3655,8987,10399,12731,12748,7860,2511,413,60913,37,348,2153,2445,2357,1482,274,30,9,9139,6093,13834,41862,51481,55197,36624,6900,635,94,212723,236,1530,8023,7891,7579,4764,729,49,14,30808,8095,25157,61970,51612,46263,28524,5875,545,113,228149,1674,5924,19298,22213,22133,13653,3037,335,51,88321,34600,48296,61803,47846,46834,31576,7768,795,111,279636,41232,37040,42088,23750,20141,13190,3029,305,59,180825,1300,7245,28538,29812,32637,24272,5803,402,67,130069,1538,4100,14706,14354,10740,5601,1056,88,20,52200,518,6053,32008,31501,22663,11038,2507,298,82,106669,782,3880,11804,9717,8679,5710,2048,331,56,43013,1706,14404,64121,58258,42531,26225,8968,1062,124,217402,1531,8059,23085,20637,20675,14822,4032,425,51,93315,1332,7004,30798,36323,37745,25521,5027,500,69,144321,4915,15214,52728,54070,56131,43592,8884,653,96,236276,3396,23192,81008,75301,80651,63620,13662,1022,161,341999,5418,8227,13144,10137,8288,5378,1856,274,39,52765
3,2021,3085,6832,7612,7388,4771,1660,493,135,34008,66639,100947,220689,224948,230002,149231,30705,2913,400,1026477,2178,4804,10411,10060,12371,11634,6723,2136,284,60608,407,2300,13533,14735,12263,5945,744,47,17,49997,5311,10758,26887,30230,31166,20195,3868,340,38,128787,277,1141,5027,6364,6532,4022,492,29,3,23883,7616,19377,47840,44994,40284,25741,5109,340,40,191338,1723,4308,11756,13799,13911,8721,1952,187,14,56370,33030,34737,42228,34983,35625,24409,6181,530,52,211778,41694,28291,32653,20537,18030,12056,3056,312,45,156670,1539,5917,20522,23495,28407,21953,5782,434,39,108083,1391,2993,6162,5659,5225,3138,631,58,7,25265,647,3663,14678,14876,12264,6551,1402,170,35,54286,1231,3671,8744,8879,9362,7187,2899,467,56,42500,2478,11445,34030,34761,27720,17323,5324,531,47,133652,2147,6831,16959,16821,17182,12097,2978,288,29,75336,1643,9415,30926,36238,36310,22193,3195,230,17,140164,4255,11732,36095,47372,50678,34718,6756,502,37,192143,5264,21871,60385,61069,67499,50466,9699,634,50,276945,3581,4672,7435,6740,5942,3857,1220,199,20,33667
4,449,748,1821,1768,1944,1443,593,187,63,9016,19982,33165,74174,74170,83042,60167,12465,1215,205,358582,774,1880,4582,5499,6673,6222,3382,919,143,30084,45,416,2499,2514,2312,1245,174,16,5,9222,1889,4216,11646,13962,15509,10264,1879,190,29,59579,120,464,2103,2098,2525,1596,240,11,6,9164,1943,6046,13965,11745,12376,8432,1922,180,27,56635,518,1531,4189,4980,5412,3644,820,87,11,21187,11572,13509,16035,12669,13859,9595,2255,218,26,79742,12199,10059,10128,6436,5847,3935,1003,112,18,49738,371,1601,5607,6484,8279,6757,1688,161,9,30953,434,914,2625,2223,1857,1240,309,20,7,9633,172,1082,4870,5409,5008,3048,620,71,14,20291,220,772,2062,1960,2277,1843,673,149,10,9969,485,2743,10162,10451,8930,6294,2191,221,20,41499,484,2022,5586,5663,6750,4879,1262,115,15,26769,298,2362,11025,13668,14214,9952,1328,57,23,52914,1103,3958,12676,14437,15656,13526,2928,192,26,64506,1203,7399,23467,23354,27460,23038,4264,270,32,110479,1019,1595,2191,1826,1737,1274,424,77,7,10152
5,1000,1745,4336,4022,4150,2555,823,222,51,18901,30463,51170,123511,115078,119039,80185,16923,1570,193,538133,785,1782,4792,4967,6139,5676,3384,966,124,28613,364,3247,21379,20699,17450,8298,1044,57,11,72541,2509,4777,14361,15475,15088,10042,2086,187,22,64544,91,599,3117,3427,3489,2294,350,13,4,13383,3852,11216,31754,26192,23301,13973,2898,248,27,113461,725,2368,6652,6865,7020,4610,1120,124,14,29500,16597,19008,22409,17677,18516,12687,3194,298,36,110409,17872,14024,17710,9896,8284,5377,1299,152,13,74620,754,3107,11210,11363,13234,10463,2788,206,15,53133,726,1313,2960,2450,2170,1409,374,45,11,11447,225,1619,7276,7049,6569,3587,808,93,21,27244,408,1647,4353,4183,4511,3405,1399,215,21,20140,796,4815,20449,19405,15758,9526,3024,353,34,74146,927,3305,9171,8449,8347,5999,1586,161,13,37957,746,3738,15576,17235,18707,13447,2601,200,21,72275,2044,5723,18115,23726,26772,20008,4229,305,32,100951,2068,10219,31039,29548,31377,25553,5639,421,40,135898,1868,2632,4342,3418,3065,2280,750,106,11,18465
6,188,214,448,528,594,458,197,61,20,2700,6413,9168,19566,22006,25756,19146,3604,376,59,106099,375,858,1976,2151,2518,2183,979,307,29,11383,16,88,483,577,582,402,64,3,7,2217,709,1347,2660,3134,3864,2660,422,53,7,14856,17,138,718,920,997,644,77,3,0,3509,708,1761,3757,3291,3597,2756,515,33,5,16444,196,348,908,1038,1243,916,181,24,3,4840,3489,3446,4369,4012,4315,3118,740,89,9,23595,3827,2995,3219,2251,2178,1580,448,40,5,16543,113,458,1351,1769,2546,2243,614,55,3,9160,112,279,710,599,640,507,79,11,3,2925,69,306,1138,1155,1027,696,132,16,5,4540,54,234,466,501,646,556,197,29,4,2676,178,616,2263,2405,2296,1764,613,69,8,10214,157,495,1209,1350,1575,1280,294,45,3,6405,116,608,2932,4322,5080,3392,480,20,7,16958,212,794,3342,4822,5526,4528,813,52,6,20105,404,2018,5515,5990,8241,7183,1232,80,21,30683,380,438,753,769,800,667,182,29,3,4017
7,120,174,431,362,343,211,61,10,7,1712,2179,4233,12702,10681,10018,6357,1311,105,15,47597,129,313,470,327,422,278,111,30,0,2097,16,126,689,720,621,297,43,0,0,2525,132,213,573,593,554,298,59,3,0,2436,16,87,365,454,388,278,38,3,0,1625,258,824,3207,2506,2026,1234,297,20,3,10370,58,158,457,371,392,249,48,3,0,1738,1106,983,1718,1315,1214,893,225,19,3,7469,1044,1055,2073,1101,934,586,146,17,0,6954,87,318,1076,929,1104,768,222,13,0,4507,62,100,280,199,186,140,30,0,0,1002,14,100,377,276,219,119,20,3,0,1124,42,140,388,314,298,206,83,19,3,1497,104,334,1730,1411,1089,775,196,11,0,5653,84,278,768,711,709,450,111,12,0,3125,287,1897,5051,4352,4074,2494,432,15,3,18607,178,492,2122,2294,2283,1769,373,30,0,9539,209,733,3231,2723,2349,1720,381,27,0,11374,192,234,554,440,396,265,72,10,0,2160
8,144,253,526,453,388,226,89,20,17,2110,5738,10435,25912,23338,20786,12065,2392,208,31,100905,15,66,101,94,100,104,70,30,10,590,0,4,32,26,33,19,0,0,0,115,258,347,758,745,698,401,147,24,0,3377,20,96,399,409,304,177,33,3,0,1451,472,1543,3577,2689,2093,1279,329,37,4,12029,69,197,476,489,485,246,75,10,0,2041,2686,3225,3262,2030,1756,1202,397,38,7,14601,3675,3276,2974,1586,1098,627,151,11,3,13401,84,301,977,1089,1126,885,229,19,0,4715,148,342,957,941,739,394,96,5,3,3628,28,263,979,808,596,364,106,20,5,3171,76,319,687,582,488,341,146,25,0,2665,201,1603,5486,5049,3830,2330,709,70,4,19290,136,454,1386,1205,1064,742,213,27,3,5236,538,3255,16755,17822,15999,7775,1091,57,4,63286,690,1561,4396,4750,4356,3061,758,65,6,19647,511,2087,5710,4734,4364,3172,675,55,6,21319,474,590,813,624,549,379,135,13,0,3590
9,3,0,4,9,12,3,6,0,0,37,43,44,161,207,235,193,81,12,0,982,0,4,3,8,6,7,3,5,0,34,0,9,23,32,32,33,27,0,0,149,0,0,9,4,17,10,0,0,0,43,0,7,3,10,13,6,6,0,0,41,5,9,12,28,43,34,9,0,0,143,0,0,3,3,0,3,0,3,0,21,18,9,18,27,44,40,27,8,0,184,19,14,47,46,51,40,19,4,4,249,6,5,27,22,22,20,6,0,0,111,0,0,0,7,3,4,0,0,0,15,0,0,4,8,3,7,0,0,0,24,0,0,0,6,8,6,3,0,0,28,0,0,10,18,8,4,8,0,0,48,3,0,15,28,25,32,13,0,0,116,6,34,93,80,114,78,25,0,0,433,3,5,27,46,29,32,13,0,0,159,4,6,7,24,26,31,17,0,0,109,3,3,11,17,9,10,9,4,0,74
