STE_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
1,4330,21670,412,3470,3710,698,53,281,275,34906,1477,6066,94,413,1007,151,7,51,72,9334,50137,220355,9119,32594,56730,20195,1625,8179,4521,403455,211,354,78,668,401,200,29,90,42,2080,11420,23899,3067,14225,21237,6275,674,2588,989,84372,14343,19789,5760,33277,32531,10630,935,4052,1493,122811,14838,15908,24057,54154,52764,20201,3047,10938,2319,198222,2170,1515,1064,4164,9358,4434,560,2461,244,25974,4328,3625,1911,9424,17433,5645,720,2915,576,46574,1679,3724,714,2049,5381,1682,241,1039,345,16845,2788,4996,1383,5466,7220,3861,545,3289,3082,32623,128501,405760,49668,165824,223409,78587,8773,37305,15526,1113358,787,2844,60,132,354,97,23,28,43,4371,4164,28078,501,445,1019,232,114,160,305,35022,47355,128916,6601,8646,23869,9250,2924,3943,3099,234614,1641,4916,183,329,825,296,113,128,146,8584,8566,33230,1276,4358,5042,1186,414,623,481,55182,3010,8353,364,774,1485,279,93,130,153,14633,119170,387392,30965,49685,82189,37060,11912,20742,9577,748689,416,552,315,817,486,312,118,200,71,3300
2,5341,28963,593,5448,4277,944,71,307,283,46230,1340,6101,113,514,1041,147,17,50,75,9395,38056,175742,8364,28583,47193,18656,1271,6950,3334,328143,170,274,97,657,339,206,13,93,43,1888,8706,16633,3212,12467,15213,5272,508,2113,670,64797,11353,16147,6021,30627,25018,9577,838,3694,1138,104413,10676,9358,19716,45699,34732,16332,2550,10106,1606,150766,1258,900,815,3469,5020,2918,354,1741,145,16622,2355,1910,1343,7778,8027,3518,482,2001,329,27739,1048,2565,577,1462,2235,1054,139,656,206,9948,2224,4064,1248,5050,4834,3171,501,2784,2438,26310,97705,327859,43867,147199,159480,65317,6985,32025,11455,891890,641,2689,74,149,318,97,19,42,33,4067,3709,26442,418,389,927,196,75,151,303,32613,33072,91456,5139,7544,17206,7033,2431,3915,2228,170012,1652,5134,197,400,832,299,97,136,140,8883,10384,43109,1533,6747,5857,1567,463,800,543,70989,2587,8167,347,879,1444,280,85,137,127,14048,94871,309503,26631,42587,69598,33643,9758,17956,7119,611665,329,436,314,829,423,302,124,201,75,3036
3,2378,15419,298,2724,2358,449,40,216,155,24041,1034,5046,79,311,921,138,8,46,52,7630,21683,129373,4622,18507,28092,9045,679,5336,1801,219137,126,206,76,546,291,128,16,74,23,1495,5707,11897,1647,8526,9297,3011,311,1513,458,42370,10196,12236,3907,26542,22680,7627,761,3498,922,88373,11316,9595,18105,45188,40183,17167,2823,10438,1435,156255,1249,796,810,3199,4688,3566,358,2005,136,16809,2148,1747,1058,6709,7190,3553,436,2043,261,25150,684,1549,375,1148,1810,770,101,653,134,7221,1633,2652,888,3647,3518,2613,368,2474,1807,19602,65456,226030,32626,119564,126083,49538,5978,29119,7656,662046,336,1557,49,84,171,60,5,16,19,2296,1934,16134,252,208,515,126,49,104,123,19435,16201,47413,2174,3572,7078,2680,811,1860,898,82678,657,2407,91,160,346,117,34,81,49,3949,4731,22947,857,3429,3117,721,244,445,276,36758,2079,6764,319,591,1307,236,68,120,108,11584,50786,211760,15228,27391,38844,16034,4502,11568,3759,379873,248,299,226,679,349,177,67,166,50,2264
4,985,5771,126,1074,831,146,12,75,50,9077,389,1417,26,153,278,33,0,14,9,2321,7140,45803,1749,7427,8925,3110,175,2043,632,77010,38,78,16,212,66,31,0,22,7,470,2299,5653,587,4126,3562,979,90,555,167,18012,3050,4001,1178,8923,6035,1715,141,876,274,26185,3921,3186,6650,16390,13302,5670,569,3458,551,53695,499,310,310,1207,2004,1418,92,841,68,6749,762,605,461,2618,2699,1146,114,638,80,9136,227,596,144,463,615,226,23,242,50,2584,560,905,323,1363,1190,853,95,834,544,6668,22412,80918,11902,45343,41220,15843,1337,10050,2619,231648,117,710,15,50,67,21,3,12,6,1015,886,6930,116,123,211,46,24,55,43,8425,5336,15612,923,1929,2496,988,473,1117,293,29174,227,883,32,80,96,31,20,22,17,1401,1929,8552,305,1311,1175,257,78,195,92,13892,789,1981,104,239,403,64,17,38,30,3663,17145,75618,5370,10964,12808,5516,1714,4959,1237,135328,89,118,60,249,81,56,19,35,11,715
5,1537,9726,248,1426,1340,277,27,150,101,14842,502,2374,53,188,378,48,3,22,19,3581,12258,70615,3425,10971,16017,5830,572,3506,1100,124294,73,103,38,248,152,71,20,40,17,758,3075,7871,1393,5133,6156,1887,279,1088,239,27117,4233,5480,2456,11463,9516,3427,480,1717,390,39161,5126,4450,9747,21702,16974,7204,1602,4422,763,71984,744,446,415,1822,2887,1940,229,997,97,9583,1261,962,744,3831,4732,1812,287,1090,141,14861,455,1003,238,863,1227,473,82,420,84,4833,939,1509,605,2267,2344,1498,280,1278,904,11619,34120,122623,19955,61558,64702,25412,3937,15303,4147,351754,288,1129,40,86,157,37,3,26,15,1773,1222,8967,174,154,296,69,52,76,87,11100,9380,24903,1706,2317,4281,1645,846,1276,529,46870,483,1634,59,105,257,83,40,42,32,2732,3163,14375,581,1759,1814,448,184,281,182,22781,1065,3201,176,407,559,83,38,56,53,5635,32022,120980,11369,16114,22723,10037,4173,8015,2330,227760,138,160,172,307,171,97,72,95,33,1248
6,237,1564,37,324,206,46,4,18,17,2454,146,621,5,47,110,9,0,0,7,946,1989,12582,466,1660,2073,599,47,367,168,19951,14,25,10,54,13,10,0,7,3,132,528,1204,164,925,836,195,19,111,58,4042,863,1000,401,2270,1772,480,40,225,100,7151,1170,874,2222,5776,4224,1671,190,1149,172,17456,146,80,132,496,632,545,31,365,27,2448,236,176,113,983,866,379,33,277,48,3112,51,162,27,119,186,62,4,53,8,667,212,299,131,502,371,344,28,381,181,2454,6252,22327,3792,13424,11749,4434,394,3015,843,66233,32,170,4,14,15,3,0,0,0,232,246,2175,42,32,107,14,8,11,24,2670,1218,4175,177,345,539,139,58,133,82,6866,53,226,9,17,33,3,3,3,4,354,464,2322,92,392,288,65,16,33,24,3706,282,842,28,120,163,18,4,4,20,1472,4458,20204,1277,2486,2951,977,248,798,319,33716,28,36,16,62,15,14,3,5,3,180
7,204,983,17,128,127,21,3,7,4,1497,103,293,5,34,51,3,0,3,3,492,1165,5735,229,1110,1333,404,23,298,104,10389,5,6,9,28,11,5,0,6,3,76,261,515,72,356,365,77,17,70,18,1754,574,625,162,915,921,227,23,127,49,3624,636,656,689,1676,2186,542,124,364,102,6974,75,87,54,208,320,146,18,94,27,1021,89,111,52,328,355,130,22,81,26,1190,32,90,21,69,74,32,3,39,9,362,82,190,59,251,239,140,21,163,177,1322,3699,11174,1401,5299,6281,1791,252,1285,552,31726,18,82,0,8,9,3,0,0,3,120,119,625,16,17,21,4,0,5,6,814,881,2376,142,347,438,124,40,85,42,4486,47,132,3,20,23,7,3,0,3,244,339,1362,51,165,165,23,7,20,11,2149,156,396,16,65,64,3,4,4,3,725,2471,9012,892,1739,1827,619,255,671,191,17673,16,6,17,41,14,5,3,8,9,116
8,804,2651,43,329,555,42,3,23,58,4508,341,718,11,42,236,14,0,0,24,1395,4542,14932,590,2276,5069,955,47,384,564,29349,15,21,7,19,27,11,0,3,6,111,680,1140,154,628,1283,235,11,83,87,4295,1098,1196,330,1477,2238,373,20,142,170,7029,827,983,1057,2384,3021,721,74,271,192,9531,93,97,48,200,378,164,8,74,17,1081,180,209,63,334,782,178,12,93,40,1891,71,180,22,100,183,37,3,33,21,653,114,208,48,163,302,102,11,77,126,1154,11426,29709,2548,8548,15666,3060,191,1285,1618,74045,55,216,0,4,28,4,0,0,4,320,1031,4438,82,51,348,16,9,24,84,6089,5260,10837,415,898,2495,414,104,272,536,21231,139,403,6,32,88,14,0,9,18,718,1536,4278,121,443,819,84,21,47,124,7470,621,1061,38,96,370,25,3,3,51,2273,9622,27348,1788,3608,7692,1658,335,1032,1190,54279,28,30,18,31,32,12,7,8,14,181
9,4,17,0,0,0,0,0,0,0,22,0,5,0,0,0,0,0,0,0,6,22,63,5,17,13,4,0,4,4,139,0,0,0,0,0,0,0,0,0,0,9,8,0,15,11,3,0,0,0,51,8,12,9,23,25,0,0,10,0,83,13,3,16,39,34,10,3,8,0,117,3,0,0,5,7,3,0,3,0,20,3,7,0,15,14,6,0,3,0,46,0,0,0,0,3,0,0,3,0,11,7,3,3,16,8,9,0,6,0,56,91,133,36,128,119,37,6,42,8,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,21,0,4,9,0,0,0,0,58,0,0,0,0,0,0,0,0,0,3,13,21,0,3,0,0,0,0,0,35,0,5,0,0,4,0,0,0,0,15,58,103,12,29,20,11,3,16,12,258,0,0,0,0,0,0,0,0,0,0
