STE_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
1,28327,40989,15094,21595,26618,11131,5009,6499,2108,157374,33851,37179,23310,44471,40742,17527,6623,9954,2988,216645,71281,34197,229517,75235,71647,39492,49609,52680,9734,633391,4142,2613,2993,5733,10549,6079,2700,5289,440,40534,9567,6984,5999,12645,19890,8918,5162,7184,1113,77466,4322,7685,3004,3038,6426,2787,1802,2751,732,32547,7155,8468,6863,7501,8797,6058,5570,8783,7121,66310,343757,732395,327037,235406,299946,140698,92177,119101,38126,2328647
2,22155,30534,14278,17936,19945,9419,4465,5941,1534,126212,27608,29816,21863,39919,31968,15190,6465,9585,2258,184677,55599,22478,187264,62268,48379,31426,36121,45424,6969,495925,2578,1563,2411,4593,5808,4084,1889,3877,294,27102,5768,3918,4322,10155,9610,5658,3504,4707,675,48311,2854,5198,2291,2186,2992,1743,1297,1743,528,20830,6003,6897,6550,6767,6101,5071,4511,7040,5597,54543,269802,587335,273638,203353,221412,116015,71302,101650,28413,1872916
3,13805,20926,8048,12026,11706,4919,2260,3410,967,78059,23063,23158,15612,35308,28188,11842,4709,7936,1828,151633,49673,22582,181712,61269,53242,31973,39402,45715,6498,492055,2307,1495,2444,4405,5398,5011,2106,4857,283,28304,4862,3281,3711,8665,8277,5278,3600,5019,581,43269,1766,3187,1723,1707,2242,1223,994,1759,344,14939,4188,4577,5314,4974,4367,4036,4147,6574,4259,42436,176623,388488,237763,164452,165133,84420,63000,89629,20038,1389546
4,5303,9210,2655,5820,4594,1721,741,1243,378,31662,7546,7902,4896,11437,7893,3049,1254,2203,546,46725,17061,7580,56443,22649,18045,10710,10620,14655,2158,159933,1057,561,946,1710,2317,1989,775,1998,127,11482,1949,1259,1370,3539,3205,1809,1033,1699,213,16077,655,1182,660,688,815,382,331,724,148,5594,1645,1571,1703,1848,1504,1358,1216,2201,1261,14310,61734,139679,75600,62639,55705,27997,18307,31160,6571,479393
5,8615,13858,6468,7301,7809,3087,2029,2496,614,52276,10361,11093,10149,14783,11827,5415,3092,4055,874,71650,22831,11412,105825,29019,23347,13012,20942,20202,3996,250586,1293,795,1480,2530,3250,2609,1173,2516,195,15838,2675,1879,2565,4890,5294,2495,1975,2497,313,24579,1237,2081,1215,1166,1519,723,634,1064,205,9846,2224,2641,2863,2982,2842,2121,2306,3100,2061,23135,96998,219095,144827,83911,86145,41968,37565,45792,11512,767809
6,1425,2126,748,1227,1151,341,137,277,113,7539,2036,2009,1284,2866,2275,814,262,506,180,12238,6258,2180,18360,7691,5779,3179,3466,4453,773,52139,274,148,307,658,725,704,200,740,45,3805,498,334,353,1281,986,513,244,579,87,4880,148,303,121,167,231,95,69,137,26,1282,550,468,616,672,469,498,468,866,417,5039,17968,37716,23442,18019,15749,7371,5186,8551,2116,136123
7,673,932,402,648,483,140,102,145,54,3587,1201,1124,836,1648,1197,326,182,286,104,6902,2528,1456,9494,3107,2880,1001,1623,1860,507,24438,144,180,171,370,366,202,102,227,46,1806,229,217,213,508,420,168,132,225,64,2183,79,161,114,105,99,47,42,97,28,779,249,348,349,419,301,211,214,443,398,2940,9142,18412,12738,9200,8306,2887,2717,4082,1477,68958
8,1632,2235,684,1075,1788,425,107,233,194,8380,2491,2593,1344,2246,3056,630,177,400,343,13271,3154,2266,9064,3749,4287,1391,1038,1528,560,27047,194,174,158,375,483,262,67,183,30,1938,386,394,191,500,916,266,103,204,74,3027,207,443,130,150,238,77,33,85,48,1422,252,388,289,267,391,180,74,224,315,2377,26628,57127,14336,13522,23035,5449,2091,4258,3588,150034
9,24,14,11,15,8,6,3,8,0,90,19,18,16,35,28,4,0,11,5,135,69,20,211,64,45,11,35,47,12,508,3,3,5,12,7,3,3,11,0,48,8,7,9,19,14,5,10,7,3,78,0,0,3,3,3,0,0,3,3,19,16,10,10,17,15,9,10,23,6,110,241,216,280,198,154,48,66,115,35,1353
