STE_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1,101483,168479,390786,372414,366489,248793,52676,5509,902,1707533,106442,57753,115161,108286,105897,181559,270010,177098,88816,1211012,10392,14958,35018,27928,27140,26351,23865,19594,16040,201292,218321,241181,540962,508625,499528,456703,346555,202200,105755,3119834,35319,159903,546101,518611,498085,315550,55050,5127,778,2134521,115455,134291,187557,200843,193412,165419,63788,9300,1092,1071151,6389,8481,29788,21220,16503,18430,5836,836,165,107652,4908,8743,16031,12700,11963,8105,2980,1188,393,67003,162062,311421,779477,753373,719965,507504,127661,16449,2426,3380332,10504,19451,30088,23501,22889,16194,1133,163,57,123987,25849,18915,17082,13660,11987,11465,2264,279,57,101567,36357,38373,47169,37165,34881,27654,3402,440,115,225546,198417,349793,826641,790540,754841,535162,131061,16890,2542,3605881,228161,108944,168781,153782,166347,300798,498926,321456,141040,2088240,21846,30936,72098,58564,56789,53810,47033,34768,23926,399773,448425,489673,1067524,1002886,977984,889763,677020,373115,167506,6093895
2,81008,141425,328406,299252,297705,195622,40269,3910,800,1388406,85215,50644,95489,88717,81948,134072,206112,136903,68769,947863,8269,11994,28135,21971,21393,20189,18389,14739,10855,155941,174492,204065,452031,409936,401040,349886,264772,155554,80427,2492203,19907,119296,451439,403288,390824,241078,40381,3624,715,1670556,96643,123036,162477,173594,168072,137744,51399,6976,938,920875,4293,6949,25201,18727,14456,15941,5210,715,146,91630,3751,6922,12969,9951,9469,6408,2382,895,317,53063,124594,256201,652084,605556,582816,401175,99365,12220,2117,2736125,6751,16751,27476,19906,18609,12658,842,93,44,103131,25304,19301,14758,11430,9419,8129,1774,193,36,90343,32052,36050,42231,31333,28029,20787,2619,287,78,193465,156651,292244,694316,636892,610851,421962,101982,12504,2196,2929593,182855,96916,138010,123676,125769,215285,372066,246193,109353,1610130,16832,24629,56865,45353,43797,40206,35546,26309,16441,305978,356340,413792,889190,805920,780420,677453,509599,285006,127993,4845710
3,82134,113491,237433,239372,243049,157609,31435,2993,422,1107939,55107,33154,69037,62766,60653,106968,167051,96838,43911,695490,7850,10922,22366,18834,19466,18027,15517,11285,9425,133693,145089,157576,328837,320977,323168,282601,214009,111109,53759,1937126,26646,113014,317246,317304,322942,199031,33613,3034,363,1333193,91921,83276,120221,130227,124317,100041,36555,4726,466,691751,3963,5665,19937,13991,12612,12861,3492,405,83,73004,3318,4718,8482,7641,6973,4672,1780,716,222,38511,125844,206670,465882,469158,466843,316606,75444,8874,1132,2136455,11493,17822,23440,18693,19070,13933,930,117,33,105534,21956,11330,11441,9212,7426,6952,1630,168,24,70129,33450,29148,34886,27905,26496,20889,2559,283,60,175665,159298,235822,500765,497057,493334,337495,77998,9156,1184,2312114,120777,58439,98802,90280,96266,177778,313225,180180,70292,1206040,16214,22597,47126,40779,42108,37612,31381,20473,14047,272337,296287,316860,646694,628124,631705,552886,422601,209818,85528,3790497
4,24860,37460,79644,78900,87216,62699,12658,1255,221,384911,22310,12772,24798,21776,22334,41609,69751,45523,24750,285630,1989,2531,5398,4607,5212,5450,5128,4045,3174,37533,49169,52766,109837,105275,114770,109756,87533,50821,28143,708074,5919,31645,101095,98877,109822,74526,11979,1061,186,435110,28945,32572,45664,49883,51356,43852,15792,2100,247,270409,1293,2217,7528,5247,4913,5420,1648,230,45,28535,919,1463,2698,2156,2214,1554,656,289,103,12047,37074,67907,156990,156163,168303,125351,30077,3676,574,746105,2772,5880,8633,6795,6579,4518,220,34,13,35454,7524,4556,3953,3192,2814,2488,429,68,9,25035,10299,10436,12590,9987,9390,7007,650,99,28,60488,47372,78342,169580,166150,177694,132359,30725,3773,603,806596,49288,24419,37252,33238,37904,70412,128156,82266,39058,501988,4029,5222,11282,10078,11287,11152,9972,7218,4823,75066,100686,107986,218107,209468,226891,213923,168852,93258,44479,1383650
5,37784,57221,133353,123880,126241,84401,17330,1623,206,582044,31434,15319,41456,37377,30727,49716,76289,48679,21670,352667,3666,5231,13414,10258,9868,8967,7294,5939,4699,69337,72882,77777,188224,171523,166831,143084,100911,56237,26579,1004041,12005,55229,186513,167797,169728,105056,17438,1328,192,715287,42780,44547,66874,72217,68440,56485,21926,3030,288,376590,1838,3301,12435,8977,8343,8238,2387,294,29,45846,1474,2535,4806,3910,3731,2377,829,289,70,20014,58101,105605,270623,252898,250247,172156,42578,4940,587,1157735,4742,8569,14131,11775,11650,7932,620,57,11,59494,10976,6180,6791,5694,4115,3638,976,108,5,38476,15725,14745,20921,17468,15766,11564,1590,165,23,97966,73820,120351,291546,270368,266010,183725,44169,5105,607,1255702,68430,29056,57654,50915,46303,79002,140919,88401,34771,595448,7751,10923,29978,23758,22645,19313,14578,10595,7045,146578,149997,160332,379178,345038,334959,282042,199669,104095,42420,1997726
6,7738,10210,20876,23135,26922,19971,3668,387,61,112972,6617,3530,7164,6448,7294,14857,23484,14020,6521,89930,767,830,1658,1649,1933,2261,2149,1520,831,13596,15118,14574,29695,31227,36154,37087,29305,15926,7413,216496,2476,9606,25330,26546,32253,22054,3218,285,60,121822,8617,8091,12728,15282,16255,14927,4909,720,74,81601,495,712,2107,1614,1801,2087,527,63,14,9415,347,378,697,627,749,584,241,98,29,3748,11936,18787,40859,44068,51055,39642,8897,1165,175,216583,1002,1745,2049,1681,1744,1305,66,10,5,9613,1935,1047,1100,817,829,857,139,28,0,6754,2939,2797,3149,2496,2575,2164,206,33,5,16365,14870,21582,44008,46565,53629,41807,9104,1202,184,232948,14696,6536,10638,9958,12359,25829,44023,25706,10304,160050,1508,1741,3390,3306,4063,4519,4254,2699,1281,26754,31078,29865,58034,59830,70050,72160,57381,29604,11767,419752
7,2675,4740,13596,11387,10555,6599,1354,105,15,51039,3171,2045,4818,3553,2777,3227,3350,1549,454,24940,756,1013,2626,1839,1736,1371,641,222,76,10284,6597,7795,21045,16781,15072,11193,5349,1878,545,86254,1492,6414,20509,17186,16275,10199,1887,130,13,74100,2683,2213,4865,4360,3480,2707,1050,126,8,21493,152,368,1306,937,838,723,165,17,0,4504,204,357,724,476,469,275,91,16,3,2605,4530,9355,27399,22954,21058,13909,3187,284,29,102708,599,929,1416,1091,939,462,67,3,0,5515,460,289,515,375,284,190,52,0,0,2169,1054,1220,1936,1467,1223,658,118,5,0,7685,5582,10578,29337,24426,22285,14561,3312,290,36,110391,6861,3820,7924,6031,5048,5698,6864,2994,762,46008,1631,2253,5773,4173,3979,3041,1489,484,140,22959,14077,16644,43036,34630,31310,23296,11661,3771,938,179359
8,6868,11295,26935,24120,21340,12441,2466,217,37,105719,4787,3401,4851,3974,3462,8011,12142,6983,3055,50674,488,867,1896,1369,1177,1144,896,723,751,9306,12145,15565,33679,29460,25979,21597,15506,7916,3841,165694,2014,10855,38470,34589,31707,16752,2502,148,17,137058,7985,8891,10678,11142,8383,6669,2892,381,32,57064,409,671,2759,1870,1269,1131,329,39,10,8482,331,534,724,573,453,259,98,21,17,3022,10740,20950,52637,48172,41822,24808,5821,594,78,205626,379,801,1292,1015,779,538,74,7,0,4894,1958,1122,772,516,359,411,156,22,6,5311,2342,1922,2062,1532,1135,951,229,24,4,10205,13084,22871,54695,49704,42961,25760,6051,622,81,215832,10453,6779,7443,5748,5498,13554,21662,12438,5001,88580,969,1776,3978,2949,2525,2191,1737,1298,1073,18502,24507,31430,66119,58407,50989,41506,29453,14363,6158,322917
9,46,45,165,217,240,201,81,12,0,1014,48,15,46,54,50,96,112,65,23,513,12,6,28,18,47,48,21,14,3,203,110,72,244,296,334,350,214,91,33,1730,18,71,225,312,353,300,117,9,0,1413,41,28,79,98,123,110,73,17,4,571,3,9,24,22,16,31,11,0,0,122,9,6,7,12,14,12,3,3,0,69,70,119,336,448,508,446,203,29,4,2170,5,4,5,9,5,6,0,0,0,34,0,0,4,7,0,11,0,0,0,21,9,7,7,13,4,16,0,0,0,58,79,119,343,462,519,465,207,29,4,2228,105,57,155,134,108,155,214,130,47,1108,24,30,74,43,88,87,56,24,6,439,215,210,573,642,711,709,478,182,58,3773
