STE_CODE_2016,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
1,1282,233,344,27,1878,27,10,35,1909,122,0,2034,585,90,25,773,1472,32,4,39,1511,116,40,1670,94392,11806,1620,1704,109529,1962,436,2402,111929,5956,155,118046,1093,240,22,38,1396,287,32,315,1711,201,0,1913,1685,424,37,51,2191,195,110,305,2490,249,3,2740,2773,663,56,87,3581,482,136,617,4196,452,4,4656,97172,12475,1674,1792,113112,2444,574,3022,116130,6409,165,122702,20448,4246,451,706,25847,926,294,1218,27061,7489,96,34646,136,39,8,84,266,3,3,8,266,45,299,614,117750,16759,2132,2583,139218,3368,871,4242,143459,13938,558,157959,22142,2491,278,148,25055,524,139,667,25725,1733,18,27480,18365,3069,266,164,21861,400,112,517,22373,1398,20,23793,569,116,217,11,922,9,9,16,940,76,0,1012,239,47,14,413,710,9,3,15,728,65,26,818,41314,5720,775,739,48555,953,266,1215,49766,3274,67,53105,484,114,7,14,621,140,15,156,774,116,0,895,686,202,15,21,930,83,74,159
2,1124,188,299,19,1623,32,7,36,1664,108,4,1776,539,91,11,692,1325,30,5,39,1365,78,29,1471,77300,9378,1374,1401,89457,1659,337,1990,91447,4508,145,96097,944,189,17,27,1177,292,23,316,1484,141,3,1632,1452,268,25,53,1794,177,90,270,2064,195,0,2259,2399,456,37,75,2971,470,117,583,3553,339,3,3900,79697,9835,1414,1481,92424,2129,451,2579,95000,4841,151,99991,16357,2898,363,543,20159,787,203,992,21152,5541,77,26773,147,30,0,59,234,6,0,3,239,19,245,511,96199,12766,1771,2088,112825,2923,655,3580,116400,10403,473,127282,18257,2062,229,149,20698,498,99,594,21291,1413,29,22730,19563,3009,275,195,23036,420,85,508,23543,1314,30,24886,549,115,199,22,888,19,4,22,908,60,0,974,251,38,4,333,623,22,3,20,644,54,16,710,38610,5223,708,693,45246,956,191,1150,46393,2848,65,49308,492,95,7,15,610,179,11,191,804,85,7,895,691,171,13,16,892,89,58,146
3,873,159,253,9,1287,42,5,42,1336,97,0,1433,357,57,10,467,892,27,4,35,922,68,13,1008,59135,7084,1271,987,68476,1634,271,1897,70379,3588,74,74035,903,159,21,40,1127,291,21,307,1432,170,8,1609,1169,204,16,37,1425,111,37,148,1572,135,0,1709,2069,362,45,72,2552,403,54,454,3009,307,8,3320,61209,7449,1311,1066,71031,2033,321,2356,73383,3892,80,77353,10869,1773,332,337,13311,616,109,728,14034,3401,45,17481,74,11,0,30,119,3,0,5,122,14,140,278,72148,9231,1648,1429,84459,2650,430,3080,87541,7308,267,95113,9882,984,155,58,11081,316,57,371,11453,664,12,12128,7833,1248,111,63,9252,256,52,303,9562,536,10,10105,284,42,113,3,441,3,3,7,448,32,0,482,111,10,3,129,250,5,0,8,257,32,10,304,18110,2283,388,254,21030,581,115,694,21724,1265,31,23015,220,36,7,14,277,86,3,88,367,34,0,405,316,50,6,11,387,33,16,53
4,303,54,101,8,465,7,4,12,478,40,0,524,119,20,11,118,262,5,3,10,270,34,5,310,20986,2936,463,286,24668,533,100,635,25301,1297,25,26619,266,62,8,10,348,106,4,113,460,54,0,509,363,73,7,10,454,52,18,75,525,39,3,566,629,137,17,15,799,158,24,183,979,90,3,1070,21616,3068,481,303,25472,690,124,818,26282,1384,30,27693,3537,722,95,97,4453,231,62,291,4742,1646,16,6400,37,12,0,8,58,0,0,3,59,0,42,103,25192,3798,572,412,29973,920,188,1108,31079,3030,89,34198,4230,507,74,33,4841,107,25,132,4974,348,0,5318,4417,767,82,33,5300,103,16,118,5417,341,11,5767,134,33,53,0,218,3,3,3,226,22,0,250,65,9,0,53,129,3,0,3,129,6,0,140,8843,1310,214,121,10487,212,43,260,10747,712,12,11476,108,29,4,3,144,38,5,48,190,24,0,210,136,37,4,0,180,22,10,33
5,441,57,144,6,657,28,3,26,686,31,0,713,209,41,8,226,485,10,0,7,492,40,11,541,30630,3849,749,489,35727,1167,164,1328,37057,1615,34,38707,482,61,16,20,580,175,15,187,771,61,3,837,742,108,36,17,900,114,19,135,1038,74,3,1119,1223,169,57,37,1481,291,37,328,1809,137,4,1948,31860,4019,809,522,37214,1454,199,1656,38868,1752,39,40658,6637,925,243,182,7984,429,84,512,8501,1556,22,10076,50,8,3,32,92,0,0,0,92,3,58,150,38547,4951,1056,734,45285,1886,280,2169,47456,3307,119,50884,5734,631,83,37,6483,236,37,276,6755,359,10,7121,5804,941,115,52,6912,219,27,245,7153,364,5,7526,173,33,81,0,284,15,0,15,293,23,0,320,60,16,6,100,178,11,0,11,183,20,9,209,11766,1623,280,187,13854,475,68,538,14390,762,23,15175,221,19,7,0,255,62,8,65,322,25,0,343,234,38,4,4,280,44,8,52
6,121,13,39,5,176,0,0,0,174,21,0,201,34,6,0,31,74,0,0,0,72,5,0,76,5971,1000,141,92,7203,121,28,143,7346,451,7,7808,43,16,0,0,61,26,0,26,91,12,0,107,78,18,0,0,94,11,12,20,114,20,0,136,123,36,0,3,161,42,12,48,206,34,0,243,6093,1035,140,98,7358,159,37,194,7559,490,7,8058,1020,216,38,46,1318,60,15,78,1399,556,0,1961,20,3,0,0,28,0,0,0,28,0,7,39,7128,1257,183,143,8708,221,55,273,8986,1042,23,10050,837,112,17,8,972,14,6,19,988,71,0,1060,937,166,18,9,1128,15,5,20,1150,91,3,1246,41,15,9,0,57,0,0,0,59,11,0,67,9,0,0,16,28,0,0,0,28,3,0,27,1821,293,39,28,2188,35,9,44,2224,171,3,2397,13,4,0,0,15,6,0,6,24,9,0,27,18,4,0,0,24,3,3,8
7,39,10,12,0,62,0,0,0,61,8,0,64,12,0,0,36,46,3,0,3,48,6,0,53,2221,240,50,55,2563,47,13,61,2623,159,0,2783,39,5,0,0,46,43,0,42,90,7,0,96,23,5,0,0,30,8,11,15,47,12,0,56,64,7,3,0,76,53,6,60,136,17,0,153,2286,252,57,55,2637,105,20,124,2758,176,0,2935,293,64,9,20,381,30,7,40,418,280,0,704,4,0,0,3,5,4,3,3,9,0,5,23,2578,315,67,70,3032,136,25,161,3193,462,13,3662,294,16,3,0,318,5,3,8,323,18,0,345,105,36,3,4,146,0,0,3,143,8,0,159,11,0,3,0,10,0,0,0,10,0,0,12,5,0,0,14,15,0,0,0,15,0,0,16,411,50,12,15,492,10,4,7,502,34,0,531,10,0,3,0,11,3,0,3,14,0,0,19,7,0,0,0,7,0,0,0
8,85,17,23,0,123,0,3,3,127,8,0,135,16,6,0,34,54,3,0,3,54,7,0,55,5910,624,107,69,6713,75,17,94,6804,296,8,7105,58,13,6,3,72,11,0,11,80,6,0,93,58,10,3,0,65,7,3,11,74,8,0,87,108,19,9,6,139,13,3,17,163,14,0,176,6019,642,114,76,6851,90,20,112,6967,311,8,7285,691,90,12,14,815,17,10,26,840,164,0,1004,8,3,0,3,15,0,0,0,15,3,7,27,6725,735,127,95,7681,108,33,136,7820,481,15,8314,1502,182,26,15,1723,27,3,36,1752,145,3,1903,824,112,22,3,954,16,3,15,972,45,3,1023,50,8,14,3,76,0,0,0,78,5,0,82,4,0,3,7,16,0,0,0,18,0,0,24,2379,306,57,31,2770,48,10,56,2830,198,6,3031,17,5,0,0,24,3,0,4,30,0,0,33,26,3,3,0,30,0,0,0
9,0,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,5,0,0,0,5,0,0,5,35,4,0,0,46,0,0,0,46,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,46,0,0,0,46,3,0,46,6,0,0,3,9,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,41,7,3,4,55,0,0,0,53,0,0,62,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
