STE_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
1,28821,786,289,1077,29894,5019,120,35036,295039,32101,3368,2177,332682,6304,1707,8009,340696,19080,325,360099,381135,46943,4675,3489,436235,5587,1386,6972,443205,14980,466,458646,34726,3824,4871,431,43848,529,89,621,44472,1306,54,45835,5075,683,141,5376,11274,210,66,271,11546,800,374,12720,715964,83546,13058,11471,824045,12627,3247,15871,839916,36164,1221,877303,9193,1685,138,238,11253,2026,224,2256,13506,1258,18,14786,18210,3146,258,489,22102,1608,661,2268,24376,1586,71,26029,27407,4831,395,720,33360,3638,888,4522,37881,2848,87,40817,743374,88382,13453,12198,857400,16263,4135,20401,877803,39013,1309,918118,234692,44087,5394,7816,291985,10787,2939,13730,305713,59390,1179,366278,1537,368,41,1116,3059,56,31,81,3145,394,3270,6808,979597,132832,18887,21131,1152444,27108,7106,34211,1186656,98792,5758,1291210
2,26939,774,237,1015,27953,4283,114,32348,200670,24904,2430,1536,229534,5290,1269,6556,236085,13769,306,250167,340871,40582,4235,3138,388819,5149,1109,6253,395074,12831,439,408346,28346,3240,4009,349,35943,431,82,513,36457,1013,31,37501,4281,674,77,4237,9273,223,47,267,9541,606,277,10425,574167,69398,10750,9253,663569,11083,2506,13589,677158,28224,1062,706445,7818,1491,146,217,9677,2109,167,2275,11954,1030,29,13013,15901,2383,173,332,18789,1597,662,2267,21051,1188,45,22283,23721,3869,319,549,28464,3711,831,4543,33008,2214,75,35291,597887,73267,11074,9803,692032,14797,3336,18133,710166,30439,1135,741737,197633,32536,4469,5873,240510,9306,2200,11509,252016,44304,837,297154,1377,273,41,927,2622,60,12,67,2696,285,2481,5460,796899,106084,15577,16604,935164,24161,5551,29706,964873,75028,4454,1044358
3,10342,359,94,446,10794,1576,23,12391,173259,19491,2566,1244,196561,4948,1038,5989,202548,11503,207,214261,231229,28877,3551,2129,265786,4938,813,5754,271543,9931,275,281748,20639,2486,2903,215,26240,428,60,488,26727,979,26,27734,2892,415,82,3068,6454,203,37,240,6693,503,200,7392,428016,51275,9102,6653,495049,10523,1950,12470,507517,22912,708,531137,7142,1269,176,213,8800,2262,145,2407,11209,1154,33,12394,12027,1809,232,373,14441,1293,441,1731,16170,961,31,17157,19172,3084,405,583,23242,3558,583,4139,27379,2112,60,29556,447184,54359,9504,7235,518289,14081,2528,16611,534896,25022,767,560684,135197,20464,4140,3980,163781,8369,1616,9985,173771,29444,503,203715,824,141,24,458,1448,40,9,49,1489,164,1848,3502,583210,74952,13670,11681,683517,22489,4156,26642,710161,54628,3123,767909
4,5846,194,47,243,6097,1053,11,7157,48890,6867,692,367,56822,1435,321,1757,58584,3730,28,62339,90332,12485,1337,676,104834,1665,352,2022,106851,3858,105,110819,7759,1109,1361,99,10320,135,28,164,10479,369,10,10865,906,177,39,903,2032,46,16,65,2101,151,51,2294,147890,20638,3426,2051,174006,3291,717,4009,178013,8107,199,186318,1907,457,77,45,2492,777,62,839,3329,362,11,3705,3612,668,73,82,4428,454,144,594,5023,325,9,5361,5521,1124,148,131,6922,1232,201,1436,8357,687,27,9068,153408,21760,3579,2181,180928,4517,926,5440,186369,8793,223,195387,42381,8200,1204,1129,52925,2900,656,3556,56480,12819,154,69454,312,90,6,128,535,11,3,17,549,34,610,1196,196106,30046,4786,3441,234380,7434,1578,9011,243396,21651,988,266031
5,7731,351,71,429,8161,1031,12,9208,72904,9343,1332,554,84135,3115,564,3682,87810,5172,84,93070,133743,15974,2567,1240,153524,3587,439,4024,157548,4487,132,162167,10019,1229,1773,116,13133,318,32,353,13486,379,19,13883,1481,243,59,1490,3273,104,12,115,3386,200,100,3680,218152,26781,5731,3394,254064,7119,1052,8172,262230,10236,338,272804,4130,510,122,93,4855,1239,97,1330,6189,503,14,6706,8364,1014,279,173,9836,1000,204,1204,11040,515,19,11576,12492,1529,399,269,14689,2241,299,2537,17225,1015,41,18283,230645,28311,6132,3667,268756,9355,1349,10708,279457,11246,373,291085,87709,11172,3362,2288,104526,5652,822,6473,111003,13914,299,125216,486,78,22,257,847,34,19,50,896,117,982,1993,318838,39557,9511,6208,374120,15046,2187,17230,391351,25277,1654,418288
6,829,22,8,23,856,181,0,1036,12722,2079,247,101,15150,289,79,371,15527,1040,22,16583,25862,4152,444,253,30712,433,120,554,31268,1490,41,32802,2231,348,322,41,2945,47,10,59,3003,162,5,3166,262,34,5,228,532,11,4,13,544,50,4,604,41076,6615,1025,626,49344,778,218,997,50341,2744,74,53156,306,93,14,8,422,177,8,181,603,112,4,717,781,142,14,37,971,101,44,145,1111,122,0,1234,1083,236,31,46,1392,278,49,325,1718,230,4,1953,42163,6849,1054,670,50737,1053,269,1322,52060,2969,80,55111,11503,2341,387,382,14610,848,150,995,15613,4157,50,19815,171,33,12,17,230,4,3,5,238,31,132,403,53834,9229,1452,1069,65578,1914,420,2330,67908,7151,264,75326
7,212,14,4,18,223,23,0,253,10429,938,180,112,11654,258,42,297,11954,751,7,12711,6831,986,174,69,8051,192,42,236,8293,453,3,8746,1002,110,210,14,1342,18,11,34,1375,65,0,1433,149,25,0,248,425,26,9,26,455,64,14,531,18417,2054,565,442,21474,496,102,596,22075,1327,24,23429,337,41,18,6,398,512,15,520,921,108,12,1044,357,59,9,6,426,61,106,171,597,79,3,674,695,99,27,7,831,570,123,694,1521,186,13,1719,19108,2154,591,451,22306,1068,227,1291,23596,1511,41,25149,5767,960,205,235,7166,638,121,760,7931,3903,34,11866,42,19,4,31,98,3,3,9,109,51,346,501,24919,3130,797,714,29572,1706,354,2060,31629,5468,418,37508
8,1518,24,9,35,1551,219,4,1769,22240,2615,328,136,25328,392,90,482,25810,1231,22,27066,20954,2623,275,147,24005,210,54,262,24270,546,33,24843,3241,398,504,31,4168,33,13,44,4209,62,0,4279,214,32,5,214,462,9,0,9,476,13,10,497,46648,5671,1111,530,53967,641,156,795,54759,1856,65,56685,574,72,18,13,679,60,15,79,753,64,0,817,726,80,19,7,825,65,17,79,907,47,8,962,1296,152,33,18,1507,130,28,156,1660,108,8,1778,47944,5821,1147,553,55466,765,188,952,56423,1964,77,58465,9299,1234,234,178,10948,235,75,312,11257,1330,24,12607,124,17,4,56,197,3,0,3,199,6,74,281,57368,7075,1383,782,66609,1004,261,1269,67883,3300,172,71351
9,0,0,0,0,0,0,0,3,205,20,3,0,230,0,0,0,230,7,0,240,160,15,0,3,182,0,0,0,182,12,0,192,18,4,7,0,31,0,0,0,31,0,0,31,3,0,0,7,11,0,0,0,11,0,0,12,387,40,8,8,450,0,0,0,450,20,0,473,4,0,0,0,3,0,0,0,3,3,0,10,4,0,0,0,4,0,0,0,4,0,0,3,5,0,0,0,7,0,0,0,7,3,0,12,395,45,8,8,462,0,0,0,462,24,0,486,112,15,7,4,144,0,3,3,149,16,0,162,0,0,0,0,0,0,0,0,0,5,4,13,511,66,20,17,602,0,3,3,609,44,4,659
