SA4_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
603,3,15,46,56,110,119,29,4,380,3,11,22,37,48,43,10,0,169,15,102,191,204,279,225,62,14,1096,11,80,155,231,266,230,67,9,1058,260,561,649,765,859,575,211,46,3922,48,36,30,28,22,12,3,0,175,14,31,47,57,65,56,18,4,288,325,626,725,845,942,645,235,55,4384,3,9,16,15,26,18,15,4,98,225,154,189,285,339,376,207,63,1836,580,996,1337,1672,2012,1648,625,154,9026,3,45,64,105,113,65,13,0,414,4,25,48,69,81,59,10,3,301,43,263,344,356,395,258,52,11,1725,25,142,202,327,348,254,85,13,1399,154,342,380,339,310,120,27,6,1681,73,68,54,58,34,19,4,0,315,25,46,76,84,101,74,11,0,416,252,457,503,480,452,212,48,13,2415,3,11,12,15,25,25,13,4,108,190,123,207,246,350,394,221,90,1816,525,1064,1380,1599,1764,1267,439,133,8177,3,60
604,0,74,95,101,144,114,33,3,558,0,34,60,79,92,73,9,4,356,78,430,447,422,484,312,115,29,2323,45,238,413,549,568,381,142,36,2374,1039,2089,2033,2377,2306,1463,710,154,12168,204,129,81,62,48,23,16,0,561,56,67,130,117,132,108,67,15,687,1298,2286,2240,2562,2482,1594,791,170,13413,10,25,33,44,38,56,30,3,244,579,436,453,691,782,796,573,204,4513,2012,3524,3739,4436,4596,3326,1691,452,23778,12,111,128,155,137,60,12,9,616,17,93,118,180,171,80,21,3,676,182,894,850,749,804,471,140,36,4130,136,479,720,901,804,536,235,69,3877,809,1385,1197,1206,891,295,64,20,5868,320,250,167,168,113,60,15,11,1096,109,164,200,287,271,144,61,14,1246,1235,1795,1561,1669,1279,499,134,41,8208,16,39,26,53,57,49,54,13,316,515,396,426,653,830,985,812,385,5007,2111,3805,3828,4352,4078,2684,1414,561,22833,15,185
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,4,3,3,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,7,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,17,6,5,3,4,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,12,0,0
699,3,6,0,0,0,3,0,0,12,0,3,0,0,0,0,0,0,3,0,17,5,4,7,6,0,0,36,0,3,4,3,3,4,0,0,18,18,14,15,13,15,10,3,0,91,3,4,3,0,0,0,0,0,10,0,3,0,0,0,3,0,0,7,16,19,21,17,14,14,3,0,103,0,0,0,0,0,0,0,0,0,21,35,31,25,10,8,3,0,128,48,80,59,47,35,30,8,0,308,0,7,5,7,7,0,0,0,17,0,3,3,0,0,0,0,0,5,3,15,10,0,7,3,0,0,38,0,5,11,7,9,5,0,0,38,4,12,6,4,5,0,0,0,31,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,11,11,11,4,6,9,0,0,0,40,0,0,0,0,3,0,0,0,3,9,9,7,17,11,8,4,0,61,20,47,35,38,46,18,7,0,208,3,11
701,20,574,610,428,355,179,26,4,2189,5,143,192,201,160,57,12,0,775,354,2098,1515,1016,725,346,86,23,6171,163,914,1071,1058,675,291,73,11,4250,1375,4256,3189,2908,1956,920,281,46,14931,215,144,122,67,30,15,5,0,602,86,162,179,146,125,87,22,8,826,1677,4563,3493,3123,2116,1022,306,56,16354,32,81,88,66,61,30,18,3,386,1451,2481,1913,1642,1197,668,231,72,9651,3702,10854,8879,7534,5278,2591,756,165,39769,32,720,687,496,364,128,25,3,2455,36,439,457,345,277,78,16,0,1652,533,3339,2340,1394,914,395,86,17,9019,290,1186,1190,1111,744,286,83,10,4896,941,1898,1396,1066,571,167,32,7,6073,240,215,133,119,84,27,0,0,831,104,224,231,248,173,87,27,5,1093,1290,2342,1756,1430,827,280,57,13,7994,32,85,72,57,48,31,21,4,346,1076,1637,1191,1064,918,544,245,101,6769,3293,9753,7696,5894,4092,1743,530,150,33137,55,1291
702,8,154,161,146,108,62,13,0,656,7,57,77,79,69,20,5,0,322,78,623,506,365,332,117,24,3,2045,66,358,359,386,303,109,26,3,1609,521,1336,1130,1213,942,392,93,14,5650,118,159,110,102,50,15,3,0,564,59,130,124,111,68,33,9,0,546,698,1626,1373,1434,1069,439,104,20,6753,9,54,23,40,28,9,6,3,178,1759,1749,1297,1179,863,461,156,30,7496,2627,4618,3789,3634,2767,1224,334,56,19062,10,258,239,204,188,49,10,0,949,7,176,181,194,138,32,3,0,731,168,1136,836,624,495,149,44,12,3459,72,419,426,515,384,112,39,4,1971,362,701,529,542,355,90,12,3,2606,174,205,142,130,66,19,0,3,742,60,150,139,126,99,41,10,3,617,596,1061,809,800,522,150,20,9,3966,17,32,31,36,26,15,8,0,163,1442,1549,1173,1118,785,388,129,50,6630,2312,4627,3686,3487,2535,898,256,74,17874,15,411
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,0,0,0,0,19,3,6,0,0,0,0,0,0,8,0,6,4,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,8,3,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,4,18,18,10,3,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,10,0,0
799,0,8,0,6,3,0,0,0,19,0,3,0,5,3,0,0,0,9,8,20,13,8,14,6,0,0,65,5,7,7,10,10,7,0,0,51,12,39,38,40,58,51,9,0,251,8,3,0,3,0,3,0,0,14,10,0,3,0,3,3,0,0,19,27,43,41,46,65,53,8,0,279,3,0,0,3,3,0,0,0,9,41,100,87,112,71,40,9,0,457,83,180,154,188,159,112,19,0,890,0,12,9,3,4,3,0,0,32,0,8,3,3,7,0,0,0,21,11,37,24,14,18,6,0,0,122,5,5,15,14,18,13,0,0,68,12,17,11,12,16,0,0,0,67,3,0,3,0,5,0,0,0,11,3,9,3,6,3,4,0,0,32,19,26,17,18,33,4,0,0,112,0,3,0,4,3,3,0,0,13,41,97,73,88,44,32,6,0,373,80,192,144,141,123,62,8,0,740,0,17
801,140,3835,5102,3941,3038,1850,665,190,18761,84,996,1104,1212,1167,594,105,19,5276,2636,9135,7033,5084,4093,2849,1101,373,32304,724,2838,3079,2783,2013,1227,446,163,13269,2260,5476,4418,3950,2994,2087,1137,344,22667,411,313,181,125,75,45,21,13,1179,145,259,345,303,310,258,100,39,1760,2821,6042,4949,4368,3379,2388,1264,394,25608,111,223,205,196,176,162,114,52,1236,1798,2493,1959,1669,1288,1135,837,447,11625,8304,25560,23433,19253,15148,10210,4534,1628,108072,255,4630,4651,3190,2023,986,244,44,16021,158,1814,1900,1749,1456,847,173,26,8125,3579,12051,9027,6139,4565,2648,1023,279,39304,1027,3226,3490,3382,2626,1730,755,234,16462,1953,3183,2682,2256,1528,618,200,86,12507,458,334,314,260,221,140,51,27,1804,227,293,512,734,793,695,281,115,3641,2637,3808,3508,3249,2547,1450,533,223,17952,74,184,176,214,227,257,116,58,1303,1666,2088,1611,1486,1540,1391,1207,1061,12066,9400,27797,24365,19403,14981,9320,4048,1923,111238,393,8468
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,4,3,3,5,4,0,0,14,0,0,0,0,0,0,0,0,4,3,15,5,3,0,0,0,0,29,3,0,12,3,0,0,0,0,15,3,8,10,5,8,3,0,0,36,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,9,10,11,5,7,3,0,0,41,0,0,0,0,0,0,0,0,5,8,8,21,16,18,7,0,0,79,25,35,48,29,36,15,0,0,186,0,5,5,4,8,3,0,0,20,0,0,0,0,3,0,0,0,9,7,23,7,6,8,3,0,0,55,0,3,0,3,3,0,0,0,18,8,3,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,7,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,10,3,7,5,3,0,0,0,32,34,36,30,18,25,8,0,0,151,0,11
901,0,8,6,0,5,8,3,0,33,0,3,10,4,0,0,0,0,22,7,28,34,20,23,17,0,3,134,3,15,24,29,17,13,3,0,100,15,61,83,108,117,49,16,3,453,4,4,5,3,0,3,0,0,27,0,8,6,6,9,6,4,0,38,26,74,98,117,124,63,18,6,521,4,4,0,3,0,0,0,0,17,81,146,97,88,66,44,30,3,548,118,272,272,266,241,146,52,13,1371,0,4,18,8,3,3,0,0,42,3,7,10,8,4,0,0,0,34,10,43,51,19,36,14,4,5,186,3,33,45,35,34,17,7,3,165,16,32,30,39,19,6,0,0,147,9,6,8,3,7,0,0,0,30,5,5,9,13,13,12,0,0,60,32,51,53,53,37,14,3,0,234,0,0,3,4,0,0,0,0,16,40,31,33,64,58,38,23,6,286,76,170,201,190,179,88,44,9,965,0,11
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,6,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,5,3,3,3,0,0,18,0,0
