SA4_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
310,541,134,1568,865,561,569,310,531,45,5123,16,18,16,22,17,30,18,41,10,190,122,174,159,155,147,58,208,110,45,1185,176,160,400,330,260,216,371,509,410,2823,8665,18868,15239,11975,10513,4834,5163,6285,1379,82914
311,480,153,1518,780,644,596,369,599,45,5178,6,11,24,17,22,13,16,30,7,158,129,152,160,133,137,49,198,131,54,1136,181,149,482,274,281,216,408,467,439,2894,8275,15985,16534,10631,10809,5169,5804,6833,1283,81329
312,354,85,1118,449,324,289,337,352,29,3346,8,9,10,0,3,17,4,28,0,87,65,79,78,46,64,26,112,51,20,538,165,86,348,116,99,151,293,318,205,1785,5422,9507,12541,4645,4424,2202,4721,3434,693,47591
313,375,107,1237,617,453,418,212,505,39,3970,12,7,4,11,17,23,7,33,0,112,96,80,97,90,105,44,114,87,37,754,131,132,355,201,177,202,252,352,281,2085,5946,11136,11676,8452,7076,3858,3273,5131,942,57500
314,408,121,1166,605,487,390,150,329,30,3679,0,12,10,3,14,15,12,14,4,76,108,154,107,130,126,40,65,58,43,820,115,108,229,137,178,116,120,177,212,1394,8400,17168,11198,7970,8915,3782,2459,3178,855,63936
315,132,25,294,145,114,74,119,137,12,1051,0,0,5,4,8,3,0,7,0,37,37,36,30,38,38,11,32,31,9,262,135,93,166,152,105,57,131,206,122,1157,2811,4148,4024,2349,1921,692,1580,1670,352,19551
316,875,196,2674,1201,764,846,261,659,56,7526,12,10,19,9,15,40,9,25,3,143,133,192,163,152,140,81,95,93,42,1097,219,186,439,264,199,285,167,337,341,2448,12599,26615,19065,12961,11308,7226,3522,6570,1399,101274
317,272,67,890,443,323,280,111,291,12,2687,12,10,11,13,8,7,0,20,3,80,69,87,49,75,58,29,57,50,16,492,108,79,172,127,105,109,98,177,121,1084,4808,12135,7754,5299,5085,2398,1819,3024,428,42750
318,412,93,1330,720,406,361,220,383,32,3959,8,13,18,12,11,17,8,18,3,100,145,156,93,148,107,45,112,71,31,906,145,140,243,212,151,147,180,277,231,1732,7042,16949,12406,8944,6955,3128,3557,3857,805,63637
319,482,99,1443,702,343,450,205,599,36,4347,4,13,8,13,6,11,3,14,11,86,81,93,91,88,67,40,96,93,23,674,234,118,284,227,163,210,231,437,277,2177,6819,13278,11122,9086,5990,3645,3325,5558,816,59653
