SA4_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
406,31892,30685,62576,2778,2978,5755,111,78,192,77,70,146,146,133,284,1552,1474,3021,132,105,238,23,18,35,69,75,146,0,4,3,0,0,0,2115,1957,4076,106,168,275,108,99,209,5109,5203,10309,4984,3929,8913,41980,39819,81801
407,72242,72444,144690,4278,4621,8897,241,223,468,451,422,872,246,265,508,4904,5128,10028,162,162,322,38,41,80,105,130,233,14,15,29,0,0,0,6156,6382,12542,553,575,1128,219,177,393,11202,11746,22951,8227,7121,15351,91675,91315,182989
497,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
499,366,183,552,144,83,221,35,26,64,25,30,58,54,52,102,461,380,839,21,15,44,8,6,12,13,13,30,0,0,0,0,0,0,618,528,1142,102,82,185,40,14,52,899,699,1592,466,238,700,1724,1122,2847
501,65638,67142,132787,4390,4869,9254,109,114,220,120,137,254,170,152,318,38,56,89,6412,6912,13321,21,27,50,45,64,109,3,5,12,7,9,14,6919,7464,14387,640,712,1353,179,185,372,12133,13231,25362,8349,7804,16153,86117,88184,174299
502,34518,36489,71005,1729,1981,3715,99,110,200,85,82,167,137,133,274,33,36,72,5027,5457,10484,29,45,72,35,42,76,3,6,7,0,0,3,5442,5912,11359,384,421,805,119,117,234,7676,8434,16108,4411,4147,8558,46598,49065,95667
503,57362,59413,116770,3267,3244,6512,368,362,736,334,352,685,278,269,546,113,100,211,9088,9308,18397,31,28,62,61,56,123,37,30,68,3,5,7,10315,10515,20832,3212,3442,6652,171,180,355,16971,17385,34355,8449,8088,16533,82782,84880,167662
504,93831,95296,189132,3137,3230,6369,201,206,404,217,229,442,192,199,387,90,76,165,12372,12500,24878,19,25,43,63,64,125,25,37,64,0,0,3,13184,13331,26516,1529,1771,3301,298,259,559,18156,18582,36735,11870,9952,21823,123859,123832,247688
505,201550,208629,410179,6763,6999,13764,483,523,1010,430,449,878,439,416,853,152,140,292,25486,26318,51806,44,66,105,101,118,222,49,44,92,5,9,13,27194,28076,55276,4274,4577,8857,491,427,921,38726,40078,78810,19734,19454,39184,260012,268155,528167
506,180694,181900,362594,7151,7094,14244,422,446,869,431,361,799,367,351,719,200,171,369,25058,24571,49634,40,34,76,165,114,276,35,35,65,12,3,15,26728,26090,52820,5277,5923,11198,559,483,1044,39713,39582,79296,21243,18755,40001,241653,240243,481894
