SA4_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
101,57433,57438,114863,10113,10982,21098,15351,16013,31363,1290,1312,2599,1366,1411,2772,263,263,524,361,380,747,150,156,311,251,229,475,4537,4698,9235,4,4,13,23571,24472,48042,1774,1958,3737,546,528,1075,36001,37937,73946,9468,8697,18168,102902,104072,206978
102,82070,86779,168850,11164,12192,23356,39117,42818,81934,485,524,1001,1308,1385,2687,179,206,389,347,375,722,99,118,220,127,133,265,211,232,437,3,4,8,41878,45791,87667,2740,3078,5819,978,936,1914,56759,61990,118746,10046,10912,20962,148878,159673,308552
103,52581,52442,105020,11717,12627,24347,17250,18621,35866,353,381,737,1036,1078,2118,157,144,300,269,241,513,65,76,145,88,101,193,221,251,469,0,6,8,19444,20897,40340,1153,1327,2484,474,416,891,32790,35274,68058,10501,9286,19785,95868,96996,192868
104,34321,35405,69725,6885,7711,14597,10988,12090,23078,601,697,1300,2095,2085,4180,149,143,295,314,343,655,108,111,217,164,169,334,135,133,266,4,0,4,14562,15770,30335,1205,1481,2677,455,489,951,23111,25452,48566,5483,5385,10867,62918,66234,129155
105,29914,29989,59905,5794,6580,12379,8030,8466,16498,308,350,660,638,725,1365,275,315,591,188,165,347,67,61,128,90,81,173,78,65,148,3,0,3,9675,10233,19907,647,803,1451,283,231,512,16390,17855,34247,6302,5696,11994,52610,53538,106147
106,65964,66396,132360,14158,15014,29169,25522,27493,53013,631,591,1223,1887,1909,3796,263,230,488,387,360,748,118,126,242,252,262,519,215,189,402,0,3,3,29270,31163,60436,1406,1666,3072,707,743,1450,45547,48581,94129,10308,9353,19661,121816,124336,246154
107,79512,82212,161719,10098,10414,20509,29362,31444,60808,436,511,945,924,935,1858,108,154,261,271,267,540,106,114,211,84,97,180,381,421,804,6,3,12,31678,33940,65618,5185,4653,9839,699,695,1394,47657,49697,97359,8332,8613,16940,135503,140521,276021
108,53282,55720,109000,10667,12058,22722,20226,21803,42022,607,608,1218,1812,1849,3662,150,163,316,268,305,576,143,159,302,139,141,285,214,261,474,3,5,8,23573,25305,48872,999,1174,2168,617,640,1258,35845,39171,75023,8898,9018,17913,98027,103910,201937
109,30074,30194,60269,5193,5636,10828,6325,6986,13311,4290,4675,8967,669,675,1336,214,216,428,227,215,436,88,96,181,126,127,253,101,137,238,0,0,0,12026,13121,25150,818,994,1808,333,365,699,18373,20114,38486,5031,5109,10139,53469,55419,108894
110,46008,46716,92728,9959,10977,20935,13428,14766,28194,353,381,733,2229,2449,4676,112,118,232,209,221,432,77,65,142,137,143,283,83,91,176,5,3,5,16631,18248,34875,1706,1701,3407,482,422,906,28781,31348,60125,8587,8567,17151,83372,86626,170003
