SA4_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
125,15157,12230,27387,3191,3944,7132,86,58,144,29,27,59,313,93,407,63594,39281,102873,3455,5179,8628,1609,28,1644,679,62,736,522,121,640,678,317,995,2648,2762,5413,91954,64093,156050,3716,3662,7374,33,15,53,87,69,152,1614,1060,2676,365,645,1006,176,82,259,5989,5530,11517,5,11,15,0,3,3,275,240,520,92,213,304,40,18,57,416,482,898,661,303,965,7057,6321,13381,768,807,1578,21,23,40,27,0,30,820,826,1648,2109,3445,5554,5205,7488,12696,1304,814,2121,108452,82998,191445
126,6385,5914,12298,3428,3835,7261,248,170,418,8,8,15,86,64,148,24351,18869,43217,901,2066,2972,398,11,409,542,48,589,420,58,477,224,152,369,1507,1511,3019,38483,32700,71185,1254,1319,2575,29,13,46,28,29,51,548,344,890,133,280,413,81,40,116,2066,2028,4091,32,12,48,4,0,6,167,174,339,38,120,158,27,16,49,273,331,599,293,201,489,2633,2557,5182,288,236,523,26,20,43,18,8,19,331,257,584,1830,2332,4159,2503,4343,6844,354,281,637,46131,42468,88601
127,5437,5499,10938,1010,1469,2484,10,6,14,11,6,19,126,55,187,61287,42401,103688,3823,5215,9038,2499,37,2543,405,38,445,267,32,305,512,232,744,1308,1575,2885,76709,56570,133282,1287,1476,2763,6,0,6,25,14,41,1977,1482,3463,279,661,939,61,28,85,3626,3665,7292,10,0,10,0,0,0,87,115,201,63,146,209,16,16,36,176,285,456,655,363,1018,4451,4318,8771,501,557,1061,9,10,23,15,5,18,535,574,1107,1622,2961,4584,3984,6385,10365,1207,901,2112,88508,71706,160218
128,6503,6412,12918,239,291,529,8,5,18,5,8,10,60,61,121,37085,30900,67980,1552,2092,3639,1010,12,1025,436,23,459,349,74,419,297,149,447,982,1427,2407,48521,41459,89978,649,609,1259,10,9,26,23,23,41,1522,1321,2841,178,388,571,103,38,145,2492,2391,4884,0,0,0,0,0,4,17,30,47,14,26,41,3,9,15,38,61,106,371,192,564,2900,2646,5547,251,240,492,0,5,5,16,3,21,271,249,519,1948,3141,5084,3814,6681,10496,438,377,814,57892,54544,112434
197,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,79,5,3,7,59,72,130
199,152,122,272,78,98,174,8,0,8,4,0,5,4,3,12,914,440,1355,125,98,221,36,0,36,13,4,21,33,6,39,68,34,106,190,164,352,1624,975,2603,57,38,95,0,0,0,0,0,0,11,7,18,0,10,11,4,0,4,79,49,128,0,0,3,0,0,0,0,0,0,3,0,4,0,0,4,8,3,11,19,6,21,101,55,158,15,11,24,0,0,0,0,0,0,18,7,25,60,51,112,190,163,360,46,29,74,2042,1291,3331
201,444,292,733,188,236,426,16,3,19,10,8,15,69,62,130,24614,21436,46050,1461,1705,3168,502,18,518,125,15,141,296,78,369,208,92,296,1137,957,2095,29055,24908,53966,15,22,38,0,0,0,23,25,51,193,118,306,13,25,46,28,6,37,282,196,476,0,0,0,0,0,0,11,11,19,15,33,50,4,4,12,32,43,82,214,113,332,530,357,883,97,101,202,10,11,20,10,0,10,118,110,228,1745,1867,3608,2808,5112,7913,425,368,789,34677,32713,67396
202,498,352,849,229,225,447,13,7,17,16,10,28,48,47,96,23798,20911,44707,1413,1704,3119,494,21,513,206,31,231,395,118,505,205,98,309,1185,1106,2290,28491,24629,53117,27,21,50,0,0,0,30,27,56,133,84,221,18,19,41,34,11,49,242,165,408,0,0,0,0,0,0,14,10,25,12,17,36,12,6,23,44,37,79,251,132,382,543,332,876,76,81,162,5,4,6,17,3,15,95,92,190,1740,1949,3687,2822,5046,7871,360,351,712,34049,32395,66444
203,1486,903,2393,677,736,1416,26,16,41,24,28,56,111,84,197,45805,39528,85334,2519,3072,5597,706,21,728,287,33,313,739,229,973,374,170,545,1587,1662,3254,54355,46477,100835,84,61,147,0,0,0,79,77,154,578,358,939,46,45,95,72,16,87,868,557,1424,0,0,0,0,0,0,48,61,113,35,80,114,19,13,33,102,155,262,427,251,679,1391,968,2360,329,258,584,17,10,28,28,11,36,372,278,649,2497,3222,5720,5063,9167,14234,642,583,1223,64319,60706,125026
204,165,133,302,179,150,334,14,7,24,11,18,27,45,31,77,27137,23187,50327,1607,1701,3308,683,26,710,251,37,287,437,139,578,354,164,517,2104,1714,3819,32992,27305,60299,9,7,22,0,0,0,3,7,9,71,59,131,9,4,14,8,3,10,102,83,182,0,0,0,3,0,3,3,12,19,11,9,21,7,0,11,23,24,47,292,126,421,418,235,652,30,38,66,4,3,9,20,5,21,50,43,94,2437,2581,5015,3151,5289,8443,557,486,1042,39607,35941,75545
