SA4_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
215,20,12,34,149,103,251,15,7,21,4,10,13,39,30,68,22755,19331,42092,1588,1714,3301,504,15,520,190,27,213,326,94,417,435,122,557,1926,1643,3564,27947,23098,51049,0,3,4,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,7,5,17,0,0,0,0,0,0,9,8,18,3,11,18,3,0,7,16,22,36,173,93,270,200,127,324,7,0,7,6,0,6,31,3,36,38,3,42,2509,2261,4774,2319,3957,6277,505,405,910,33523,29860,63374
216,16,21,37,78,73,153,8,4,12,3,7,7,30,35,66,20263,17195,37454,1239,1475,2711,419,16,432,272,46,313,335,107,439,237,95,332,1259,1109,2370,24149,20165,44317,0,4,5,0,0,0,4,3,4,11,4,12,0,0,3,0,0,0,15,8,31,0,0,0,0,0,0,9,3,10,3,5,13,8,0,8,16,15,34,186,73,258,221,103,316,6,4,5,0,0,0,13,0,14,19,6,24,1858,1670,3532,2155,3592,5743,415,354,767,28819,25887,54705
217,23,13,41,118,58,177,8,3,17,14,6,18,50,36,81,19266,16628,35892,1238,1315,2558,470,10,484,266,56,319,299,84,387,321,113,437,1696,1324,3018,23776,19646,43423,0,0,4,0,0,0,0,0,3,9,3,15,0,0,5,4,0,4,22,6,28,0,0,0,0,0,0,5,8,15,9,8,13,3,0,3,16,13,31,189,80,267,218,101,322,10,0,13,0,3,6,10,0,17,23,5,26,2580,2240,4820,2325,3922,6247,408,360,768,29335,26274,55609
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,23,0,23
299,60,36,101,22,18,42,0,0,0,39,49,85,10,3,10,582,275,859,70,59,126,17,0,17,14,0,14,17,8,19,36,16,50,140,83,227,1002,549,1552,9,18,24,0,0,0,5,9,20,4,7,8,0,0,0,4,0,7,29,35,64,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,13,7,14,39,41,83,14,9,21,0,0,0,0,0,0,12,9,24,25,38,69,138,134,274,19,18,33,1242,786,2033
301,1661,1938,3600,932,1117,2057,68,67,129,9,3,14,72,54,126,38409,33481,71891,2121,2734,4859,1057,21,1074,869,63,930,430,121,552,489,177,668,821,851,1668,46926,40635,87565,144,180,326,5,6,9,0,0,0,381,469,848,73,98,169,59,22,79,663,772,1435,24,31,56,0,0,0,176,268,440,50,108,155,21,7,28,263,421,679,808,522,1325,1732,1711,3443,137,129,272,55,67,124,75,37,116,268,236,506,2073,3362,5440,4084,6395,10473,383,328,707,55456,52669,108128
302,3218,3839,7054,2216,2890,5106,19,14,37,8,8,14,125,68,201,33633,28389,62026,1953,2997,4950,675,17,688,1086,126,1207,801,163,967,407,163,569,1053,1094,2144,45197,39771,84968,425,467,891,3,0,8,0,3,3,740,857,1594,114,200,315,96,34,130,1378,1558,2935,10,7,22,0,3,3,117,171,290,75,152,232,33,28,58,233,363,602,406,202,604,2012,2124,4141,141,173,315,22,29,52,26,7,28,191,205,399,1679,2406,4081,3882,6419,10308,395,327,724,53354,51257,104609
303,1900,1942,3834,7784,9899,17684,41,37,74,16,8,20,235,125,363,55180,42781,97967,3132,5595,8729,815,26,843,1354,144,1500,1897,516,2407,557,282,840,1781,1933,3719,74692,63296,137990,514,513,1031,0,0,3,0,0,0,299,323,622,50,90,143,57,22,78,925,953,1876,16,15,34,0,3,4,546,689,1236,225,482,710,126,75,203,916,1262,2182,756,435,1190,2595,2650,5248,203,172,373,75,91,170,33,15,52,313,271,587,3186,4118,7304,5875,9642,15516,583,468,1057,87254,80448,167703
304,2737,2701,5438,2086,2259,4345,69,67,141,11,4,16,91,51,149,25967,22860,48822,1354,2367,3724,306,6,314,856,108,960,1619,322,1939,330,160,490,1526,1186,2715,36958,32082,69039,477,424,901,3,4,9,0,0,0,565,481,1043,118,144,266,73,24,93,1236,1079,2313,23,17,40,0,0,3,174,219,394,64,135,201,46,30,70,307,407,711,408,233,647,1947,1722,3671,182,170,353,43,24,72,22,17,37,249,211,458,2383,2920,5303,3191,5761,8953,250,226,482,44975,42924,87898
305,3451,3346,6794,6060,7769,13826,918,1003,1921,24,15,37,312,266,580,35008,28774,63777,2185,3838,6024,316,4,326,1434,233,1668,3257,1185,4440,648,370,1018,7133,6752,13886,60737,53558,114293,644,658,1302,16,16,38,3,3,7,209,214,421,73,102,171,88,42,133,1027,1032,2065,190,220,413,0,3,4,156,188,339,94,212,300,135,126,263,574,746,1318,636,444,1081,2242,2223,4463,196,155,358,104,100,204,58,25,81,360,280,637,3348,4054,7401,4995,7679,12675,414,381,796,72086,68178,140263
306,18,14,26,1040,889,1933,53,25,76,7,3,10,137,128,264,35807,34615,70422,2904,3806,6712,873,28,903,753,138,891,1201,545,1743,979,306,1280,2262,1975,4237,46023,42482,88507,0,0,0,0,0,0,0,0,0,11,14,27,0,4,4,0,0,0,15,18,32,6,3,5,0,0,0,40,26,68,46,85,134,39,24,67,133,140,274,491,272,762,636,430,1067,5,0,5,36,26,62,38,13,55,83,36,122,2285,2947,5237,4196,5798,9999,673,546,1216,53894,52249,106148
307,12,9,19,181,53,234,0,4,7,0,0,3,24,33,62,18380,15401,33785,1505,1447,2951,924,31,958,288,48,340,279,77,351,419,174,587,1717,1414,3131,23733,18689,42424,3,0,3,0,0,0,0,0,0,7,5,9,0,0,0,0,0,0,8,5,15,0,0,0,0,0,0,12,6,22,4,3,9,9,3,10,22,9,35,241,85,330,269,100,377,5,7,7,10,0,10,30,8,42,43,12,58,3286,2950,6233,2039,2983,5020,421,340,758,29786,25074,54865
308,8,13,22,1709,317,2025,133,21,154,7,5,6,94,87,181,33986,30201,64191,2896,2890,5783,878,29,908,840,80,925,485,129,609,469,226,691,1779,1691,3473,43284,35683,78965,0,0,0,0,0,0,0,0,0,7,8,14,0,4,4,0,0,3,8,16,25,122,23,143,0,0,0,158,20,174,30,27,53,14,4,19,323,68,397,742,241,985,1083,321,1406,7,0,5,560,98,665,29,14,42,603,114,718,2033,2865,4896,5213,5463,10679,570,427,994,52788,44867,97655
309,1359,1104,2463,1466,1525,2994,52,16,68,710,932,1643,158,150,311,96915,86595,183517,5711,7067,12780,2011,58,2066,1864,230,2096,1553,635,2184,1333,674,2003,3311,3629,6932,116435,102624,219059,237,270,508,0,0,0,20,17,36,611,414,1023,88,78,168,81,15,93,1033,787,1819,6,3,11,219,347,563,79,83,168,63,154,218,30,25,52,398,610,1015,1187,703,1888,2618,2104,4719,300,234,534,92,92,185,67,39,112,455,365,824,6604,9403,16004,9423,14596,24021,1171,1084,2257,136715,130176,266886
310,1991,2504,4490,629,700,1330,14,3,16,4,10,17,88,62,156,50656,41155,91815,3367,4249,7621,1516,45,1564,1148,94,1245,427,62,492,484,240,731,1031,1089,2124,61358,50224,111586,306,396,701,3,3,4,0,0,0,861,925,1787,144,218,363,92,27,115,1403,1567,2966,4,4,6,0,0,0,50,89,142,37,85,120,9,16,26,107,197,301,624,294,920,2132,2056,4191,199,253,453,16,13,32,32,6,39,253,274,525,2074,3180,5248,5194,7900,13100,734,588,1320,71745,64224,135965
311,698,798,1496,1499,2166,3666,11,3,16,7,0,6,104,57,162,53042,42480,95527,3742,4035,7777,2201,49,2250,1142,83,1224,270,56,324,503,250,755,809,852,1655,64032,50842,114871,152,179,331,0,0,0,0,0,0,251,297,554,57,81,140,44,9,51,502,571,1072,8,5,13,0,0,0,341,532,875,88,223,312,29,15,43,465,779,1247,619,254,872,1588,1602,3190,110,142,252,37,37,74,25,6,30,169,186,354,1985,3441,5425,4971,7140,12119,745,605,1354,73494,63817,137317
312,19,10,24,1414,375,1786,67,23,93,7,3,6,71,57,127,28030,23494,51519,2479,2160,4636,633,28,660,499,68,565,445,169,607,515,276,796,1861,1644,3504,36029,28303,64333,0,5,8,0,0,0,0,0,0,5,5,15,0,0,4,0,0,0,11,17,26,8,4,12,0,0,0,141,19,155,34,22,55,16,5,23,197,53,250,420,150,566,631,215,848,10,0,9,28,15,39,26,8,28,55,24,74,1480,2274,3753,4275,4241,8513,472,389,861,42940,35450,78391
313,1029,1233,2260,493,412,910,18,7,18,3,5,12,45,43,82,33418,29193,62605,2573,2894,5467,1452,28,1478,808,82,889,318,93,408,439,180,622,881,1005,1886,41469,35163,76633,214,211,432,0,0,0,0,0,0,573,689,1260,93,121,215,89,9,95,974,1032,2004,3,0,3,0,0,0,35,25,56,27,61,91,20,12,32,85,92,176,420,202,624,1474,1326,2802,152,180,335,18,15,34,15,13,22,190,198,393,1674,2685,4364,4235,5858,10096,517,421,938,49561,45661,95216
314,1913,2217,4131,517,508,1026,6,0,4,10,3,8,62,39,103,34032,29194,63221,1884,2523,4408,845,9,855,1064,92,1159,322,69,387,386,152,530,630,535,1164,41675,35338,77009,325,262,583,0,0,0,0,0,0,1086,1078,2162,149,214,367,90,15,104,1654,1568,3216,3,3,4,0,0,0,69,121,188,24,58,80,8,4,9,100,183,283,410,194,606,2161,1947,4110,180,196,382,20,7,34,23,7,28,222,214,436,1815,2780,4591,3856,6028,9884,357,281,637,50087,46579,96668
315,4,0,3,212,92,306,23,10,39,0,0,0,54,65,115,9950,8135,18089,1104,1197,2299,350,21,371,279,49,323,284,146,428,445,210,652,2361,2544,4902,15069,12469,27537,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,0,10,4,0,7,0,0,0,10,3,10,0,3,8,5,3,11,19,14,29,167,110,280,194,126,314,3,0,3,9,3,7,33,10,43,44,14,54,1394,1340,2738,1214,1309,2529,323,260,588,18241,15522,33765
316,302,217,520,1053,868,1927,24,9,32,10,11,16,75,56,126,52682,49524,102212,3117,3866,6988,1530,34,1566,989,91,1077,833,328,1162,972,381,1352,1913,2000,3914,63497,57397,120891,34,43,81,0,0,0,0,0,3,240,141,379,9,15,27,12,7,20,303,211,512,3,0,3,0,0,0,38,27,65,57,93,146,46,9,54,142,129,276,679,278,951,1121,615,1741,64,51,114,67,38,106,48,15,65,183,95,280,4786,6857,11647,6336,9304,15640,779,672,1448,76699,74943,151648
317,18,7,24,184,115,302,10,4,17,0,0,8,70,90,159,24902,22224,47126,1985,2362,4342,688,18,708,504,32,534,390,91,475,255,97,354,1062,911,1971,30074,25958,56026,5,0,5,0,0,0,0,0,0,20,10,23,0,0,4,0,0,0,26,9,34,0,0,3,0,0,0,14,8,22,3,20,24,10,5,15,28,42,67,289,178,467,347,224,571,0,3,3,13,8,18,10,0,15,25,17,36,1073,1644,2724,2438,4044,6483,288,258,549,34244,32145,66386
318,12,10,20,840,434,1276,40,27,60,3,8,8,77,77,159,37123,35387,72517,2867,3240,6110,965,45,1010,1049,139,1188,1075,330,1409,722,212,933,2024,1449,3476,46802,41368,88169,3,7,4,0,0,0,0,0,0,6,6,8,3,3,3,0,4,3,11,13,23,7,3,9,0,0,0,63,19,81,35,43,77,29,12,44,129,82,211,508,299,811,653,399,1048,3,0,3,32,20,54,49,30,78,84,48,136,1425,2182,3608,4254,5802,10056,506,398,906,53722,50200,103917
319,22,16,37,704,228,926,23,14,35,3,0,3,57,59,123,34166,32503,66665,2699,3307,6007,1330,28,1358,810,84,890,552,187,739,508,203,713,1836,1720,3555,42711,38359,81068,0,3,6,0,0,0,0,0,0,17,12,32,3,0,3,0,0,0,26,14,40,5,4,11,0,0,0,55,15,72,12,14,34,13,10,25,92,45,139,411,197,606,527,258,784,9,3,10,24,7,24,30,7,32,51,18,68,2866,3472,6337,4303,5990,10291,691,624,1312,51147,48715,99867
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,0,3,3,0,0,0,0,0,0,0,0,0,0,3,5,4,0,4,11,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,15,38,0,0,0,31,33,60
399,13,26,36,83,86,172,3,5,10,3,0,3,8,4,10,811,453,1259,162,174,334,35,5,36,20,3,23,24,14,41,63,38,100,182,223,407,1398,1030,2428,11,6,17,0,0,0,0,0,0,3,5,8,0,3,3,4,0,4,19,11,29,0,0,0,0,0,0,7,0,3,0,0,0,0,3,3,5,5,9,25,10,28,46,25,72,3,6,8,3,0,3,4,0,3,12,5,20,35,56,93,208,197,404,46,25,64,1743,1336,3087
401,208,153,364,4099,5036,9131,15,3,22,325,333,659,204,144,345,45661,38378,84040,2165,4112,6280,602,11,608,562,84,645,2069,882,2949,605,252,859,3161,2937,6096,59671,52326,111994,111,63,172,3,0,3,12,4,20,27,20,48,5,11,14,29,5,36,188,98,287,0,0,0,37,58,101,385,499,882,106,245,357,77,53,133,609,861,1471,568,374,942,1371,1337,2701,28,25,60,63,65,133,50,21,67,143,115,256,3333,3964,7294,5279,9189,14466,503,477,981,70295,67401,137691
402,957,1284,2243,3662,5121,8781,33,14,47,9,16,30,203,102,303,70920,55108,126026,3528,4867,8396,1147,36,1190,705,55,766,666,91,755,828,273,1100,1158,1060,2218,83821,68024,151843,313,307,620,0,0,0,16,26,46,238,340,581,39,64,98,25,7,32,637,730,1372,0,0,0,20,32,51,438,769,1208,110,295,403,44,41,86,609,1136,1746,745,339,1082,1991,2207,4201,96,201,294,46,65,112,21,9,33,166,270,440,1788,2766,4558,6644,10985,17628,823,697,1519,95236,84946,180185
403,2114,2094,4212,2307,2699,5007,15,7,23,480,694,1178,161,73,235,58398,51124,109525,2759,4098,6850,849,25,872,704,68,773,1152,288,1440,824,209,1041,1306,1273,2581,71080,62647,133731,292,228,520,0,0,0,26,41,65,435,505,945,45,76,125,61,16,82,858,872,1731,3,0,3,45,32,80,147,322,473,80,154,231,29,24,51,298,529,831,813,624,1433,1973,2022,3989,143,157,300,33,46,82,36,25,62,215,226,440,2616,3523,6134,6799,12198,18994,597,610,1205,83272,81221,164500
404,924,1221,2143,2407,3246,5656,16,5,22,362,519,880,186,96,280,37384,30559,67947,1828,3250,5077,466,7,480,515,77,590,1156,385,1538,457,153,610,996,1045,2036,46705,40559,87263,105,122,228,0,0,0,27,36,69,72,110,190,13,27,38,33,15,44,255,314,568,0,0,0,41,52,90,102,163,267,60,151,209,44,32,77,244,389,639,583,605,1184,1082,1306,2389,64,80,139,36,48,86,36,23,57,135,144,283,1347,1747,3097,4072,6679,10753,493,409,900,53842,50843,104681
405,18,28,46,136,38,171,5,0,9,0,9,7,19,18,40,16318,13794,30109,863,862,1722,422,18,434,150,15,163,167,40,205,374,98,471,1300,928,2231,19777,15831,35607,9,6,11,0,0,0,0,0,0,44,50,89,7,0,7,0,0,0,52,58,106,0,0,0,0,0,0,13,19,31,3,7,8,5,3,7,17,22,41,177,62,232,249,137,384,4,10,13,7,0,7,11,5,17,23,16,38,2037,1821,3861,2183,3343,5529,299,264,566,24567,21415,45980
406,7,0,7,482,83,566,8,3,12,0,3,3,60,45,105,11766,10281,22046,955,915,1866,205,3,213,154,22,171,179,49,226,295,76,372,1150,1138,2283,15259,12612,27866,0,0,0,0,0,0,0,0,0,7,3,11,0,0,0,0,0,0,9,3,11,0,0,0,0,0,0,91,0,89,11,0,13,9,3,9,105,7,112,156,44,199,261,54,319,0,0,5,12,5,15,20,3,23,30,11,43,943,951,1892,1930,2144,4073,251,212,463,18670,15985,34650
407,11,13,22,173,71,242,15,5,23,3,3,5,36,38,72,28410,23895,52305,1708,2021,3726,683,23,706,285,40,329,267,67,340,518,175,692,1782,1415,3201,33891,27768,61658,0,0,0,0,0,0,0,0,0,11,28,42,4,0,4,0,3,3,19,27,44,0,0,0,0,0,0,26,53,75,13,12,18,4,4,9,37,68,107,342,121,464,401,216,620,3,3,10,0,4,8,28,4,37,41,14,53,2985,2838,5827,3316,5213,8530,539,453,990,41173,36505,77675
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
499,3,3,4,22,12,34,0,0,0,0,0,0,3,0,3,251,102,355,37,49,85,6,0,9,5,0,6,3,3,6,11,3,21,26,24,50,372,200,577,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,3,0,3,3,0,4,8,3,17,0,0,0,0,0,0,0,0,0,0,4,4,14,11,18,64,47,112,8,0,10,465,263,734
501,22,11,39,1216,232,1448,13,4,16,3,5,9,30,26,55,26843,24323,51167,2273,2093,4368,536,19,557,249,52,298,472,210,685,703,200,908,1184,1110,2297,33547,28295,61844,3,10,14,0,0,0,0,0,0,22,18,42,3,4,6,6,0,6,37,34,69,0,0,0,0,0,0,76,16,88,11,23,40,41,5,48,128,47,171,347,132,481,516,207,722,3,0,3,33,4,41,27,9,35,57,15,72,1849,2535,4381,4438,5174,9615,593,435,1024,40997,36663,77663
502,305,313,618,847,194,1039,4,0,7,5,0,6,19,17,30,11977,11432,23411,1028,877,1905,360,12,375,139,19,162,89,26,120,597,134,727,337,338,672,15707,13351,29063,118,126,248,0,0,0,0,0,0,158,145,311,17,22,36,15,10,22,313,304,620,0,0,0,0,0,0,11,9,26,11,13,23,15,4,25,44,35,75,241,69,307,594,407,1004,103,109,212,19,4,26,9,7,16,125,121,247,530,1005,1534,2379,2418,4799,293,185,473,19636,17483,37124
503,1725,1564,3287,3962,3606,7567,9,10,17,14,11,22,150,96,246,23851,19874,43731,1207,2194,3401,147,10,154,412,82,501,2038,700,2737,617,211,835,3450,3118,6576,37591,31481,69077,500,564,1069,3,0,6,0,0,3,109,122,228,27,48,72,67,41,114,710,786,1493,0,3,3,0,0,0,96,88,183,48,92,140,90,44,137,236,227,465,289,149,444,1235,1162,2395,104,96,199,37,28,60,28,7,35,167,126,295,2166,2631,4800,3056,4668,7725,408,342,744,44633,40404,85035
504,1380,1670,3050,2073,1719,3790,12,8,22,9,7,17,149,77,229,43156,36218,79376,2448,3182,5634,1036,37,1071,531,61,592,854,211,1070,1138,304,1442,929,911,1842,53713,44407,98121,555,579,1130,0,0,3,0,0,3,653,741,1396,71,116,187,43,13,55,1326,1451,2777,0,0,0,0,0,0,133,159,286,62,114,177,53,13,69,246,294,543,534,213,739,2106,1948,4054,184,250,432,31,24,57,20,6,31,237,280,516,1625,2703,4322,5057,6686,11739,717,515,1229,63457,56537,119988
505,3872,4043,7915,4156,2873,7025,35,19,55,21,15,30,329,158,483,92511,79697,172208,5455,6731,12187,1856,41,1894,1129,110,1239,1439,305,1744,2419,591,3006,1569,1612,3180,114787,96187,210972,2538,2171,4714,0,4,4,0,4,3,1657,1662,3316,218,339,554,185,45,230,4599,4216,8812,3,0,4,0,0,4,169,194,367,108,197,308,85,36,119,367,426,798,1062,477,1544,6030,5127,11153,694,772,1467,59,27,87,48,20,68,804,821,1627,3850,6301,10149,10463,15101,25567,1402,1080,2476,137326,124614,261941
506,2554,2799,5351,4947,4126,9077,51,22,72,19,10,31,348,120,470,84192,66263,150456,4830,5958,10786,1612,63,1671,915,75,991,1562,398,1961,2046,551,2589,1775,1729,3502,104851,82108,186961,1844,1765,3612,0,0,0,0,0,0,947,1042,1988,147,234,378,95,26,125,3030,3079,6110,13,6,18,3,0,3,216,247,462,129,255,381,112,39,151,464,545,1014,964,481,1447,4465,4100,8566,492,635,1130,76,34,107,44,16,58,608,690,1303,2982,4573,7555,9367,12218,21583,1273,850,2126,123549,104534,228089
507,2576,2936,5512,3559,2009,5565,32,17,46,19,12,33,150,71,224,64928,56005,120932,3862,4430,8294,1015,25,1043,783,76,864,1321,447,1770,2176,491,2664,1562,1612,3179,81990,68137,150124,1783,1623,3403,3,0,3,0,0,3,1046,1172,2218,145,242,387,167,59,227,3146,3096,6242,3,5,8,0,0,0,85,118,209,96,143,236,59,29,88,249,297,540,744,317,1065,4143,3705,7849,548,648,1201,52,21,74,33,8,39,634,674,1308,2656,4519,7172,8382,11399,19778,1005,785,1791,98801,89225,188023
509,11,18,34,599,147,745,5,0,5,3,0,0,29,31,60,19345,16260,35601,1346,1444,2789,832,28,859,170,45,217,260,105,361,788,213,1005,2062,1559,3621,25446,19861,45302,3,3,8,0,0,0,0,0,0,24,43,67,0,8,4,3,0,3,34,57,87,0,0,0,0,0,0,23,16,38,6,4,9,9,5,13,32,28,62,244,86,329,310,171,480,3,3,5,5,3,10,23,6,34,33,16,46,2990,2961,5952,2857,3546,6399,499,372,874,32128,26922,59053
510,26,8,29,5759,738,6501,18,3,21,0,3,4,60,45,107,12575,9645,22218,2018,1325,3340,317,14,328,349,135,481,412,261,672,1167,298,1467,1777,1880,3656,24463,14358,38820,4,0,4,0,0,0,0,0,0,5,6,6,4,0,4,4,0,4,14,10,21,3,0,3,0,0,0,47,16,66,21,12,31,53,3,54,120,34,155,192,98,289,322,140,460,4,0,8,47,12,57,15,4,23,71,19,86,335,549,884,2253,1852,4109,830,353,1179,28272,17271,45541
511,9,8,13,1500,275,1776,13,3,11,0,0,0,71,65,137,18015,15299,33316,1786,1537,3321,495,27,521,316,83,403,388,197,585,669,187,853,1486,1604,3088,24746,19279,44025,3,0,3,0,0,0,0,0,0,4,10,12,0,0,0,0,0,0,8,9,16,0,0,0,0,0,0,86,18,102,18,7,23,25,6,29,122,31,155,223,111,335,357,144,500,0,0,0,14,3,21,13,7,22,27,14,44,1113,1432,2549,2552,2614,5161,564,336,897,29357,23820,53172
597,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,0,13,3,0,3,0,0,0,0,0,0,0,0,0,218,11,226,55,5,56,296,11,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,3,6,14,0,14,316,17,334
599,11,14,24,175,34,207,3,0,3,0,0,0,3,0,3,398,200,603,91,53,138,28,6,32,7,3,9,11,7,12,72,25,97,113,130,244,899,472,1371,9,8,21,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,14,12,30,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,4,5,5,15,28,20,48,3,0,3,0,3,3,0,0,0,5,3,8,16,33,48,135,99,229,46,17,69,1128,648,1773
601,23,15,35,1838,2423,4258,10,8,16,10,14,16,182,117,302,32887,28779,61660,2369,4007,6373,608,13,617,596,77,668,868,266,1134,366,174,534,2680,2791,5475,42420,38674,81100,3,3,4,0,0,0,0,0,4,12,6,20,0,0,0,4,0,3,22,13,29,0,0,3,0,0,0,98,250,342,81,176,255,26,38,68,208,464,668,426,295,721,649,769,1423,7,0,8,33,37,74,26,14,36,70,52,123,1779,2154,3934,4095,7314,11412,486,417,900,49501,49382,98883
602,9,3,13,280,281,558,10,3,13,0,6,6,99,78,176,21169,18608,39778,1335,1707,3039,446,8,456,289,36,326,255,80,335,284,101,388,1392,1307,2699,25560,22223,47780,0,4,7,0,0,0,0,0,0,0,3,3,0,0,3,4,0,4,6,3,17,0,0,0,0,0,0,17,23,42,14,28,45,6,8,18,35,69,106,241,134,380,294,209,498,0,3,7,4,9,14,14,5,23,22,17,38,1336,1523,2855,2549,4142,6690,308,281,596,30066,28394,58458
603,0,0,0,52,75,130,3,0,3,0,0,3,9,4,11,5066,4102,9166,364,417,785,194,7,199,41,3,46,23,8,34,97,30,128,326,250,579,6185,4905,11090,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,10,24,34,12,11,24,0,3,3,21,42,62,74,36,107,98,83,175,0,0,0,3,0,3,8,3,6,7,3,13,645,602,1247,721,1142,1858,135,90,226,7788,6821,14607
