SA4_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
101,11,36,3,2633,561,89,32,481,54,222,30,102,25,182,1263,3044,34,6,16,37,8,6,4,3,3,20,63,209,5975,992,260,6555,873,3173,285,1035,262,1620,1388,22418
102,17,51,0,3229,648,122,48,789,84,410,37,175,65,328,1730,4450,38,13,32,63,3,30,3,12,11,47,88,342,7213,1472,337,11921,1258,6574,401,1828,477,2930,1908,36311
103,17,16,0,1713,504,79,16,510,49,234,29,84,23,173,1090,2787,38,0,19,25,3,17,3,0,16,46,49,223,4908,728,230,6768,802,3326,230,872,266,1642,1200,20978
104,0,20,0,585,227,67,14,265,29,142,21,88,18,151,679,1689,13,3,10,16,3,5,3,0,9,22,31,119,2408,805,101,3614,370,2021,163,861,165,1394,760,12652
105,9,6,3,657,373,49,19,264,27,128,16,43,12,107,693,1736,25,0,13,18,6,10,0,5,9,36,39,149,2771,359,114,2886,396,1547,124,421,136,934,770,10463
106,12,35,0,2725,542,93,36,624,53,326,39,135,44,239,1623,3754,34,9,23,49,10,21,3,14,10,32,68,263,5858,1085,296,9259,995,5551,338,1404,413,2505,1761,29469
107,29,72,6,3962,548,94,22,691,75,396,27,142,50,347,1620,4027,27,4,29,41,6,15,10,6,8,47,54,250,6713,1295,289,11461,1232,5982,394,1778,420,3455,1741,34748
108,6,22,8,819,322,92,17,392,36,185,25,109,30,241,922,2368,24,3,18,33,7,10,3,4,16,48,51,217,3458,1005,184,5081,486,2681,260,1305,279,2299,1049,18091
109,5,7,0,674,266,27,15,300,34,104,16,58,16,60,632,1515,16,8,7,36,5,12,0,3,11,24,27,141,2535,441,120,3904,430,1655,161,514,121,770,702,11353
110,0,21,7,1048,532,60,30,411,45,183,17,64,16,152,997,2505,29,0,21,24,0,20,4,4,14,41,47,214,4314,632,196,5234,591,2668,205,737,199,1489,1106,17361
111,30,58,5,4525,662,111,34,691,64,357,37,168,48,322,2077,4594,51,7,22,52,17,31,7,19,12,57,88,353,7843,1588,313,13574,1485,6366,474,1932,438,3478,2242,39725
112,15,28,7,1368,385,137,25,457,40,226,24,158,26,210,1226,2900,25,6,15,32,7,13,3,7,9,34,63,212,4258,1573,216,6815,617,3366,309,1638,265,2171,1359,22588
113,4,18,6,1041,431,54,17,432,46,173,27,37,16,108,833,2177,35,4,17,26,4,18,4,8,6,31,50,201,4021,524,160,5300,611,2534,189,602,155,1154,952,16193
114,4,30,3,1020,280,63,27,314,30,172,16,63,22,155,804,1956,15,11,16,22,7,12,0,3,13,26,34,149,2648,716,134,4334,423,2295,152,792,159,1354,894,13898
115,39,147,14,9076,763,98,37,701,55,411,23,147,44,237,1714,4224,61,12,36,51,12,32,9,9,11,13,61,293,10422,1258,258,11075,1022,7012,273,1484,308,2126,1842,37064
116,22,109,12,4571,777,79,50,486,66,555,43,170,82,476,1783,4561,46,10,35,53,6,28,7,14,20,72,171,466,13485,1422,404,10835,1475,11326,394,2602,651,4862,2095,49547
117,27,74,3,4990,291,38,15,203,26,168,19,67,30,177,1069,2095,29,3,9,19,4,8,3,3,3,13,48,147,5097,805,191,5325,1011,3731,185,1044,213,1813,1166,20590
118,47,184,9,9957,498,81,23,542,39,318,16,120,22,179,1644,3485,42,3,27,55,11,24,3,5,14,21,38,244,6715,1015,224,8158,1122,5163,203,1146,236,1585,1731,27306
119,47,344,12,7910,904,179,110,812,116,854,60,411,165,1017,3320,7950,56,8,63,61,19,53,3,17,57,117,317,767,14421,2912,619,15760,1919,16457,612,6323,1228,10689,3876,74823
120,50,177,16,9607,500,96,30,472,62,289,19,110,34,280,1721,3617,28,0,20,32,8,16,3,8,8,23,60,210,8855,1301,251,9130,1288,6655,266,1702,331,2846,1850,34482
121,77,387,13,20340,897,174,46,918,69,673,34,217,62,332,3414,6839,61,14,36,88,14,32,3,13,24,26,103,410,13736,1810,354,15713,1823,12063,393,2372,457,3202,3559,55487
122,51,176,12,10704,661,116,32,771,59,352,20,168,30,203,1881,4300,34,10,25,57,14,30,4,10,4,18,60,272,8082,1361,283,12399,1181,5820,300,1375,266,1727,1995,34793
123,12,57,3,3473,660,62,27,556,77,460,32,143,67,340,1302,3733,62,4,18,51,8,32,4,4,12,62,104,367,9006,1024,302,9489,1251,7616,323,1766,456,3048,1499,35779
124,23,80,7,4191,694,82,36,675,73,420,39,145,58,305,1469,3993,63,7,28,52,10,25,0,7,18,58,97,370,9849,1202,328,11275,1438,7722,346,1663,477,2683,1662,38652
125,26,191,5,5500,605,119,58,510,68,651,22,311,146,723,2708,5916,40,3,26,39,14,33,9,12,33,119,265,591,12015,2010,425,11147,1498,14920,407,4903,1056,8585,3164,60135
126,24,133,0,6354,345,64,20,356,33,235,16,104,32,194,1288,2682,31,4,11,31,6,18,3,3,7,10,50,183,6293,883,177,6510,745,5187,180,1264,251,1967,1375,24831
127,41,244,7,4262,703,130,71,577,75,709,30,281,135,1011,2116,5837,51,9,36,38,11,36,7,30,40,159,290,707,11144,1769,463,10090,1275,12214,375,4404,954,11487,2606,56770
128,31,120,4,7060,560,87,38,665,47,295,45,143,38,194,1394,3517,42,3,18,65,14,17,4,8,4,26,44,250,7354,1004,260,11384,1133,4751,320,1209,264,1717,1468,30866
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,10,12,0,1090,298,67,15,399,29,186,17,67,15,140,703,1936,19,0,15,33,7,20,6,3,3,31,31,167,2845,740,162,5668,565,2809,205,807,192,1309,772,16082
202,8,13,7,1018,278,68,26,368,38,154,21,64,7,114,705,1839,18,3,13,22,9,17,3,4,10,23,26,144,2812,836,150,5448,573,2737,252,823,163,1183,774,15748
203,18,26,3,2843,519,110,30,764,59,328,33,137,33,275,1468,3753,45,4,18,77,7,32,8,13,14,41,77,339,5297,1370,308,11323,1191,5674,375,1578,368,2258,1618,31365
204,8,12,6,848,368,90,23,441,46,174,21,73,21,118,879,2253,26,3,12,36,3,13,3,5,11,28,53,201,3535,799,195,5644,634,2755,245,723,219,1120,994,16859
205,9,29,3,1694,544,104,37,682,62,311,25,151,42,215,1429,3599,47,10,33,53,10,32,12,9,12,41,76,335,4398,1214,305,8843,926,4547,416,1516,387,2224,1593,26368
206,56,195,13,12325,594,135,43,683,66,401,35,162,47,390,2477,5025,47,10,29,70,8,40,11,11,18,50,114,405,9115,1938,370,13675,1943,8499,430,2199,444,3740,2685,45035
207,48,270,15,13076,711,162,47,899,65,589,37,232,42,403,2825,6010,65,8,41,103,18,42,7,9,7,37,96,430,9625,1962,312,14573,1271,9421,399,2525,400,3956,2995,47447
208,64,205,6,14309,889,169,45,1132,80,627,57,172,50,310,2780,6307,81,11,36,137,14,58,12,28,17,35,99,521,11358,1930,386,18338,1729,9951,472,2226,449,2955,2956,52754
209,39,122,3,7183,922,209,64,1221,117,797,49,276,87,698,2694,7139,97,19,60,142,24,75,15,23,33,96,189,775,12092,2686,574,20924,2330,13491,698,3620,845,6814,3063,67140
210,22,97,6,4020,631,122,59,701,84,624,45,288,104,645,1960,5268,54,8,28,76,17,50,11,17,25,114,221,619,8614,1657,387,12640,1485,10529,471,3426,761,7042,2370,49380
211,37,133,9,7730,1093,220,64,1575,133,746,78,270,70,464,2859,7570,104,20,70,165,27,66,16,12,29,65,144,717,13089,2727,532,23562,2400,13048,696,3287,641,4633,3118,67726
