SA4_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101,3345,3767,8273,10016,12345,9036,2049,259,34,49121,2438,895,2200,2100,2612,6355,9916,5722,2601,34841,379,363,815,803,1052,1095,1085,838,662,7101,6167,5022,11293,12921,16013,16485,13050,6822,3295,91060,1485,4464,11007,13013,16205,10688,2250,324,55,59489,3848,2454,4335,5465,6461,6481,2395,368,58,31861,218,223,840,649,782,951,297,45,8,4007,210,222,305,353,370,285,129,81,13,1971,5754,7369,16489,19478,23818,18403,5076,818,131,97339,287,453,608,524,563,477,38,6,5,2959,508,220,301,272,274,370,81,7,0,2028,796,678,903,794,831,841,116,13,3,4985,6549,8049,17388,20275,24651,19245,5194,831,137,102324,5323,1555,3322,3443,4624,11222,19177,10860,4155,63685,784,766,1627,1700,2228,2261,2183,1551,969,14071,12659,10364,22338,25417,31504,32731,26553,13249,5265,180076
102,5657,6778,13106,15079,17027,12274,2256,165,27,72363,3754,1641,4072,4310,4463,8916,15819,10556,5221,58761,398,489,856,953,1088,1119,1274,1255,1159,8588,9808,8908,18037,20343,22575,22308,19339,11976,6407,139707,1947,6869,17271,19239,21408,13974,1949,127,16,82786,6158,5131,7230,9080,9773,8568,2939,307,33,49224,318,387,1244,946,900,1016,239,21,9,5073,198,326,467,509,485,352,122,50,18,2512,8614,12714,26212,29776,32560,23909,5250,496,72,139593,758,1024,1136,941,1106,797,56,11,4,5829,1312,541,587,623,542,541,115,22,0,4276,2072,1566,1722,1562,1645,1340,163,28,4,10105,10685,14277,27936,31332,34205,25247,5414,525,76,149701,8387,2927,5567,6102,7214,14866,28800,19032,8501,101390,860,966,1772,1941,2208,2251,2381,2137,1694,16220,19930,18174,35278,39376,43630,42364,36591,21691,10278,267307
103,2991,3820,8003,8906,10053,7482,1892,317,56,43531,2904,1289,2717,2271,2561,4832,8232,5557,2711,33066,499,472,800,859,1046,1017,1047,824,482,7041,6398,5590,11515,12040,13652,13329,11170,6696,3247,83644,1445,4444,10730,11455,13138,9547,2203,393,63,53418,3139,2399,4390,4944,5262,4919,2083,441,62,27636,233,268,791,508,567,695,259,49,7,3377,194,191,322,330,330,234,137,79,29,1847,5009,7311,16228,17238,19298,15394,4687,961,161,86287,427,608,713,654,666,463,24,5,3,3569,526,320,357,287,306,281,47,8,3,2134,957,933,1064,943,977,742,78,15,4,5707,5968,8241,17294,18180,20268,16135,4763,971,162,91992,6128,2319,4114,3726,4570,8499,15578,10058,4182,59168,992,1003,1694,1750,2173,2132,2142,1476,724,14090,13093,11564,23097,23652,27016,26773,22483,12507,5075,165251
104,2031,2017,4338,5557,6922,5646,1002,111,17,27647,1612,733,1778,1673,2102,4577,7170,4456,2026,26127,220,209,418,463,610,658,656,578,483,4293,3863,2963,6535,7695,9637,10882,8834,5139,2526,58077,625,2023,5073,6254,7514,5615,914,96,21,28134,2356,1579,2871,3675,4400,4516,1329,182,21,20928,130,146,378,308,381,499,137,16,3,1990,103,102,171,162,204,157,70,42,9,1029,3217,3854,8497,10404,12501,10772,2444,337,53,52076,370,417,520,460,480,417,21,6,0,2691,425,187,274,267,264,306,55,3,0,1779,796,605,796,727,747,725,73,8,0,4464,4012,4451,9289,11132,13250,11495,2521,339,50,56542,3531,1224,2597,2596,3714,8335,13797,8330,3280,47405,479,457,868,959,1205,1457,1311,1026,716,8473,8016,6135,12753,14690,18165,21286,17629,9702,4052,112427
105,1463,2035,4901,4628,5378,4294,1031,185,48,23962,1490,845,1657,1277,1511,2602,4163,3016,1432,17997,217,300,625,539,645,686,578,447,236,4269,3171,3184,7181,6444,7539,7581,5769,3652,1708,46226,717,2521,6459,6022,7271,5731,1402,252,49,30431,1488,1097,2262,2337,2493,2418,1039,234,38,13402,85,128,456,244,269,390,130,26,13,1742,99,116,192,189,200,171,97,45,20,1132,2380,3864,9369,8796,10236,8713,2672,558,119,46707,255,366,511,427,438,303,13,0,3,2312,257,180,227,176,157,183,30,9,0,1215,510,548,735,598,590,483,41,5,3,3527,2894,4414,10107,9399,10827,9198,2712,570,119,50234,3150,1451,2614,2152,2726,4684,7909,5390,2243,32310,464,593,1285,1113,1357,1422,1198,791,386,8605,6502,6453,14006,12659,14907,15305,11821,6744,2741,91150
106,4410,5436,11147,11998,12889,8327,1579,185,41,56012,3172,1585,3899,3433,3784,7654,11037,6302,2865,43731,415,413,1030,911,1022,1037,1083,778,437,7133,7993,7437,16078,16340,17691,17015,13703,7261,3341,106875,1783,5876,14747,15516,16742,10507,1595,185,39,66980,4815,3671,6177,7160,7283,6096,2058,304,40,37609,267,350,1071,770,776,818,199,28,9,4276,177,254,382,419,419,285,99,51,20,2098,7038,10151,22380,23858,25217,17702,3948,561,104,110966,745,948,1072,958,958,649,30,7,0,5353,944,443,565,493,411,369,74,9,3,3310,1686,1384,1640,1448,1368,1018,106,14,3,8665,8728,11532,24019,25303,26586,18719,4050,574,107,119628,6854,2631,5528,5253,6058,12731,21180,11670,4421,76329,828,918,2056,1919,2132,2123,2095,1434,695,14194,16410,15088,31603,32481,34777,33575,27320,13680,5219,210150
107,4876,7422,13197,14215,14571,9463,1409,122,23,65297,4011,2087,3965,3808,4223,8364,12101,8385,3936,50874,371,481,869,745,835,891,960,856,649,6661,9264,9989,18027,18770,19629,18721,14464,9355,4612,122829,1740,6665,17176,18110,18971,11414,1287,102,8,75471,5329,6161,7385,8801,8422,6760,1847,211,18,44937,286,390,1293,939,835,883,173,22,8,4833,187,331,435,350,383,247,95,41,16,2091,7545,13546,26295,28201,28614,19307,3404,370,53,127331,568,942,1042,809,841,559,31,3,0,4795,1496,964,697,549,437,365,77,12,3,4595,2063,1902,1736,1362,1275,923,109,14,3,9391,9609,15446,28028,29563,29888,20232,3510,388,56,136719,8637,4397,6024,5645,6849,14175,22716,15165,6302,89924,733,1008,1842,1582,1787,1828,1814,1517,978,13090,18979,20855,35895,36792,38525,36239,28043,17066,7332,239730
108,2836,2763,5824,7676,10155,8400,1704,195,32,39586,2561,1158,2587,2546,3162,7713,13645,8350,3913,45641,308,280,556,602,872,1043,1270,1000,773,6706,5706,4197,8973,10824,14187,17167,16619,9547,4718,91932,899,2728,6555,8537,10982,8239,1453,189,31,39615,3232,2015,3837,5003,6455,6569,2170,274,27,29594,255,221,561,457,619,833,228,41,9,3216,177,177,226,285,348,281,146,67,19,1735,4568,5143,11183,14276,18402,15919,4002,573,88,74160,457,601,730,661,803,730,33,4,4,4013,565,259,343,343,420,499,74,9,3,2516,1017,854,1070,1002,1221,1235,101,12,11,6524,5583,5997,12258,15277,19629,17148,4105,580,97,80684,5451,1943,3882,4209,5809,13790,26332,15813,6422,83637,659,582,1128,1227,1799,2176,2503,1861,1229,13169,11701,8522,17264,20710,27232,33119,32942,18262,7749,177488
109,1818,2229,4557,4952,5812,4761,1087,142,17,25375,1363,627,1316,1222,1251,2809,5155,3447,1622,18804,208,270,493,462,520,663,572,549,304,4039,3393,3128,6358,6635,7578,8236,6811,4140,1939,48220,829,2507,5878,6186,7402,5769,1198,171,17,29955,2025,1499,2562,2990,3151,3248,1265,206,37,16996,121,119,458,284,350,517,171,29,10,2052,108,126,158,166,190,190,110,36,9,1087,3084,4253,9060,9631,11089,9721,2746,442,79,50100,200,316,376,301,369,265,19,0,0,1853,302,171,178,164,149,183,39,3,3,1185,501,489,550,461,515,447,59,3,3,3041,3586,4742,9611,10094,11609,10170,2809,444,79,53140,2875,1008,1804,1808,2151,4827,9721,6345,2634,33181,443,560,995,940,1085,1323,1201,994,489,8037,6902,6312,12415,12838,14843,16327,13722,7784,3208,94353
110,2651,3286,7024,7610,8774,7059,1834,303,55,38593,2531,1530,2540,2066,2240,4219,7237,4963,2236,29556,423,461,808,779,945,1003,925,791,496,6619,5599,5270,10370,10454,11957,12279,9993,6054,2780,74766,1238,3775,9360,9634,11505,8925,2256,391,64,47151,2856,2015,3699,4192,4609,4474,1930,377,56,24215,224,245,637,433,454,602,196,67,11,2865,178,185,268,280,296,283,148,85,16,1745,4495,6223,13967,14543,16864,14285,4535,920,150,75985,402,541,682,560,573,436,20,6,3,3225,460,336,324,298,235,293,34,6,3,1998,863,875,1010,855,811,732,61,14,3,5223,5362,7099,14974,15396,17680,15021,4592,933,156,81209,5342,2507,3606,3245,3866,7330,13491,8955,3393,51727,887,904,1637,1619,1861,2083,1892,1394,702,12991,11589,10511,20212,20263,23405,24436,19976,11283,4248,145922
