SA4_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
101,6,9,0,14,17,6,20,34,72,4,112,5,14,4,23,3,3,3,28,39,0,64,3,41,3,55,27,11,39,87,144,3,240,14,100,11,123,25,21,53,177,192,0,373,16,155,14,181,29,47,78,261,300,5,565,81,320,24,417,24,41,65,480,395,4,881,138,302,26,468,26,25,48,512,423,12,943,220,258,19,502,13,8,25,522,397,0,925,305,217,27,548,16,10,21,569,321,8,892,288,161,20,467,4,4,9,480,202,0,687,245,81,23,356,6,8,11,359,99,0,460,227,54,12,298,0,0,4,302,85,0,389,358,62,19,438,3,3,7,439,82,3,528,126,19,7,154,0,0,0,154,44,0,199,50,14,4,71,0,0,0,71,11,0,85,56,13,5,66,3,0,0,73,22,0,95,49,22,3,69,0,0,0,69,20,3,92,280,178,31,488,19,16,39,523,309,16,846,21,21
102,7,6,3,16,19,13,34,48,183,3,236,3,26,4,31,3,10,11,43,70,0,107,14,70,9,89,39,27,70,159,216,0,369,15,121,11,144,48,45,90,236,320,0,560,19,222,23,264,56,52,115,377,583,3,966,98,557,47,703,95,91,185,887,891,3,1781,225,521,44,784,55,57,112,903,890,7,1802,400,584,43,1024,35,55,86,1109,864,8,1984,580,529,55,1173,20,34,56,1222,747,8,1983,557,316,32,896,15,10,27,927,459,8,1389,498,230,30,761,11,15,24,782,267,3,1052,450,145,24,616,10,10,18,631,186,3,821,602,164,28,793,4,4,8,799,220,0,1019,231,53,8,296,3,3,9,303,81,0,386,114,20,9,139,0,0,0,145,18,0,163,87,26,6,115,0,3,3,120,29,0,148,54,23,3,74,4,0,6,80,41,0,118,535,356,44,930,52,35,89,1016,581,36,1629,34,31
103,3,3,0,10,10,11,18,25,74,0,103,6,12,0,24,12,3,16,40,43,3,81,3,56,4,63,37,26,62,125,186,0,311,21,86,11,121,37,33,68,190,228,3,420,22,144,11,173,44,29,73,248,379,3,631,75,345,26,442,52,81,131,571,537,4,1116,163,283,25,470,21,42,69,538,595,7,1142,249,242,20,512,20,17,37,550,451,10,1003,318,201,25,537,15,6,24,558,350,4,916,268,128,20,416,3,8,12,425,213,3,642,220,68,12,302,3,0,5,308,94,0,399,190,39,8,231,0,0,3,232,90,0,322,278,55,20,350,0,0,3,348,78,3,431,81,7,0,92,0,0,0,90,26,0,119,30,6,3,39,0,0,0,39,11,0,50,40,6,0,44,0,0,3,49,15,0,67,27,4,0,30,0,0,0,30,9,0,45,255,145,24,424,37,9,51,472,311,26,812,23,14
104,0,3,0,4,9,6,14,17,63,0,80,3,10,0,15,3,0,6,16,32,0,51,10,23,3,30,20,12,35,69,108,0,179,5,73,5,83,13,32,47,124,163,0,286,21,124,8,157,26,29,56,215,247,8,469,63,258,21,342,46,58,109,444,444,3,896,120,291,20,428,22,27,48,476,448,3,926,183,264,10,462,24,18,36,499,405,3,907,228,185,17,430,13,11,26,456,320,3,781,193,123,11,324,3,3,10,337,160,7,497,142,60,9,212,0,3,3,212,82,0,301,116,36,8,163,0,0,3,162,53,3,218,133,41,8,185,0,0,0,183,57,0,242,39,9,3,53,0,0,0,53,15,0,72,14,0,0,16,0,0,0,16,6,0,25,11,3,0,20,0,0,0,21,12,0,33,9,3,0,13,0,0,0,14,17,0,35,174,157,17,346,24,14,37,385,236,17,641,8,12
105,8,0,0,8,4,3,9,19,52,0,65,3,3,0,4,9,5,13,17,31,0,52,4,26,0,34,24,11,37,73,119,3,191,7,47,3,59,23,27,53,106,174,0,284,17,89,15,113,42,22,66,178,289,4,474,37,195,25,251,26,38,66,318,378,3,698,104,162,22,282,26,25,50,335,341,7,682,152,172,21,345,17,16,35,384,293,3,679,190,138,19,349,14,5,21,373,229,7,606,157,72,17,247,8,3,8,258,128,0,389,128,30,6,166,0,3,6,171,44,0,218,118,17,5,141,3,0,6,148,44,0,193,161,26,9,190,0,0,0,192,60,0,257,41,12,3,54,0,0,0,60,14,0,73,28,6,0,33,0,0,0,32,3,0,34,28,0,0,30,0,0,0,30,8,0,36,10,3,3,19,0,0,0,19,17,0,33,167,91,11,268,16,19,30,305,212,28,535,22,20
106,3,9,0,14,26,8,39,49,127,3,180,0,21,3,20,13,10,19,41,50,0,92,7,64,7,77,40,22,64,143,194,3,343,10,109,3,128,48,43,91,217,336,3,560,23,188,29,237,75,63,140,377,485,0,867,76,424,33,538,85,91,171,712,755,6,1473,181,482,47,711,46,70,118,827,737,6,1575,319,372,40,726,18,30,52,778,621,6,1408,446,338,26,812,31,19,51,858,531,4,1398,364,196,27,580,14,0,17,595,302,3,903,345,120,17,479,10,13,23,502,165,0,667,275,75,24,369,3,3,7,381,125,0,512,384,79,25,482,3,0,3,490,94,3,584,131,25,7,164,0,0,0,166,47,0,214,54,8,5,69,0,0,0,67,12,0,81,56,10,6,64,3,0,3,71,19,0,91,49,11,0,61,0,0,0,62,19,0,77,303,243,34,576,34,16,54,630,383,20,1032,28,29
107,5,3,3,20,10,13,29,46,137,0,180,7,16,3,20,12,6,20,42,64,0,106,11,51,8,71,37,25,65,134,214,0,349,5,75,11,91,31,42,72,161,280,0,447,26,160,15,203,42,49,91,291,521,7,821,69,421,21,519,69,87,156,673,680,8,1360,180,459,36,680,18,37,60,738,759,11,1500,297,460,33,791,25,24,50,841,661,3,1502,445,378,23,849,27,17,48,899,600,12,1508,427,228,27,684,19,12,31,712,384,5,1105,407,152,24,582,15,3,19,600,236,0,834,367,127,13,503,5,6,8,509,153,3,668,521,153,26,703,0,0,4,711,194,0,899,208,51,12,270,3,0,3,272,94,0,368,104,26,0,125,0,0,0,125,24,0,153,59,11,7,80,4,0,4,83,23,0,110,85,15,0,102,3,0,3,107,37,0,148,399,239,34,681,37,25,65,741,480,28,1248,27,26
108,7,9,5,21,11,10,22,39,73,0,113,0,20,0,16,8,4,14,36,44,0,79,3,54,5,65,34,14,54,116,189,5,312,16,95,9,119,34,28,67,187,279,4,476,11,153,15,181,55,51,101,281,452,9,735,64,409,34,502,63,79,142,647,728,9,1382,140,399,27,568,28,41,65,635,725,4,1368,279,362,23,667,31,34,59,725,684,9,1421,306,259,23,583,15,10,28,613,503,3,1124,237,174,17,425,9,12,20,447,247,0,692,218,87,12,323,3,3,7,328,129,0,464,174,69,6,258,0,0,0,259,87,0,346,164,46,13,221,0,0,3,219,92,0,317,54,13,4,69,0,0,0,69,33,3,105,21,0,3,27,0,0,0,27,7,0,31,24,11,0,34,0,0,0,35,28,4,64,22,4,0,25,0,3,4,30,18,0,51,259,228,29,517,28,22,50,571,388,25,979,26,23
109,3,0,5,7,7,3,8,11,34,0,47,4,12,0,12,3,3,6,23,24,0,50,0,26,4,31,15,17,33,61,88,0,148,9,66,3,74,14,18,26,107,110,0,214,12,94,10,114,30,31,60,170,209,3,380,28,184,18,223,21,25,52,278,254,3,529,91,163,18,267,11,20,27,292,242,0,538,145,152,12,311,13,11,22,334,226,0,558,168,127,17,315,10,7,21,330,152,3,491,130,66,14,213,3,3,7,225,95,0,320,117,40,12,168,3,0,3,172,52,5,225,87,26,7,128,0,0,0,127,34,0,161,120,22,8,153,0,0,0,154,27,0,182,40,14,0,56,0,0,0,56,14,0,73,12,3,0,14,0,0,0,18,0,0,19,19,11,0,26,0,0,3,29,8,0,38,20,3,0,25,0,0,0,25,6,0,29,133,98,16,248,9,10,18,272,135,8,408,15,12
110,8,3,3,12,6,5,14,29,79,0,110,5,9,4,17,12,3,19,38,43,0,82,10,52,3,66,39,28,68,136,176,0,309,8,75,11,95,39,21,59,152,282,0,436,20,133,15,164,55,41,94,256,352,3,616,68,287,31,385,51,76,128,512,514,0,1033,151,270,30,455,25,37,62,513,530,3,1053,241,244,23,499,16,13,27,526,445,4,977,298,192,23,512,10,5,15,527,329,5,864,238,113,16,363,11,6,14,377,188,3,567,200,59,8,273,4,6,4,278,109,0,386,161,45,5,216,0,3,3,220,90,0,303,168,43,7,225,0,0,0,225,57,0,275,68,12,0,81,0,0,0,84,24,0,110,20,3,0,25,0,0,0,25,3,0,27,20,10,3,34,0,0,0,37,17,0,56,19,5,4,24,0,0,0,24,20,0,46,248,128,20,396,26,17,44,439,276,13,738,24,15
