SA4_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101,20951,15200,6902,2622,108862
102,26191,19634,10777,5143,155541
103,15989,11675,5656,2049,94905
104,13593,9496,4694,1965,65577
105,8361,5377,2744,1112,49615
106,19719,14050,6507,2399,119550
107,23213,14965,7723,3189,143053
108,20599,17277,9029,3810,101308
109,9326,6505,3442,1314,52776
110,14320,10075,4968,1743,81332
111,29027,19961,10398,5139,177661
112,24360,16344,7992,3725,119152
113,11365,7194,3739,1558,68893
114,14425,12869,6567,2422,74787
115,19977,12465,4928,2197,119030
116,18753,9810,3778,1246,148750
117,17876,9994,4290,1580,205159
118,18947,13437,6562,3362,164327
119,31561,18319,10053,5158,259934
120,21049,12119,5171,2360,168461
121,35301,24740,12471,6013,244299
122,21014,14700,7704,3862,141119
123,16904,9653,3742,1568,114410
124,23054,14181,5802,1988,142630
125,23334,13424,6756,2994,211214
126,14531,8939,4687,2650,104102
127,19365,10498,4555,1547,150970
128,18931,11779,5855,2932,114699
197,43,60,25,3,212
199,1142,722,150,41,7741
201,12723,9189,4136,1562,74538
202,13008,9161,4335,1862,74307
203,21940,15636,7557,3256,137730
204,15338,11026,4877,2026,81819
205,23721,18457,8586,3182,128181
206,36380,21573,8949,3929,377787
207,29393,20093,11441,5558,200005
208,32928,20698,10673,5809,222014
209,30882,18223,8208,3404,236708
210,19300,11409,5835,2362,157191
211,38573,24938,11913,4874,248796
212,41721,25480,13430,5371,340313
213,35645,18841,7678,3078,325426
214,22850,17926,9539,3770,141726
215,11322,7613,3882,1756,64162
216,9262,6539,3472,1418,55530
217,10020,6783,3230,1401,55218
297,10,0,0,0,25
299,526,263,61,19,4580
301,17482,11210,5146,2272,106538
302,13358,7928,4537,2450,105561
303,21109,12024,5887,2695,179073
304,14167,9582,4233,2045,98470
305,17225,9077,3504,1514,154864
306,19358,11821,4880,1453,114413
307,8453,5802,2767,976,51787
308,14482,7532,3514,1324,95288
309,40938,29193,13642,5712,284084
310,18197,10873,4942,1614,138264
311,18541,11540,4330,1303,131354
312,11483,6005,2537,830,76891
313,16608,13038,6174,2662,104266
314,12290,7320,2577,919,90876
315,4780,2298,804,221,32950
316,30217,23181,11102,4417,173906
317,10340,6652,3402,1579,68460
318,15068,8876,3871,1252,102558
319,23655,19180,9124,2797,124041
397,15,15,6,3,71
399,1426,1050,215,24,7409
401,25472,17726,7900,3775,156262
402,24080,15792,8109,3059,177963
403,28803,20055,9335,4493,175852
404,15288,9442,4989,2639,107199
405,9020,6425,2805,1146,45935
406,5846,3556,1681,653,35294
407,14052,11386,5277,2215,78327
497,0,0,0,0,3
499,247,159,30,10,1595
501,13852,9344,4224,1491,81362
502,6962,5961,3470,1140,43409
503,14606,9493,4706,2163,105767
504,16520,10034,4605,1829,120407
505,35880,21902,10526,4175,264558
506,30711,19368,9471,4022,239187
507,28012,17015,8761,3782,200869
509,11301,7885,3586,1227,59672
510,5546,1529,331,79,48039
511,8099,4485,1907,566,52414
597,31,4,3,0,338
599,633,368,58,13,3820
601,18103,12072,6043,2445,106815
602,11355,8369,3905,1393,62770
603,3775,2923,1059,282,17203
604,8676,6011,3108,1014,46608
697,5,7,0,0,44
699,78,50,10,0,517
701,9373,4338,1290,317,72912
702,5307,2126,591,131,36937
797,3,0,3,0,60
799,284,173,22,0,1635
801,30129,19523,8580,3555,219307
897,0,0,0,0,0
899,57,17,3,0,339
901,416,232,97,26,2337
997,0,0,0,0,4
999,4,4,0,0,31
