SA4_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
201,279,408,401,656,1107,1564,1095,2793,114,8415,600,1162,1568,1931,2225,2450,1342,1820,113,13213,296,627,579,837,2304,2661,1168,1469,188,10130,478,1745,1408,1566,1153,816,406,479,144,8197,351,1015,1215,1276,1991,1229,565,455,72,8162,276,2150,1026,872,845,604,349,420,115,6666,155,235,250,324,761,718,530,906,79,3955,307,1830,986,993,1290,912,538,529,160,7550,80,84,56,84,144,136,55,110,344,1107,2833,9252,7485,8545,11825,11081,6047,8989,1333,67396
202,275,407,468,711,1079,1590,1082,2789,118,8518,706,1196,1662,2105,2380,2411,1263,1816,88,13622,291,622,565,795,2090,2365,1133,1433,157,9454,476,1622,1252,1528,1102,884,413,481,115,7873,358,988,1082,1254,1898,1137,547,467,79,7809,235,2108,980,842,872,510,377,383,92,6400,143,251,241,291,709,731,505,866,82,3814,317,1847,987,1020,1428,1123,557,499,160,7933,68,91,72,83,130,123,43,90,321,1019,2880,9136,7313,8624,11684,10869,5919,8811,1215,66444
203,488,657,743,1050,2036,3019,1931,4452,152,14520,1186,2373,3188,3488,4477,5134,2674,3650,205,26367,550,1134,1076,1478,3961,5288,2270,2836,293,18883,797,3395,2706,2884,2092,1830,835,922,253,15714,656,1945,2298,2213,3488,2393,981,968,140,15082,502,4000,2007,1667,1632,1196,630,898,175,12707,265,489,492,545,1419,1542,886,1415,141,7191,455,3249,1630,1590,1956,1798,605,960,266,12505,114,171,106,164,258,332,92,186,624,2050,5010,17417,14239,15071,21318,22526,10910,16292,2244,125026
204,431,579,566,866,1235,2084,1357,4199,184,11499,578,920,1487,1818,2003,2128,1143,1650,119,11840,401,680,697,947,2390,2993,1472,1918,210,11707,539,1601,1365,1709,1331,1048,665,701,156,9128,355,995,1196,1428,1968,1273,573,538,86,8413,272,1843,992,1083,951,641,427,500,110,6829,221,266,320,404,1127,1048,630,1283,117,5418,434,2107,1152,1193,1561,1464,651,674,224,9446,103,93,72,81,145,150,69,148,407,1271,3334,9075,7861,9531,12699,12826,6988,11610,1615,75545
205,551,995,840,1263,1707,2672,1638,6021,241,15933,899,1545,2191,2493,2717,2836,1630,2399,176,16886,726,1146,1046,1416,3794,4504,2050,3160,302,18144,780,2566,2349,2564,1729,1147,684,720,239,12775,647,1773,1947,2082,2788,1819,733,692,121,12598,458,3248,1605,1422,1442,943,557,704,185,10566,390,440,438,519,1363,1317,1164,1837,144,7615,684,3339,1788,1875,2048,1700,998,1281,310,14037,164,165,116,107,228,199,113,187,671,1943,5299,15207,12321,13746,17808,17150,9562,17008,2391,110486
206,1343,1439,2072,2960,7157,12177,7856,16554,395,51950,3794,8428,8751,11426,19970,31655,15534,23274,938,123774,574,1494,2441,2030,4717,6170,2948,4127,363,24864,1088,6847,5752,4779,3986,3381,1963,2018,555,30365,1170,3658,3996,4019,9846,8673,3636,3468,351,38825,690,5729,3768,2908,3897,3734,1953,2687,353,25722,155,573,691,648,1172,1039,507,716,128,5617,350,3244,3374,1617,1837,1527,652,842,307,13767,184,379,303,352,753,921,310,690,1388,5275,9349,31796,31148,30749,53337,69270,35350,54383,4780,320165
207,614,1152,1518,2050,3500,6411,3740,9312,248,28527,1767,5336,5500,6211,9191,13773,6324,10391,504,58989,287,1054,1196,1216,2789,3340,1406,1914,187,13392,517,4760,2772,2137,1679,1329,670,715,212,14786,665,3245,3230,2906,4711,4150,1610,1624,217,22365,443,5117,2613,1862,1902,1957,936,1543,222,16605,76,404,388,327,653,669,273,393,51,3230,212,2514,1560,943,1027,786,324,421,149,7941,102,285,216,203,303,444,116,279,816,2771,4671,23868,18991,17860,25766,32858,15393,26595,2608,168603
208,788,1130,1572,2331,3970,7913,4992,11837,313,34844,2042,5320,6419,6974,9397,14755,7175,11128,491,63696,426,1228,1285,1613,3718,4983,2152,2902,272,18592,644,5067,3086,2880,2079,1900,976,1053,257,17941,820,3611,3824,3649,5824,5228,2050,2043,283,27338,541,5316,2748,2123,2273,2505,1256,2023,245,19037,146,464,436,403,1128,936,458,621,68,4655,264,2593,1450,1111,1330,1062,466,554,159,8998,107,280,206,187,367,500,163,360,915,3081,5780,25007,21037,21285,30081,39789,19692,32526,3002,198179
209,732,824,1226,1766,4498,6379,3759,7772,287,27242,1988,4174,5257,6075,9996,11958,5309,6990,481,52226,745,1720,2040,2482,7487,9504,3772,4381,577,32711,1070,5091,4317,4434,4108,2850,1345,1421,450,25093,1193,3638,4458,4637,8793,6468,2323,2004,358,33876,715,6974,3597,2849,3231,2472,1203,1618,379,23039,382,750,1040,1236,3438,2943,1592,2112,305,13802,544,4287,2988,2361,3853,2850,1108,1329,491,19804,162,316,204,269,620,556,183,292,1209,3817,7521,27775,25133,26101,46024,45992,20596,27917,4551,231609
210,429,549,661,1037,2999,4169,2277,4849,231,17206,1144,2022,2665,3114,6005,7005,2731,3609,333,28629,553,1259,1404,1681,5601,6436,2569,3118,524,23148,617,3079,2881,3124,2904,2054,1105,1239,384,17391,815,2177,2855,2992,6515,4615,1657,1503,297,23423,502,4505,2505,1991,2390,1670,816,985,292,15660,334,723,1034,1221,3067,2781,1363,2035,333,12899,405,2945,2298,1838,2960,2237,940,1046,400,15070,162,215,175,193,452,408,123,234,1014,2969,4970,17458,16482,17200,32896,31374,13588,18625,3811,156400
211,845,1149,1335,2027,4720,7401,4627,9414,281,31802,2162,4583,5614,6351,9940,12254,5781,7455,420,54558,977,1939,2240,2904,8269,11043,4497,5820,588,38278,1090,6043,4511,4763,3685,2676,1437,1394,347,25944,1190,4290,5045,5193,8832,6700,2629,2256,298,36433,793,7559,3705,3029,3422,2973,1423,1794,340,25040,343,761,737,1013,3179,2453,1375,1736,212,11813,614,5058,2579,2346,3823,2806,1194,1275,387,20079,162,297,212,221,579,576,223,351,1172,3792,8168,31677,25985,27853,46454,48873,23180,31504,4043,247729
212,828,1263,1528,2207,6707,8843,4698,9684,467,36224,2074,4822,5180,6484,13807,15783,5883,7038,694,61761,1042,2613,3009,3911,12734,13892,5809,6361,998,50369,1286,6884,6093,6618,5925,3559,1524,1908,692,34484,1411,4691,5430,5839,13181,9490,3350,2720,501,46620,1086,9950,5297,4253,5229,3839,1683,2234,552,34122,607,1433,1811,2341,8394,5958,3123,3780,578,28023,938,6847,5446,4631,9025,5596,2228,2336,849,37906,223,485,372,380,1015,876,254,425,2145,6180,9495,38992,34162,36674,76013,67845,28551,36490,7479,335693
213,892,1034,1414,2129,6427,9082,4749,9169,398,35301,2230,3893,5042,6189,13728,16299,5999,7486,653,61529,953,2120,2633,3122,10892,11703,4865,5494,868,42653,1252,6070,5776,6300,6160,4477,1819,2408,693,34956,1667,3767,4982,5509,13848,10551,3439,3014,560,47340,941,8771,5044,3998,5071,3694,1564,2023,512,31610,829,1618,2222,2774,8193,6994,3465,4841,802,31737,879,6233,5235,4176,7684,5423,1911,2172,788,34502,240,445,373,387,1060,1071,302,480,2223,6582,9880,33955,32721,34587,73067,69292,28121,37094,7486,326215
214,440,589,733,1208,2396,3577,2254,5140,165,16497,1027,2133,2600,3219,3643,4549,2245,3478,204,23100,592,1136,1239,1874,4701,6623,2910,3392,382,22848,740,3199,2536,3005,2276,1594,927,960,239,15469,633,2268,2474,2615,3779,2830,1209,1026,176,17004,522,4113,2139,1771,1980,1631,843,1144,214,14362,213,415,401,537,1647,1517,1001,1267,132,7120,412,2861,1533,1663,2154,1746,816,986,215,12391,98,179,144,116,268,301,111,212,685,2115,4683,16885,13804,16011,22849,24365,12310,17601,2403,130907
215,394,605,498,855,1141,2235,1247,4794,233,12009,463,592,1041,1323,1736,1729,942,1333,87,9241,245,512,455,642,1855,2147,897,1198,167,8116,485,1188,1151,1483,1136,853,338,462,141,7234,251,815,879,1080,1575,1110,363,374,70,6519,231,1804,840,838,1010,564,357,405,82,6125,193,260,250,239,814,830,493,1023,92,4191,316,1848,998,1163,1585,1451,550,733,213,8854,79,82,38,91,125,143,31,99,399,1081,2653,7712,6147,7714,10972,11070,5226,10405,1477,63374
216,295,416,382,584,969,1490,992,3638,176,8940,416,547,919,1207,1457,1554,881,1062,81,8124,238,374,391,531,1750,2085,993,1173,120,7650,305,1024,975,1189,911,623,277,364,131,5805,251,761,827,947,1318,923,374,378,55,5834,253,1586,677,827,735,494,308,400,106,5388,208,214,226,279,745,755,504,861,77,3864,402,1484,845,1038,1489,1297,743,701,192,8190,78,74,30,52,90,102,39,82,356,905,2441,6477,5282,6647,9475,9310,5115,8662,1294,54705
217,346,593,517,680,842,1556,1019,4575,179,10302,467,640,1143,1289,1267,1433,800,1157,69,8261,296,502,481,627,1610,1902,876,1092,126,7517,366,1189,1014,1281,832,544,254,302,117,5901,245,775,834,921,1157,755,309,334,66,5397,222,1685,712,685,693,436,249,358,86,5126,201,187,201,260,584,735,693,1077,89,4042,350,1876,932,1060,1330,1027,657,741,181,8149,72,67,45,59,85,118,37,101,335,919,2565,7510,5882,6864,8397,8512,4890,9737,1248,55609
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,23
299,7,3,12,11,31,40,17,52,7,178,34,34,33,40,54,108,31,64,7,405,6,10,26,18,59,70,35,55,5,297,13,59,40,55,28,32,21,19,8,277,15,14,23,21,45,33,9,10,7,182,3,29,16,16,30,13,7,11,6,134,14,11,11,14,42,35,15,48,13,200,6,46,42,46,51,47,19,31,12,307,8,10,7,0,0,3,3,3,23,57,111,212,205,226,348,385,170,296,84,2033
301,319,382,484,781,1989,2927,1953,4980,119,13936,827,1449,1817,2425,3709,4542,2056,3415,160,20398,420,712,784,1150,3441,4075,2205,3094,218,16106,449,2241,1785,2374,1902,1222,542,691,140,11349,639,1596,1938,2385,4758,3229,1399,1313,157,17411,294,2882,1423,1360,1490,1234,641,1050,119,10500,208,388,397,559,1448,1227,875,1496,115,6707,312,2093,1194,1392,1905,1356,671,997,158,10078,64,120,94,103,260,241,86,215,455,1639,3523,11867,9922,12536,20905,20053,10428,17248,1643,108128
302,323,313,405,645,2003,2807,1847,3910,94,12340,1071,1606,2093,2878,5308,6120,2744,3926,200,25941,320,594,638,893,3056,3355,1805,2209,151,13023,470,1910,1762,2074,1890,1357,693,790,132,11083,634,1325,1703,1982,5364,3364,1422,1300,159,17251,275,2486,1352,1269,1457,1101,537,845,124,9453,165,271,367,532,1339,1021,537,978,106,5310,254,1741,1246,1233,1713,1125,500,626,150,8578,59,90,78,99,277,278,103,170,468,1625,3565,10335,9637,11611,22418,20521,10188,14756,1587,104609
303,473,659,804,1298,3424,4476,2761,5974,184,20050,1708,3516,3955,5173,9959,11276,5015,7212,361,48173,420,1070,1331,1474,4452,4468,2258,2969,298,18738,547,3568,3141,2888,2577,1744,818,926,277,16484,816,2338,2773,2861,7376,4474,1795,1689,209,24326,414,4160,2538,2037,2241,1729,871,1271,175,15433,191,526,754,787,1855,1429,830,1260,159,7796,344,2897,2635,1934,2662,1603,699,937,229,13939,101,239,187,199,452,398,132,275,776,2758,5020,18969,18104,18653,35004,31599,15176,22510,2674,167703
304,292,424,505,679,1578,2660,1779,4498,89,12496,1089,2920,2756,3179,4986,6908,3146,5364,211,30554,206,506,487,575,1695,1882,1015,1374,75,7808,391,2469,1465,1381,1153,1033,591,606,143,9234,440,1574,1586,1560,3048,2171,960,936,97,12364,223,2427,1167,890,804,770,391,726,118,7517,57,235,182,203,425,390,253,390,32,2173,130,1451,706,636,624,439,145,304,77,4519,59,109,84,93,146,229,63,181,271,1229,2887,12100,8937,9199,14460,16476,8344,14378,1114,87898
305,468,639,813,1103,2651,4634,3085,7822,155,21371,1574,3492,3611,4578,8518,12242,6063,10653,344,51081,267,620,916,848,2255,2650,1471,2230,167,11418,429,3088,2423,2211,1836,1392,763,929,188,13267,558,1880,1948,1868,5040,3776,1739,1759,132,18698,281,2632,1821,1489,1598,1429,775,1444,132,11595,90,305,302,340,590,448,281,550,58,2965,182,1846,2127,948,1029,687,379,472,143,7809,83,171,125,122,269,349,112,280,543,2060,3932,14668,14086,13518,23795,27604,14667,26146,1855,140263
306,331,513,499,827,1864,2416,1609,4764,149,12967,923,1288,1486,2490,3517,3643,1781,3039,191,18367,572,767,834,1314,3407,3479,1959,3055,268,15642,578,1814,2013,2953,2735,1548,903,1212,224,13989,464,1311,1382,1977,3854,2110,962,1004,126,13189,301,2519,1370,1823,1973,1057,675,914,134,10774,259,357,397,574,1154,1016,799,1923,144,6616,414,2078,1608,2331,2482,1625,801,1107,337,12780,106,134,88,115,236,210,104,221,598,1818,3945,10774,9673,14401,21222,17110,9598,17244,2180,106148
307,298,570,406,624,728,1458,838,5745,211,10881,306,529,606,820,927,1106,673,1258,63,6291,267,431,340,510,1529,1533,1067,1989,117,7779,238,768,817,1066,791,488,265,418,107,4952,206,823,728,895,1363,869,422,584,79,5968,159,1038,548,642,730,380,304,416,63,4288,240,244,231,321,760,692,576,1959,142,5159,264,1497,799,1040,1504,1258,660,1460,210,8692,68,51,51,48,85,89,36,147,300,862,2049,5952,4525,5956,8416,7876,4836,13971,1291,54865
308,308,405,377,547,1217,1746,1175,5074,133,10984,677,939,1176,1658,2422,2754,1509,2576,96,13803,625,752,643,980,3556,3251,2756,4946,274,17786,500,1639,1483,2069,1692,1021,583,772,148,9913,449,1233,1238,1572,3096,1864,883,1053,117,11499,308,2463,1268,1356,1273,669,463,643,117,8556,582,412,408,497,1533,1442,2097,4337,216,11521,468,2279,1318,1478,2186,1435,779,1886,263,12096,91,102,66,88,173,163,116,249,452,1494,4006,10233,7977,10240,17153,14343,10353,21538,1813,97655
309,769,1186,1340,2221,4975,7222,4338,10870,342,33255,1783,4030,4353,6557,8850,10426,4446,8058,427,48931,958,2089,2383,3551,7883,9487,4943,8003,593,39886,1216,5749,5159,6951,5667,3344,1621,1985,513,32193,1151,4104,4374,5305,9472,6282,2453,2682,370,36188,839,7569,4678,5073,5050,3613,1744,3096,432,32103,398,871,1015,1488,2564,2193,1448,3364,239,13587,693,5166,3761,4232,4333,3267,1586,2521,538,26105,214,383,253,374,579,674,228,542,1401,4643,8014,31151,27312,35753,49370,46518,22806,41114,4855,266886
310,398,404,457,733,2338,2673,1863,4288,156,13308,948,1372,1614,2573,4625,4512,2135,2839,161,20782,548,965,900,1467,5141,4645,2688,3311,280,19944,769,2512,2500,3295,3232,1990,1071,1335,286,17001,664,1523,1745,2224,6164,3420,1596,1415,190,18950,370,3170,1817,1873,2236,1280,709,993,168,12618,400,560,733,1117,3226,2472,1647,2933,292,13379,574,2906,1858,2685,3915,2705,1202,1322,388,17546,101,149,96,166,401,375,153,256,755,2440,4766,13566,11720,16130,31269,24078,13066,18690,2681,135965
311,321,358,446,722,2242,2689,1843,4101,146,12861,782,1307,1448,2371,3874,3836,1692,2492,195,17988,567,986,1011,1675,5205,5558,2954,4057,375,22389,607,2266,2311,3204,2928,1526,797,1011,248,14895,745,1626,1941,2521,6348,3797,1682,1486,214,20364,391,3155,1912,1940,2326,1444,770,1130,204,13286,387,633,806,1416,3731,2835,1839,3142,333,15129,481,2717,1879,2479,4112,2824,1341,1657,418,17906,97,163,92,155,424,358,121,251,833,2496,4377,13214,11849,16475,31181,24871,13036,19330,2986,137317
312,202,315,288,502,899,1278,1081,4227,141,8939,502,684,791,1254,1694,1900,1206,2239,84,10364,553,580,540,842,2990,2453,2387,4626,268,15236,293,1113,1059,1449,1134,713,473,630,123,6986,329,974,1022,1235,2048,1367,828,856,95,8756,254,1758,949,1173,1129,568,371,482,95,6780,576,332,383,567,1416,1321,1584,4505,227,10915,308,1619,984,1184,1450,1269,764,1361,199,9141,82,69,51,63,141,142,77,222,425,1273,3096,7446,6072,8270,12907,11016,8775,19149,1654,78391
313,275,311,362,633,1470,1841,1248,3115,94,9350,582,982,1191,1847,2317,2404,1171,1811,131,12431,479,774,806,1174,3520,3565,1936,2938,271,15455,542,1843,1852,2651,2136,1126,642,749,207,11747,502,1331,1404,1769,3839,2326,974,1018,137,13300,309,2673,1345,1528,1649,1010,568,846,147,10074,254,400,446,652,1764,1380,966,2035,162,8061,422,2370,1486,2002,2571,1851,858,1223,298,13080,73,138,87,104,248,239,83,185,568,1720,3439,10813,8985,12353,19520,15751,8448,13909,2002,95216
314,285,262,378,643,1845,2550,1666,3783,93,11498,829,1290,1742,2362,3548,4301,1957,2802,117,18951,374,625,630,937,3324,3586,2030,2487,169,14170,467,1980,1801,2219,1964,1379,741,837,156,11554,594,1376,1678,1965,4719,3014,1199,1203,132,15872,261,2450,1357,1349,1492,1090,562,845,92,9494,168,290,267,497,1459,1062,660,1228,100,5736,259,1721,925,1058,1510,1117,487,721,141,7950,64,92,79,71,231,222,96,177,433,1456,3308,10089,8856,11102,20089,18319,9396,14085,1421,96668
315,147,147,133,231,420,755,389,3009,110,5338,236,243,224,473,802,1087,512,1053,50,4694,190,228,162,272,699,917,1161,1534,105,5266,164,422,384,728,738,573,234,385,99,3728,131,241,298,431,957,695,291,461,55,3567,61,415,208,328,398,188,121,197,35,1951,196,122,74,126,324,438,1094,1276,111,3762,173,626,347,529,677,720,375,1124,146,4725,51,58,29,39,82,63,50,116,252,736,1347,2500,1863,3165,5100,5450,4224,9149,971,33765
316,471,856,902,1438,2427,3433,2196,6126,194,18051,1241,2724,3197,4404,4621,5368,2484,4691,232,28965,742,1520,1494,2342,4577,5464,3058,4801,383,24380,764,3872,3134,4256,2511,1655,874,1134,263,18474,634,2647,2611,3230,4508,2842,1209,1387,176,19240,477,4286,2391,2710,2517,1726,943,1668,213,16936,309,546,538,771,1186,953,777,2289,126,7500,501,3604,2271,2626,2306,1835,918,1459,280,15808,120,217,141,169,231,305,99,314,701,2293,5257,20271,16678,21964,24875,23579,12573,23870,2577,151648
317,194,286,274,432,1002,1258,993,2679,76,7188,569,920,1211,1634,2419,2526,1456,2192,89,13014,266,532,451,650,2273,2085,1545,2084,113,9997,330,1317,1139,1707,1274,747,411,560,103,7597,354,981,972,1260,2609,1445,737,695,74,9124,184,1678,880,932,981,554,372,633,85,6301,180,183,196,322,744,653,555,1428,75,4321,255,1490,937,1177,1741,1032,507,765,133,8035,32,72,35,45,108,106,37,91,281,805,2361,7456,6091,8153,13152,10399,6614,11127,1032,66386
318,308,327,347,555,1542,2026,1498,4402,106,11109,875,1156,1336,2303,3608,3768,1899,3293,153,18396,512,712,637,994,3721,3536,2124,3219,230,15687,665,2127,1754,2463,2529,1893,1234,1682,242,14587,555,1119,1357,1777,4139,2350,1070,1025,124,13515,330,2809,1367,1412,1524,844,543,762,127,9718,346,413,347,551,1474,1337,1168,2671,184,8485,383,2306,1251,1524,1961,1301,747,1210,215,10902,83,84,51,92,239,212,101,178,476,1517,4056,11058,8452,11673,20744,17259,10390,18433,1852,103917
319,344,607,516,851,1391,1888,1207,5300,216,12313,656,1085,1262,2216,2729,2624,1339,2306,139,14357,479,938,838,1342,3265,2735,1672,2853,197,14314,579,1981,2016,3123,2083,1057,628,898,203,12572,446,1428,1484,1884,3059,1519,703,837,119,11487,333,2699,1541,1735,1640,809,549,794,136,10235,377,464,501,646,1348,1138,932,2653,167,8216,520,2903,1747,2265,2490,1857,1045,1568,340,14746,108,132,88,110,178,155,49,170,637,1625,3842,12243,9989,14163,18185,13775,8128,17374,2170,99867
397,0,0,0,0,0,0,3,6,0,13,0,0,0,0,0,4,0,0,0,8,4,4,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,3,0,7,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,9,9,6,7,9,10,4,12,0,60
399,20,21,12,25,26,37,20,82,9,264,47,34,31,52,73,96,26,72,10,446,30,23,22,28,62,82,33,96,17,392,15,54,52,61,48,40,23,41,13,349,22,24,17,16,55,25,29,30,3,226,13,26,33,29,21,23,13,13,10,182,21,9,16,32,51,40,29,94,11,300,24,69,101,156,134,110,65,127,33,825,12,3,3,3,4,9,0,12,51,97,195,274,297,410,473,463,235,575,158,3087
401,539,895,943,1511,2797,3842,2935,6268,162,19890,1675,3802,4239,5368,8333,8229,4613,7221,299,43772,422,1001,1042,1402,3133,3104,1636,2141,191,14071,615,3897,2423,2663,1820,1322,745,727,202,14418,680,2459,2375,2734,4817,2491,1234,1135,148,18067,384,3862,1752,1664,1638,1129,696,997,139,12262,147,340,324,437,897,629,421,751,44,3992,302,2716,1446,1353,1383,880,472,563,166,9293,97,199,108,187,309,239,124,211,467,1937,4854,19171,14663,17317,25120,21860,12885,20009,1818,137691
402,420,653,689,1271,3412,3443,2705,4388,166,17143,1278,2000,2511,3463,7259,5488,2782,3160,215,28159,727,1368,1423,2389,7434,6036,3386,3538,386,26685,1060,4057,3556,5050,4166,2220,1277,1430,350,23161,921,2251,2753,3759,8622,3810,1963,1380,210,25671,598,5167,2704,2929,3033,1558,1038,1066,253,18346,455,663,847,1436,4245,2548,1855,2457,236,14746,701,4773,2997,3439,5192,2767,1523,1336,423,23158,159,231,160,210,602,421,198,245,881,3108,6320,21167,17644,23947,43961,28296,16731,19001,3116,180185
403,521,730,796,1343,3281,3671,2887,5139,146,18506,1705,2980,3913,5037,7667,6663,3626,4730,260,36570,727,1389,1423,2178,5609,5337,2945,3279,295,23184,1060,4447,3526,4590,3272,2033,1158,1086,275,21456,948,2493,2948,3708,7140,3315,1722,1256,184,23715,592,4977,2571,2484,2384,1422,977,1091,188,16683,288,527,495,678,1911,1154,878,1283,98,7310,526,4047,2088,2218,2476,1489,813,956,215,14826,122,184,125,164,411,296,120,212,618,2248,6480,21768,17885,22400,34152,25387,15112,19027,2288,164500
404,316,381,486,856,2194,2353,1805,3207,86,11685,973,1674,2025,2766,5230,4295,2369,2844,167,22342,367,759,860,1227,3703,3125,1539,1885,188,13653,582,2646,2056,2575,2122,1271,669,800,218,12937,584,1440,1696,2204,5162,2352,1158,881,107,15578,362,3064,1444,1487,1543,995,557,659,129,10243,198,377,461,655,1742,1074,664,817,117,6112,313,2567,1591,1561,2024,1074,588,575,189,10476,100,135,91,126,312,216,82,129,460,1651,3788,13038,10721,13451,24036,16756,9439,11791,1662,104681
405,310,453,397,645,740,1399,961,3391,106,8395,325,456,717,826,927,989,675,1007,72,5990,262,432,400,616,1340,1449,744,1139,91,6473,277,1016,923,1141,599,376,217,303,78,4931,201,764,716,824,1019,619,329,321,43,4840,154,996,614,608,508,354,252,278,46,3801,156,240,219,267,544,590,664,1035,75,3790,295,1607,831,944,1117,1122,466,533,135,7057,56,57,31,52,73,77,33,70,243,702,2038,6019,4852,5919,6872,6975,4332,8067,891,45980
406,189,213,187,344,529,776,619,2130,82,5069,275,321,454,554,951,820,546,867,48,4828,208,278,311,410,1087,1041,665,1308,85,5396,219,622,638,855,686,408,246,344,72,4094,145,456,475,599,1011,422,198,232,24,3561,127,823,463,518,457,209,170,172,45,2976,180,178,181,170,546,418,511,1337,66,3594,196,974,602,651,594,499,260,537,142,4457,41,42,35,36,105,80,45,100,207,689,1578,3907,3345,4126,5964,4667,3258,7035,778,34650
407,493,784,700,1070,1364,2152,1463,5124,200,13332,498,768,1114,1399,1539,1496,928,1467,101,9316,370,729,670,1000,2391,2329,1262,1662,153,10568,442,1634,1486,2018,1295,617,405,545,121,8572,388,1152,1188,1477,1847,974,502,460,68,8056,303,1938,1075,1380,1069,586,447,512,95,7409,260,358,365,424,1090,932,693,1654,109,5880,576,2673,1428,1727,2565,2197,912,1046,244,13377,88,108,85,85,135,118,62,117,369,1165,3424,10139,8112,10580,13293,11408,6680,12588,1458,77675
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
499,4,0,4,6,7,8,4,13,0,54,15,15,13,10,23,20,5,16,3,103,10,5,12,9,20,18,6,26,3,112,4,13,10,4,8,3,3,3,0,53,3,4,10,12,12,6,5,7,0,57,3,12,9,13,6,3,4,0,3,49,0,6,6,11,17,8,16,13,11,85,13,24,18,32,50,36,17,14,12,212,0,0,0,0,0,0,0,0,8,11,53,82,68,103,139,100,63,98,32,734
501,444,584,548,801,1029,1693,1152,3252,116,9627,592,1115,1308,1485,1707,1962,1205,1660,100,11123,700,733,811,1086,2337,3005,2074,3287,243,14275,397,1627,1435,1760,1096,716,369,492,122,8006,328,1313,1320,1378,1812,1127,526,567,69,8444,309,2111,1108,1128,1041,632,364,522,127,7338,527,322,335,372,837,841,1271,2493,129,7131,549,2398,1231,1526,1545,1194,650,1209,204,10508,92,99,60,76,150,137,94,159,342,1206,3935,10298,8162,9608,11548,11308,7712,13640,1454,77663
502,122,160,192,221,470,712,423,1102,31,3444,249,442,519,658,873,937,504,782,39,4997,355,358,392,576,1456,1407,833,1848,135,7370,219,884,735,917,647,395,215,302,61,4371,174,633,605,615,926,626,257,325,36,4197,141,1131,639,593,564,293,155,245,51,3816,329,175,170,213,714,372,460,1490,86,4017,195,1040,573,516,521,411,231,672,83,4249,49,56,35,35,76,72,34,112,189,654,1831,4879,3867,4341,6252,5223,3122,6886,721,37124
