SA4_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
111,412,521,672,962,2558,3413,2296,4991,149,15977,1574,3057,4172,4359,6762,8003,3672,5430,312,37341,614,1136,1315,1732,5460,6413,2838,3642,316,23461,779,3850,3259,3742,3103,1943,1134,957,304,19068,875,2389,3130,3290,5764,3549,1506,1267,194,21969,611,4561,2553,2258,2181,1445,747,973,197,15529,374,665,596,676,2028,2042,1432,1845,129,9786,612,3556,2083,2031,2413,2190,821,1041,251,15001,126,161,108,139,381,349,128,245,685,2316,5979,19894,17895,19192,30662,29345,14575,20387,2520,160447
112,308,672,739,1087,1596,2281,1266,3906,158,12018,767,1935,2372,3002,3165,3218,1382,2451,178,18471,390,948,1062,1553,2919,3134,1334,2164,243,13748,529,2393,2162,3002,1884,945,510,662,231,12312,361,1539,1606,2034,2904,1446,583,656,112,11236,358,2727,1476,1642,1516,906,498,735,174,10029,181,430,474,624,950,776,532,1183,96,5242,418,2745,1735,1932,1962,1403,524,772,289,11775,90,164,89,129,157,164,56,138,602,1599,3401,13538,11708,15006,17060,14282,6686,12663,2085,96427
113,332,457,488,636,1287,1960,1265,4437,195,11057,497,656,1037,1157,2228,2197,1170,1801,110,10860,230,477,475,610,2452,2503,1268,1698,161,9865,339,1252,1124,1401,1473,759,415,716,145,7622,322,846,985,1273,2140,1195,558,498,76,7894,231,1726,831,928,985,624,420,440,110,6293,203,253,278,303,966,972,629,1287,121,5015,320,1546,1045,1199,2074,1867,647,811,250,9765,75,80,66,48,137,160,53,126,344,1084,2540,7292,6329,7551,13744,12228,6429,11809,1516,69453
114,205,417,390,551,950,1370,827,2394,90,7193,470,1100,1287,1374,1576,1827,920,1617,102,10278,237,571,623,848,1957,2330,1294,1476,177,9517,339,1350,1192,1396,1198,700,485,472,125,7254,246,1007,962,1043,1480,875,383,415,46,6456,206,1662,914,860,840,573,280,454,115,5900,91,243,230,297,645,541,357,691,58,3149,250,1614,909,829,922,709,386,453,125,6196,59,91,57,69,105,109,35,96,319,944,2103,8052,6557,7267,9685,9035,4970,8073,1149,56899
115,386,611,763,988,2402,4930,2552,7093,180,19901,879,2404,2840,2797,5361,8285,3171,5182,227,31149,257,774,785,942,2401,3762,1607,2794,174,13486,306,2272,1576,1395,1437,1071,462,529,97,9152,492,2347,2695,2413,3983,3788,1151,1450,167,18484,308,2860,1657,1144,1330,1617,629,1083,138,10768,116,336,309,322,713,874,429,1002,100,4198,219,1609,886,705,858,871,352,611,105,6207,62,160,118,133,254,367,84,250,533,1971,3021,13369,11634,10841,18735,25557,10437,19995,1724,115320
116,323,367,482,716,3159,4048,1879,3555,175,14711,940,1549,2083,2176,7659,8715,2518,3150,332,29119,371,853,1071,1298,5193,5156,2268,2707,407,19312,522,2173,2302,2597,3241,2034,897,1038,311,15108,721,1632,2344,2598,8585,5609,1678,1520,300,24989,464,3422,2221,1808,2543,1804,722,827,264,14088,337,804,1032,1279,4810,3629,1759,2646,401,16700,390,2361,2025,1939,3825,2566,911,1055,410,15493,105,188,135,152,589,530,168,228,1059,3161,4175,13349,13705,14561,39620,34095,12796,16729,3648,152682
117,710,574,996,1256,4166,6966,4247,8652,192,27760,1756,3504,3722,3936,10466,16844,8051,13261,546,62097,316,806,2069,1084,2615,3658,1746,2788,281,15363,534,2867,4459,2302,2396,2148,1170,1284,374,17541,625,1457,1966,1747,5788,5059,1970,2151,205,20961,381,2164,2375,1507,2322,2245,1041,1363,190,13588,104,317,557,422,892,803,405,607,87,4195,249,1516,3256,946,1364,1145,496,646,219,9832,96,188,246,178,391,546,181,379,915,3123,4777,13386,19650,13384,30394,39422,19305,31132,3013,174465
118,584,682,1049,1294,2681,5949,3480,8819,233,24777,1510,3808,3874,4139,6682,12573,5876,12284,415,51162,244,559,852,773,1597,2778,1219,2059,155,10240,359,2568,2291,1825,1582,1438,767,875,226,11933,544,1887,2048,1820,3472,3559,1423,1709,152,16611,344,2011,1524,1199,1400,1910,882,1477,156,10901,68,273,341,266,457,538,251,425,65,2685,140,989,1139,575,647,798,337,487,103,5209,75,195,162,135,241,406,114,393,644,2360,3874,12969,13273,12028,18757,29951,14352,28519,2151,135879
119,620,823,1210,1522,5116,7203,3399,6809,370,27082,1606,3760,4465,4351,11975,14577,4747,6559,657,52698,633,1977,2912,2738,7203,8324,3282,4050,827,31953,785,4358,4879,4148,4503,3126,1328,1642,568,25329,1197,3402,4408,4029,10752,8346,2547,2460,484,37624,744,5637,4606,3198,4287,3360,1176,1576,465,25057,409,1199,1664,1748,4234,3593,1637,2572,505,17558,595,3973,5068,3020,5021,3507,1308,1452,632,24573,203,396,406,322,872,813,227,312,1986,5537,6791,25529,29620,25067,53963,52848,19650,27434,6504,247411
120,572,605,1034,1319,3331,6166,3370,7452,209,24054,1614,3399,4005,4250,8977,13838,5728,9069,416,51289,276,739,1385,1057,2596,3473,1494,2174,247,13455,395,2504,2536,1922,1883,1569,632,789,203,12430,613,1885,2525,2127,5417,4454,1705,1676,219,20626,358,2547,2178,1469,1995,1971,856,1271,181,12826,88,308,479,386,906,843,394,649,96,4161,184,1538,2004,951,1355,1133,462,581,207,8423,75,211,231,167,417,507,140,270,848,2867,4173,13754,16377,13646,26887,33951,14778,23926,2624,150117
