SA4_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
206,475,819,542,380,540,376,234,3369,67,36,25,19,26,28,16,211,15,17,20,21,22,22,10,120,912,1696,1176,887,1351,983,653,7657,52,91,49,41,82,40,33,389,69,169,86,59,74,51,29,530,122,255,136,94,150,94,65,920,1037,1955,1311,985,1501,1076,719,8581,1192,1102,640,459,636,437,274,4734,29,27,23,17,15,11,8,120,2254,3081,1969,1456,2152,1523,1004,13441
207,226,665,532,395,626,436,242,3123,39,13,12,15,15,23,16,146,8,22,12,7,16,23,15,101,469,1320,1108,868,1496,1096,631,6989,27,64,25,29,50,30,25,247,21,59,34,44,58,40,26,277,49,118,59,70,104,77,47,525,518,1441,1162,940,1600,1173,672,7513,462,615,413,347,553,343,244,2975,9,5,3,8,4,7,4,54,992,2061,1583,1297,2156,1519,924,10534
208,355,915,642,494,685,413,219,3726,45,28,15,18,35,20,16,183,14,27,14,13,29,19,10,123,718,1758,1396,1087,1734,1134,660,8494,11,58,36,35,57,44,18,257,25,105,61,40,50,23,11,306,42,164,90,70,109,61,31,564,755,1922,1494,1164,1843,1192,693,9057,547,577,393,284,360,233,173,2564,17,14,12,3,3,0,3,50,1317,2506,1893,1446,2205,1425,869,11670
209,635,1365,1006,688,895,436,221,5241,85,62,40,25,32,25,18,281,34,39,39,27,33,25,12,212,1185,2389,1903,1442,2077,1174,664,10836,59,113,72,61,74,55,19,462,95,206,118,83,70,37,18,624,153,319,191,146,143,96,36,1083,1341,2706,2089,1585,2220,1271,698,11914,1746,1774,970,618,706,378,231,6435,40,37,34,23,15,4,0,151,3132,4519,3094,2227,2943,1656,932,18497
210,500,956,722,492,681,331,152,3836,57,43,37,26,24,20,13,224,27,47,29,32,38,21,15,215,911,1751,1374,1064,1596,838,466,7996,51,115,66,54,86,49,22,439,94,159,100,76,82,30,16,556,144,279,169,130,166,78,32,999,1056,2029,1540,1191,1762,922,495,8995,1540,1496,970,602,811,382,202,6006,33,46,20,19,14,3,7,142,2628,3567,2530,1822,2586,1305,702,15136
211,670,1484,1116,828,1153,523,237,6021,67,48,42,27,59,26,12,284,25,39,36,17,37,19,8,174,1127,2511,2085,1662,2652,1366,723,12120,26,75,69,42,66,29,17,336,96,178,117,54,78,32,19,576,121,256,184,98,142,60,36,907,1246,2764,2271,1758,2792,1434,760,13027,1369,1245,743,504,690,316,183,5041,13,28,25,10,11,7,4,97,2634,4037,3034,2269,3491,1753,948,18169
212,1009,1951,1490,1049,1387,683,313,7875,125,86,54,50,63,33,33,455,61,70,71,50,71,49,28,400,1975,3668,2863,2269,3345,1889,974,16981,148,254,184,110,207,97,47,1041,240,355,234,145,146,96,40,1253,393,603,415,250,351,193,91,2294,2362,4276,3272,2522,3695,2079,1065,19276,3203,2948,1612,1102,1516,804,463,11645,59,80,60,51,37,14,10,302,5626,7304,4950,3670,5250,2900,1533,31219
213,1077,2029,1324,973,1313,636,308,7671,157,89,51,46,64,33,19,468,75,94,71,56,78,42,20,437,2282,4102,2918,2083,3256,1702,918,17249,202,416,249,184,237,141,61,1488,238,569,350,189,245,104,57,1748,441,984,603,373,481,241,112,3243,2722,5087,3520,2455,3736,1945,1027,20493,4149,3923,2019,1294,1617,744,411,14155,117,122,55,46,43,32,9,421,6990,9133,5588,3799,5402,2713,1450,35068
214,532,1154,809,557,766,256,102,4164,64,56,34,28,39,11,9,239,34,35,34,17,31,10,0,156,890,1858,1425,1069,1672,655,275,7849,40,77,79,45,67,20,6,331,92,181,117,74,55,16,3,534,134,254,193,112,119,33,13,860,1022,2117,1621,1182,1792,684,285,8711,1274,1164,643,385,482,141,63,4152,20,43,24,16,15,3,3,128,2324,3324,2288,1585,2295,828,353,12991
215,249,527,332,230,330,71,10,1751,34,16,9,13,19,4,0,97,11,17,16,7,13,5,0,61,401,844,609,501,720,168,31,3279,23,60,43,17,30,7,0,182,38,100,37,35,33,4,0,251,62,159,80,56,55,14,7,431,463,1003,691,557,778,180,40,3715,924,874,414,288,303,59,13,2871,18,17,16,10,7,3,0,67,1413,1894,1127,851,1092,239,55,6656
216,249,463,336,233,317,73,10,1679,35,25,15,12,22,11,3,117,7,15,12,5,12,3,0,56,418,787,619,447,719,169,32,3183,21,69,43,28,24,10,0,189,59,99,48,29,33,7,0,270,78,165,85,52,58,17,3,451,494,953,699,493,780,184,34,3638,823,722,374,235,255,60,15,2479,17,33,18,10,6,0,0,84,1336,1706,1091,743,1033,243,50,6202
217,237,436,343,243,335,81,14,1681,34,22,22,14,27,4,0,121,3,12,14,6,7,0,0,46,343,661,571,404,655,154,31,2826,5,29,20,27,26,9,0,115,21,71,36,22,22,7,0,185,28,104,63,52,47,14,0,297,369,761,633,455,703,168,31,3121,610,516,253,177,162,33,7,1749,12,17,11,3,8,3,0,57,993,1295,896,632,874,197,35,4927
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,383,761,571,355,454,126,47,2700,38,38,27,13,17,3,3,145,19,46,17,19,18,5,0,124,747,1641,1237,873,1244,410,172,6322,38,77,56,30,47,9,4,262,73,127,56,43,46,11,3,348,107,203,110,75,85,21,5,615,854,1842,1354,945,1332,426,180,6931,796,799,406,266,295,70,31,2661,12,19,16,13,0,0,0,60,1667,2656,1773,1223,1631,495,207,9658
302,273,587,388,229,322,138,50,1991,75,34,18,4,15,9,3,161,8,24,15,8,11,5,0,75,641,1254,963,643,968,443,206,5114,22,50,42,21,46,13,5,199,51,78,49,26,27,8,6,249,72,131,93,45,71,23,15,450,708,1384,1057,689,1043,463,219,5565,575,520,304,217,239,79,36,1974,19,25,17,6,7,0,0,77,1298,1930,1380,912,1286,544,257,7611
303,407,762,538,358,466,248,136,2917,71,28,21,23,25,16,17,202,8,41,24,11,21,20,8,134,837,1650,1284,962,1371,736,405,7249,53,113,69,55,62,33,20,404,73,127,64,57,43,20,11,390,122,238,139,115,103,59,29,796,957,1891,1421,1076,1475,789,436,8043,929,911,541,344,441,243,165,3574,28,21,15,11,9,0,3,85,1916,2824,1970,1432,1927,1030,603,11709
304,150,391,298,226,311,170,84,1630,24,26,17,17,17,6,6,110,5,11,3,4,9,3,7,45,327,909,747,586,856,467,252,4144,22,37,23,26,19,14,8,145,31,47,25,15,12,13,5,150,50,85,45,39,33,23,15,295,381,990,796,619,893,493,269,4439,268,334,199,130,182,108,67,1294,3,13,6,0,11,0,0,34,653,1342,997,759,1079,609,337,5767
305,216,376,254,188,280,135,62,1514,35,21,8,13,9,8,7,110,6,16,11,3,4,0,4,44,468,903,698,547,852,497,244,4207,22,37,29,9,26,17,8,147,19,40,29,15,16,4,4,129,35,75,58,31,44,27,15,278,506,974,760,575,896,521,261,4488,278,272,183,150,196,110,68,1250,9,5,4,0,0,3,0,19,784,1249,940,724,1088,637,326,5761
306,499,1049,678,430,519,56,24,3250,48,46,29,20,31,5,0,185,23,25,36,28,21,0,3,134,912,1925,1414,981,1310,172,78,6792,88,252,143,92,104,11,4,691,143,226,112,78,66,0,0,632,228,475,257,172,174,9,8,1322,1139,2400,1675,1153,1484,182,83,8119,1712,1726,838,502,457,43,16,5296,34,46,32,20,17,0,3,148,2887,4175,2543,1672,1956,228,103,13562
307,225,441,262,211,213,16,7,1373,33,19,12,11,10,0,0,83,12,16,23,10,14,3,0,76,392,788,547,399,473,40,15,2651,37,92,62,32,28,6,3,258,52,100,44,28,18,0,0,238,91,191,102,59,45,8,3,494,481,981,645,452,518,42,20,3141,890,709,367,217,182,21,8,2398,20,10,8,4,6,0,0,49,1389,1696,1026,680,712,64,20,5591
308,400,802,494,341,403,33,13,2483,50,32,25,16,27,3,0,145,18,23,15,11,18,3,0,92,744,1485,1049,746,979,102,41,5146,92,233,141,92,97,7,0,656,132,198,104,65,43,6,0,556,222,430,250,160,142,8,0,1212,965,1915,1297,910,1114,114,43,6355,1486,1251,578,333,339,35,12,4033,36,32,16,11,8,0,0,98,2489,3193,1892,1256,1461,154,51,10483
309,1107,2255,1514,1033,1297,361,165,7738,116,111,60,37,68,26,13,439,38,82,48,43,46,20,5,281,1952,4027,2986,2201,3122,957,468,15714,105,247,157,99,127,29,19,790,204,421,206,135,132,39,10,1150,305,671,362,234,260,70,28,1936,2260,4706,3349,2431,3383,1027,496,17646,2327,2197,1118,771,892,243,149,7692,38,63,32,22,23,4,3,192,4631,6964,4490,3222,4297,1270,646,25531
310,675,1272,824,488,659,171,63,4156,102,83,39,35,30,11,6,308,45,40,31,30,36,8,3,190,1360,2565,1891,1246,1759,522,219,9567,208,413,208,123,149,34,19,1156,242,313,130,94,94,25,10,902,450,722,340,220,248,54,30,2061,1809,3292,2227,1469,2007,577,247,11631,2811,2550,1318,792,831,207,94,8615,44,56,45,26,16,3,3,202,4666,5904,3593,2288,2861,789,347,20440
311,740,1264,779,522,635,148,54,4150,82,85,48,30,27,13,4,294,24,70,32,24,35,10,0,197,1456,2568,1776,1227,1669,452,209,9342,204,336,190,111,130,13,13,1002,224,364,171,100,94,15,3,966,427,702,364,207,225,26,18,1963,1890,3269,2133,1430,1889,476,222,11308,2753,2551,1283,782,827,208,102,8504,53,55,29,21,17,10,4,196,4690,5879,3444,2238,2738,695,325,20012
312,298,557,376,253,295,18,4,1805,37,39,16,4,21,0,0,126,11,28,8,15,15,0,0,87,553,1120,785,582,800,58,17,3922,82,154,97,67,51,3,0,452,83,159,77,32,26,3,0,386,159,314,173,101,76,11,0,836,714,1435,953,685,880,69,24,4750,993,810,382,197,174,12,0,2564,17,22,15,10,3,0,0,69,1723,2266,1354,888,1056,84,24,7390
313,485,967,710,453,563,104,45,3320,81,66,46,37,52,11,5,297,25,34,28,19,23,7,0,125,865,1742,1343,958,1339,301,136,6682,113,197,140,84,103,14,3,655,157,281,146,57,65,10,6,725,263,482,287,144,167,21,14,1375,1130,2222,1628,1099,1502,324,149,8051,1877,1761,967,522,534,91,46,5799,26,38,28,9,0,3,0,104,3036,4025,2618,1632,2042,414,190,13953
314,388,808,485,294,409,119,51,2560,51,46,21,20,18,4,3,167,20,29,12,8,17,3,7,98,762,1529,1099,758,1079,328,138,5693,54,100,53,31,54,15,3,314,80,117,50,36,35,6,3,328,134,220,103,71,85,24,7,644,899,1745,1203,826,1165,346,147,6334,860,822,432,248,228,73,33,2697,10,15,4,3,3,0,0,47,1775,2593,1642,1077,1398,422,182,9078
315,127,262,147,87,88,3,0,708,24,21,8,13,5,0,0,67,10,23,8,3,3,0,0,54,326,642,385,236,234,7,3,1835,59,84,56,29,21,0,0,245,51,54,28,11,11,0,0,154,103,136,82,37,27,0,0,401,435,784,467,276,264,6,4,2232,849,710,365,213,124,7,3,2274,43,50,27,23,4,0,0,144,1323,1543,859,514,393,16,8,4647
316,632,1580,1144,745,946,158,84,5287,49,69,48,34,38,12,10,253,18,28,29,23,33,3,4,146,972,2484,1981,1426,1968,374,177,9387,65,145,92,64,91,22,6,487,98,240,130,75,80,9,11,647,164,387,222,136,179,32,22,1133,1138,2870,2195,1564,2142,407,197,10519,1209,1356,711,526,539,89,50,4484,12,21,24,16,14,3,0,88,2361,4247,2931,2099,2695,502,249,15088
317,300,591,407,278,346,33,17,1971,32,39,24,12,12,3,0,122,11,16,18,10,15,6,3,74,493,1034,774,610,832,126,59,3925,62,96,54,34,49,9,3,307,40,127,47,41,25,9,0,293,104,223,106,80,75,18,6,606,594,1262,879,684,907,143,60,4525,905,867,405,256,295,60,28,2815,12,8,10,3,7,0,0,38,1507,2134,1290,943,1209,203,95,7384
318,388,780,526,347,443,81,46,2611,40,52,28,24,40,4,7,188,24,33,24,17,19,0,0,123,839,1681,1180,907,1197,278,126,6200,112,235,133,98,96,8,0,671,123,228,109,66,52,11,0,593,233,462,241,167,146,18,4,1265,1073,2135,1421,1067,1343,299,127,7471,1578,1438,687,448,395,99,36,4686,29,34,15,16,6,0,0,106,2678,3611,2124,1536,1752,397,168,12261
319,517,1137,733,509,627,63,18,3605,39,56,43,17,26,3,3,190,25,37,27,10,31,0,3,146,828,1821,1368,965,1332,137,52,6511,120,294,221,118,158,14,4,933,174,277,162,105,82,11,0,805,296,574,381,224,235,23,7,1741,1123,2399,1753,1189,1572,163,58,8254,2291,2270,1186,754,704,81,44,7331,60,70,46,21,11,0,3,210,3478,4737,2991,1969,2282,242,98,15795
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,320,680,512,346,543,274,167,2845,44,37,27,19,36,17,12,188,7,16,11,9,8,9,0,62,546,1278,1030,769,1342,725,460,6159,21,45,32,29,44,26,6,197,41,82,49,35,50,17,11,287,63,125,83,64,92,38,17,488,611,1409,1109,830,1430,764,478,6639,489,547,323,238,331,151,106,2175,13,16,5,6,10,7,0,61,1110,1966,1441,1080,1771,923,587,8878
402,894,1683,1135,793,1052,353,163,6071,146,78,38,25,44,22,9,373,52,56,40,12,34,15,8,217,1558,2833,1992,1492,2298,934,449,11555,164,322,182,132,177,63,23,1056,239,380,229,107,102,42,13,1121,404,699,405,241,285,103,39,2178,1957,3535,2398,1736,2581,1039,490,13730,3338,2943,1462,1001,1128,438,212,10513,64,69,46,22,13,6,6,223,5357,6545,3904,2758,3720,1478,706,24474
403,625,1277,859,606,859,317,169,4719,102,66,43,29,52,18,20,332,18,33,13,17,19,6,6,112,1027,2105,1556,1191,1903,782,449,9002,48,166,97,68,74,31,8,498,100,196,104,61,77,22,10,563,150,365,208,134,145,51,16,1063,1173,2464,1756,1319,2046,833,468,10065,1450,1417,772,544,579,188,103,5052,22,48,22,8,10,0,0,118,2643,3929,2554,1873,2638,1026,570,15239
404,330,617,458,344,461,223,112,2542,42,27,22,13,22,12,3,136,11,16,18,13,8,10,0,73,547,1105,892,663,1065,581,277,5135,21,72,38,41,58,30,19,270,52,101,66,40,45,24,11,344,72,174,107,74,104,49,30,618,624,1280,1000,740,1169,633,309,5754,817,847,484,325,430,227,123,3250,29,12,12,8,3,3,0,68,1465,2141,1493,1074,1603,860,433,9072
405,130,360,285,193,277,42,14,1298,16,23,16,11,18,4,0,88,7,11,6,3,14,4,0,42,210,558,463,366,568,98,28,2299,11,52,45,32,36,3,0,174,28,67,54,36,28,3,0,219,43,123,97,66,68,3,0,393,251,683,560,430,634,106,30,2695,568,524,272,215,221,28,14,1844,14,13,3,8,8,0,0,43,823,1217,836,652,869,130,45,4580
406,182,293,208,130,185,25,0,1023,32,18,9,6,10,0,0,77,9,11,4,6,8,0,0,43,299,490,371,262,388,47,6,1874,29,68,54,16,40,3,0,215,39,60,39,17,20,3,3,184,70,122,91,40,65,4,3,393,367,613,466,301,455,52,12,2265,617,559,306,183,137,28,3,1835,20,36,33,11,3,0,0,105,1012,1214,798,500,592,82,13,4213
407,275,721,528,361,424,80,26,2419,35,40,13,18,22,0,3,126,6,14,11,3,15,0,0,52,415,1087,840,667,874,148,53,4095,41,94,63,50,57,18,0,330,68,116,58,18,37,3,3,301,109,209,121,72,89,20,4,629,529,1303,958,743,965,175,54,4722,959,901,495,308,333,67,11,3066,26,27,13,9,13,0,0,87,1506,2230,1466,1059,1306,240,69,7874
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,290,741,554,357,481,39,18,2486,34,56,37,28,24,3,3,179,4,11,10,14,13,3,0,50,435,1132,941,721,1010,101,38,4382,26,92,58,61,50,8,3,286,56,164,59,35,42,5,0,358,79,249,115,91,90,12,3,643,515,1380,1061,819,1107,116,44,5031,980,827,387,282,273,25,5,2773,9,26,14,12,6,3,0,64,1497,2231,1458,1103,1382,145,51,7870
502,162,348,238,170,238,48,13,1220,15,19,8,13,12,0,4,81,6,12,8,0,6,3,0,40,267,589,456,340,481,114,46,2296,28,64,36,36,50,6,4,225,58,107,57,35,25,0,0,290,89,168,96,76,73,5,3,510,351,760,549,414,559,119,54,2803,717,627,315,186,203,21,10,2086,13,0,4,3,0,0,0,24,1084,1393,865,606,763,145,59,4912
503,113,290,199,157,219,126,75,1169,20,15,9,3,12,9,4,77,6,3,3,4,3,0,0,19,227,518,456,373,581,325,190,2672,14,29,20,17,18,15,3,106,18,39,37,14,22,8,14,149,28,70,60,33,34,23,18,259,254,586,518,407,615,346,205,2935,150,205,135,129,138,75,62,888,0,0,0,0,0,0,0,3,408,788,647,533,759,425,268,3828
504,368,847,584,392,529,184,91,2993,54,33,31,21,21,11,7,179,17,19,15,7,15,10,5,92,738,1506,1144,902,1296,528,227,6337,65,113,77,52,78,30,16,434,75,168,115,54,56,17,4,487,139,272,188,103,138,50,17,916,881,1780,1335,1003,1436,577,245,7253,1190,1055,541,319,349,115,60,3625,30,39,20,8,6,0,0,98,2095,2878,1893,1335,1789,695,298,10974
505,812,1702,1134,784,1105,408,201,6140,107,72,52,30,63,16,17,358,38,68,41,30,44,16,13,248,1409,2970,2174,1651,2703,1163,617,12680,95,261,173,118,160,56,36,895,163,328,186,119,121,32,12,951,259,585,360,234,277,85,50,1845,1666,3554,2539,1881,2982,1246,663,14523,2008,1791,957,597,672,261,160,6446,43,65,50,18,14,6,7,189,3710,5408,3540,2495,3659,1516,830,21160
506,695,1398,950,606,889,310,179,5033,68,63,36,35,56,22,14,302,23,27,16,22,35,18,5,139,1260,2531,1840,1382,2186,853,510,10570,98,248,149,122,150,56,23,840,172,334,181,93,108,33,11,943,278,579,332,218,255,87,31,1786,1538,3117,2176,1602,2444,946,544,12354,2091,1937,972,631,695,240,156,6725,59,60,25,13,17,5,0,183,3688,5112,3165,2248,3156,1192,701,19268
507,639,1349,931,640,820,286,135,4802,68,55,33,33,48,19,20,271,27,30,17,19,21,6,4,122,1132,2373,1774,1354,1944,761,416,9757,110,232,146,86,135,40,13,751,171,303,146,86,74,16,16,817,282,535,295,172,206,56,27,1569,1412,2910,2072,1527,2146,820,442,11325,1803,1686,792,498,567,181,94,5619,33,31,26,28,8,0,0,133,3255,4633,2890,2047,2722,1003,536,17084
509,166,446,330,218,249,25,4,1444,32,23,15,12,18,0,5,101,7,12,8,5,9,0,0,45,290,736,566,419,512,49,9,2591,13,58,37,31,32,5,0,173,34,78,44,22,22,8,0,214,50,133,85,51,52,13,3,387,341,875,650,472,569,59,9,2975,702,701,354,197,177,8,5,2151,14,20,19,8,10,0,0,73,1057,1594,1022,678,754,67,20,5202
510,137,184,112,77,50,0,0,559,15,14,5,3,6,0,0,46,11,13,4,5,8,0,0,45,314,491,331,234,207,9,0,1598,38,62,26,33,19,3,0,178,30,47,26,14,13,4,0,133,67,106,54,44,32,3,0,315,384,599,383,283,237,14,0,1911,661,586,324,175,123,5,0,1871,43,42,22,8,0,0,0,119,1090,1223,730,469,361,16,3,3896
511,179,368,246,147,166,16,3,1123,16,35,23,9,17,4,0,104,8,17,7,4,13,3,0,50,339,709,559,399,495,49,20,2567,32,85,63,41,39,0,0,254,39,93,54,31,21,0,0,230,66,176,113,73,61,5,0,491,406,887,670,464,551,54,17,3053,769,683,346,217,143,12,4,2176,48,55,29,20,3,0,0,160,1227,1619,1049,706,702,65,24,5390
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,520,1021,635,446,602,178,63,3466,70,58,29,29,30,9,7,230,19,28,16,10,24,10,5,115,810,1658,1171,915,1335,448,177,6520,36,97,51,33,55,14,3,290,72,159,79,38,34,12,5,403,112,255,127,78,84,22,3,690,923,1916,1302,996,1420,471,186,7203,1390,1267,667,418,464,147,63,4410,31,23,16,9,3,0,0,84,2344,3205,1986,1421,1882,618,246,11705
602,267,513,372,245,366,88,27,1876,47,33,21,11,16,8,0,147,12,18,5,13,17,3,0,63,410,828,638,480,739,204,70,3360,20,66,41,30,33,17,0,207,40,99,39,38,39,3,0,256,56,162,83,74,72,17,3,465,467,992,714,551,807,217,73,3833,907,841,395,260,264,51,16,2739,14,19,13,9,3,3,0,62,1389,1850,1124,820,1074,270,94,6629
