SA4_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
401,1329,5690,1523,991,201,13352,3167,1232,9161,2727,2436,503,19229,180,70,572,266,358,44,1493,243,118,778,528,1990,120,3773,272,75,822,370,713,303,2557,14317,5507,39166,14872,23170,3122,100156
402,900,4589,1772,2083,229,11147,1346,901,6615,4580,6476,656,20567,50,17,246,223,485,54,1072,127,65,528,705,3623,180,5231,121,42,446,406,1609,616,3238,6850,3238,25621,19090,49818,4678,109295
403,1317,5860,1869,1703,235,13505,2229,1336,8629,4494,5655,688,23036,80,48,413,337,574,51,1509,167,113,686,711,3116,158,4950,160,53,608,396,1276,441,2933,8895,4824,32090,19238,41932,3818,110803
404,737,3415,1005,848,113,7430,1261,671,4899,2251,2677,415,12189,79,45,402,221,412,53,1207,140,63,443,460,1896,117,3123,114,23,393,302,748,321,1898,5987,2815,21647,11508,23639,2717,68317
405,305,1387,556,593,64,3097,163,160,1209,1109,1672,164,4463,9,5,38,30,100,12,201,20,15,71,113,881,49,1145,15,16,82,108,396,153,761,716,792,5031,4368,14031,1583,26520
406,198,1181,334,519,63,2470,139,151,979,692,1021,140,3118,3,3,30,26,88,18,168,14,4,50,83,673,44,870,9,3,54,50,305,145,567,591,538,3876,2828,11044,1181,20061
407,444,1968,828,933,113,4600,329,297,1955,1675,2827,301,7385,15,14,53,78,206,37,394,28,19,140,214,1651,63,2107,25,22,118,142,661,273,1243,1229,1221,7780,7125,23676,2759,43790
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
499,3,13,3,3,0,35,5,0,20,8,16,3,47,0,0,5,0,3,0,13,0,0,4,3,10,0,12,0,0,4,3,16,12,34,30,11,116,62,181,46,444
501,688,2373,766,1255,152,5541,379,328,2240,1377,2130,278,6729,19,16,152,126,320,23,652,41,29,212,253,1539,69,2149,34,28,231,267,964,262,1778,1531,1618,10346,7577,24953,2491,48519
