SOS_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
SOS51,3,14,32,146,36,31,13,3,0,266,5,14,13,62,61,53,47,24,9,291,3,62,92,322,130,92,41,13,8,761,26,144,128,882,387,269,210,111,62,2225,1005,1847,1755,4881,2419,2067,1602,1081,533,17199,12741,25201,20191,50952,24259,21179,14930,8381,3803,181632,0,20,65,137,32,10,3,0,0,269,23600,42906,32561,67530,31326,28023,18514,9452,3731,257625,4,23,12,89,30,8,3,0,0,165,0,3,3,28,11,12,6,8,3,56,0,3,4,25,3,7,0,0,0,46,0,39,48,246,109,67,33,11,5,569,0,0,0,36,17,19,3,3,0,77,13,39,172,424,142,56,10,11,5,872,0,0,0,21,18,48,38,33,6,167,3,6,3,46,3,13,17,6,0,106,64,761,768,3619,4079,3590,3734,2130,790,19546,0,31,23,121,35,27,17,3,0,256,8,15,55,227,58,39,36,12,6,455,3,34,70,351,196,185,488,127,63,1508
SOS52,0,0,0,16,0,4,0,0,0,18,0,0,3,10,10,10,7,9,0,48,0,5,7,20,13,12,3,0,0,54,3,8,13,86,60,56,26,21,10,276,167,359,298,899,486,540,378,217,101,3446,2099,4394,3350,8034,4562,4486,3135,1654,561,32279,0,0,0,0,0,0,0,0,0,0,3916,7790,5725,11435,6097,6167,4207,2003,647,48002,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,8,3,7,11,23,16,8,11,3,3,85,0,0,0,3,3,7,0,0,0,14,0,0,5,27,9,0,3,0,0,49,0,0,0,4,0,6,7,0,3,22,0,0,0,11,0,0,3,0,0,12,5,66,100,506,864,761,882,448,99,3741,0,3,3,9,8,7,3,0,0,42,0,0,4,27,4,7,11,3,0,64,0,0,3,57,28,40,90,33,8,258
SOS53,4,4,6,73,21,27,4,0,0,140,0,3,7,22,28,29,32,5,3,129,0,7,10,70,39,63,18,3,0,216,4,28,54,266,209,226,129,40,16,969,290,725,662,1876,1272,1182,749,293,81,7135,3769,9613,7250,17310,12472,11581,7171,2457,633,72257,0,0,19,40,13,0,0,0,0,70,7286,17640,13717,29078,18138,16525,9962,3300,741,116393,0,0,0,38,3,3,0,0,0,46,0,0,0,12,11,7,8,0,0,36,0,0,0,35,20,13,0,0,0,64,0,7,11,104,48,73,25,4,0,281,0,0,0,12,6,3,0,0,0,25,3,9,25,167,52,24,8,3,0,297,0,0,3,15,17,32,45,31,7,146,0,0,0,15,3,10,13,3,0,39,19,223,439,1605,2904,2597,2185,861,165,10994,0,0,0,21,17,13,0,3,0,50,0,5,15,68,26,25,22,10,0,170,0,7,34,184,143,140,242,51,15,815
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,8,0,0,3,11,8,7,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,10,122,42,20,3,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,5,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,13,36,7,5,0,0,0,62,20,21,52,133,45,74,47,3,3,406,79,120,315,840,325,442,254,37,11,2415,0,0,0,0,0,0,0,0,0,0,115,187,347,1275,609,571,352,53,10,3512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,3,0,0,0,26,0,0,0,3,0,0,0,0,0,4,3,3,15,13,3,4,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,3,3,35,95,72,88,68,12,3,378,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,29,0,0,13,14,3,3,12,0,0,50
SOS60,0,12,19,77,8,19,3,0,0,140,0,0,0,11,14,22,16,14,4,88,0,3,4,13,11,18,0,0,0,56,22,118,170,597,197,203,139,96,66,1605,228,423,595,1359,758,843,738,559,330,5832,4974,10219,11270,23586,11935,12000,9417,5643,2999,92047,0,10,42,72,20,6,3,0,0,153,9527,18909,18747,35303,17984,17581,12516,6658,3110,140333,0,3,5,58,0,0,0,0,0,69,0,0,7,17,19,12,15,5,0,74,0,0,0,11,5,0,0,0,0,17,3,15,27,136,59,51,43,7,3,347,0,4,4,39,32,22,13,6,0,113,23,54,683,1246,120,90,56,34,15,2315,0,3,6,17,8,30,41,49,12,161,3,11,3,9,8,9,3,9,4,56,28,148,163,673,1116,1212,1459,950,406,6157,0,4,3,29,24,36,6,11,3,124,3,11,10,74,29,23,22,8,7,173,8,11,29,114,98,111,248,135,98,855
SOS61,0,9,13,47,8,6,0,0,0,80,0,3,0,6,12,9,27,23,10,94,0,3,4,12,10,5,4,3,0,46,12,66,94,367,158,156,125,72,42,1086,290,524,708,1580,993,1189,1188,837,420,7728,5786,11921,12236,23679,13904,13979,12210,7390,3583,104702,0,3,35,85,16,6,0,0,0,153,10884,22208,21966,37932,21687,21145,16828,9301,3961,165918,0,3,3,28,3,3,0,0,0,42,0,0,3,9,4,0,4,3,0,33,0,0,0,9,3,0,0,0,0,13,0,12,9,97,37,42,24,6,0,224,0,3,4,10,14,6,12,3,0,49,8,31,121,267,69,38,20,7,6,569,0,0,0,0,7,12,14,25,3,66,6,12,6,11,3,14,10,3,0,61,7,119,99,494,938,1277,1923,1293,453,6612,0,3,7,38,20,9,7,3,0,83,0,0,3,18,12,11,20,10,4,80,0,8,11,54,47,90,201,122,58,602
SOS62,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,9,9,5,0,22,0,0,0,5,3,0,0,0,0,15,3,4,5,38,21,23,25,11,6,124,43,97,119,264,213,254,225,139,51,1399,769,1784,1418,3255,2179,2612,2156,1032,369,15573,0,0,0,0,0,0,0,0,0,0,1478,3344,2663,5215,3379,3951,3070,1358,433,24887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,20,6,15,11,0,0,62,0,0,0,0,3,0,0,0,0,6,0,3,3,10,4,3,4,4,0,29,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,7,25,11,97,189,355,465,233,54,1443,0,0,0,5,3,0,0,0,0,13,0,0,0,11,4,4,0,3,0,25,0,0,3,18,14,21,47,33,8,146
SOS63,0,0,0,6,0,0,0,0,0,12,0,0,5,11,8,15,22,11,0,68,0,0,0,8,5,6,4,3,0,31,0,16,15,103,85,91,69,30,4,408,129,343,307,868,672,796,563,224,56,3961,2381,6106,4695,10266,8066,8438,5483,1856,456,47741,0,0,0,0,0,0,0,0,0,0,4589,11706,9064,16706,12774,13206,8278,2691,631,79644,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,11,7,46,32,39,34,12,3,180,0,0,0,8,0,0,0,0,0,23,3,13,8,36,12,19,6,6,0,109,0,0,0,0,3,3,4,3,0,17,0,0,0,0,0,5,9,0,0,13,0,64,93,332,866,1203,1347,517,95,4527,0,0,0,10,6,9,3,0,0,33,0,0,3,11,10,19,13,3,0,65,0,6,14,68,84,114,121,79,14,506
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,18,6,7,7,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
