SOS_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOS60,282,117,109,38,60,10,624,115,50,43,12,41,3,268,225,98,107,36,66,7,538,155,117,81,42,72,4,471,329,263,151,104,138,17,1007,391,447,223,169,181,8,1419,454,688,257,196,178,18,1790,594,835,275,205,166,17,2097,521,882,259,155,130,15,1957,555,923,244,131,122,18,1991,343,657,137,74,47,15,1270,449,825,190,73,58,8,1599,132,320,63,23,14,0,566,94,177,42,11,11,0,334,211,438,117,33,34,10,835,239,472,142,25,20,7,902,86,167,48,9,8,0,321,42,120,20,5,0,0,196,122,206,91,34,55,8,506,5351,7804,2607,1374,1382,167,18681
SOS61,224,124,85,26,54,3,517,126,56,49,21,40,7,300,284,128,133,51,82,7,693,256,181,127,48,93,8,711,469,470,271,154,169,17,1547,671,828,344,240,201,13,2297,805,1098,366,246,198,17,2737,826,1261,386,244,176,10,2904,615,1100,269,142,112,11,2251,515,983,263,108,74,7,1957,266,483,122,46,32,5,941,352,604,171,43,39,9,1217,106,204,46,11,13,3,371,60,107,15,7,5,0,195,151,223,83,16,18,0,492,134,211,93,10,9,0,462,49,64,14,0,3,0,138,18,41,16,5,0,0,82,215,190,109,46,49,7,616,6142,8368,2961,1458,1372,128,20422
SOS62,51,22,13,7,11,0,103,44,15,11,8,3,0,78,61,39,20,10,13,7,150,74,39,16,11,9,0,159,123,95,39,27,17,0,296,115,122,43,28,37,7,347,134,170,50,36,14,0,415,138,189,47,20,6,0,402,96,153,43,18,14,0,327,101,135,34,11,12,0,294,33,89,16,5,4,0,149,66,81,22,5,8,0,184,36,36,11,4,0,0,77,4,20,5,0,0,0,33,27,49,9,3,3,0,91,32,43,8,0,0,0,89,15,11,6,0,0,0,37,8,4,4,0,0,0,14,60,51,14,9,7,0,151,1231,1359,420,217,170,16,3408
SOS63,258,155,83,11,22,5,535,93,46,26,10,13,0,197,246,117,82,24,38,4,509,184,134,91,36,27,0,476,298,221,133,63,64,4,788,365,383,166,63,69,3,1057,397,490,201,79,65,3,1234,381,522,179,87,47,3,1218,350,483,159,57,50,7,1111,315,540,170,43,35,4,1103,166,333,76,19,9,4,609,259,425,139,20,13,9,868,96,165,39,10,5,3,312,63,90,28,8,3,0,192,154,212,66,15,6,0,458,132,229,62,16,3,0,451,70,57,15,3,3,0,153,32,55,19,3,4,0,116,205,177,95,18,26,3,528,4073,4855,1837,601,504,57,11921
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,85,69,38,8,20,3,231,14,15,8,10,4,0,48,48,29,10,11,15,0,115,39,26,21,8,15,4,108,63,41,39,14,23,3,184,88,68,43,23,17,4,245,141,127,72,31,54,4,428,157,148,90,44,21,5,465,163,178,67,49,45,7,502,207,242,95,65,57,16,681,185,225,75,41,39,10,575,311,475,157,68,51,5,1063,153,259,52,38,31,6,536,151,247,49,30,9,3,497,427,663,163,57,52,11,1378,537,943,191,85,48,12,1820,187,315,97,28,19,3,641,102,180,66,11,9,0,371,133,153,67,22,21,6,403,3198,4393,1392,634,550,114,10283
SOS71,21,3,8,3,3,0,35,0,0,0,4,0,0,9,12,13,3,12,0,0,41,14,7,3,6,3,0,33,28,18,10,3,3,4,64,41,28,24,10,5,0,107,46,44,25,20,13,0,144,68,59,29,23,23,0,215,71,89,27,22,7,0,211,89,136,24,30,22,3,304,52,104,21,20,9,3,216,105,161,36,22,12,0,341,46,88,11,13,4,0,157,34,70,15,9,0,0,125,66,146,29,11,6,0,260,80,138,31,5,6,0,264,20,39,10,0,4,0,70,11,19,3,0,0,0,36,30,40,6,6,6,0,85,834,1198,309,228,137,21,2727
SOS72,3,0,0,3,0,0,7,0,0,0,0,0,0,0,5,7,0,0,0,0,7,3,0,0,0,0,0,5,3,4,0,0,0,0,11,6,4,3,0,0,0,13,3,12,3,0,0,0,15,10,5,0,0,0,0,21,17,3,5,3,0,0,32,16,9,3,3,0,0,31,10,6,0,5,0,0,20,16,10,0,8,0,0,31,3,3,0,0,0,0,8,5,5,3,3,0,0,17,10,14,3,5,0,0,35,20,21,9,0,0,0,49,11,11,3,0,0,0,24,7,8,4,0,0,0,14,7,7,7,0,0,0,14,141,123,53,29,9,0,353
SOS73,29,22,7,11,3,0,64,12,3,3,0,0,0,22,14,8,11,0,4,0,36,12,9,3,4,3,5,33,28,11,17,7,12,0,65,30,37,12,4,4,0,91,36,34,19,8,8,0,108,53,56,18,17,17,0,164,40,56,26,14,7,0,138,54,55,18,12,10,3,163,44,51,12,7,3,4,124,91,107,50,20,16,0,282,29,66,12,13,3,0,117,30,54,16,11,4,0,111,102,160,40,19,8,3,325,205,326,75,28,15,0,650,58,120,32,10,6,0,219,48,53,13,3,4,0,124,54,55,32,11,5,0,161,955,1274,416,185,133,24,2991
