SOS_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
SOS51,159,216,484,518,534,368,95,32,6,2415,4798,6100,15853,16839,17143,11603,2190,216,33,74778,180,361,963,765,806,732,401,112,12,4335,137,915,4693,4715,3799,1928,223,10,4,16425,454,849,2259,2210,1897,1307,237,28,5,9240,23,111,494,579,640,463,63,0,0,2375,629,1517,3829,3537,3161,2110,388,33,4,15210,147,311,720,801,796,469,118,15,0,3379,2899,1915,3142,2859,3169,2221,459,40,4,16705,2417,1373,2478,1856,1699,1156,281,35,0,11290,126,435,1422,1689,2211,1776,522,46,5,8222,104,145,235,200,199,150,25,10,3,1067,48,162,553,470,514,264,53,11,0,2070,89,284,534,577,601,425,172,29,0,2708,127,351,1169,1242,1203,876,242,29,3,5242,165,406,1084,1194,1286,942,242,21,4,5338,157,507,1879,2402,2530,1755,306,26,3,9572,160,580,2461,3724,3787,2642,490,42,6,13896,354,1105,3466,3928,4345,3801,736,49,8,17789,155,160,382,375,380,298,92,13,0,1865
SOS52,28,36,79,76,110,76,34,18,0,463,496,819,2112,2227,2876,2198,514,70,4,11319,79,161,413,324,388,339,219,68,11,2011,19,78,543,636,657,398,62,7,0,2401,68,111,274,294,338,219,51,5,0,1361,0,13,58,73,72,69,8,0,0,296,89,166,389,415,520,379,68,9,0,2032,25,64,131,122,142,116,21,0,3,624,215,158,300,315,447,340,94,10,0,1882,197,167,302,248,296,237,82,8,0,1549,7,43,161,245,346,325,130,11,0,1269,3,6,17,12,24,21,8,0,0,99,11,15,60,62,70,50,3,0,0,268,3,9,42,48,55,43,19,0,0,221,10,37,121,135,151,122,43,10,0,627,22,49,123,138,205,156,40,6,0,744,49,84,357,469,560,548,122,0,0,2187,40,168,468,521,634,507,95,5,0,2438,35,134,397,404,614,610,147,16,0,2355,14,27,56,61,79,65,15,8,0,329
SOS53,64,83,165,247,327,252,90,32,6,1272,1615,2049,4737,6517,8862,6874,1903,292,36,32888,349,738,2144,2842,3752,3683,2282,669,88,16547,56,446,2774,2419,2436,1148,128,8,0,9415,229,254,590,785,1029,748,218,25,3,3885,11,34,98,171,239,182,40,4,0,778,307,599,1779,1889,2200,1454,298,24,6,8550,67,99,238,273,425,300,79,10,0,1490,798,504,531,736,1083,792,203,19,0,4662,645,370,563,516,682,535,168,17,0,3511,42,135,295,572,946,840,254,17,4,3111,23,19,58,63,80,61,12,3,0,324,11,43,128,185,235,131,26,7,0,771,17,68,113,172,259,206,95,8,0,937,52,160,567,815,857,632,195,19,3,3302,63,117,331,404,602,485,123,8,4,2143,90,288,556,734,1118,834,161,12,0,3795,105,206,631,1231,1722,1377,269,13,4,5559,112,307,629,950,1501,1411,287,20,0,5219,82,92,125,170,219,219,54,9,0,971
SOS57,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,17,0,5,10,3,0,0,0,0,0,21,0,0,38,39,28,14,0,0,0,119,0,0,4,0,0,0,0,0,0,11,0,0,3,3,4,0,0,0,0,10,0,0,5,8,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,11,0,3,7,15,18,5,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,3,0,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SOS59,3,4,13,3,5,9,0,0,0,36,18,101,221,94,91,113,9,0,0,648,0,25,53,14,6,21,3,0,0,129,0,13,88,49,53,27,0,0,0,233,0,4,25,16,5,4,0,0,0,60,0,0,5,3,5,3,0,0,0,17,0,15,71,49,37,21,3,0,0,206,0,0,9,6,3,3,0,0,0,26,3,25,28,19,13,17,3,0,0,102,9,42,83,17,28,33,5,0,0,219,0,4,27,29,22,28,4,0,0,115,0,3,3,4,3,0,0,0,0,15,0,0,3,7,3,0,0,0,0,11,0,0,6,4,9,0,0,0,0,18,0,4,38,23,13,18,3,0,0,90,0,11,37,17,25,13,3,0,0,102,0,7,18,3,7,11,3,0,0,51,0,9,16,17,8,16,4,0,0,67,0,9,27,19,22,16,3,0,0,101,0,6,16,3,3,0,0,0,0,32
SOS60,62,83,163,163,172,133,51,25,10,865,2222,3731,8260,8466,8859,6534,1222,117,21,39433,23,94,241,238,246,178,47,13,0,1063,3,7,24,55,62,33,7,0,0,195,183,344,751,783,916,674,121,16,0,3795,4,56,355,451,416,220,28,0,0,1518,187,542,1314,1127,1068,803,163,11,4,5220,60,93,289,285,358,255,58,9,0,1414,1189,1512,1807,1433,1325,1002,269,27,5,8573,1461,1445,1561,853,681,447,112,9,0,6570,34,158,467,533,710,604,158,11,0,2681,67,163,426,333,319,216,30,3,0,1553,26,117,576,568,463,302,68,8,3,2119,9,89,184,196,215,195,90,20,3,994,69,252,1184,1206,1097,789,251,30,3,4876,49,192,503,495,462,439,97,20,0,2259,62,311,1612,2289,2551,1551,216,8,3,8607,100,385,1556,1941,2112,1766,318,22,3,8198,149,845,2459,2488,2952,2491,474,37,6,11897,158,214,419,394,348,258,65,17,0,1868
SOS61,70,73,174,191,216,173,85,19,5,1014,2673,3747,7471,8044,9628,6976,1225,101,20,39882,98,258,615,537,580,403,123,39,5,2645,6,35,262,283,228,187,25,0,0,1022,303,653,1250,1444,1753,1118,140,20,4,6682,3,55,241,270,304,222,18,0,0,1103,290,815,1572,1198,1275,952,163,17,3,6286,82,169,419,489,552,419,74,8,3,2209,1499,1404,1912,1708,1904,1310,285,35,3,10045,1636,1122,1133,828,845,581,143,5,4,6288,50,220,585,777,1090,933,280,24,0,3958,32,84,200,176,193,148,20,6,0,859,34,141,406,407,376,235,40,5,0,1652,35,105,201,193,257,187,61,10,0,1048,64,260,748,682,618,479,174,22,0,3059,60,213,492,523,641,467,115,19,0,2529,35,195,859,1157,1357,1011,128,7,0,4746,73,292,1222,1765,2024,1565,285,21,0,7254,166,879,2227,2288,3253,2865,450,30,3,12165,129,146,195,190,231,183,58,3,0,1129
SOS62,13,11,24,35,43,27,11,7,3,176,310,410,935,1225,1500,1256,255,20,5,5921,43,89,189,191,218,173,62,18,4,984,3,27,84,82,106,69,10,0,0,388,55,85,172,185,225,163,29,3,0,928,6,11,37,29,57,53,6,0,0,193,41,86,202,190,258,214,45,0,0,1035,9,20,41,62,61,50,11,0,0,251,155,114,168,228,264,198,59,13,0,1195,155,114,182,184,205,175,56,5,0,1075,6,23,64,92,130,159,44,5,0,514,0,6,19,23,21,34,3,0,0,111,0,14,40,43,37,40,4,0,0,186,3,11,19,19,25,39,15,0,0,133,13,24,88,111,111,105,40,6,0,488,10,17,56,81,117,105,13,0,0,402,3,27,109,214,223,206,29,0,0,828,6,28,152,268,308,271,43,0,0,1080,22,80,200,258,403,395,81,7,0,1451,15,15,21,34,42,57,13,5,0,202
SOS63,40,41,84,126,159,126,54,17,3,646,1200,1270,2861,4246,5752,4370,906,127,18,20753,213,416,931,1185,1479,1439,744,250,23,6673,3,20,107,149,186,116,21,0,3,608,169,254,480,712,970,698,127,15,3,3423,8,24,90,169,225,156,26,0,0,688,188,319,657,772,1000,781,148,4,0,3871,44,61,151,203,271,193,36,4,0,964,641,418,479,641,827,612,124,17,4,3759,578,308,342,392,450,377,130,14,3,2588,15,62,223,362,612,538,127,13,3,1965,15,22,67,59,103,104,18,3,0,394,10,28,118,140,148,109,22,0,0,579,11,33,57,88,136,137,29,4,0,492,28,79,239,405,470,392,148,10,4,1782,29,67,150,257,354,265,72,9,3,1198,20,86,350,659,936,613,100,3,0,2762,32,90,405,848,1077,912,173,5,3,3552,66,211,616,953,1623,1423,226,8,4,5140,75,63,115,154,178,173,45,7,0,806
SOS67,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,3,0,0,0,0,0,7,9,3,26,27,21,12,0,0,0,98,0,3,4,0,0,0,0,0,0,13,0,0,3,3,0,0,0,0,0,3,0,3,11,6,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,5,6,10,4,0,0,0,0,22,4,6,9,3,0,0,0,0,0,26,0,0,3,0,3,0,0,0,0,20,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,3,3,4,3,0,0,0,7,0,0,3,0,3,0,0,0,0,6,0,0,0,3,7,3,0,0,0,13,0,0,5,3,3,0,0,0,0,9,0,0,5,6,6,6,0,0,0,30,0,0,5,0,0,0,0,0,0,7
SOS70,62,91,236,197,172,103,36,7,3,907,1334,2725,8091,6394,5469,3396,695,44,9,28155,17,40,86,60,95,60,19,6,0,390,5,62,373,327,254,137,20,0,0,1180,90,142,438,417,356,203,41,4,0,1687,11,60,254,330,240,156,32,0,0,1079,132,519,2334,1684,1232,756,167,9,3,6839,34,108,336,264,272,153,30,0,0,1196,708,679,1143,810,688,481,122,16,3,4648,685,714,1343,735,528,279,62,11,0,4358,51,204,725,607,685,468,124,9,0,2878,44,78,215,144,128,75,20,0,0,700,9,69,288,205,165,88,16,0,0,853,21,107,310,217,205,126,58,14,3,1055,70,243,1382,1058,724,496,125,9,0,4109,44,154,505,457,415,264,53,6,0,1894,188,1496,3474,2787,2385,1403,252,8,0,11994,89,282,1095,1272,1159,872,192,9,0,4974,111,412,1974,1483,1142,854,194,13,0,6185,123,156,379,247,208,143,32,4,0,1296
SOS71,27,31,97,66,74,47,14,4,0,364,424,722,2434,2105,2168,1487,289,27,0,9649,14,38,52,37,33,33,7,6,0,210,3,18,83,107,111,39,5,0,0,371,18,35,60,66,65,34,8,0,0,295,3,20,56,59,68,65,3,0,0,269,57,146,365,240,237,181,50,5,0,1278,10,19,54,27,45,47,11,0,0,212,231,172,339,276,249,206,54,3,0,1523,203,144,315,174,189,124,33,4,0,1189,17,56,186,139,168,134,37,3,0,734,16,11,42,34,25,40,9,0,0,181,4,14,50,28,20,7,3,0,0,130,13,21,43,54,47,44,10,3,0,225,14,38,193,187,187,165,45,3,0,823,23,59,131,96,138,78,25,4,0,550,32,164,831,821,857,570,103,3,0,3381,49,109,550,508,545,460,84,11,0,2312,59,200,904,861,776,541,119,3,0,3474,35,30,87,76,81,57,15,0,0,383
SOS72,15,23,33,41,31,18,7,0,0,165,105,275,891,748,767,498,91,7,3,3386,10,13,37,21,28,19,10,3,0,138,7,24,112,146,109,68,5,0,0,468,6,3,11,11,32,13,3,0,0,84,0,3,8,10,18,17,4,0,0,59,10,25,62,59,65,40,19,0,0,277,0,0,11,7,10,3,0,0,0,34,31,47,116,80,95,67,11,0,0,445,42,122,233,94,85,70,15,0,0,654,5,16,60,49,47,28,18,0,0,226,0,3,3,8,9,6,0,0,0,37,0,0,10,8,8,6,0,0,0,28,0,0,11,7,18,7,3,0,0,47,3,9,36,30,27,23,7,0,0,135,4,28,67,57,51,35,15,0,0,256,21,68,280,275,286,182,30,0,0,1144,13,55,261,226,232,211,37,3,0,1039,7,54,175,183,193,135,23,0,0,767,10,19,50,57,44,25,10,0,0,214
SOS73,13,29,60,59,65,38,13,5,0,268,307,485,1203,1400,1571,924,226,23,3,6148,89,210,287,206,249,163,72,18,0,1297,10,23,122,133,146,55,14,0,0,495,19,31,64,92,104,47,7,0,0,371,4,10,41,54,64,40,3,0,0,216,56,130,430,503,469,248,67,3,0,1909,13,25,58,65,65,47,10,3,0,291,134,85,113,142,177,136,33,3,0,816,111,61,140,91,109,102,34,4,0,657,13,43,92,130,204,131,39,3,0,655,4,8,16,20,17,19,0,0,0,87,0,11,20,22,22,16,3,0,0,98,3,11,25,38,32,34,7,0,0,159,18,42,105,134,143,88,19,4,0,565,8,30,71,100,101,60,22,0,0,397,30,151,459,464,540,322,45,0,0,2021,32,47,197,282,334,226,55,3,0,1179,23,66,161,191,226,178,46,4,0,901,19,30,45,50,57,29,15,3,0,248
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,5,0,0,3,0,0,0,11,8,34,80,39,39,46,0,0,0,252,0,11,13,4,9,9,5,0,0,51,0,0,4,5,6,0,0,0,0,14,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,7,21,17,18,3,0,0,0,63,0,0,0,0,0,0,0,0,0,6,0,7,11,9,10,7,0,0,0,40,0,11,42,9,12,13,0,0,0,86,0,0,7,3,6,7,0,0,0,25,0,0,3,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,13,7,7,0,0,0,0,29,0,0,4,5,3,11,0,0,0,26,9,18,6,11,9,14,0,0,0,60,0,3,11,4,9,0,3,0,0,33,0,3,19,8,11,10,0,0,0,47,0,0,4,8,3,0,0,0,0,12
SOS80,143,251,523,453,386,221,89,20,17,2106,5717,10397,25840,23249,20713,12011,2384,205,31,100550,15,63,101,94,87,94,63,25,10,549,0,4,32,26,33,19,0,0,0,115,258,347,749,737,698,401,147,24,0,3363,20,95,400,403,304,177,33,3,0,1440,468,1541,3558,2672,2067,1268,325,37,4,11933,69,197,476,488,485,241,73,10,0,2037,2672,3222,3248,2025,1746,1201,397,38,7,14565,3669,3266,2970,1584,1090,627,151,11,3,13364,81,298,973,1086,1120,887,229,19,0,4688,148,342,951,940,739,392,96,5,3,3625,28,263,976,809,596,364,106,20,5,3158,76,316,686,572,487,331,147,25,0,2648,202,1606,5471,5032,3822,2327,698,70,4,19229,136,454,1382,1207,1052,739,213,27,3,5213,534,3239,16722,17767,15968,7750,1085,55,4,63125,694,1556,4377,4728,4344,3046,762,65,6,19574,514,2085,5698,4716,4356,3166,675,55,6,21261,469,575,807,622,550,373,135,13,0,3551
SOS82,0,0,0,0,0,0,0,0,0,0,12,5,6,14,16,12,3,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,4,0,0,0,10,0,4,0,0,24,0,0,0,0,0,3,0,0,0,3,0,0,0,10,8,3,0,0,0,22,0,0,0,5,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,4
SOS83,3,0,3,0,0,0,0,0,0,3,10,11,40,54,38,21,8,0,0,193,0,0,0,3,11,12,7,6,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,7,0,0,0,0,0,7,8,3,16,10,14,3,0,0,0,52,0,0,0,0,0,0,0,0,0,3,3,0,3,3,5,0,0,0,0,18,3,3,4,0,3,4,0,0,0,16,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,6,0,0,0,3,0,0,0,0,0,5,0,0,9,15,6,5,4,0,0,37,0,0,5,3,4,0,0,0,0,6,0,3,17,30,20,10,0,0,0,90,0,0,11,15,14,8,0,0,0,53,0,3,9,9,3,3,0,0,0,26,0,10,6,3,0,5,4,0,0,25
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,4,0,0,0,3,4,19,27,22,13,18,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,3,0,0,0,19,3,10,3,0,3,0,0,0,0,11,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,0,5,0,3,4,0,0,0,6,3,11,17,12,5,11,3,0,0,56,0,4,8,3,0,3,0,0,0,15,0,0,4,9,6,0,0,0,0,23,0,3,0,0,0,0,0,0,0,8
SOS91,0,0,0,3,0,3,0,0,0,7,6,21,65,64,82,63,14,0,0,321,0,0,0,0,4,5,0,0,0,5,0,9,19,31,32,34,29,0,0,148,0,0,0,0,3,0,0,0,0,5,0,3,3,4,6,0,0,0,0,23,0,9,5,10,18,13,6,0,0,51,0,0,3,3,0,0,0,0,0,11,0,0,5,3,9,3,3,0,0,29,0,0,13,3,3,3,3,0,0,33,0,6,17,10,7,8,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,4,0,0,3,3,6,3,0,0,0,12,0,0,0,4,11,8,0,0,0,28,3,12,49,48,59,47,19,0,0,225,0,4,9,22,14,13,4,0,0,64,0,4,8,8,7,15,3,0,0,37,0,3,5,6,5,7,0,0,0,30
SOS92,0,0,4,3,6,3,3,0,0,15,18,17,61,74,76,72,32,4,0,358,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,3,0,0,0,17,0,0,0,5,5,3,3,0,0,14,0,0,3,14,16,14,3,0,0,45,0,0,0,0,0,0,0,0,0,3,6,0,13,12,18,23,13,3,0,79,8,6,16,39,36,13,13,5,0,135,0,3,9,6,9,4,0,0,0,37,0,0,0,3,0,6,0,0,0,10,0,0,0,4,0,0,0,0,0,8,0,0,0,6,3,4,0,0,0,14,0,0,0,7,0,0,3,0,0,12,0,0,8,11,7,16,5,0,0,47,3,20,38,22,31,17,3,0,0,144,4,0,17,9,13,11,3,0,0,63,0,0,4,6,6,12,3,0,0,34,0,0,3,4,3,3,0,0,0,13
SOS93,0,0,0,3,5,0,0,0,0,14,11,5,32,65,76,63,35,6,0,300,0,0,3,0,3,3,6,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,9,0,0,0,19,0,0,0,0,0,3,0,0,0,10,0,0,4,5,13,11,0,0,0,45,0,0,0,0,0,6,0,0,0,8,10,5,4,16,21,14,16,9,0,79,4,3,15,14,12,21,9,0,4,88,0,0,6,3,3,7,0,0,0,24,0,0,0,3,0,3,0,0,0,8,0,0,0,0,3,3,0,0,0,5,0,0,0,3,3,4,3,0,0,14,0,0,3,13,3,0,0,0,0,18,3,0,6,14,11,5,5,0,0,38,0,0,4,9,27,11,3,0,0,63,0,0,4,13,5,7,5,0,0,33,0,0,0,9,9,11,10,0,0,36,3,0,7,3,0,9,0,3,0,23
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
