SOS_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SOS10,51302,120323,327548,308757,266285,180877,48126,5989,775,1309975,72,233,525,619,780,525,212,43,8,3030,6,59,433,422,315,136,22,5,0,1395,1282,2551,9099,10965,11552,7126,1141,100,16,43842,28,189,1084,1429,1187,574,65,0,0,4566,416,1856,6779,7309,6257,3374,706,77,6,26784,426,2058,8392,8907,7494,4185,805,59,15,32342,15896,22832,28545,22023,21768,13990,3044,262,26,128373,20577,17297,19435,10832,10038,6109,1072,96,23,85474,399,1921,6619,7249,7524,4459,694,34,3,28908,852,2550,8556,7135,4449,2036,413,40,3,26032,512,4690,23014,21996,14865,6714,1045,91,34,72959,616,2397,6322,5320,4448,2544,814,135,17,22605,1296,9720,33160,26695,19134,10326,2869,246,28,103475,649,3898,12135,10585,10161,6548,1490,131,7,45604,507,3065,15012,17866,16628,10012,1560,92,10,64745,3448,10518,31395,32278,33633,25362,5125,386,30,142183,3835,18898,55456,50042,53083,40102,8784,557,44,230800,1792,2879,4716,3828,3009,1722,528,74,15,18557,1985,4603,10814,9374,8356,5016,1156,112,10,41432
SOS11,17243,26873,60677,60636,63398,52735,14158,1978,303,298008,146,363,803,694,805,610,358,109,19,3905,21,155,614,447,339,114,21,0,4,1705,714,843,1981,2045,2298,1458,258,23,4,9625,14,62,216,356,443,209,25,0,0,1326,108,331,1185,1301,1454,974,206,25,3,5577,154,274,648,671,835,542,116,16,0,3262,6101,4909,7139,6723,7633,5633,1138,86,20,39381,7087,4717,5372,4242,4614,3440,745,53,4,30259,85,276,693,1000,1340,1102,311,27,0,4838,160,276,503,490,459,299,76,7,0,2265,119,522,1614,1517,1630,904,154,17,4,6464,169,532,965,978,1047,774,239,26,3,4738,236,883,2768,3146,2829,1995,555,49,5,12457,221,647,1921,2400,3038,2253,523,52,6,11056,154,732,3534,4794,4818,2983,438,26,3,17486,525,2116,7149,9011,9934,7971,1276,97,14,38102,1214,4992,12955,13831,17656,15630,2464,115,20,68886,327,429,620,670,710,453,152,15,3,3391,557,1263,2351,2240,2140,1406,383,39,9,10377
SOS12,1753,2330,4828,6157,7537,6544,1778,274,39,31237,17,48,92,109,132,129,77,19,6,625,0,9,33,34,42,19,0,0,0,133,82,62,128,204,244,182,31,5,0,932,0,0,20,40,34,26,8,0,0,124,16,21,119,221,175,105,22,3,0,684,11,20,65,84,116,63,18,4,0,388,544,341,521,641,847,617,111,11,4,3633,720,412,479,458,568,382,105,5,0,3119,23,27,69,149,201,177,51,10,0,704,17,14,29,50,62,38,8,3,0,228,7,45,123,144,148,110,13,0,0,583,20,41,75,100,116,75,27,5,0,449,22,84,247,369,334,255,62,5,0,1381,15,45,131,245,360,255,64,6,0,1122,17,60,295,463,505,341,55,0,0,1733,48,172,596,976,1204,913,156,14,0,4084,97,349,862,1274,1838,1779,252,12,0,6468,32,40,60,80,87,54,22,0,0,375,52,95,173,200,241,146,42,0,0,951
SOS13,7592,9664,17839,24392,33329,29754,11860,2840,477,137742,308,509,1237,1907,3036,3403,2662,810,113,13996,7,44,175,181,157,45,16,4,0,629,274,258,511,829,1070,677,174,21,3,3830,4,26,82,155,164,74,11,0,0,516,65,170,533,1037,1031,668,164,18,3,3696,59,121,281,444,550,337,105,10,3,1908,2015,1313,1486,1983,2747,2088,431,43,3,12108,2357,1132,951,1070,1406,1064,235,17,5,8234,48,111,256,507,728,616,168,20,5,2462,55,97,125,177,249,179,44,4,0,927,38,163,462,580,660,396,61,8,0,2368,78,176,291,376,484,318,96,14,0,1835,162,414,1092,1575,1766,1251,372,32,7,6666,74,174,478,854,1288,838,247,40,4,4009,107,312,1036,1851,2171,1200,186,9,4,6880,253,623,2092,3676,4885,3748,676,42,8,16014,399,1196,2806,3989,6424,5829,952,53,8,21660,159,141,234,308,371,281,81,3,0,1578,275,411,647,824,972,615,163,20,3,3937
SOS17,0,3,9,11,20,10,6,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,4,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,6,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS19,63,284,637,441,319,228,61,3,5,2042,3,21,30,4,3,4,0,0,0,64,0,0,3,3,0,0,0,0,0,7,0,4,20,6,3,3,0,0,0,41,0,0,3,0,0,0,0,0,0,3,0,4,13,0,10,0,0,0,0,27,0,3,3,3,3,3,0,0,0,23,3,27,42,9,15,13,0,0,0,108,17,65,81,14,10,17,3,0,0,196,0,3,5,6,0,0,0,0,0,23,0,3,13,4,3,0,0,0,0,27,0,3,17,12,15,3,0,0,0,44,0,3,11,3,4,4,3,0,0,20,0,16,38,13,8,11,4,0,0,84,3,9,24,20,10,4,0,0,0,72,5,11,20,10,16,12,0,0,0,74,3,20,29,20,25,20,4,0,0,124,3,13,61,26,42,38,5,0,0,186,5,11,17,8,9,0,0,0,0,49,0,16,13,9,0,3,0,0,0,42
SOS20,39594,100287,278882,252288,218999,145737,39254,4793,718,1080552,84,305,809,811,903,544,189,43,10,3694,3,31,274,379,229,115,14,3,0,1048,2001,2887,9562,11398,12116,7098,1235,102,7,46407,37,373,2261,1951,1228,517,68,3,0,6445,228,1331,5171,5323,4943,2529,574,46,7,20160,449,2003,6653,7037,6574,3403,638,47,9,26809,14224,22769,26176,18836,19330,11837,2426,183,14,115797,16582,15661,15742,8229,7337,4090,719,74,8,68451,232,1609,5736,5920,5929,3309,513,29,7,23283,651,1651,5459,4506,3097,1453,255,14,5,17081,206,2729,14625,13077,9143,4141,747,58,22,44743,345,1878,5329,3933,3307,1861,579,74,22,17324,591,6492,26944,21650,15613,8122,2191,181,23,81802,420,3128,10112,8296,8183,5169,1194,109,11,36622,288,2149,11893,13692,13118,8022,1498,124,14,50793,2323,7764,28938,28610,30439,21343,3849,243,46,123549,1766,14224,50585,43890,44769,32592,6718,396,54,194990,1955,3222,5039,3783,3048,1633,515,46,17,19264,1061,3850,9381,7394,7067,3988,953,71,6,33778
SOS21,12861,21419,47782,47363,48559,39471,10189,1369,233,229245,102,267,569,619,599,497,260,83,10,3009,3,23,72,73,90,49,6,0,0,314,784,893,1820,1997,2278,1562,247,13,4,9589,17,76,321,357,352,176,11,0,0,1312,77,279,947,1086,1088,658,117,14,3,4266,103,245,604,641,737,456,78,3,0,2875,4515,4017,5196,4993,5918,4194,726,53,12,29633,5230,3375,3186,2660,2788,1923,412,25,14,19617,82,329,843,936,1244,919,182,20,3,4552,140,254,505,473,425,254,66,3,3,2131,50,437,1489,1539,1335,725,103,10,0,5689,88,308,673,656,656,393,101,12,5,2892,181,711,2244,2313,2072,1313,364,23,5,9227,112,480,1344,1636,1977,1413,340,47,11,7357,101,659,2749,3533,3758,2644,467,32,6,13954,403,1524,5791,6762,7404,5532,823,40,14,28293,650,3895,10962,10721,13212,11517,1740,84,28,52811,339,443,613,683,619,423,132,12,0,3268,375,1033,1866,1510,1510,1051,269,23,5,7643
SOS22,1047,1462,3408,4104,5069,4697,1285,189,36,21299,23,52,96,124,131,115,62,11,3,613,0,3,11,6,8,5,0,0,0,33,60,67,127,174,220,159,24,3,0,842,0,5,19,28,18,8,0,0,0,92,3,14,68,118,122,67,16,4,0,412,6,17,29,52,82,53,11,0,0,259,341,213,327,423,589,432,71,3,0,2413,354,224,271,302,341,286,73,7,0,1858,7,17,62,91,142,117,37,4,0,484,11,11,34,38,39,20,7,0,0,152,3,28,67,99,107,55,7,0,0,358,6,23,43,57,62,45,19,0,0,250,12,30,136,193,189,166,40,4,5,779,13,32,126,124,188,143,34,6,0,664,6,38,197,286,364,270,46,7,0,1217,35,127,415,577,751,599,79,7,4,2599,48,214,618,842,1272,1218,184,8,4,4411,23,36,68,76,81,71,15,5,0,365,27,76,130,141,121,67,24,3,0,590
SOS23,5774,7645,13626,18833,26225,24072,9145,2068,375,107756,256,409,1120,1727,2531,2901,2046,580,66,11647,3,6,35,55,50,39,7,0,0,198,347,285,461,825,1164,845,183,11,3,4138,4,20,109,146,159,97,14,0,0,554,44,106,357,629,757,470,91,11,3,2473,63,123,230,340,461,275,68,11,0,1566,1671,1057,1121,1416,2204,1530,311,25,7,9342,1803,898,596,772,1062,794,199,14,4,6146,37,100,253,408,639,430,118,9,6,1997,52,55,97,149,163,130,25,0,0,673,25,112,357,394,554,267,63,5,3,1782,36,110,227,228,270,199,59,3,3,1136,90,288,743,1168,1340,853,240,20,3,4738,65,152,337,577,844,695,159,14,7,2839,50,212,712,1231,1615,1015,170,4,4,5012,213,474,1421,2321,3369,2663,416,23,10,10897,234,1055,2507,3478,5532,4857,743,37,13,18450,170,201,232,308,333,246,85,7,0,1580,158,301,457,539,715,486,132,15,4,2804
