SOS_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOS31,3693,92,64,23,20,3889,2213,84,40,7,8,2356,2052,55,32,17,6,2160,3916,114,78,22,16,4137,5875,163,103,26,18,6187,16341,473,242,65,44,17165,18303,406,194,47,35,18985,20155,269,165,34,48,20674,8217,76,51,21,17,8383,4864,57,43,19,17,4996,2012,24,15,13,15,2084,3688,66,49,22,12,3846,91338,1893,1065,311,254,94860
SOS32,813,0,4,9,10,835,588,9,4,5,6,610,538,5,0,8,4,555,1068,4,9,20,12,1114,1291,12,7,9,8,1323,3118,25,11,13,24,3189,2693,21,0,17,15,2758,2708,17,3,11,15,2761,1194,4,0,5,6,1216,746,3,0,8,6,764,340,3,3,15,6,371,780,3,3,14,15,816,15880,106,47,135,137,16304
SOS33,3605,15,7,49,37,3718,1501,4,0,18,9,1541,1288,0,0,26,14,1326,2311,10,3,43,20,2387,3060,13,3,42,19,3131,7799,19,10,65,47,7944,7752,11,9,68,56,7896,9846,35,5,69,63,10021,5084,6,5,29,24,5152,4210,15,3,17,28,4267,2693,3,5,24,30,2756,3253,7,9,44,28,3339,52409,133,58,500,368,53469
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,6877,991,247,9,20,8143,4025,537,168,5,5,4744,3576,509,161,5,0,4247,6537,966,322,5,8,7832,8657,1267,502,6,13,10443,24841,3480,1501,29,56,29910,26857,3531,1112,25,78,31605,26633,3585,643,18,96,30983,10188,1288,191,16,33,11722,7720,927,125,5,29,8814,4744,563,93,8,15,5433,4443,502,143,8,14,5098,135098,18144,5217,145,376,158975
SOS41,1950,118,15,4,13,2104,1462,139,16,3,5,1630,1414,137,11,4,4,1581,2851,306,29,9,12,3212,3809,310,27,18,16,4174,8887,449,38,20,34,9420,7542,156,9,17,22,7748,5854,92,7,8,14,5984,1826,16,3,0,12,1863,1143,18,0,7,0,1172,591,14,0,3,10,619,1333,66,6,0,9,1412,38661,1838,167,95,147,40911
SOS42,415,7,0,3,8,433,468,3,0,3,0,478,423,3,0,6,4,427,762,6,3,9,3,782,845,3,0,4,6,858,1564,10,3,6,4,1594,1135,11,0,8,3,1165,819,0,0,7,4,834,298,0,0,3,4,303,169,0,0,7,0,177,72,0,0,6,0,78,312,0,0,6,3,320,7285,44,16,61,39,7455
SOS43,1521,0,0,15,9,1545,792,3,0,7,3,804,695,0,0,5,7,705,1233,0,0,14,13,1254,1522,0,0,5,10,1540,3323,4,0,20,21,3372,2607,4,3,10,14,2641,2683,4,0,10,21,2719,1106,3,0,7,4,1124,1007,6,0,7,3,1018,677,0,0,4,0,683,901,0,0,7,3,912,18066,22,14,110,117,18326
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
