SOS_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOS10,..,406318,406318,497162,55074,552239,297759,17687,315447,313431,7795,321222,137195,3041,140231,76968,2262,79236,1322517,492178,1814697
SOS11,..,163551,163551,184287,14358,198640,73981,2136,76113,66922,704,67620,30714,231,30948,14456,117,14571,370355,181086,551443
SOS12,..,14386,14386,19485,1264,20745,7376,95,7469,6988,19,7004,3440,13,3448,1697,3,1702,38985,15775,54761
SOS13,..,36523,36523,67003,3674,70675,25512,403,25914,26873,75,26952,14913,42,14957,8370,25,8392,142669,40739,183411
SOS17,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,..,364713,364713,431249,50694,481951,247208,17167,264371,260607,7210,267813,104183,2653,106831,50286,1676,51956,1093532,444111,1537642
SOS21,..,116429,116429,127640,9865,137506,54111,1669,55783,52151,584,52732,23163,221,23381,9650,132,9779,266717,128893,395606
SOS22,..,11383,11383,13325,888,14208,4691,53,4742,4456,19,4474,2055,10,2063,874,3,883,25400,12361,37758
SOS23,..,29303,29303,52589,2440,55029,19871,217,20086,21156,61,21217,10972,20,10990,5053,16,5071,109645,32059,141696
SOS27,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,..,265343,265343,349344,42610,391948,182041,12304,194350,178880,4482,183369,74238,1498,75736,38374,802,39177,822876,327046,1149922
SOS31,..,81193,81193,104623,8880,113504,43609,1390,44993,41108,421,41523,18754,131,18889,10393,90,10484,218484,92105,310591
SOS32,..,13954,13954,18630,1338,19974,6734,151,6883,6197,31,6232,2997,10,3006,2002,10,2017,36571,15502,52068
SOS33,..,28580,28580,53193,3218,56410,20823,378,21205,21031,90,21123,10614,20,10632,6268,29,6293,111931,32318,144249
SOS37,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,..,124747,124747,136596,12940,149534,67266,3574,70841,65219,1343,66563,23315,430,23742,10140,255,10397,302544,143295,445836
SOS41,..,36817,36817,42434,2465,44901,15701,312,16016,15062,97,15159,6251,32,6279,2508,34,2541,81957,39754,121711
SOS42,..,6419,6419,7676,387,8068,2450,33,2487,2333,3,2334,1050,3,1057,521,3,522,14031,6853,20886
SOS43,..,11139,11139,18997,829,19824,6855,69,6921,7266,17,7286,3646,6,3660,1521,7,1529,38283,12080,50362
SOS47,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,..,155518,155518,204176,18390,222566,107196,5372,112566,110941,2172,113110,43898,812,44705,19874,445,20316,486080,182704,668779
SOS51,..,32296,32296,40959,3079,44039,18380,626,19009,18661,189,18851,8172,59,8226,3878,44,3916,90043,36294,126344
SOS52,..,6612,6612,7520,484,7999,2824,64,2887,2649,17,2667,1367,7,1376,1070,3,1075,15428,7188,22615
SOS53,..,9778,9778,18531,787,19322,6756,107,6860,7420,26,7441,3665,3,3668,1953,15,1964,38326,10710,49039
SOS57,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,..,21078,21078,21773,2051,23826,9931,626,10565,8855,236,9092,3277,68,3354,1410,45,1457,45248,24109,69360
SOS61,..,25716,25716,26538,1909,28446,10772,328,11095,9296,108,9408,3654,44,3698,1617,18,1640,51882,28120,80004
SOS62,..,3658,3658,4598,276,4878,1510,19,1527,1429,10,1442,542,0,544,238,0,241,8323,3961,12287
SOS63,..,8063,8063,13972,682,14661,5042,46,5083,4897,9,4905,2133,4,2134,1070,0,1078,27112,8816,35932
SOS67,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,..,8007,8007,10752,1603,12352,6340,511,6851,5906,163,6066,2626,54,2677,1508,38,1548,27131,10379,37506
SOS71,..,3223,3223,3240,402,3647,1872,127,1999,1838,49,1893,952,10,956,1368,9,1372,9267,3824,13088
SOS72,..,1291,1291,1130,135,1262,605,26,633,646,10,662,496,4,499,1394,0,1396,4280,1465,5742
SOS73,..,1698,1698,2504,236,2736,1249,41,1283,1422,22,1445,748,3,758,799,0,798,6723,2000,8721
SOS77,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,..,35361,35361,42462,4359,46824,22428,1681,24116,23147,581,23733,8499,188,8687,3520,118,3634,100059,42291,142353
SOS82,..,19,19,33,0,36,13,0,13,11,0,11,11,0,11,3,0,3,78,24,99
SOS83,..,32,32,47,3,56,42,0,42,42,0,42,29,0,29,14,0,14,170,40,214
SOS87,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,..,95,95,128,6,129,62,0,63,59,0,59,32,0,32,20,0,20,299,101,399
SOS92,..,145,145,164,3,174,72,0,75,56,0,56,30,0,30,33,0,33,360,146,510
SOS93,..,132,132,169,6,174,65,0,65,44,0,44,35,0,35,13,0,13,318,132,454
SOS97,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
