SOS_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOS10,14044,19347,33396,5926,6633,12554,9383,23715,33099,8014,38200,46212,29021,67613,96638,29901,35574,65474,73775,31611,105394,64602,36750,101358,87990,40232,128223,88221,30504,118729,75528,27264,102791,77771,21807,99583,162269,36758,199021,120604,7058,127660,86164,4452,90619,69920,20647,90566,177744,7080,184828,125307,15881,141191,16318,21053,37369,1322517,492178,1814697
SOS11,2550,3593,6142,1776,2247,4025,2973,10210,13181,3343,18187,21536,12996,39748,52747,13404,18614,32018,38709,15410,54115,28453,15909,44363,35723,13656,49378,33826,8319,42139,24220,6046,30268,23737,4751,28488,41353,5874,47232,25608,843,26450,14874,414,15288,8952,2351,11304,15600,410,16009,34903,2921,37819,7360,11588,18947,370355,181086,551443
SOS12,256,357,615,218,225,444,340,1004,1342,331,1652,1984,1430,3617,5052,1403,1557,2959,4146,1217,5364,2892,1380,4269,3767,1132,4899,3447,701,4146,2430,536,2966,2458,409,2867,4167,465,4625,2602,54,2652,1534,14,1547,975,189,1164,1746,22,1768,4076,235,4319,775,995,1770,38985,15775,54761
SOS13,1399,1244,2640,923,773,1690,1068,2907,3971,867,3812,4680,4399,7671,12075,3725,3631,7352,10589,3471,14062,8850,3710,12560,11983,3234,15218,11419,2101,13525,8435,1437,9873,9041,1085,10120,15944,1536,17474,10987,157,11142,7156,79,7231,4830,899,5730,11775,89,11865,16615,730,17340,2674,2189,4860,142669,40739,183411
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,13777,21173,34951,5919,6758,12678,8993,21215,30214,7227,30730,37957,26184,57874,84054,26638,33559,60201,64106,30517,94620,59495,36541,96030,80190,40234,120424,79832,31033,110861,68344,26030,94376,69401,19486,88889,139956,29831,169783,99457,5801,105259,64475,3432,67906,48626,13793,62417,112657,3833,116492,101925,14449,116375,16330,17831,34159,1093532,444111,1537642
SOS21,1980,2661,4642,1320,1742,3069,2108,7430,9540,2398,12514,14909,9004,26455,35462,9470,13417,22890,25288,11027,36317,20103,11715,31820,25346,10536,35884,24370,6715,31086,18735,4815,23551,18330,3200,21526,31793,3778,35569,19445,690,20130,10465,255,10719,6067,1543,7612,10541,261,10799,24604,2017,26623,5347,8121,13469,266717,128893,395606
SOS22,203,334,542,146,172,321,213,837,1047,226,1223,1447,1014,2928,3942,923,1159,2078,2817,1026,3844,2031,1154,3184,2521,969,3491,2375,503,2877,1756,366,2125,1646,229,1875,2659,281,2944,1636,32,1669,820,12,830,466,156,615,788,22,807,2578,147,2726,575,819,1394,25400,12361,37758
SOS23,1238,1100,2337,874,635,1510,894,2094,2988,617,2953,3563,3332,5749,9077,2820,2935,5756,8244,2785,11027,7172,3054,10227,9694,2720,12415,9608,1729,11335,6757,1281,8030,7489,844,8331,12902,1056,13964,8321,124,8447,4948,54,5001,3136,624,3765,7029,65,7090,12394,413,12800,2181,1834,4011,109645,32059,141696
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,6932,8954,15887,3293,3678,6972,5114,13785,18894,4974,22172,27148,17772,48778,66544,21185,28957,50143,52230,25104,77331,47428,29094,76518,64543,30888,95433,65465,22437,87904,54344,18732,73075,55356,13389,68738,108729,19632,128366,75674,4459,80133,48808,2418,51223,34143,7673,41822,70372,2223,72596,76690,11591,88284,9819,13084,22902,822876,327046,1149922
SOS31,1634,2013,3651,1102,1163,2264,1673,5075,6748,1891,8463,10355,7306,19112,26426,7737,8948,16688,21755,7262,29015,15778,7715,23494,19103,7311,26414,18401,4742,23142,13827,3646,17477,13831,2648,16486,25414,4071,29484,15990,637,16624,9728,331,10061,6211,1461,7675,10663,403,11064,22539,1904,24440,3901,5202,9097,218484,92105,310591
SOS32,318,392,711,248,231,473,387,1081,1464,337,1537,1871,1521,3538,5057,1379,1358,2732,4139,1244,5383,2859,1316,4174,3403,1173,4575,3204,730,3930,2242,483,2724,2162,358,2518,3758,518,4273,2327,65,2393,1326,23,1353,752,202,954,1321,28,1345,4111,291,4401,793,943,1729,36571,15502,52068
SOS33,1359,1080,2439,859,627,1484,909,2278,3187,695,2748,3442,3706,6209,9912,3039,2764,5800,9244,2559,11808,7151,3046,10193,9584,2755,12337,9183,1666,10849,6661,1189,7850,7229,865,8091,12579,1098,13677,8449,172,8620,5111,64,5181,3326,592,3918,7062,104,7164,13468,587,14053,2325,1923,4250,111931,32318,144249
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,2630,4041,6669,1464,2015,3481,2375,8624,10999,2270,13049,15320,8576,25360,33939,9578,13348,22926,24379,11499,35880,21003,13184,34189,26976,13110,40079,25731,8387,34117,20366,6892,27253,19882,4806,24682,37504,5949,43451,25015,907,25926,15336,528,15863,9438,2344,11784,19181,417,19599,27276,3163,30435,3561,5683,9249,302544,143295,445836
SOS41,440,728,1166,435,515,949,682,2726,3404,781,4263,5045,3029,9027,12050,3042,4191,7226,9054,3287,12342,6464,3393,9855,7981,2948,10931,7202,1836,9036,5315,1347,6656,5290,965,6250,9174,1092,10269,5720,142,5864,3137,85,3224,1803,430,2230,3151,64,3215,7887,453,8337,1378,2263,3644,81957,39754,121711
SOS42,100,136,237,95,115,203,118,452,569,131,714,845,593,1653,2238,527,657,1182,1637,598,2238,1120,560,1683,1397,535,1932,1360,314,1673,910,212,1126,935,148,1088,1449,182,1635,824,27,850,463,5,469,233,75,312,398,5,410,1466,73,1544,266,392,663,14031,6853,20886
SOS43,351,372,723,259,228,485,299,884,1180,212,1101,1317,1227,2319,3547,1048,1081,2129,3093,1058,4150,2663,1192,3858,3540,1083,4623,3556,627,4179,2439,454,2896,2704,298,2997,4445,385,4829,2791,48,2837,1676,11,1689,998,227,1226,2152,15,2162,4225,149,4373,623,547,1165,38283,12080,50362
