SOS_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5
SOS29,37,27,36,12,3,0,259,42,101,52,30,25,11,0,0,264,19,51,21,11,4,0,0,0,101,25,35,23,13,8,0,0,0,101,3,0,0,0,0,0,0,0,3,4,7,3,6,8,3,0,0,27,139,200,151,89,76,40,13,11,711,348,640,356,230,211,95,23,16,1920,19,43,19,12,9,6,3,0,118,8,41,18,5,4,3,0,0,80,32,123,61,59,50,46,10,0,387,22,68,37,27,24,6,4,0,196,12,28,14,13,8,3,0,0,78,31,91,39,30,32,13,0,0,247,16,38,28,18,35,18,3,0,154,83,182,85,54,53,21,3,0,481,50,147,71,50,48,21,3,0,391,25,79,35,19,11,0,0,0,170,29,54,39,26,18,3,0,0,171,3,0,0,0,0,0,0,0,5,13,10,15,9,8,3,0,0,63,318,513,501,337,227,113,32,9,2040,650,1413,971,670
SOS30,45174,35358,21724,10414,3368,1302,185607,13978,30381,29125,23692,17109,8000,1795,436,124513,5712,10256,7404,4717,2631,1463,658,270,33117,10711,15188,11479,8857,5060,3404,947,351,55993,651,249,211,227,269,364,342,182,2488,657,1711,2159,1679,1129,612,233,124,8309,16645,18734,15382,14947,13217,12023,10642,9585,111177,87432,186976,171156,142854,103477,59959,27804,15486,795140,4150,10619,9511,7497,5359,3529,1166,337,42165,4981,12700,12952,7259,3436,1112,161,11,42612,14665,43957,42846,43467,37500,27735,13681,4085,227929,7428,22744,19931,17642,14379,9673,4738,1309,97845,2033,4925,5831,4495,3112,1722,683,193,22988,12402,38399,33887,31601,25065,13750,6168,2116,163383,4302,19821,25147,24698,22535,14103,5371,1399,117382,31099,77115,73665,59763,38591,20575,6711,2198,309700,21435,43864,41675,34170,25152,13219,3688,880,184081,10281,17112,11943,7563,4565,2647,1154,395,55667,15095,23241,18527,14173,8260,5561,1728,552,87127,1253,539,371,421,488,585,541,272,4476,1427,3770,4513,3917,2750,1621,721,318,19035,35219,40231,33787,32133,27160,23481,18542,14026,224571,165760,359031,334571,288816
SOS31,7889,6657,4588,2335,765,194,35424,2669,5450,5653,5282,4521,2006,394,64,26026,490,951,852,649,487,342,144,56,3973,2714,3872,3080,2238,1405,890,227,74,14486,102,60,54,62,82,99,113,51,628,115,253,343,304,225,119,81,17,1463,5139,4985,4511,4857,4852,4962,4280,2856,36450,19189,36674,34607,32091,26389,16898,8699,4113,178654,279,1088,1167,979,857,590,226,51,5233,680,1049,1077,693,503,260,38,3,4301,5386,14320,13480,13404,12027,9193,4497,1041,73342,1684,4506,4211,3989,4387,3122,1455,301,23667,799,1812,1957,1632,1173,646,322,78,8425,2032,6447,6061,6920,6459,3693,1689,514,33806,1324,5376,6531,6247,5382,3587,1408,343,30193,5373,11853,11161,9922,7274,3983,1325,345,51241,3670,6996,7309,6890,5956,3020,746,136,34714,839,1440,1233,993,819,609,247,78,6258,3787,5694,4763,3642,2410,1619,505,139,22556,217,128,98,111,155,199,195,80,1180,296,639,857,897,643,417,240,62,4055,11031,11511,10591,11105,10549,9891,7798,4392,76871,37408,72867,70494,67412
SOS32,1144,1125,878,406,89,23,5245,356,693,816,927,896,392,74,11,4162,59,122,165,155,99,77,27,3,700,340,441,420,412,258,191,27,8,2085,12,8,3,11,16,27,13,7,96,22,38,53,55,56,29,13,3,260,1035,722,817,983,1023,1037,600,224,6444,2872,4589,5329,5828,5445,3370,1275,343,29051,42,128,209,192,164,132,50,4,918,57,87,118,100,83,50,6,3,510,667,1664,1818,2298,2359,2048,714,115,11685,274,618,767,815,993,715,253,32,4474,182,357,443,419,365,178,64,18,2024,227,640,923,1148,1321,732,260,39,5283,217,746,962,1037,1132,661,208,36,5005,630,1334,1557,1588,1350,690,171,47,7359,478,883,1067,1211,1150,605,126,20,5540,106,173,242,246,182,132,53,7,1146,475,642,672,645,493,345,84,14,3371,26,11,17,11,24,37,32,9,170,47,85,121,165,147,86,39,6,693,2237,1763,1953,2271,2255,2294,1220,409,14395,5649,9126,10869,12145
SOS33,3887,3890,2783,1186,271,51,16495,1058,1778,2408,2770,2400,1006,153,25,11594,301,464,514,507,373,239,63,13,2479,1025,1325,1468,1300,739,445,68,24,6395,38,9,11,31,34,42,25,6,212,37,110,213,225,152,83,19,4,828,2534,1943,2630,3405,3193,2556,1181,374,17821,8110,13280,17924,20231,17111,9453,2932,708,89753,150,407,722,817,732,505,152,19,3502,233,286,436,438,329,135,21,3,1875,2367,5309,6881,8391,8031,5282,1689,290,38232,793,1943,2460,2854,2910,1868,615,79,13525,930,1614,2204,2227,1570,748,275,52,9618,754,2069,2977,4111,4123,2200,683,127,17043,365,1658,2890,3607,3782,2247,586,99,15240,1856,3930,5261,5625,4302,2101,499,93,23670,1418,2224,3074,3492,3173,1636,313,40,15369,467,652,706,743,627,433,110,29,3772,1371,1857,2133,2036,1328,863,155,29,9774,77,33,25,61,90,99,48,16,448,115,244,452,551,428,282,87,18,2165,5991,5306,6258,7760,7338,5923,2730,732,42021,16894,27514,36475,42701
SOS37,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,16,5,6,3,8,9,3,4,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9,0,3,23,10,11,12,8
SOS39,75,70,102,54,11,0,520,62,123,50,62,94,29,6,0,419,37,58,14,13,4,16,0,0,143,40,38,21,23,34,29,0,0,193,3,0,0,0,0,0,0,0,7,4,3,6,3,8,3,0,0,25,151,225,135,153,201,119,40,9,1035,452,785,391,435,655,377,77,11,3183,20,48,13,12,17,16,0,3,130,11,18,13,17,15,4,0,0,87,47,185,114,148,224,223,52,7,989,28,89,54,52,81,87,18,3,415,19,41,27,29,20,18,3,0,156,50,133,53,81,141,86,10,0,542,12,46,25,40,81,66,13,0,281,120,214,114,117,166,105,21,0,854,95,180,71,78,123,64,5,0,616,51,91,26,14,15,19,3,0,218,57,76,52,43,60,47,0,0,340,5,3,3,0,3,0,0,0,16,13,9,15,9,19,10,3,0,71,318,579,474,447,461,311,94,18,2696,839,1709,1058,1085
SOS40,14442,10872,7001,3433,1229,614,58125,4418,11323,10614,9359,7394,3690,927,269,47981,1267,2989,2231,1499,932,593,263,112,9890,2901,4866,3501,3038,1829,1327,441,179,18071,152,92,84,153,123,184,171,79,1034,192,766,839,560,384,255,120,78,3199,4398,4896,4077,4262,4233,4512,4385,3644,34402,24793,64173,56054,47967,39266,24246,11778,6823,275092,1374,4449,4081,3159,2562,1672,628,194,18123,1219,4972,4523,2494,1428,438,65,10,15151,4809,15098,14596,15807,13698,10995,6181,2263,83435,2886,6371,4571,4608,3993,2900,1737,570,27630,793,2085,1867,1552,1046,548,222,87,8212,4208,15108,12541,11836,11105,5830,2591,1138,64361,1451,7005,7092,6977,8909,6732,2178,828,41182,7728,25728,24667,19314,13508,7626,2780,1121,102464,6382,16443,15297,13541,11115,6242,1775,538,71325,2393,5361,3905,2575,1778,1090,437,158,17693,4116,7625,5640,4771,2984,2086,743,263,28229,293,161,156,222,199,266,268,118,1677,426,1522,1660,1283,984,658,323,172,7035,9224,10630,9137,9385,8702,8306,7474,5478,68330,47305,122567,109726,97530
SOS41,2875,2398,1659,909,335,127,12079,1064,2146,2295,2555,1976,999,220,45,11301,173,375,332,275,204,128,61,37,1586,863,1265,989,741,461,398,136,34,4890,24,29,34,30,30,51,58,31,295,33,76,108,117,65,55,18,13,484,1472,1236,1192,1504,1646,1898,1800,1339,12083,5980,11988,12098,12012,10741,7665,3864,2083,66431,104,448,589,499,420,346,104,31,2529,167,392,377,283,201,109,15,6,1558,1529,3769,3775,4408,4150,3609,1928,599,23771,633,1316,1029,1085,1117,949,528,150,6805,354,833,914,765,607,382,161,72,4086,683,2165,2287,2885,3162,1805,777,275,14036,448,1928,1954,1748,2324,2005,622,187,11215,1439,3763,4240,3898,2930,1878,675,206,19027,1376,2839,3045,3329,2758,1577,406,88,15414,307,586,524,470,357,247,114,50,2657,1191,1919,1639,1237,810,663,237,67,7756,43,60,48,53,58,85,87,49,484,96,204,254,315,183,191,77,47,1358,3182,2950,2861,3327,3424,3619,3197,2067,24633,11555,23162,23535,24300
SOS42,377,369,292,133,42,11,1708,132,322,341,398,370,179,17,3,1771,17,47,53,39,40,22,15,5,237,112,194,172,111,95,71,9,4,764,3,3,6,3,3,6,4,3,32,3,4,18,19,14,6,3,3,76,281,223,232,305,338,356,254,232,2225,856,1815,1913,2082,2074,1321,571,345,10974,12,61,59,71,61,35,13,6,326,21,34,51,35,27,9,3,0,182,251,657,674,786,865,725,274,72,4307,76,220,169,237,258,181,75,21,1240,73,196,222,186,155,100,38,14,986,99,324,355,534,615,317,127,36,2407,77,321,318,297,432,333,117,36,1921,163,476,532,538,487,271,88,24,2584,171,409,420,502,501,278,44,8,2330,30,69,78,75,71,44,18,14,401,147,275,260,196,173,119,31,8,1215,4,4,6,7,8,15,9,12,58,9,24,41,56,46,38,9,3,229,578,475,511,662,736,752,497,353,4573,1716,3536,3706,4191
SOS43,1269,1320,829,391,83,20,5121,362,622,869,1067,938,410,72,9,4342,79,137,170,144,125,70,21,8,754,262,383,419,413,282,153,27,4,1949,9,3,10,14,9,16,7,3,72,14,31,59,78,44,34,17,3,288,738,472,634,921,1039,730,343,120,4999,2391,4193,5744,6732,6310,3375,925,236,29900,71,205,306,329,338,240,49,14,1545,58,90,108,120,109,41,4,0,536,674,1502,1884,2471,2449,1679,559,96,11311,277,453,496,665,683,440,157,38,3219,447,909,1267,1217,798,399,83,17,5144,305,769,1038,1571,1892,826,203,47,6652,133,543,850,931,1404,984,189,42,5079,411,1148,1752,1982,1460,777,170,46,7748,464,787,1073,1340,1290,653,131,19,5763,116,202,223,218,233,136,34,10,1179,341,547,614,654,489,267,59,8,2983,14,11,11,23,18,28,16,8,126,30,67,125,168,126,88,41,8,656,1734,1342,1665,2214,2331,1728,727,217,11955,5090,8567,11428,13905
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,10,15,18,11,0,0,98,9,21,12,21,12,8,0,0,80,3,4,3,3,0,3,0,0,22,5,10,4,10,3,3,0,0,38,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,5,31,41,41,51,25,15,10,0,211,72,153,92,129,92,47,10,4,604,3,13,3,9,3,3,0,0,32,0,5,3,0,0,0,0,0,11,22,61,33,28,42,36,10,5,229,3,22,11,13,10,13,3,0,83,3,10,7,9,3,8,0,0,40,4,25,17,25,18,3,0,0,92,0,11,7,11,12,13,0,0,51,16,60,14,25,28,16,0,3,167,16,36,16,28,19,15,0,0,130,8,14,9,8,0,5,0,0,43,15,20,14,6,9,3,0,0,66,0,0,0,0,4,0,0,0,10,3,0,3,10,0,0,0,0,18,87,112,127,152,89,49,12,3,630,185,393,264,317
SOS50,25322,19163,11765,6431,2658,986,102683,6225,17195,15606,12500,9498,4631,1261,322,67239,2798,5783,3937,2461,1392,930,414,146,17861,4848,9137,6256,5006,2906,1842,557,238,30783,253,167,140,126,166,224,195,66,1338,431,1215,1105,926,618,319,178,52,4853,8370,11417,8692,7988,7230,6768,6742,5773,62983,44109,114457,98232,80524,58930,34761,18196,9571,458776,3314,8852,7823,6201,4236,2508,770,248,33953,2292,7835,7366,4035,1908,578,84,7,24100,11544,36218,33551,31028,25315,16853,8060,2188,164748,4865,13360,9755,8930,6828,4708,2680,686,51813,1082,3417,3352,2535,1655,1007,445,124,13620,6825,23205,19156,17440,13970,8023,3801,1236,93657,2989,11961,14026,14745,13772,7795,3270,916,69472,13352,44496,41235,33020,21310,12460,4792,1549,172217,9265,24349,21828,17764,13969,7515,2251,593,97535,4902,9399,6361,3995,2559,1575,667,222,29683,6356,14040,9939,7980,4798,2962,1011,348,47436,542,321,278,254,294,356,318,111,2481,789,2415,2341,2170,1470,830,454,165,10626,17768,25409,19823,17953,15148,13073,11610,8348,129134,85882,225270,196818,168056
SOS51,3488,2762,1781,893,343,106,14833,1026,2360,2377,2018,1627,702,144,32,10283,244,558,493,333,236,156,78,26,2120,947,1809,1331,917,523,338,83,31,5982,57,43,23,33,30,41,46,12,285,47,148,157,152,88,50,14,3,667,2374,2716,2418,2515,2239,1921,1615,1023,16817,8064,17638,16785,14093,11144,6531,3400,1545,79210,191,839,888,564,399,239,79,14,3207,281,507,459,246,143,57,13,0,1708,2661,7375,6957,6185,4919,3008,1242,333,32681,950,2320,1894,1764,1535,935,448,96,9949,460,936,1146,943,661,365,187,46,4748,801,2999,2968,2809,2797,1549,689,195,14808,565,2485,3213,2918,2532,1329,511,113,13660,1973,4960,4937,4062,2806,1528,538,161,20972,1318,3021,3114,2677,2174,1023,247,67,13641,394,818,712,498,399,249,111,33,3217,1215,2551,2137,1618,936,576,173,61,9262,92,70,48,56,56,71,69,27,484,98,332,388,397,273,129,65,19,1689,5064,6204,5677,5660,4884,3832,2877,1611,35812,16067,35406,34544,30394
SOS52,422,386,286,166,56,12,1985,111,312,297,317,303,125,24,7,1497,31,72,50,54,39,30,14,0,296,110,224,157,151,117,58,18,5,840,13,6,7,4,4,10,3,6,57,3,16,22,27,15,11,0,0,92,516,577,501,532,547,449,314,146,3581,1301,2515,2271,2315,2116,1320,642,225,12717,24,88,95,82,58,36,11,3,404,32,63,49,40,34,10,3,0,227,335,952,932,981,954,656,252,51,5112,98,223,223,260,256,179,83,23,1350,112,269,237,214,181,102,36,9,1158,91,351,337,412,478,295,117,27,2117,128,397,395,460,425,244,91,25,2166,253,562,537,546,452,251,91,17,2706,149,422,382,408,388,181,45,5,1983,51,88,71,76,67,58,11,0,424,135,299,252,260,198,114,36,14,1316,24,16,13,9,14,16,8,10,112,12,45,55,60,51,25,14,0,256,1136,1189,1098,1195,1237,968,628,251,7705,2573,4967,4673,5017
SOS53,1273,1364,983,517,115,16,5671,301,635,756,864,787,302,66,6,3713,89,178,208,203,165,106,17,6,965,238,482,487,444,299,158,27,11,2152,12,3,5,7,16,11,11,0,64,13,41,52,84,59,26,6,3,286,1010,974,1074,1307,1176,862,382,111,6891,2699,5337,6605,7465,6459,3494,1016,228,33301,100,341,487,398,336,196,43,13,1897,90,118,152,166,94,49,8,0,671,1205,3423,3453,3959,3219,1838,485,83,17666,293,827,740,871,800,472,160,24,4183,375,833,1057,1007,781,447,156,30,4677,258,827,1104,1457,1536,832,270,49,6341,161,683,1086,1501,1641,854,201,33,6158,525,1416,1824,2060,1518,931,200,32,8516,406,831,970,1120,1075,526,122,18,5055,172,273,305,289,247,187,38,6,1507,309,688,788,752,497,288,53,18,3393,31,7,17,17,26,26,16,0,144,39,112,154,216,141,67,31,7,764,2878,4316,4027,3959,3070,2016,916,207,21383,6849,14682,16148,17771
SOS57,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,3,5,0,3,0,0,0,0,22,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,46,51,38,13,3,0,0,163,0,15,0,3,3,0,0,0,22,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,12,0,3,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,3,0,8,6,4,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,27,22,21,8,0,0,0,82,11,106,100,83
SOS59,36,26,46,23,0,0,231,10,48,15,19,37,9,0,0,135,12,25,3,4,5,3,0,0,50,10,29,17,10,22,5,0,0,96,0,0,0,0,0,3,0,0,6,0,0,4,3,3,0,0,0,13,84,151,100,103,74,55,12,5,583,184,440,223,218,263,136,25,7,1493,12,26,18,10,10,3,0,0,73,4,13,10,5,8,5,0,0,45,35,161,90,111,110,70,9,3,593,14,65,42,23,35,18,0,0,197,8,22,16,12,17,12,0,0,82,15,67,23,30,46,25,4,0,205,10,30,16,13,42,26,3,3,138,35,101,57,43,68,41,8,0,354,22,73,26,28,42,16,0,0,212,15,38,10,12,9,10,0,0,85,15,45,31,23,30,10,3,0,161,0,4,0,0,0,3,0,0,13,3,6,11,10,3,4,3,0,44,181,382,320,360,212,130,26,8,1601,374,1033,673,680
SOS60,1869,1535,1131,597,258,154,8435,664,1749,1710,1571,1365,704,209,64,8044,172,468,373,294,220,159,71,28,1779,424,741,517,442,271,175,66,24,2661,23,7,12,9,21,35,25,14,144,35,123,127,106,101,49,14,12,562,801,785,727,787,862,878,782,522,6143,3710,8913,8279,7637,6932,4525,2376,1198,43561,236,817,801,676,520,343,126,53,3568,266,821,563,347,180,82,11,3,2281,543,1559,1589,1799,1819,1485,908,316,10015,387,1026,827,838,825,500,305,118,4840,114,335,396,363,290,109,58,20,1689,480,1751,1564,1701,1657,1078,543,211,8992,142,1009,1190,1209,1692,1185,554,196,7180,1171,3358,3001,2688,2105,1244,524,251,14333,963,2515,2448,2271,2074,1203,362,119,11958,291,798,642,516,378,287,120,43,3064,622,1218,948,753,464,281,117,34,4437,52,29,23,18,38,49,35,21,267,82,227,260,217,216,123,50,27,1210,1700,1802,1604,1701,1734,1668,1378,779,12365,7041,17268,15859,15106
SOS61,1639,1534,1189,610,219,98,7898,735,1417,1446,1665,1386,565,117,43,7366,108,243,241,244,172,137,62,19,1232,647,960,718,530,347,247,72,26,3546,25,11,3,14,21,43,27,17,156,20,58,68,85,77,38,28,9,379,1010,821,814,995,1132,1482,1264,703,8221,4149,7863,7535,7751,7083,5046,2773,1254,43455,61,262,330,274,214,187,58,20,1418,181,414,297,223,156,69,19,0,1359,905,2093,2130,2408,2452,1980,1056,334,13359,595,1217,792,942,959,701,414,97,5713,193,447,435,405,283,157,88,26,2029,529,1528,1354,1578,1763,1159,508,197,8622,207,1096,1285,1313,1467,1089,606,174,7231,1090,2553,2471,2396,1929,1102,400,156,12104,941,1789,1858,2143,1825,886,235,66,9734,205,416,421,358,298,242,107,37,2084,905,1389,1149,884,637,459,162,38,5624,44,27,24,20,41,72,48,24,293,45,142,150,215,193,117,62,24,949,2142,1732,1674,2111,2257,2746,2143,1071,15859,8034,15113,14367,15275
SOS62,244,217,216,143,34,10,1147,72,172,203,228,247,111,36,3,1078,12,42,60,42,51,38,11,0,255,64,154,112,85,63,55,5,0,548,0,0,4,0,0,3,6,3,20,0,8,19,17,9,7,6,0,71,172,114,134,192,222,263,194,84,1377,490,975,1155,1210,1373,987,454,151,6802,8,46,69,58,71,50,24,3,337,16,27,45,40,33,12,3,0,177,118,324,350,438,530,422,169,45,2399,62,145,128,181,202,155,64,11,938,47,92,111,101,86,61,18,3,513,50,145,175,243,321,183,82,25,1230,20,118,182,192,297,238,115,25,1184,107,274,335,333,349,248,61,19,1715,86,209,265,295,335,192,60,10,1461,21,64,87,51,83,68,23,5,396,84,200,187,158,131,84,26,4,885,3,3,9,0,7,5,13,3,37,3,18,38,42,29,25,22,0,166,349,230,268,413,475,533,369,149,2782,972,1878,2230,2542
