SOS_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOS10,129476,118652,248129,59699,70105,129804,4407,3151,7559,1318,1323,2640,3449,2141,5597,759604,587442,1347044,40944,59494,100435,18857,307,19159,14555,1918,16469,14831,4168,19006,8206,4370,12572,46921,50290,97213,1102266,903361,2005624,29157,30303,59457,869,721,1588,775,702,1476,18298,13600,31895,3343,6176,9516,2268,1019,3281,54699,52511,107210,796,619,1415,206,245,455,2762,2754,5513,1109,2381,3486,852,702,1553,5723,6706,12427,9145,4844,13985,69562,64059,133628,7484,6934,14420,566,520,1088,445,155,603,8500,7615,16115,41956,59958,101917,75219,125326,200545,12470,10008,22481,1309975,1170326,2480298
SOS11,1658,1312,2975,1483,1225,2713,82,36,117,26,28,61,451,511,964,214218,192069,406284,15848,16741,32588,6355,175,6528,2658,244,2902,2745,822,3567,1960,1021,2978,10146,10972,21120,257625,225169,482801,224,231,457,9,12,24,10,0,8,674,494,1171,99,135,231,93,19,116,1111,893,2007,5,3,4,0,3,3,118,75,196,88,115,202,37,30,63,246,232,475,2286,1141,3426,3641,2262,5912,228,209,440,33,26,61,109,41,150,374,279,655,8767,14343,23115,24021,37960,61980,3575,3258,6826,298008,283279,581287
SOS12,224,168,387,171,98,269,5,9,15,0,4,8,21,13,33,21761,18760,40520,1241,1320,2566,1022,23,1050,216,17,232,180,87,264,251,120,380,1322,1341,2663,26422,21956,48378,24,15,39,4,3,4,4,0,4,122,88,209,17,19,37,11,8,22,172,140,309,0,0,0,0,0,0,13,11,26,9,20,31,4,5,7,29,40,65,244,135,372,440,311,752,32,29,59,0,0,0,14,4,21,48,36,87,1283,1865,3152,2591,4096,6692,448,394,840,31237,28657,59891
SOS13,540,474,1017,542,398,939,35,12,49,12,10,29,59,37,98,84975,73193,158171,4235,4772,9009,5887,244,6127,1341,195,1535,354,112,459,1979,794,2776,6075,3534,9614,106039,83786,189820,58,59,113,0,4,4,0,0,3,505,415,924,55,58,113,16,14,31,645,546,1188,3,0,3,0,0,3,96,84,177,40,77,120,10,4,21,149,170,323,1155,451,1600,1943,1165,3112,113,85,197,25,8,36,126,43,168,263,140,400,18201,16539,34738,9271,14259,23532,2028,1768,3801,137742,117653,255400
SOS17,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,79,5,3,7,59,72,130
SOS19,152,122,272,78,98,174,8,0,8,4,0,5,4,3,12,914,440,1355,125,98,221,36,0,36,13,4,21,33,6,39,68,34,106,190,164,352,1624,975,2603,57,38,95,0,0,0,0,0,0,11,7,18,0,10,11,4,0,4,79,49,128,0,0,3,0,0,0,0,0,0,3,0,4,0,0,4,8,3,11,19,6,21,101,55,158,15,11,24,0,0,0,0,0,0,18,7,25,60,51,112,190,163,360,46,29,74,2042,1291,3331
SOS20,79410,70678,150087,11772,13778,25552,314,116,433,22868,27951,50817,2724,1395,4116,688616,541064,1229684,32586,47287,79866,10170,201,10374,6758,749,7507,21363,8898,30262,6634,3475,10110,30642,32391,63034,913861,747985,1661849,10916,9454,20369,12,14,24,7877,8066,15948,14516,10749,25266,2002,3583,5585,2152,930,3082,37465,32800,70268,11,4,14,1150,1612,2766,717,689,1408,577,1095,1673,217,198,416,2671,3594,6269,8271,5774,14042,48412,42167,90579,8740,8953,17690,308,347,656,492,300,790,9535,9597,19132,34817,48356,83174,64098,113753,177850,9827,7999,17824,1080552,969850,2050402
SOS21,3125,2678,5801,1197,1135,2330,74,41,109,64,70,137,368,283,643,167798,143062,310861,10632,11521,22150,2857,76,2931,992,120,1112,2376,726,3102,1416,625,2035,7090,7410,14499,197984,167738,365718,283,239,522,0,0,0,138,156,295,1135,797,1927,125,179,301,137,35,173,1817,1395,3211,5,0,5,3,0,5,94,89,185,95,157,250,45,27,69,241,270,511,1576,762,2342,3632,2425,6063,584,560,1138,35,26,54,74,13,92,691,593,1287,5955,9491,15444,18307,32251,50557,2678,2392,5069,229245,214891,444140
SOS22,111,94,207,117,76,189,18,4,17,6,16,20,7,3,11,15042,12341,27387,754,754,1507,457,13,468,84,5,93,128,47,178,242,97,339,922,896,1813,17891,14342,32233,13,4,19,0,0,0,8,6,7,82,64,145,9,11,24,3,0,5,109,82,200,0,0,0,0,0,0,5,3,8,4,3,7,0,0,0,11,11,21,166,74,241,291,171,462,42,28,71,3,0,3,3,5,9,48,33,79,865,1133,1996,1911,3086,5001,299,260,556,21299,19026,40321
SOS23,819,733,1552,405,247,651,23,12,37,37,41,73,58,40,98,67066,55640,122708,3239,3610,6855,2836,88,2928,960,189,1156,316,90,406,1295,465,1767,5238,2983,8224,82289,64152,146435,43,37,83,0,0,0,29,33,66,569,414,983,51,68,123,18,3,24,722,553,1274,0,0,0,3,0,3,29,32,56,20,27,49,13,0,17,66,60,119,706,282,986,1487,892,2380,215,202,414,13,9,20,86,10,91,309,222,525,14170,12071,26247,7904,12662,20568,1604,1451,3054,107756,91453,199216
