SOS_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOS10,52653,19965,111515,1025297,1074494,457321,352271,1081991,334305,4325678
SOS11,20379,10522,45558,225951,306441,151843,122575,252993,125837,1185649
SOS12,1291,598,2974,22073,31656,17012,14280,23477,12563,121062
SOS13,2629,1572,7371,84324,116972,64114,56355,74460,53349,449576
SOS17,5,0,10,23,36,19,40,163,93,374
SOS19,41,26,78,1976,1606,620,412,3500,3428,11545
SOS20,42878,15539,89845,875843,901809,370211,279069,865556,272360,3564851
SOS21,14160,6573,30387,173019,220221,105039,86145,183096,85542,853064
SOS22,1072,556,2449,14800,21129,11224,9699,15547,9088,81486
SOS23,1874,1031,5266,65857,88290,48448,41792,56898,38177,339459
SOS27,0,0,0,7,3,3,0,11,3,25
SOS29,22,12,38,1281,954,324,278,1969,2020,6825
SOS30,26643,13532,60437,631849,720218,298515,218360,539591,217318,2625846
SOS31,8757,4004,18647,133495,176574,85326,74494,143198,74234,687318
SOS32,913,437,2085,21109,29060,15203,14064,22795,13534,115759
SOS33,1468,914,4307,64626,89388,48459,45662,59557,42036,349730
SOS37,0,3,4,23,24,19,6,50,23,144
SOS39,25,11,44,2026,1961,823,592,3533,2759,11693
SOS40,15672,4795,31706,219312,266897,116237,80731,216324,64827,964327
SOS41,4441,1862,9636,48910,68810,34661,27412,52152,23382,255330
SOS42,714,328,1559,7991,11872,6326,5348,8624,4299,44462
SOS43,535,263,1555,22971,31599,17434,14356,18958,11572,116882
SOS47,0,0,0,4,0,0,0,3,0,3
SOS49,17,0,22,466,435,143,126,850,627,2648
SOS50,14107,7321,33920,355398,402659,170917,137118,328168,123128,1517390
SOS51,2640,1383,6189,56882,73921,33957,30245,55899,34058,284961
SOS52,360,242,1011,9830,12410,6105,5949,10606,7187,52084
SOS53,390,244,1288,24631,31923,16932,16034,26956,20835,137303
SOS57,3,0,3,32,31,10,9,274,81,434
SOS59,7,6,23,962,791,327,210,1663,1594,5559
SOS60,2088,750,4651,32528,41799,18250,12212,30241,11633,146664
SOS61,2719,1011,5538,31727,42629,21042,17105,37867,14911,165288
SOS62,277,153,642,4480,6673,3674,3168,5107,2695,25793
SOS63,310,163,926,14698,21984,12331,10500,13979,7619,81103
SOS67,0,0,0,7,6,3,10,36,8,73
SOS69,0,0,3,153,152,50,40,256,178,835
SOS70,280,101,572,21957,24894,8532,6039,19969,13416,94796
SOS71,97,52,209,8821,9462,3292,1918,7352,5742,36577
SOS72,30,11,69,4776,4708,2090,1205,3652,2798,19234
SOS73,36,13,88,5036,6652,3033,2134,4178,5357,26395
SOS77,0,0,0,0,0,0,4,43,23,72
SOS79,0,0,0,334,366,137,92,522,839,2281
SOS80,2194,1335,6151,82161,101816,39271,22523,53765,22042,321581
SOS82,0,3,4,59,53,39,27,21,18,217
SOS83,0,0,3,138,205,79,42,70,75,610
SOS87,0,0,0,0,0,0,0,0,0,0
SOS89,3,0,3,133,94,23,10,138,118,506
SOS91,3,0,3,242,299,94,86,303,263,1285
SOS92,6,3,22,213,300,133,106,316,156,1222
SOS93,10,4,29,165,290,143,109,142,361,1207
SOS97,0,0,0,0,0,0,0,3,0,6
SOS99,0,0,0,5,11,0,3,22,4,46
