SOS_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS10,12,77,205,1198,1105,761,283,237,87,3964,557,3607,6618,32919,14459,12565,5682,1355,643,78403,38,103,201,3832,1251,2664,1841,1077,1099,12096,54,504,565,4046,3637,4180,4244,2611,1080,20925,346,1382,1764,3769,1553,1574,969,384,100,11837,245,1758,3573,12919,7266,5394,3363,1520,499,36532,0,0,86,1117,1347,1656,1416,1150,328,7098,172,1094,2007,10817,5048,4160,2389,1119,442,27248,157,307,1273,7134,1137,1293,680,116,24,12118,265,866,2847,15553,2621,1566,514,109,25,24376,32,93,321,2454,3181,3984,3702,1909,476,16148,85,192,571,3799,3533,2015,1442,627,136,12404,797,3081,3259,8961,3610,2415,1615,429,149,24312,387,1517,6341,29266,18587,16626,6042,2533,1102,82407,26,118,182,1445,1104,906,873,511,218,5382,16,250,747,2098,1016,615,216,63,20,5031,2265,9168,16773,78126,33843,27715,22628,13020,5845,209389,16373,27298,37505,102565,41396,36484,29603,19673,11711,322607,339417,644487,693247,1598332,687831,581173,418310,235279,111515,5309583
SOS11,8,38,57,304,288,188,50,35,11,981,116,701,628,2716,1145,910,401,75,23,6723,0,9,7,174,62,200,176,146,149,924,12,100,106,491,694,1116,1632,961,366,5484,17,51,49,151,132,88,70,34,3,594,32,355,447,1315,795,565,565,245,64,4382,0,0,0,27,86,107,166,142,40,564,25,117,69,555,194,117,97,37,12,1232,0,31,182,748,39,20,12,7,0,1041,48,160,230,784,314,157,47,12,0,1746,0,0,0,37,55,48,44,22,12,221,8,7,17,110,76,38,28,5,0,280,61,334,301,925,559,539,597,153,53,3528,25,56,158,682,187,106,27,5,3,1251,0,26,33,153,233,222,322,178,75,1246,7,91,142,401,191,169,80,22,3,1099,176,807,944,4036,2081,2115,2357,1535,646,14694,4950,9742,11191,24551,15106,16738,16315,11617,6270,116487,89333,182086,166642,327249,180793,192171,170916,102322,45558,1457064
SOS12,0,0,0,25,32,33,4,5,0,108,4,18,32,112,80,85,42,6,0,379,0,0,0,18,8,22,19,8,5,90,0,12,4,31,96,118,149,76,15,502,0,3,0,5,11,14,5,3,0,50,0,24,30,92,84,55,68,13,3,360,0,0,0,3,11,4,16,7,3,42,0,3,7,19,10,6,4,0,0,52,7,0,6,47,8,3,0,0,0,69,0,16,10,47,14,23,0,0,0,119,0,0,0,4,3,5,10,0,0,22,0,0,0,0,8,5,0,0,0,16,8,34,18,96,65,77,72,19,3,391,3,4,0,54,13,4,0,0,0,77,0,3,3,17,25,29,53,19,3,150,0,3,0,16,18,15,6,0,0,59,7,41,33,237,253,215,278,127,40,1234,463,1177,1007,2526,1870,2282,1933,1084,373,12721,8040,19463,15421,29726,20935,23683,19314,9009,2974,148561
SOS13,0,3,6,123,133,93,24,6,0,396,14,100,78,412,241,209,65,18,13,1150,0,3,0,80,36,92,60,30,15,324,0,24,25,156,280,403,503,163,46,1611,0,18,16,38,67,65,21,14,0,236,0,96,188,443,359,329,205,73,15,1706,0,0,0,7,35,69,67,57,7,240,0,7,9,58,37,39,19,10,0,192,3,9,18,85,32,30,12,7,0,192,16,36,38,221,68,37,20,0,0,443,0,0,0,14,22,32,18,5,0,100,0,0,6,19,29,11,6,4,3,84,23,122,130,415,303,376,307,76,23,1776,3,12,22,144,69,37,18,3,0,306,0,4,8,64,101,104,119,43,7,450,0,8,25,75,67,70,43,9,0,289,31,159,180,1027,963,1094,1130,545,145,5262,2014,5429,5053,10861,9140,9938,7680,3367,983,54467,27997,74747,60887,110443,86576,90948,67180,26179,7371,552316
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,10,4,0,3,9,5,6,11,3,0,36,14,22,25,62,50,74,108,42,10,412
SOS19,0,0,0,5,6,4,0,0,0,16,3,6,8,46,11,15,3,3,0,89,0,0,3,6,0,4,4,0,0,18,0,0,3,17,3,14,11,7,0,50,0,0,3,7,3,0,0,0,0,13,3,7,4,34,6,15,14,0,0,77,0,0,0,3,3,3,3,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,12,55,3,0,0,0,0,74,0,0,8,27,4,0,0,0,0,39,0,0,0,3,3,3,0,0,0,5,0,0,0,10,6,3,0,0,0,18,5,5,27,25,7,11,6,0,0,82,0,0,16,27,9,10,3,0,0,76,0,0,5,4,3,0,5,0,0,19,0,0,0,3,0,7,0,0,0,9,14,15,54,172,68,43,25,8,0,398,36,56,328,934,338,284,200,60,15,2248,338,402,1876,4599,1798,1722,1196,282,78,12288
SOS20,13,56,128,859,555,236,77,28,7,1953,418,2711,5035,18961,8167,5777,2484,604,235,44389,11,77,204,3024,1473,3123,2473,1481,1629,13491,61,476,658,3672,3270,3813,4001,2498,983,19437,317,1701,3269,5312,1914,1594,849,269,66,15283,155,1233,2795,8495,4630,3080,2076,872,311,23650,0,0,59,897,1343,1759,1464,1212,342,7067,432,3012,4943,23208,8681,6568,4328,1806,697,53676,114,229,1069,5368,671,731,330,52,22,8582,308,1534,2476,7526,1323,578,219,45,17,14017,17,115,376,3169,3342,4201,3675,1690,388,16967,63,216,597,4414,4489,2546,1591,708,165,14792,534,2190,2185,6124,2483,1572,1070,238,108,16512,401,1581,7282,29760,17299,14556,5108,2086,889,78945,19,109,142,880,688,594,542,326,156,3467,15,177,531,2014,630,387,158,41,8,3952,2018,8535,15920,60332,25330,20385,16352,10702,4932,164511,14173,22657,31682,84602,34835,30050,24633,17319,9793,269747,277742,510706,587958,1338079,565475,457642,331909,193940,89845,4353298
SOS21,3,18,27,147,132,65,28,14,0,438,80,510,607,2221,924,642,294,72,13,5365,0,11,16,168,73,184,147,101,144,836,8,69,88,445,574,1052,1389,782,268,4664,10,45,69,188,99,85,37,11,3,554,22,189,306,795,471,308,247,83,25,2434,0,0,0,29,91,151,180,124,51,628,30,156,103,798,240,151,135,40,32,1684,3,12,171,763,29,17,10,0,0,1005,62,292,295,574,177,77,28,7,3,1496,0,3,5,87,90,89,83,40,0,392,0,16,31,214,232,116,71,33,3,734,37,203,166,597,308,341,311,67,20,2039,18,61,112,665,232,157,48,9,4,1313,0,24,33,110,155,154,197,112,45,826,5,35,64,211,86,61,37,13,3,513,136,920,1254,3738,1800,1591,1545,1092,471,12544,3812,7112,8181,18795,11174,11847,11077,7681,3941,83623,67242,132552,125346,250750,133503,133862,113365,65842,30387,1052851
SOS22,0,0,0,14,10,7,0,0,0,41,4,39,24,118,62,52,16,0,3,319,0,0,0,14,0,19,19,7,4,62,0,0,0,40,56,136,173,69,17,486,0,3,4,15,12,9,0,0,0,43,0,8,11,54,26,35,28,11,0,184,0,0,0,0,6,16,20,10,0,54,0,0,0,13,5,25,9,0,0,54,0,0,9,44,3,0,0,0,0,55,3,10,12,51,18,10,3,0,0,106,0,0,0,5,4,3,5,0,0,18,0,0,0,7,6,4,7,3,0,29,5,23,5,54,38,48,50,7,0,233,0,3,0,17,8,4,3,0,0,32,0,3,0,12,12,16,21,12,5,84,0,0,0,0,7,6,4,0,0,18,3,36,21,165,139,164,150,105,41,822,304,796,665,1780,1406,1657,1498,703,388,9182,5204,12129,9356,19894,14036,16033,13490,6229,2449,98824
SOS23,0,3,8,52,72,29,8,4,0,174,31,120,108,513,182,159,53,3,3,1174,0,4,3,67,25,82,77,28,20,303,0,11,25,142,251,386,430,172,46,1467,3,18,12,46,45,31,8,0,0,167,0,65,91,275,206,141,82,27,5,897,0,0,0,13,63,81,90,54,6,309,3,23,12,185,53,48,54,11,0,389,0,10,25,135,7,10,3,0,0,195,21,44,48,148,58,20,6,3,0,344,0,0,4,29,51,65,59,30,0,241,0,0,9,49,58,17,23,8,0,172,13,58,57,174,150,186,182,32,8,869,3,10,32,216,97,52,7,3,0,420,0,5,3,38,54,85,79,29,6,302,0,3,17,55,56,43,14,3,0,200,14,106,184,813,611,699,692,346,116,3579,1383,3407,3191,7261,6474,7005,5465,2285,664,37134,20650,53945,46225,83238,66424,69088,50347,18869,5266,414055
