SOS_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
SOS61,92,248,73,24,34,8,14,26,11,524,94,255,187,19,50,50,32,66,13,762,825,745,3911,227,316,280,912,727,122,8058,856,147,1843,84,88,111,265,313,48,3752,194,162,281,46,47,40,118,222,24,1120,59,995,38,202,41,22,24,30,12,1422,152,779,40,81,22,19,30,18,12,1158,782,708,180,143,429,354,227,191,51,3073,159,428,82,556,108,64,56,100,11,1566,55,187,71,43,36,50,25,35,7,504,170,29,657,100,56,109,140,176,13,1454,3,0,4,0,3,0,7,4,6,28,39,53,54,34,28,13,47,38,17,331,89,53,230,53,45,67,196,185,116,1024,3571,4793,7653,1608,1304,1177,2090,2141,455,24787,44,177,80,25,50,14,4,17,3,409,17,35,16,20,30,12,0,7,3,131,31,38,50,37,50,39,23,118,5,391,13,54,35,14,24,26,0,8,4,191,46,61,52,24,35,37,8,46,5,313
SOS62,17,59,14,3,5,0,0,3,0,108,17,17,11,3,6,6,0,4,3,65,149,143,655,34,44,31,198,168,32,1442,158,23,288,13,10,11,42,56,11,603,66,38,73,11,8,10,26,57,3,282,19,115,13,21,3,0,8,11,0,185,18,132,16,9,8,3,0,10,0,200,135,80,29,12,47,38,21,23,0,387,30,68,13,63,17,4,7,13,5,225,3,24,12,4,7,10,3,4,0,71,35,3,95,20,7,8,26,35,3,231,0,0,0,0,0,0,0,0,0,0,12,13,11,6,3,3,8,4,3,55,24,5,50,5,0,13,37,42,24,202,684,721,1270,206,155,139,374,421,80,4055,8,40,9,7,14,7,0,0,0,89,3,10,4,0,3,3,0,0,0,30,3,11,7,5,10,3,7,15,3,65,3,11,10,3,6,3,0,3,0,37,5,16,13,8,7,0,3,14,0,70
SOS63,109,205,35,22,20,5,6,27,3,425,40,109,59,15,24,6,12,15,3,287,820,428,2417,123,184,130,565,474,79,5210,568,56,960,36,49,38,122,232,36,2099,779,166,214,37,22,47,130,285,22,1699,54,382,16,78,18,5,21,21,8,604,76,330,25,37,17,8,13,28,12,555,481,292,97,66,141,95,52,69,23,1326,126,212,35,200,37,21,22,44,14,712,42,98,53,31,16,9,4,16,3,281,106,16,252,37,26,30,46,89,7,608,7,0,7,3,0,4,0,3,4,22,42,22,35,14,12,6,23,16,13,185,149,34,180,28,16,34,129,132,78,785,3397,2364,4381,733,584,436,1144,1456,296,14790,78,149,56,21,48,5,4,24,7,398,14,15,0,6,33,0,0,7,0,85,30,34,44,25,22,11,10,46,5,230,22,25,12,5,11,5,3,0,0,83,145,98,77,44,61,30,4,80,8,550
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3,0,0,0,6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,10,0,0,0,0,4,0,33,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,19,25,12,4,0,4,14,0,87,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS70,112,290,72,41,44,16,13,31,9,628,147,314,180,56,77,47,44,59,10,939,873,1141,4422,365,305,212,571,490,132,8495,372,136,1180,110,62,38,189,349,55,2484,86,105,122,41,42,24,40,83,3,555,118,807,63,186,51,16,35,43,17,1327,126,403,54,89,51,8,31,27,12,801,963,692,258,356,445,241,202,166,52,3375,277,535,103,676,171,54,66,82,31,1989,58,126,115,42,26,14,18,31,4,433,116,31,458,128,41,53,98,81,12,1016,3,3,19,8,3,5,4,18,3,59,64,64,82,110,25,9,54,37,26,469,75,43,196,67,31,34,94,99,140,782,3395,4688,7329,2266,1381,758,1458,1581,513,23367,70,255,69,53,74,22,4,21,0,563,42,73,21,35,68,21,0,20,4,281,53,107,89,41,66,37,27,62,5,487,18,55,31,10,29,7,3,5,3,165,30,81,40,37,65,18,7,30,3,302
SOS71,27,76,15,3,6,4,0,8,0,145,22,63,27,6,9,7,8,10,3,160,208,247,918,135,65,42,155,117,45,1939,114,35,279,48,19,9,47,65,15,629,40,39,39,25,15,8,15,31,7,227,37,303,18,78,11,3,12,9,7,480,59,246,16,52,5,0,12,7,7,401,212,133,50,120,106,51,36,44,18,781,79,248,17,348,53,12,25,22,23,832,21,48,29,21,7,14,3,14,0,153,42,17,111,40,13,31,29,39,5,309,3,0,4,0,0,3,4,4,0,18,18,16,7,44,6,4,5,16,7,133,29,26,50,48,19,8,43,48,46,316,916,1486,1585,976,346,197,389,433,179,6511,13,49,13,14,15,9,0,8,6,123,3,4,4,4,10,10,0,7,0,39,12,25,12,8,16,11,3,5,0,90,0,10,7,4,3,0,0,0,0,37,22,39,13,19,29,13,0,14,3,143
SOS72,6,17,3,5,3,0,3,0,0,43,4,9,6,4,0,0,4,0,0,27,74,92,272,33,23,6,47,72,17,651,29,16,78,12,4,7,23,31,15,206,24,33,26,13,18,0,7,17,5,141,13,70,0,12,3,0,7,12,0,110,37,96,5,16,0,0,0,3,0,163,79,21,12,31,24,11,20,7,3,211,30,37,0,96,9,5,9,9,5,200,8,20,4,13,4,0,0,0,0,48,12,0,63,14,9,7,6,13,4,132,0,0,0,0,0,0,0,0,0,4,4,9,7,10,3,0,3,7,4,55,18,34,24,30,5,11,19,44,64,250,338,450,507,302,106,41,154,222,121,2247,3,15,0,8,4,0,0,0,0,38,0,3,4,3,0,0,0,3,0,16,4,5,7,11,8,0,0,6,0,39,0,0,0,0,0,0,0,0,0,4,4,18,3,10,8,0,0,3,0,53
SOS73,22,41,17,7,4,3,0,3,3,95,3,21,21,3,4,3,3,3,0,58,260,160,1189,76,61,28,218,178,40,2205,139,18,324,16,15,9,48,108,10,677,98,69,41,17,20,7,26,81,6,367,15,58,13,15,5,0,8,4,0,123,24,71,18,7,10,0,12,11,3,152,104,49,35,36,25,14,20,20,4,317,33,32,10,101,11,3,3,10,3,209,15,15,10,9,5,7,0,7,0,63,26,7,67,19,4,5,26,22,0,180,0,0,4,0,0,0,3,0,0,12,13,13,24,30,7,0,14,17,3,124,36,21,70,20,18,9,44,59,29,307,778,571,1838,347,188,90,433,525,102,4881,14,50,5,0,21,0,0,4,0,93,4,6,0,5,10,0,0,0,0,32,15,19,22,4,22,4,5,16,0,108,10,4,11,0,0,0,0,3,3,34,44,48,22,16,47,14,6,55,0,241
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,34,3,3,0,9,8,0,76,0,3,10,0,0,4,3,3,0,27,0,3,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3,0,7,6,3,3,0,0,0,0,3,0,17,0,4,3,0,3,3,0,3,0,15,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,3,5,0,9,0,0,14,3,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,4,13,34,73,16,10,3,25,26,5,207,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,9
SOS80,908,2496,251,182,426,98,49,106,119,4633,1579,5414,760,210,598,207,121,171,243,9301,2067,3329,4163,495,848,350,636,707,235,12827,1171,499,3133,135,249,119,186,473,101,6081,306,391,448,76,181,50,64,137,37,1686,291,2225,106,446,153,48,35,58,55,3417,343,1536,56,228,166,44,35,77,37,2516,4227,4288,525,722,2387,764,277,437,363,13994,2950,5323,363,1769,1611,331,160,294,377,13165,450,1261,332,203,311,168,50,118,49,2931,344,80,1224,222,160,109,135,173,23,2473,8,12,10,5,0,3,3,22,0,64,311,300,109,154,168,34,62,58,73,1263,178,199,238,104,97,62,83,130,245,1338,15138,27351,11727,4947,7355,2377,1891,2955,1961,75701,741,1847,264,283,720,132,6,54,92,4145,407,1206,138,121,312,101,5,33,71,2394,182,493,103,98,183,75,33,71,22,1257,131,319,64,26,174,68,7,22,11,828,190,314,119,66,236,48,4,41,17,1028
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,10,7,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,9,3,0,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,0,4,0,0,0,0,0,0,4,10,0,6,0,0,0,0,0,0,0,4,6,3,16,0,0,0,5,3,0,35,5,0,20,0,0,0,3,7,0,31,3,0,0,0,3,0,0,0,0,8,3,8,0,0,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,7,11,3,0,0,4,0,0,0,0,19,6,3,0,9,0,3,0,0,0,22,0,3,0,0,0,0,0,0,0,8,3,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,11,48,32,45,16,11,3,10,9,4,182,3,3,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,3,3,0,3,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,21,9,6,7,0,3,4,9,65,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,3,3,0,3,3,0,0,5,0,12,0,0,0,0,0,0,0,0,0,3,16,5,66,3,0,0,10,6,3,114,5,0,15,7,0,0,4,4,0,32,6,3,0,0,0,0,0,3,3,15,0,3,3,0,0,0,0,0,0,12,4,3,0,3,0,0,0,3,0,11,10,0,3,3,3,0,0,5,0,36,6,4,0,18,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,6,0,0,0,9,0,0,21,48,26,100,40,15,0,32,31,10,308,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SOS92,0,3,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,7,15,15,27,3,0,0,13,9,0,85,4,0,19,0,0,0,0,4,0,33,0,3,3,0,0,3,0,4,0,12,3,0,0,0,0,0,0,0,0,11,5,8,0,0,0,0,0,0,0,16,18,0,0,3,3,0,0,0,0,26,3,3,0,7,3,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,3,3,5,3,0,0,3,3,0,18,61,36,65,21,7,7,18,28,9,250,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3
SOS93,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,4,35,0,0,7,4,3,0,67,9,0,23,0,0,0,0,5,0,33,3,0,3,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,6,10,3,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,4,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,13,33,20,81,5,7,14,9,9,8,189,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,6
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
