SOS_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
SOS61,74,201,474,385,404,298,100,29,3,1964,6,32,241,270,206,173,24,0,0,956,176,491,999,1117,1324,833,112,13,3,5072,3,31,166,206,248,194,16,0,0,865,282,772,1468,1057,1123,849,136,16,3,5702,57,132,334,358,403,321,58,4,3,1670,592,605,866,690,725,562,141,20,0,4195,643,415,423,281,245,214,68,8,3,2305,30,177,469,623,855,743,228,22,0,3141,12,46,108,96,118,80,17,6,0,477,11,40,110,137,152,95,21,7,0,571,5,29,76,77,123,111,47,6,0,479,26,110,390,325,309,266,116,24,0,1568,30,113,221,217,251,212,53,14,0,1112,21,85,374,514,647,515,75,6,0,2232,30,84,358,453,536,517,107,10,0,2087,15,135,426,469,606,588,135,8,0,2386,65,64,92,96,113,102,38,3,0,578,65,225,362,313,364,304,72,5,0,1706,100,194,385,354,374,309,96,30,5,1849
SOS62,36,76,167,147,167,136,45,11,4,792,3,18,71,77,99,66,8,0,0,347,33,63,127,135,159,123,28,0,0,668,6,10,26,24,46,44,6,0,0,167,41,76,194,172,242,190,36,0,0,956,3,16,25,44,44,38,12,0,0,180,54,40,64,80,86,74,32,9,0,448,51,43,56,53,51,72,28,7,0,363,3,13,42,58,94,113,31,3,0,364,0,4,11,15,11,17,0,0,0,52,0,0,8,16,9,14,3,0,0,56,0,0,7,8,10,18,10,0,0,52,3,7,34,51,59,61,19,7,0,249,9,4,21,29,51,45,8,0,0,165,0,10,41,94,117,108,22,0,0,401,3,9,45,62,83,78,20,0,0,301,0,8,30,50,62,69,24,0,0,240,7,4,12,14,19,34,5,5,0,106,15,16,56,43,62,52,19,0,0,266,18,32,53,58,68,53,9,0,3,303
SOS63,160,331,683,860,1049,1015,530,178,19,4822,3,14,103,140,166,103,19,0,3,550,102,185,346,522,712,513,102,9,0,2496,5,24,60,129,174,127,24,0,0,542,183,301,606,662,876,697,130,4,0,3462,35,43,98,141,184,141,28,3,0,672,242,161,179,209,290,259,71,10,3,1423,195,114,107,125,122,123,64,8,0,863,14,45,167,260,473,438,93,9,3,1497,3,9,30,34,62,64,11,0,0,218,5,6,28,37,48,43,18,0,0,177,0,11,24,29,49,72,18,0,0,205,8,35,85,191,230,212,108,10,3,875,13,35,60,120,134,119,45,0,3,528,5,35,133,275,429,306,65,3,0,1256,12,27,88,189,243,273,66,4,0,914,6,22,68,180,274,299,80,6,3,946,30,25,46,69,107,89,31,3,0,396,47,87,131,149,199,169,44,5,0,843,68,77,139,206,277,228,91,29,3,1127
SOS67,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,4,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,4,0,3,5,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,12,0,3,11,3,0,0,0,0,0,19,0,0,4,3,3,0,0,0,0,17,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,5,0,0,9,0,8,0,0,0,0,15
SOS70,7,23,65,43,67,45,12,6,0,269,3,48,316,278,209,111,20,0,0,989,46,106,342,327,273,168,28,3,0,1291,5,45,169,221,168,123,24,0,0,766,118,446,2021,1440,1055,635,147,9,3,5882,24,73,230,197,206,117,20,0,0,867,308,289,515,376,276,210,63,11,0,2042,329,323,635,331,247,131,30,9,0,2019,39,134,539,460,510,380,112,4,0,2187,22,43,111,74,95,51,11,0,0,408,3,12,79,64,67,42,10,0,0,279,10,23,107,111,101,62,28,13,3,457,42,119,841,675,415,313,88,6,0,2496,28,66,215,210,157,128,30,3,0,839,125,1034,2046,1450,1224,696,135,3,0,6716,34,59,253,313,285,290,85,0,0,1319,21,70,426,400,273,218,63,6,0,1479,59,78,162,127,111,81,12,5,0,638,53,124,271,251,214,126,41,7,0,1088,87,194,480,384,366,205,46,7,0,1765
SOS71,12,19,37,22,24,25,10,3,0,149,0,13,75,92,101,36,5,0,0,326,9,25,51,51,49,34,6,0,0,231,3,14,46,45,55,57,3,0,0,223,55,121,312,200,188,147,39,5,0,1076,7,9,36,25,37,38,6,0,0,150,121,80,180,127,107,100,32,0,0,755,108,77,129,79,79,53,24,3,0,548,16,44,147,97,117,107,32,3,0,552,8,6,27,17,17,27,5,0,0,109,0,4,11,11,8,7,0,0,0,38,7,7,14,18,20,19,10,3,0,96,3,20,100,89,94,102,22,3,0,440,15,18,58,39,62,40,20,0,0,258,16,74,421,471,481,316,63,3,0,1843,21,36,157,141,138,136,41,3,0,672,15,46,286,272,222,158,35,0,0,1033,18,18,41,41,36,28,7,0,0,188,20,66,156,116,99,91,15,0,0,565,35,57,125,100,86,69,17,4,0,500
SOS72,6,6,31,18,19,18,8,0,0,107,7,20,76,135,87,64,5,0,0,390,3,0,7,9,23,11,3,0,0,61,0,3,6,9,14,14,4,0,0,47,10,20,56,49,56,32,14,0,0,236,0,0,4,6,9,3,0,0,0,19,14,15,49,24,36,31,4,0,0,181,9,69,119,58,44,49,6,0,0,355,5,13,37,35,29,25,13,0,0,156,0,0,7,0,9,6,0,0,0,24,0,0,0,0,0,3,0,0,0,8,0,0,4,3,7,3,3,0,0,21,0,4,15,13,9,13,7,0,0,57,6,12,22,28,18,26,8,0,0,115,13,41,145,143,156,105,15,0,0,618,4,19,74,63,69,58,22,0,0,307,6,16,54,67,55,45,11,0,0,249,10,7,17,19,21,11,0,0,0,91,15,43,90,84,71,34,15,0,0,358,16,29,63,42,48,28,10,3,0,238
SOS73,67,129,179,130,154,105,51,10,0,828,7,21,99,119,127,54,7,0,0,436,10,29,48,64,78,31,9,0,0,272,0,3,27,39,52,32,3,0,0,159,52,115,348,408,389,221,51,3,0,1585,6,15,38,35,45,30,9,3,0,180,63,31,55,55,68,51,11,0,0,331,46,22,47,38,32,38,18,4,0,244,3,31,64,94,149,108,33,0,0,483,3,0,7,13,11,11,0,0,0,50,0,3,4,3,9,3,0,0,0,27,4,0,13,17,21,18,3,0,0,74,9,29,52,52,66,44,9,3,0,263,8,15,28,39,45,27,8,0,0,173,20,97,241,226,254,177,26,0,0,1043,10,15,42,48,64,70,18,0,0,256,4,12,22,35,49,39,14,3,0,182,5,12,24,17,30,16,11,3,0,118,36,54,85,71,101,63,12,0,0,418,27,45,75,118,102,70,24,7,0,466
SOS77,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,9
SOS79,0,5,7,3,4,0,3,0,0,31,0,0,4,5,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,4,14,11,19,3,0,0,0,62,0,0,0,0,0,0,0,0,0,3,0,3,4,5,7,3,0,0,0,18,0,3,17,7,3,8,0,0,0,34,0,0,6,3,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,0,0,0,0,21,0,0,3,7,0,3,0,0,0,10,4,13,3,8,4,6,0,0,0,44,0,0,3,0,5,0,0,0,0,11,0,0,3,0,0,3,0,0,0,8,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,4,8,4,4,3,0,0,0,26
SOS80,10,47,51,52,57,63,43,12,4,346,0,4,24,24,31,16,0,3,0,101,100,252,577,541,532,287,99,16,0,2404,15,55,244,295,246,152,21,3,0,1040,436,1428,3256,2355,1779,1135,274,32,4,10698,38,129,362,372,358,193,62,11,0,1522,1117,1515,1710,1042,826,514,196,18,7,6940,1700,1712,1786,934,581,299,90,6,4,7101,53,208,715,836,893,706,199,22,0,3628,62,173,577,590,464,222,55,4,3,2150,0,104,431,406,293,163,65,14,0,1485,26,111,306,295,274,178,88,12,0,1285,85,771,3144,3034,2340,1465,484,52,3,11381,85,228,695,651,486,377,126,15,0,2657,340,1667,7858,8838,8072,4209,717,40,0,31740,263,611,1525,1604,1319,1041,327,39,0,6725,106,446,1391,1266,1023,762,212,29,0,5236,247,300,393,260,255,176,86,7,0,1721,129,351,742,613,547,400,137,19,5,2943,161,368,864,743,579,345,130,25,8,3228
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3
SOS83,0,0,0,3,11,5,4,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,4,0,0,0,0,0,4,8,3,11,11,14,3,0,0,0,49,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,11,19,10,5,0,0,0,44,0,0,7,3,3,6,0,0,0,21,0,0,0,7,0,0,0,0,0,5,0,3,3,3,0,5,0,0,0,15,0,3,0,3,3,0,0,0,0,9,0,0,0,3,3,0,0,0,0,11
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,8,6,10,0,3,0,0,0,24,0,0,0,3,0,0,0,0,0,7,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,6
SOS91,0,0,0,0,4,5,0,0,0,5,0,9,16,28,26,28,29,0,0,125,0,0,0,0,0,0,0,0,0,4,0,0,3,3,5,0,0,0,0,20,0,4,5,10,12,13,6,0,0,46,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,11,0,0,3,3,0,0,0,0,0,7,0,5,11,4,3,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,12,0,0,0,0,3,6,0,0,0,6,0,4,24,28,39,29,17,0,0,135,0,0,0,6,0,3,4,0,0,16,0,0,0,0,0,6,0,0,0,8,0,5,3,6,5,7,0,0,0,22,0,0,4,0,6,3,0,0,0,11,0,0,3,3,7,10,4,0,0,25
SOS92,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,5,3,3,3,0,0,15,0,0,3,14,16,10,3,0,0,48,0,0,0,0,0,0,0,0,0,6,3,0,0,5,5,4,3,0,0,28,3,3,9,14,11,3,3,5,0,48,3,3,8,6,4,4,0,0,0,25,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,3,3,0,4,5,0,0,21,3,17,30,20,29,18,0,0,0,113,0,0,3,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,8,0,0,0,0,3,4,0,0,0,11,0,7,0,9,6,5,3,0,0,28
SOS93,0,0,0,3,3,3,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,10,0,0,0,0,0,3,0,0,0,10,0,0,4,5,11,9,0,0,0,42,0,0,0,0,0,0,0,0,0,5,5,0,0,8,3,8,9,0,0,30,3,5,6,8,3,12,0,0,0,37,0,0,7,3,0,3,0,0,0,16,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,5,0,0,0,0,0,9,0,0,3,3,0,3,0,0,0,10,0,0,0,3,16,9,4,0,0,34,0,0,0,3,0,0,3,0,0,7,0,0,0,4,0,3,3,0,0,8,0,0,3,0,0,3,0,0,0,11,0,0,0,0,4,3,0,0,0,10,0,0,0,0,8,3,0,0,0,10
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
