SOS_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SOS10,305,1096,78,78,152,1255,1782,1136,4173,65575,42627,5104,113300,4954,5440,10393,123688,89663,2228,215583
SOS11,107,435,56,38,97,535,1074,539,2149,17590,17091,1937,36611,2391,2274,4661,41277,30750,996,73028
SOS12,14,44,6,7,14,60,103,32,190,1425,1495,175,3093,202,176,379,3470,2835,79,6384
SOS13,34,137,14,14,25,161,160,99,418,4292,3562,427,8285,440,378,818,9106,6570,235,15908
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,247,1038,63,81,148,1186,1528,940,3658,49769,37423,4210,91402,4175,4367,8542,99942,68543,1853,170340
SOS21,84,308,32,37,62,369,610,317,1300,12047,12772,1386,26214,1438,1552,2986,29199,19868,613,49687
SOS22,5,23,8,0,11,34,58,28,117,801,1005,107,1916,106,94,207,2114,1570,58,3744
SOS23,33,88,4,4,10,97,125,62,278,2898,2658,369,5918,234,264,501,6416,4256,164,10830
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,218,773,62,54,113,887,981,647,2516,45802,31880,3649,81327,4878,4268,9148,90480,51118,1298,142893
SOS31,72,239,31,28,64,300,404,283,985,9659,8564,993,19221,2011,1471,3481,22702,16579,497,39781
SOS32,7,31,9,3,12,46,77,54,178,1266,1152,141,2557,299,197,490,3051,2851,88,5990
SOS33,25,97,12,3,10,104,133,86,328,3306,2726,373,6400,486,319,802,7206,5259,179,12641
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,54,234,22,23,40,273,462,277,1009,14792,12637,1333,28755,1637,1487,3124,31883,21281,490,53650
SOS41,18,87,7,12,16,105,183,102,394,3375,3685,370,7432,513,449,960,8392,5463,181,14037
SOS42,4,12,0,0,4,12,25,19,57,444,522,51,1014,60,38,101,1116,781,32,1929
SOS43,3,37,0,3,3,35,22,29,92,995,866,106,1966,105,82,182,2151,1312,51,3519
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,100,344,41,26,62,404,484,329,1215,22534,17280,1879,41701,2768,2320,5088,46788,24951,649,72391
SOS51,24,79,7,13,15,96,187,127,414,4009,3540,425,7973,537,484,1027,8997,5390,229,14618
SOS52,4,12,8,0,5,18,44,46,111,592,535,82,1202,125,88,210,1412,1241,73,2731
SOS53,7,30,0,4,4,34,46,47,127,1008,782,128,1910,153,114,262,2180,1360,80,3615
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,6,33,4,7,8,48,81,42,166,2478,2289,248,5007,200,239,440,5447,3502,81,9031
SOS61,15,58,5,8,18,72,121,65,257,2300,2551,312,5156,346,318,661,5817,4346,122,10287
SOS62,0,4,0,0,0,4,18,6,27,250,314,37,610,29,28,53,661,493,23,1176
SOS63,4,24,0,0,0,22,21,14,56,745,735,82,1561,76,75,152,1711,1173,46,2927
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,10,31,0,0,3,34,42,41,126,1838,603,138,2583,116,73,185,2765,1230,69,4061
SOS71,3,9,0,0,0,13,31,41,90,658,265,70,992,80,36,118,1108,876,68,2048
SOS72,3,37,7,7,15,53,83,52,185,261,156,38,460,102,46,147,604,729,73,1403
SOS73,3,14,0,0,3,14,20,26,59,334,127,43,507,57,25,84,596,415,32,1046
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,8,51,0,0,0,51,68,32,154,6155,2683,424,9265,261,211,471,9734,4293,88,14108
SOS82,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6
SOS83,0,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,11,6,0,18
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,0,0,0,0,16,8,3,25,0,0,0,29,10,0,35
SOS92,0,0,0,0,0,0,0,0,0,15,11,3,33,0,0,0,33,10,0,51
SOS93,0,0,0,0,0,0,3,7,13,22,11,0,29,0,0,0,34,24,7,65
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
